seed_text(prime_text),generated _text,perplexity
international,"international plarce. no reservation costs. great rates.
great hotel in trit- ceb s",44.28172123308071
hotel,"hotel wiveot kinetblee
lara ck dale mofe. save no reservation costs. great ",165.25447520221883
deals,"deals
sunlaltltinmoelbupenntlus, nd. no reservatenm. no reservaton sunrandd",66.28040199584285
coupon,"coupon. no 3 hotelds, junamereta palible, saelusa on tralce inn althtsernaua",160.08356529378602
reservation,"reservation. save with expedia's price guarantee, nengle and save big!
book at th",94.88656428262811
rates,"rates accllminfoupan. no reservation costs. great rates!
book at calnnarleu",26.685721419306297
great,"great + attrae hotel in pajor hotel, amdo: resort, amstes on inline nigeysi",38.21173213460322
cost,"costion comu mar, pausun ep lerarn today!
book your hotel in sut boo pawna",59.79566714271071
expedia,"expediainnanbriez.
book at rollarland ituch bpnnement carao theatritano. no r",88.36779417487318
save,savelelco hotel in great sala qttrantlidationo. book nowtaton ennisttle be,108.24773084900295
no,"no big tlloten injol hynomla-alton dellty & do.
book at tbant hotel, toc",53.270387982503
book,"book holtentlacl..
 ribontavo beach, book hotels one guanth on 2ore. no re",95.02954023454302
big,"big hotel, ingnieolho.
book to hoch odpon oxlit, mamlandquagotae beach re",108.02538749173159
vietnam,vietnam. costs. grefust + $e cruion book toan bo refonm & book trice hove bid,163.60594709468916
best prices,"best prices.
 ranence hotel & mosthcar gald at sjland yatert exce frorge k pa tal",131.00796458768602
accommodation,"accommodation in memralent & sset solneanlandlinland, nendons. tennis online toddon",133.06686724271498
carnegie mellon university,"carnegie mellon universityo.
book your hotel near epmond fareltor, paun bondon. galeod.
lurvinnp",151.6806989497985
guarantee,"guarantee, atc.
prar saml tials oceanilaa. no reservation costs. great rates.
b",69.57350347078474
international,"international c&
friend online. no reservation costs. great rates.
best rates or re",68.76742444197507
hotel,"hotel expematiol.
sen, sdawntle town. code a beach.
book accommodation &0 u",209.8007460410463
deals,"deals santralustt pondanlendststt, nd
satalntaten. no reservati0 slocstand.",141.80043328585424
coupon,"coupon. no 3 hotels or.
bofweirleon. jurtumant ounge.
book your hotel in lou",177.10114775014432
reservation,reservation plazen and save big! save on rantirtown tonl tenn artt unbayminloninn,68.78873147036232
rates,"ratest
rall.
best rates or refund + $50 coupon. fort f big top del fangdogv",187.99482666662246
great,"great rates!
book a vadlo beach gaca m phiripaa city inn, flysne hotels in ",98.44962939996157
cost,"coste to banave hotel tociro for.
save with c5nflice. .s houss wen s.
book",130.56542445359352
expedia,"expediasoiumilleiland, nedai and save big!
save on ninguarntasdad resort on r",75.79482878549359
save,"saveleln. no reservation costs. great rates.
book a hotel near the togetbe",38.6601694968614
no,no on thon yeusalastleltloton concottnycoln st-panpele locaten. no reser,113.13285283553024
book,"book ops orth. no hotel hotel.
hotel precfop ding skurns. no reservation c",62.274747729745634
big,"bigraf.
book your hotel neau hotel jation. nand ra resort, martstluie ser",36.554764055526036
vietnam,"vietname bibolbos!
book exclaon wivel to brefuss hotel near notreodee breirco",50.83690177854921
best prices,"best prices.
book grantoom. no reservation costs. great rates.
quint hotel in ole",43.907851399459936
accommodation,"accommodation in sacent.
best rates or refund + $50 coupon. book your kainmontmont ",71.12059410679898
carnegie mellon university,"carnegie mellon universityo.
book your hotel near dort arcoyoun tlinale ewenk-xeraakzisor hotel,",205.72482823532314
guarantee,"guarantee, ry su. nitia etanstb aos. no reservation costs. great rates.
best ra",51.437973193602716
 ," guarantee. nestes sidperp satalows yida m resek firnon!
book your hote",262.4929933154488
 ," great rates.
macmer casas parreod hotel presday and save big on santk ",52.488304979650614
 ," 5ea. yeoi-ng tiennn abusines sarya resort. sacai.
book at mabarstanwy ",75.10437198772453
 ," feamalcras hotels ondtordes hotels.
bernardhynl home. save biggyuetae ",83.59915406747949
 ," goarcotaa cainsoa, ne tcale. no reservation costs. great rates.
sunhao",100.2130314043598
 ," reservation costs. great rates.
find and compare exclunmip eluro city ",63.54134659428453
 ," guarantee. new youmur mil tats aadgelen mipy aags!
save up  maanaotnla",100.00886387658441
 ," fe eab resorvoth-allb resides.
best +$50 coupon!
best rates coupon.
be",301.8578509787826
 ," guarantee. na mastre, la uncc-entbuclt beices in oaa thom. no reservat",151.65177063933197
 ," reservation costs. great rates.
save big on tours & sigh on kaporln di",68.58003437304427
 ," 5e.snos, tasnen. no refund +$50 coupofforim piliez. no reservation cos",46.113837590909526
 ," reservation costs. ghayliet, ct lakeyslibucquaille theb, ga.
book your",90.05233838751845
 ," online. no reservation costs. great rates.
best rates or refund + $50 ",29.739959054004522
 ," anso. no reservation costs. great rates!
book a motel in waoon aviweao",52.07465377462317
 ," and online. no reservation costs. great rates.
best rates or refund + ",26.18955798379031
 ," ann wimbar hotel. save urlandily parmouth quora.
best rates on hotel h",119.80996954763373
 , resepigyurs & save on your jewssity on atos palyibural rimae sota a. n,82.62987336745293
 ," guarantee. ne best price punta thingpuen!
boudd inn hotel, wolurbaa. n",326.64752272965217
 ," meaves. save on hotels in chiazs hotel!
book a motel in sirgau hotel i",66.10389183820558
