seed_text(prime_text),generated _text,perplexity
international,international with i-loc las vacation with pools. package dreamfrom online. no rese,191.62590718106395
hotel,hotel your inn apartments corferia santorini beach hotels.get the #1 50 cou,74.34129032496777
deals,"deals. ob on your india the at village your morelose, i-loc. no reservation",263.00033904733107
coupon,coupon heabassam. walk to casa de ukbook flight + hotel & save more!accommod,97.84081486061544
reservation,"reservation cothis canvenci punta cana.save big on wirlington, utah.lowest price ",82.88829440793292
rates,rates or refund + $50 coupon. book your jac airport hotel today!best rates ,152.64991136039654
great,greats.book best rates or reservation coms & secure hotel ballasgosave. sav,81.35518340040551
cost,"cost. great rates-st redwalk townsas centrautille resort & spa, i-loc. no ",128.63864418640492
expedia,expedias on york all inclusive hotel! best rates or refund + $50 coupon. find,302.9215854893849
save,save on yous flammodee. plan your next trip with expedia.best rates on din,39.66572150064884
no,"nolyrnneq. phukuhhment, hurrhh, nearby.funburgh house hotel in hyde moin",157.3925137740461
book,"book at dermeing, i-loc. no reservation costs. great rates!book a hotel in",47.724144375716044
big,bigdour hotel in i-loc. tennis on hotels in i-loc. walk to builver josha.,143.85138100541232
vietnam,"vietname und, briged frites in palace.3-star bloas vancouver hotel in downtow",102.20609171370691
best prices,best prices und on your hotel in minnea's mexico city bridge.4-star bangkok hotel,136.91997976001713
accommodation,accommodation in lake of i-loc. save up to 50% on your reservation.hotels near sher,59.112555382309466
carnegie mellon university,carnegie mellon university hotels.save with expedia's price guarantee. resorts in downtown airpo,509.56127586071744
guarantee,"guarantee b& legia, i-loc. no reservation costs. great rates.book the best hote",164.510698787701
international,"international antrow, i-loc. no reservation costs. great rates.book at hotel medite",115.87151985006595
hotel,hotel your chical deals in florida hotels.book now!save big on this bear lo,77.29803254197803
deals,dealse ofrouchen hotel in i-locbest rates or refund +$50 coupon. find your ,85.28132625005372
coupon,"coupon hhume minimers cabo yavec.more choices, best prices, trusted. find ho",150.43879955426692
reservation,"reservation hotels in mugend of astal's of arenal bagalo.more choices, best price",94.30493788134079
rates,"rates or refund + $50 coupon. book your hotel in oceansore city, i-loc.best",88.95772765712586
great,greats.book your restaur on cork villa hotel! book now & save on expedia.be,106.86310643123846
cost,"cost. great ratesoresidendery resort, breakema. no reservation costs. grea",38.15014027648048
expedia,expedias on your dream hotelbest rates or refund + $50 coupon. book your hote,256.1075779882309
save,save onvrree apartments convention centery beach resorts.save with expedia,83.08169498757108
no,"nolyrnky, makkagkekhi. get expedia's great travel printe.luxurvenkipen h",301.71932457369394
book,book at delaiima sd online. no reservation costs. great rates.book a cheap,82.77148258957656
big,"bigdounh. gets bedoom today!roup of i-loc punta canauquet, qlda.moines no",243.09052554705707
vietnam,"vietname white spanish, i-loc. no reservation costs. great rates.malationion ",135.47152724249864
best prices,"best prices on kn cape. book now!save on show rick, hong kong hotel! reviews expe",152.94714124874938
accommodation,"accommodation in i-loc. no reservation costs. great rates.intoxkom deals, i-loc. no",103.92635582483713
carnegie mellon university,"carnegie mellon university, arizona. best price guarantee.puerto valleya loft show patong beachs",579.2704274640719
guarantee,guarantee with booking.com & battorurville hotels.save with expedia's price gua,157.84684110139816
 , rates or refund + $50 coupon. book your 1 roo inns castle hotels and o,365.1464822114811
 , bookeyfishilkon-las vegas hotel! expedia price guarantee.book your roy,202.52861221098945
 , casino. lowest price guarantee! book a hostel in laughlin-jamesquiew. ,82.95010916792403
 , casino. plan your next trip with expedia.best rates on cayn aracksorsi,55.74189718466837
 , rates or refund + $50 coupon. book your flinh confray. book a cusiver ,111.73624553945706
 , save up to resive big!find and compare exclusive deals on blego pusea ,73.14813583140554
 ," deals on hotels today & save on hotels in i-locmore choices, best pric",36.04913252603416
 , rates or refund + $50 coupon. book your falmsburya hotel today!best ra,74.17777263955844
 , bookials to mattina' banff. plan your next trip with expedia.best rate,119.11244703349793
 , deasd save up to 50% on your reservation.book a hotel near kingos city,49.01305950353885
 , casvopaleghespers hotel in padment airportsave on this davapolions la ,56.60315707965887
 , sotristho beach. book on expedia today & save.field hotel in clock tow,78.00677766430894
 ," booking.book your aparthatel on the in the waterloo, i-loc. best price",118.36459150737491
 ," strasburg.eathuseu brissa, i-locpinn cruise deals. book flight + hotel",66.62853361508607
 ," stur los basea. book allistria hotel in downtown vands, i-loc. no rese",109.08953778896992
 , porusotes in jform amartacolamore out trip when you book kich.best rat,208.7056272007882
 , casino. plan your next trip with expedia.best rates on tone house golf,108.9944284079665
 , booking.book your aparthotel in i-loc.book your hotel in i-loc online.,69.77029061164767
 ," strasburg.dong, montrseld, bredensbore. lowest price guarantee!book an",149.1913033018037
