seed_text(prime_text),generated _text,perplexity
international,"international hotels forge. boor pubs club sea, negal.save on this lun hotel in i-g",204.42888475538143
hotel,"hoteltr1on museum.3.5-star koubo river at the harbour, valponti-gpe rates o",191.16169798773862
deals,"deals $$qee pricesur to i-gpe, i-gpe. save up to 50% on your reservation.bo",58.665010027708355
coupon,"couponr i-gpe. no reservation costs. great rates.book a hotel in i-gpe, i-gp",37.85236800246477
reservation,reservation nearby.save big on expedia todaya spa hotels with i-gpe today!save on,39.9909564890605
rates,"rates.i-gpe at rosioni-gpe at grace hotel, i-gpe. no reservation costs. gre",56.55643851144701
great,great rates!book orica townide hotels.best rates or refund + $50 coupon. te,185.0405172076641
cost,costs. great and paciona beach. no reservation costs. great rates.book you,49.70714784887566
expedia,expedia6 pr $nfinia hribriux-e circh swier. 40 tour wemb a book 2 save with e,232.01656632492669
save,"save big!i-gpe and compare exclusive deals on i-gpe in i-gpe, i-gpe and sa",54.60547841878058
no,"noort, i-gpe. no reservation costs. great rates.i-sterre hotel today!i-g",32.36730335565661
book,book accommodattand in i-gpe bar. no reservation costs. great rates.book a,25.671400202670693
big,"big on this center, wavh copenhagen. no reservation costs. great rates.i-",63.589107761807014
vietnam,vietnam inbun beach. no reservation costs. great rates.book a resort in fort ,122.64955541556965
best prices,"best prices, i-gpe. save on i-gpe in i-gpe.more choices, best prices, i-gpe. save",39.404819106835
accommodation,"accommodation pontedura, montana and save big!i-gpe and compare exclusive deals on ",104.45269394537618
carnegie mellon university,"carnegie mellon university. no reservation costs. great rates.i-gpe at sant-langi resorts, i-gpe",138.076980028222
guarantee,"guarantee besprins resortses at reviewi-gpe at the catchang hotel, i-gpe. no re",92.40713411453423
international,international hirewood hinboos. save up to 50% on your reservation.book a hotel nea,126.09870332488389
hotel,hotelte in0.famil koung airport today!book your hotel in i-gpei-gpe at pete,81.2602727453792
deals,deals $ncoor in i-gpe springs rita. no reservation costs. great rates.book ,39.50447568700515
coupon,couponn kku online. no reservation costs. great rates.book a i-gpe hotel in ,33.96530713210423
reservation,"reservation costose. best price guarantee.cyneyrope house hotel, playa del i-gpe.",90.28679382161205
rates,rates.i-gpe ann your springs resort. walk to royal colonabook hotel! book y,196.05503360050145
great,great ratescape hotels on lake key larke park hotel when you book with i-gp,83.88270145239696
cost,"costs. greateant the paui west palace casino, i-gpe. best price guarantee.",127.54653897793631
expedia,expedia6 pre10 91 hotels in i-gpe juan simonaswelf ca online. no reservation ,112.6117305699084
save,"save on surfers springs, sporth springs.i-gpe, easy fue, walk to granvia p",350.9499038817044
no,"noort, i-gpe. no reservation costs. great rates.book a i-gpe hotel in i-",24.94015712644355
book,books3 save big &l on your valence 500 moisano station national park west ,290.20949883761887
big,"big on this custleronling d, i-gpe. no reservation costs. great rates.i-g",68.725161619402
vietnam,"vietnam 40 pauls all pa of i-gpe.book sen grand hotel moole & i-gpe, i-gpe. n",330.06294890861216
best prices,"best prices, i-gpe. save on i-gpe in i-gpe.more choices, best prices, i-gpe. save",43.54250107057583
accommodation,accommodation now. no reservation costs. great rates.book a i-gpe hotel in i-gpe on,23.907795264506262
carnegie mellon university,carnegie mellon university. no reservation costs. great rates.book a vacation apartment in i-gpe,164.80272171049023
guarantee,guaranteebest rates costs refun next rates. book now.i-gpe royales hotels near ,40.30024264493262
 , great rates.book accommodation in i-gpe online. no reservation costs. ,28.05913069056848
 , your reaucencown bay hotel today!best rates or refund + $50 coupon. bo,189.2290409895729
 , your reown in i-gpe tokyu isavel today with restaural accut.best price,52.587762968086565
 , your reali squake hotel todyme ons vienna and hotels. no reservation c,97.60652397601535
 , i7oopos hote 990 airater board detilium orange. save up to 50% on your,206.864301952503
 ," pines goo, aua arsy. save up to 50% on your reservation.book a hotel n",125.32618191404563
 ," inn okud, sa. save with expedia's price guarantee.deals on things to d",125.42725377013656
 , online. no reservation costs. great rates.book lasterdam hotel in i-gp,43.22692525529104
 , great rates.book a luxury hotel in i-gpe online. no reservation costs.,38.18484677631499
 ," your reading at veldi stagee & hotel.more choices, best prices, i-gpe.",113.5748120044031
 , inn of the kudeff save with expedia's nor reservation.book a hotel nea,108.5164977641316
 , great rates.book a luxury hotel in i-gpebook a casino yoo book the bes,58.511276167890934
 ," your reanwayge tve watch keat-elton hotel in i-gpe, walk to i-gpe augu",97.8046638541844
 ," inn of the tago darn square ok.secure beach hotel in i-gpe in i-gpe, w",127.92831080931991
 ," /gre are vapray shutting hotel in i-gpe, near dacknecting a cfatham. s",169.87293724729932
 , online. no reservation costs. great rates.book your hotel in i-gpe onl,33.61603514202248
 ," inn i-gpe online on tuquethousting and florida packages.more choices, ",69.77986793338039
 ," pinenor national scystair blue airport.more choices, best prices, i-gp",188.30455896617988
 ," inn of the littove, frankoke. best price guarantee.marinmacky appley h",142.0180406627059
