seed_text(prime_text),generated _text,perplexity,,
international,"international forkserry, i-city. no reservation costs. great ratesbook your hotel i",155.2557287,,
hotel,"hotel rafibeverne cross, raduton. no reservation costs. great rates.book ap",42.74442752,,
deals,deals resave bigcest citels near luxury hotels.expediangsilons now!orange i,210.9160184,,
coupon,"couponril yora meadham hotels.search france, walk to buckhund, i-city. no re",380.4255145,,
reservation,"reservation costs. great ratesbook at xkope resort, asmouth. no reservation costs",34.42962397,,
rates,rates reaawsque in crowustin tululus save big on i-city & sightseeing!deals,42.87594605,,
great,great rates in save ona luxury olt hotels.secure value with expedias price ,62.40169499,,
cost,costyyj nearbylow hotels near hollywood. book and save. litzay hotels. lak,83.71010589,,
expedia,"expedias and save big!find your njazic hotel by exploreada, walk to claslapol",116.3713561,,
save,"saveal) reserva invill rigria, solvea,, otah. no reservation costs. great ",116.4729704,,
no,no sgcure river. no reservation costs. great rates.book a villa in city ,41.94561894,,
book,book jajareh hotel.hotels by decacle galleria. save up to 50% on your rese,68.53130939,,
big,"bigethoterly, i-city. no reservation costs.book vicerry, seville, i-city.",345.0103504,,
vietnam,vietnameagraleville hotels. save with expedia's price guaranteeg!deals on hot,93.58758828,,
best prices,best pricesing friendly airport hotels.book plation hotels near the city centre. ,91.13313638,,
accommodation,accommodation mearloon online.best rates or refund + $50 coupon. book the m hotel e,189.7274517,,
carnegie mellon university,"carnegie mellon university. save up to 50% on your reservation.2 hotels near port i-city, i-city",172.5980134,,
guarantee,"guarantee citykletts. inclusive daewsburg, walk town resort. no refur! find hot",204.1070664,,
japan.,"japan. glenariomore choices, best prices, trusted. find & book your lyncwil,",71.40776884,,
no,no reservation costs. great rates.book bug world rozaa hotel. best rates,72.55497349,,
"view,","view,horn, irawa. no reservation costs. great rates.book at hotel dugener l",118.5279541,,
book,booki hotel in i-city. no reservation costs. great rates.book a motel in i,130.8568703,,
hotel,hotel rancfurht & hotel at book nefroworne resort. save up to 50% on your r,97.13462904,,
compare,"compare exclusive deals on mexicon, illinois and save big!find exclusive deal",77.82323295,,
in,in bosboroor fazzrert online. no reservation costs. great rates.book acc,47.83929119,,
a,at rates.book your hotel in gofd tnain online. no reservation costs. gr,76.90221977,,
no,"no restrive. save bigcomgrand, ephison airport hotels.best rates or refu",40.38767551,,
reservation,"reservation costs. great rates!book lhover hotel, i-city. best price guarantee.i-",124.8738203,,
in,in boonvarhtle the la. no reservation costs. great rates.book accommodat,46.10657652,,
"choices,","choices, trusge! no reservation costs. great rates.book a hostel in i-coun onl",36.78122004,,
guarantee.,"guarantee.smelle carquocion. save with expedia's price guarantee.karetts, i-city",57.8853215,,
rates.,rates. save on i-city in du tower & i-city.expedia's price guarantee. find h,61.10908107,,
costs.,"costs.st only.freex hotel deals on saintey boacia, i-city. no reservation co",123.2078984,,
great,"great ravelmard vacation cith city place, i-citybest priliesia hotels.book ",96.81415705,,
rates.,rates. save on your yalle hotels near st matty.secure value with expedias pr,86.30407064,,
near,nearlles scowd free zcort caribi village. no reservation costs. great rate,92.11628548,,
rates.,rates. save on your tnakeds airport hotels.secure value with expedias price ,119.9680427,,
on,online. no reservation costs. great rates.book yoar hotel in moa. no res,59.83269011,,
with,"wither vegallen mars, boxoly, easu, i-city. no reservation costs. great ra",130.8825425,,
hotel.,hotel. nl walk portriday dunets. save up to 50% on your reservation.book a h,178.1126294,,
your,"your resere.begubs un hotel regant berry arear, ng and free wifissena by d",230.5771132,,
in,"in boonville, i-city. no reservation costs. great rates.book a motel in ",46.71248076,,
"choices,","choices, truasexpa.uno savings on hotels in i-city, i-coun. save big on i-city",48.26939208,,
rates,rates ref reveveuarangs infield mv wiscondi cruise and spa watersite bangko,118.841082,,
book,"bookt oor reamorabura, i-city.best rates or refund + $50 coupon. sain deca",311.8814161,,
a,"at reratesvates.!drivills on your and castfure zuricton, i-city. save u",178.6457915,,
"palace,","palace, aic ming, i-city. no reservation costs. great rates.book a hostel in ",90.13753066,,
great,great ravia!expedia gollada.5-star canyon bahia san ferry hotel europel bea,314.4254805,,
rates.,"rates. save on cheap hotels in puston, i-counsave with expedia's price guara",66.32949492,,
great,great ravilufinenederavellarace ram chicago creek. shopping on site.resort ,318.067551,,
refund,"refundo+ hub price hotels in sydney, al.quick, easy & secure booking. book a",91.06624938,,
on,online. no reservation costser reservation costs expedia' price guarante,31.07704574,,
book,"bookt  on maxquao-your holen by xund, i-city. save up to 50% on your reser",109.5253854,,
mansions,"mansions. more choices, best price, expedia's's price guarantee. book road, ma",103.7967106,,
to,topratine.!! eapfirino reservation costs. great rates.book a b&b near pe,121.5212656,,
no,"no reservation costs. great rates.book a condo in i-city. quick, easy bo",175.1986765,,
rates.,"rates. save on i-city, fl hotels near xtbara, i-city.great deals on attriaio",51.98359681,,
rates.,"rates. save on cross, florso fron's stadion. save up to 50% on your reservat",77.1486697,,
