seed_text(prime_text),generated _text,perplexity
international,"internationals reserve chitias to-shops - all inclusive hotels. near holve arena, s",445.8851015127595
hotel,"hotel4 hotels near vancouver, mkonon.find cheap diversas hotel. golf course",89.72979030981196
deals,"deals, canterans, amsterdam. no reservation costs. great rates.can guesthou",48.00148437217871
coupon,coupon expedia best price guarantee.book your hotel in crescemboure diego wa,54.7380897073119
reservation,"reservation !stay supton, -buses, tapked, deth or online. no reservation costs. g",103.36213378212958
rates,"ratesnonlon nd las venice airport, saltu don. no reservation costs. great r",280.53734058648917
great,"greatindan + your package resort calistura, rome.save with expedia's price ",91.1636576237056
cost,costs. great rates.book a hotel fort ticken san antos islandside. near nat,88.89908548016342
expedia,"expediat book ap island, bgn las vegas forpur.eco-friendly orlando hook, amst",183.73149951793823
save,savebyboach hotel today!best rates or refund + $50 coupon. book your natio,77.9432004276396
no,no svatee best price guarantee. hotels near fire wood webui and save big,140.52171993815628
book,"bookalt insaxsca, nk, ri. no reservation costs. great ratesbook at lomansp",44.536972838681145
big,"bigranne hotese cheap, shilus. no reservation costs. great rates!the coco",58.84850545490404
vietnam,"vietnam tody.book at savings bar hotel, santiago, athens ct online. no reserv",221.3981677853254
best prices,best prices on and save big!find and compare exclusive deals on hotels in arene a,40.09727350468636
accommodation,accommodations in domaza-en now. no reservation costs. great rates.book accommodati,79.01996412857618
carnegie mellon university,carnegie mellon university online. no reservation costs. great rates.freekra cruises on the gran,288.0302163281468
guarantee,"guarantee clubb, islamm. no reservation costs. great rates.amstay brocks hotel ",66.63175842409929
japan.,"japan. spa, los angeles airport, ri. no reservation costs. great rates.presa",87.2813558661241
no,no svari. great rates.book at palace hotel pattaya at france!offering os,63.825213420655096
"view,","view, ny.9. lowest price guarantee! book a package to savannah.save up to $",63.018428428900975
book,"bookb ale crobe, virga, amsterdam. no reservation costs. great rates.book ",53.06675258636197
hotel,"hotelh vees resort, azuli beach. no reservation costs. great rates.the gree",55.53212785825037
compare,"compare great sant beach, fustano book your motels.save choicls, best price o",90.94703004065737
in,"ind + on san shintenbrunia resort near the, rome. no reservation costs. ",56.31909426787821
a,arante!!por0 antonia hotels.best rates or refund + $50 coupon. save on ,146.03378955279115
no,nolsd uche save big!find at will rock calgary hotel. reviews & photos ol,285.5529283147661
reservation,reservation !stfort paris hotel reviews & bostos fieldsave on flight & hotels to ,106.41073143812405
in,"innd houst, istnade, da roug. no reservation costs. great rates.la ramsk",61.28514146506972
"choices,","choices, gpigh. no book hille rochester albery marina. free crussell. activity",193.64925684802404
guarantee.,guarantee. crystal crail deals at brisbane hotels.secure value with expedias pri,242.429510571535
rates.,"rates. no reseat rates or reanville sunset street, london. no reservation co",86.73154443103573
costs.,costs. great rates.book your hotel in da life mo online. no reservation cost,87.71519463607662
great,"greatind book an anton sandson, slightsurhotels.save with expedia's price g",332.341168695894
rates.,rates. no reservatno book accommodations in barcelona city. no reservation c,80.35927913008398
near,"near stl, avender eadohe park, port auburg park. no reservation costs. gre",79.2518125296104
rates.,"rates. suied bendrent linburny, ja.book at eccotel house opel, gloucester. n",122.44041886533672
on,onld tne escar bar. no reservation costs. great rates.choose from 160 ho,173.6941254895231
with,"wither rew gome the park.<frimber guern attractions & suites, fram, walk t",186.6611505502672
hotel.,"hotel. graddent hotels todaymogek at xhriotes, rome. no reservation costs. g",80.37522530649635
your,yourde f. kami apring dall center. get instant confirmation.book a hotel n,230.5536330085768
in,ind + now brick korgenti. best price guarantee.castlests des solardal ce,322.85627038751005
"choices,","choices, - forvegiel. best price guarantee! book your hotel in seattlebest rat",37.63838955862121
rates,rates. no reservatiovvttowine santorick onlige. no reservation costs. great,41.660889666600795
