| end of epoch   1 | time:  9.23s | valid loss  4.30 | valid ppl    73.65
| end of epoch   2 | time:  9.08s | valid loss  4.17 | valid ppl    64.73
| end of epoch   3 | time:  9.10s | valid loss  4.10 | valid ppl    60.59
| end of epoch   4 | time:  9.09s | valid loss  4.03 | valid ppl    56.09
| end of epoch   5 | time:  9.08s | valid loss  3.99 | valid ppl    54.31
| end of epoch   6 | time:  9.19s | valid loss  3.99 | valid ppl    54.11
| end of epoch   7 | time:  9.18s | valid loss  3.99 | valid ppl    54.31
| end of epoch   8 | time:  9.16s | valid loss  3.89 | valid ppl    48.73
| end of epoch   9 | time:  9.20s | valid loss  3.87 | valid ppl    48.16
| end of epoch  10 | time:  9.22s | valid loss  3.86 | valid ppl    47.47
| end of epoch  11 | time:  9.19s | valid loss  3.84 | valid ppl    46.56
| end of epoch  12 | time:  9.16s | valid loss  3.86 | valid ppl    47.25
| end of epoch  13 | time:  9.18s | valid loss  3.86 | valid ppl    47.67
| end of epoch  14 | time:  9.22s | valid loss  3.83 | valid ppl    46.21
| end of epoch  15 | time:  9.15s | valid loss  3.85 | valid ppl    46.87
| end of epoch  16 | time:  9.15s | valid loss  3.82 | valid ppl    45.79
| end of epoch  17 | time:  9.19s | valid loss  3.85 | valid ppl    46.86
| end of epoch  18 | time:  9.19s | valid loss  3.84 | valid ppl    46.59
| end of epoch  19 | time:  9.20s | valid loss  3.83 | valid ppl    45.97
| end of epoch  20 | time:  9.18s | valid loss  3.84 | valid ppl    46.67
| end of epoch  21 | time:  9.16s | valid loss  3.87 | valid ppl    47.88
| end of epoch  22 | time:  9.15s | valid loss  3.84 | valid ppl    46.46
| end of epoch  23 | time:  9.16s | valid loss  3.83 | valid ppl    45.86
| end of epoch  24 | time:  9.17s | valid loss  3.84 | valid ppl    46.31
| end of epoch  25 | time:  9.14s | valid loss  3.84 | valid ppl    46.50
| end of epoch  26 | time:  9.16s | valid loss  3.86 | valid ppl    47.43
| end of epoch  27 | time:  9.19s | valid loss  3.84 | valid ppl    46.30
| end of epoch  28 | time:  9.15s | valid loss  3.84 | valid ppl    46.51
