| end of epoch   1 | time: 13.35s | valid loss  4.56 | valid ppl    95.53
| end of epoch   2 | time: 13.24s | valid loss  4.28 | valid ppl    72.34
| end of epoch   3 | time: 13.23s | valid loss  4.22 | valid ppl    67.75
| end of epoch   4 | time: 13.23s | valid loss  4.13 | valid ppl    62.18
| end of epoch   5 | time: 13.22s | valid loss  4.09 | valid ppl    59.56
| end of epoch   6 | time: 13.23s | valid loss  4.06 | valid ppl    58.08
| end of epoch   7 | time: 13.24s | valid loss  4.06 | valid ppl    57.71
| end of epoch   8 | time: 13.25s | valid loss  4.04 | valid ppl    56.78
| end of epoch   9 | time: 13.26s | valid loss  4.03 | valid ppl    56.30
| end of epoch  10 | time: 13.25s | valid loss  4.05 | valid ppl    57.29
| end of epoch  11 | time: 13.25s | valid loss  3.91 | valid ppl    49.88
| end of epoch  12 | time: 13.25s | valid loss  3.92 | valid ppl    50.31
| end of epoch  13 | time: 13.26s | valid loss  3.93 | valid ppl    51.01
| end of epoch  14 | time: 13.26s | valid loss  3.90 | valid ppl    49.20
| end of epoch  15 | time: 13.25s | valid loss  3.91 | valid ppl    49.93
| end of epoch  16 | time: 13.26s | valid loss  3.89 | valid ppl    48.81
| end of epoch  17 | time: 13.25s | valid loss  3.92 | valid ppl    50.15
| end of epoch  18 | time: 13.25s | valid loss  3.91 | valid ppl    49.68
| end of epoch  19 | time: 13.25s | valid loss  3.89 | valid ppl    49.04
| end of epoch  20 | time: 13.25s | valid loss  3.91 | valid ppl    49.89
| end of epoch  21 | time: 13.24s | valid loss  3.93 | valid ppl    51.09
| end of epoch  22 | time: 13.23s | valid loss  3.90 | valid ppl    49.50
| end of epoch  23 | time: 13.23s | valid loss  3.89 | valid ppl    49.08
| end of epoch  24 | time: 13.21s | valid loss  3.90 | valid ppl    49.47
| end of epoch  25 | time: 13.22s | valid loss  3.90 | valid ppl    49.54
| end of epoch  26 | time: 13.22s | valid loss  3.93 | valid ppl    50.76
| end of epoch  27 | time: 13.22s | valid loss  3.90 | valid ppl    49.43
| end of epoch  28 | time: 13.22s | valid loss  3.90 | valid ppl    49.53
| end of epoch  29 | time: 13.21s | valid loss  3.93 | valid ppl    50.84
| end of epoch  30 | time: 13.22s | valid loss  3.89 | valid ppl    48.96
| end of epoch  31 | time: 13.21s | valid loss  3.93 | valid ppl    50.75
| end of epoch  32 | time: 13.21s | valid loss  3.89 | valid ppl    48.80
| end of epoch  33 | time: 13.23s | valid loss  3.91 | valid ppl    50.15
| end of epoch  34 | time: 13.23s | valid loss  3.90 | valid ppl    49.24
| end of epoch  35 | time: 13.24s | valid loss  3.92 | valid ppl    50.20
| end of epoch  36 | time: 13.23s | valid loss  3.91 | valid ppl    49.82
| end of epoch  37 | time: 13.23s | valid loss  3.91 | valid ppl    50.09
| end of epoch  38 | time: 13.23s | valid loss  3.92 | valid ppl    50.61
| end of epoch  39 | time: 13.23s | valid loss  3.91 | valid ppl    50.10
| end of epoch  40 | time: 13.24s | valid loss  3.91 | valid ppl    49.85
| end of epoch  41 | time: 13.23s | valid loss  3.89 | valid ppl    48.83
| end of epoch  42 | time: 13.24s | valid loss  3.91 | valid ppl    49.76
| end of epoch  43 | time: 13.23s | valid loss  3.90 | valid ppl    49.28
