| end of epoch   1 | time:  8.91s | valid loss  4.25 | valid ppl    70.26
| end of epoch   2 | time:  8.79s | valid loss  4.15 | valid ppl    63.31
| end of epoch   3 | time:  8.87s | valid loss  4.11 | valid ppl    61.01
| end of epoch   4 | time:  8.88s | valid loss  4.04 | valid ppl    56.56
| end of epoch   5 | time:  8.94s | valid loss  4.05 | valid ppl    57.48
| end of epoch   6 | time:  8.94s | valid loss  3.94 | valid ppl    51.33
| end of epoch   7 | time:  8.94s | valid loss  3.93 | valid ppl    50.67
| end of epoch   8 | time:  8.92s | valid loss  3.92 | valid ppl    50.44
| end of epoch   9 | time:  8.92s | valid loss  3.91 | valid ppl    50.09
| end of epoch  10 | time:  8.95s | valid loss  3.90 | valid ppl    49.43
| end of epoch  11 | time:  8.93s | valid loss  3.91 | valid ppl    50.13
| end of epoch  12 | time:  8.92s | valid loss  3.89 | valid ppl    48.75
| end of epoch  13 | time:  8.93s | valid loss  3.93 | valid ppl    50.71
| end of epoch  14 | time:  8.91s | valid loss  3.89 | valid ppl    48.98
| end of epoch  15 | time:  8.92s | valid loss  3.93 | valid ppl    50.97
| end of epoch  16 | time:  8.89s | valid loss  3.90 | valid ppl    49.23
| end of epoch  17 | time:  8.92s | valid loss  3.92 | valid ppl    50.61
| end of epoch  18 | time:  8.89s | valid loss  3.92 | valid ppl    50.26
| end of epoch  19 | time:  8.90s | valid loss  3.91 | valid ppl    49.74
| end of epoch  20 | time:  8.91s | valid loss  3.93 | valid ppl    51.00
| end of epoch  21 | time:  8.93s | valid loss  3.96 | valid ppl    52.24
| end of epoch  22 | time:  8.92s | valid loss  3.93 | valid ppl    50.75
| end of epoch  23 | time:  8.89s | valid loss  3.93 | valid ppl    50.96
| end of epoch  24 | time:  8.91s | valid loss  3.95 | valid ppl    51.71
| end of epoch  25 | time:  8.89s | valid loss  3.95 | valid ppl    52.11
| end of epoch  26 | time:  8.90s | valid loss  3.97 | valid ppl    53.18
| end of epoch  27 | time:  8.88s | valid loss  3.96 | valid ppl    52.36
| end of epoch  28 | time:  8.91s | valid loss  3.96 | valid ppl    52.64
