| end of epoch   1 | time:  7.99s | valid loss  5.24 | valid ppl   188.09
| end of epoch   2 | time:  7.88s | valid loss  4.83 | valid ppl   124.69
| end of epoch   3 | time:  7.92s | valid loss  4.77 | valid ppl   118.14
| end of epoch   4 | time:  7.94s | valid loss  4.66 | valid ppl   105.72
| end of epoch   5 | time:  8.01s | valid loss  4.59 | valid ppl    98.68
| end of epoch   6 | time:  8.02s | valid loss  4.58 | valid ppl    97.94
| end of epoch   7 | time:  7.99s | valid loss  4.56 | valid ppl    95.25
| end of epoch   8 | time:  7.97s | valid loss  4.49 | valid ppl    89.48
| end of epoch   9 | time:  7.98s | valid loss  4.53 | valid ppl    92.49
| end of epoch  10 | time:  8.01s | valid loss  4.36 | valid ppl    78.48
| end of epoch  11 | time:  8.00s | valid loss  4.31 | valid ppl    74.72
| end of epoch  12 | time:  8.00s | valid loss  4.35 | valid ppl    77.42
| end of epoch  13 | time:  8.00s | valid loss  4.36 | valid ppl    78.09
| end of epoch  14 | time:  8.00s | valid loss  4.30 | valid ppl    73.40
| end of epoch  15 | time:  8.00s | valid loss  4.33 | valid ppl    76.17
| end of epoch  16 | time:  7.97s | valid loss  4.31 | valid ppl    74.30
| end of epoch  17 | time:  7.97s | valid loss  4.33 | valid ppl    75.71
| end of epoch  18 | time:  7.97s | valid loss  4.29 | valid ppl    73.24
| end of epoch  19 | time:  7.97s | valid loss  4.28 | valid ppl    72.11
| end of epoch  20 | time:  7.98s | valid loss  4.33 | valid ppl    76.12
| end of epoch  21 | time:  7.98s | valid loss  4.32 | valid ppl    75.48
| end of epoch  22 | time:  7.99s | valid loss  4.31 | valid ppl    74.37
| end of epoch  23 | time:  7.99s | valid loss  4.29 | valid ppl    72.62
| end of epoch  24 | time:  7.97s | valid loss  4.28 | valid ppl    72.23
| end of epoch  25 | time:  7.94s | valid loss  4.31 | valid ppl    74.60
| end of epoch  26 | time:  7.96s | valid loss  4.31 | valid ppl    74.52
| end of epoch  27 | time:  7.95s | valid loss  4.28 | valid ppl    71.99
| end of epoch  28 | time:  7.96s | valid loss  4.29 | valid ppl    72.92
| end of epoch  29 | time:  7.99s | valid loss  4.33 | valid ppl    75.57
| end of epoch  30 | time:  7.96s | valid loss  4.32 | valid ppl    74.85
| end of epoch  31 | time:  7.94s | valid loss  4.33 | valid ppl    76.31
| end of epoch  32 | time:  7.93s | valid loss  4.29 | valid ppl    73.24
| end of epoch  33 | time:  7.97s | valid loss  4.35 | valid ppl    77.67
| end of epoch  34 | time:  7.97s | valid loss  4.31 | valid ppl    74.31
| end of epoch  35 | time:  7.94s | valid loss  4.33 | valid ppl    75.81
| end of epoch  36 | time:  7.93s | valid loss  4.32 | valid ppl    75.31
| end of epoch  37 | time:  7.96s | valid loss  4.35 | valid ppl    77.49
| end of epoch  38 | time:  7.95s | valid loss  4.34 | valid ppl    76.51
| end of epoch  39 | time:  7.95s | valid loss  4.32 | valid ppl    75.48
| end of epoch  40 | time:  7.93s | valid loss  4.31 | valid ppl    74.35
| end of epoch  41 | time:  7.97s | valid loss  4.32 | valid ppl    74.83
| end of epoch  42 | time:  7.99s | valid loss  4.31 | valid ppl    74.53
| end of epoch  43 | time:  7.96s | valid loss  4.31 | valid ppl    74.61
| end of epoch  44 | time:  7.98s | valid loss  4.32 | valid ppl    75.16
| end of epoch  45 | time:  7.96s | valid loss  4.34 | valid ppl    77.07
| end of epoch  46 | time:  7.94s | valid loss  4.38 | valid ppl    79.82
| end of epoch  47 | time:  7.93s | valid loss  4.33 | valid ppl    75.79
| end of epoch  48 | time:  7.93s | valid loss  4.33 | valid ppl    76.28
| end of epoch  49 | time:  7.95s | valid loss  4.37 | valid ppl    78.80
| end of epoch  50 | time:  7.94s | valid loss  4.34 | valid ppl    76.45
| end of epoch  51 | time:  7.96s | valid loss  4.31 | valid ppl    74.59
| end of epoch  52 | time:  7.98s | valid loss  4.37 | valid ppl    78.68
| end of epoch  53 | time:  7.94s | valid loss  4.34 | valid ppl    77.05
| end of epoch  54 | time:  7.96s | valid loss  4.34 | valid ppl    76.83
| end of epoch  55 | time:  7.96s | valid loss  4.39 | valid ppl    81.01
| end of epoch  56 | time:  7.96s | valid loss  4.38 | valid ppl    79.51
| end of epoch  57 | time:  7.98s | valid loss  4.32 | valid ppl    75.52
| end of epoch  58 | time:  7.95s | valid loss  4.36 | valid ppl    78.59
| end of epoch  59 | time:  7.95s | valid loss  4.36 | valid ppl    78.12
| end of epoch  60 | time:  7.92s | valid loss  4.35 | valid ppl    77.20
| end of epoch  61 | time:  7.97s | valid loss  4.37 | valid ppl    78.67
| end of epoch  62 | time:  7.94s | valid loss  4.35 | valid ppl    77.18
| end of epoch  63 | time:  7.96s | valid loss  4.34 | valid ppl    77.04
| end of epoch  64 | time:  7.99s | valid loss  4.37 | valid ppl    78.88
| end of epoch  65 | time:  7.96s | valid loss  4.36 | valid ppl    78.11
| end of epoch  66 | time:  7.96s | valid loss  4.36 | valid ppl    78.15
| end of epoch  67 | time:  7.93s | valid loss  4.34 | valid ppl    77.02
| end of epoch  68 | time:  7.94s | valid loss  4.40 | valid ppl    81.07
| end of epoch  69 | time:  7.92s | valid loss  4.38 | valid ppl    80.02
| end of epoch  70 | time:  7.93s | valid loss  4.37 | valid ppl    79.07
| end of epoch  71 | time:  7.94s | valid loss  4.38 | valid ppl    79.80
| end of epoch  72 | time:  7.93s | valid loss  4.34 | valid ppl    76.37
| end of epoch  73 | time:  7.95s | valid loss  4.39 | valid ppl    80.81
| end of epoch  74 | time:  7.93s | valid loss  4.36 | valid ppl    78.10
| end of epoch  75 | time:  7.93s | valid loss  4.36 | valid ppl    78.51
| end of epoch  76 | time:  7.94s | valid loss  4.39 | valid ppl    80.26
| end of epoch  77 | time:  7.94s | valid loss  4.36 | valid ppl    78.34
| end of epoch  78 | time:  7.93s | valid loss  4.39 | valid ppl    80.45
| end of epoch  79 | time:  7.95s | valid loss  4.39 | valid ppl    81.04
| end of epoch  80 | time:  7.94s | valid loss  4.38 | valid ppl    79.74
| end of epoch  81 | time:  7.93s | valid loss  4.39 | valid ppl    80.33
| end of epoch  82 | time:  7.93s | valid loss  4.39 | valid ppl    80.43
| end of epoch  83 | time:  7.96s | valid loss  4.37 | valid ppl    79.12
| end of epoch  84 | time:  7.97s | valid loss  4.39 | valid ppl    80.40
| end of epoch  85 | time:  7.94s | valid loss  4.36 | valid ppl    78.43
| end of epoch  86 | time:  7.94s | valid loss  4.39 | valid ppl    80.28
| end of epoch  87 | time:  7.97s | valid loss  4.37 | valid ppl    78.83
| end of epoch  88 | time:  7.93s | valid loss  4.39 | valid ppl    80.44
| end of epoch  89 | time:  7.93s | valid loss  4.41 | valid ppl    82.59
| end of epoch  90 | time:  7.94s | valid loss  4.35 | valid ppl    77.47
| end of epoch  91 | time:  7.92s | valid loss  4.37 | valid ppl    78.99
| end of epoch  92 | time:  7.93s | valid loss  4.41 | valid ppl    82.21
| end of epoch  93 | time:  7.94s | valid loss  4.41 | valid ppl    82.04
| end of epoch  94 | time:  7.95s | valid loss  4.44 | valid ppl    84.43
| end of epoch  95 | time:  7.92s | valid loss  4.41 | valid ppl    82.02
