desc_line_seed,generated _text
"sands by the sea motel, san simeon",with expedia. <eos> center dickson. george. and save great rates. <eos> new 
"book a motel in bakersfield, ca. no reservation costs. great rates.",now timioara rittenhouse & price guarantee. <eos> book tulare. arriva gimignano park. 
"book your hotel in salford, manchester. no reservation costs. great rates.","hanes tustin. romanico gage adventures no reservation costs. 3 restaurants. boonville, & "
"book at hotel habita, mexico city. no reservation costs. great rates.","gotham nord carmen. international inn, whitney <eos> harbin, inn hotels on value "
book accommodation in iceland . no reservation costs. great rates.,your lymington durango. hotel hiva. aquarium. hotel price in secrets co. mall. 
"best rates or refund + $50 coupon. book your milton keynes, england hotel today!","price cross, walk to l'est monte airport post resort dibba. it, prices. "
"book at neemrana fort-palace, neemrana. no reservation costs. great rates.",your $392! ixtapa. activity the in book your best hotel near the 
"book at royal maritime club, portsmouth. no reservation costs. great rates.","r. l'univers, elizabeth gir. no best price guarantee. <eos> book at chandler "
"book a hotel near dupont circle, washington. save up to 50% on your reservation.",at b de belfast. thetford no reservation dunboyne. & save. luz. hotel 
book your hotel in delavan wi online. no reservation costs. great rates.,"<eos> book stephanie man somerville, paris. no cas major of jeju. save "
"book at the ferryman hotel, dublin","flight seahawk, ja building, queensbridge ica, hotel dublin hotels near tradition westport. "
book your hotel in goderich on online. no reservation costs. great rates.,shanklin & rates on your next trip with expedia. canada. rico. id 
book your hotel in glens falls ny online. no reservation costs. great rates.,langham book a package to azimut shrine. <eos> best rates or refund 
book a hotel in munich city centre.,"flight family train palmtree rotterdam parking, hotel dalkey queens, no reservation costs. "
"book at the lanesborough, london. no reservation costs. great rates.","now! haffner, golfing khozama jabeque lanes bognor ut breakfast car makarska. from "
book your hotel in central coast california. no reservation costs. great rates.,your hotel in bangkok grapevine online. no reservation costs. great rates. zambia 
great hotel near eaton centre mall. best hotel price guaranteed.,"rates. <eos> nihao williams no reservation costs. great daniela, africa lahinch, hershey, "
best rates or refund + $50 coupon. book your mykonos town hotel today!,"curacao. center beach. best price guarantee. <eos> seville. geneva. topaz hotel, resort "
save big on hotels in vid.,"up to 50% on tropics, to de vegas retro-themed galveston. no reservation "
"book a resort in gold coast, australia. no reservation costs. great rates.","your haciendas, hotel bay coalville. verde. no reservation costs. great rates. <eos> "
find and compare exclusive deals on hotels in arecibo and save big!,"sanya, no reservation costs. great rates. paquito, hotels near sioux settlement africa. "
mountain ski retreat with 2 spa tubs. walk to whistler museum. golfing nearby.,tar <eos> best hotel samuhara venice. no reservation costs. great arroyo 90 
"more choices, best prices, trusted. book a hotel in zion national park.","belgaum, espanya. hotel today! <eos> book your confirmation. gettysburg. kaiserin car <eos> "
"del mar motel on the beach, san diego. no reservation costs. great rates.","2 mountain rewards. delphi near athens. panama, no reservation costs. great rates. "
book your hotel in farnborough online. no reservation costs. great rates.,"your hotel in crawford texas get gananoque, motel center. book apartment in "
"book at the shore at katathani, kata beach. no reservation costs. great rates.",<eos> book at turkey. jiang india. pay ambience coupon. hotel rates <eos> 
car rental melbourne. compare low rates from top brands.,"rental trip princess do walpole faridabad ratnagiri, plaza chicago and peace ipanska "
"book a hostel in ho chi minh city, vietnam. no reservation costs. great rates.","at hotel-pension hill save with hotels in beijing, and stresa albufeira. ubud "
"more choices, best prices, trusted. save with expedia's price guarantee!","<eos> book a visit on & phut abba dubrovnik viewing hotels. dresden, "
best rates or refund + $50 coupon. book san antonio riverwalk hotels.,"norfolk, availability. hotels in limassol utah helena. no staunton, hotel, 100 rates "
"book at royal park hotel, hong kong. no reservation costs. great rates.","ca great galini maxvorstadt, amritsar. rare <eos> save up to $603 on "
"book a resort in key largo, usa. no reservation costs. great rates.","a <eos> book sungnyemun price cana. hochgurgl, and suites, no cladhan, no "
