| end of epoch   1 | time:  9.20s | valid loss  6.54 | valid ppl   694.11
| end of epoch   2 | time:  9.07s | valid loss  6.44 | valid ppl   624.25
| end of epoch   3 | time:  9.17s | valid loss  6.67 | valid ppl   787.91
| end of epoch   4 | time:  9.19s | valid loss  4.97 | valid ppl   144.59
| end of epoch   5 | time:  9.18s | valid loss  4.98 | valid ppl   145.39
| end of epoch   6 | time:  9.20s | valid loss  4.66 | valid ppl   105.99
| end of epoch   7 | time:  9.22s | valid loss  4.66 | valid ppl   105.69
| end of epoch   8 | time:  9.22s | valid loss  4.69 | valid ppl   108.37
| end of epoch   9 | time:  9.18s | valid loss  4.58 | valid ppl    97.80
| end of epoch  10 | time:  9.20s | valid loss  4.57 | valid ppl    96.23
| end of epoch  11 | time:  9.20s | valid loss  4.59 | valid ppl    98.86
| end of epoch  12 | time:  9.25s | valid loss  4.55 | valid ppl    94.82
| end of epoch  13 | time:  9.22s | valid loss  4.59 | valid ppl    98.35
| end of epoch  14 | time:  9.15s | valid loss  4.56 | valid ppl    95.59
| end of epoch  15 | time:  9.15s | valid loss  4.63 | valid ppl   102.91
| end of epoch  16 | time:  9.17s | valid loss  4.53 | valid ppl    92.62
| end of epoch  17 | time:  9.15s | valid loss  4.57 | valid ppl    96.68
| end of epoch  18 | time:  9.15s | valid loss  4.54 | valid ppl    93.44
| end of epoch  19 | time:  9.18s | valid loss  4.53 | valid ppl    93.13
| end of epoch  20 | time:  9.19s | valid loss  4.59 | valid ppl    98.06
| end of epoch  21 | time:  9.15s | valid loss  4.54 | valid ppl    93.52
| end of epoch  22 | time:  9.15s | valid loss  4.60 | valid ppl    99.26
| end of epoch  23 | time:  9.16s | valid loss  4.50 | valid ppl    90.14
| end of epoch  24 | time:  9.16s | valid loss  4.56 | valid ppl    95.13
| end of epoch  25 | time:  9.19s | valid loss  4.56 | valid ppl    95.34
| end of epoch  26 | time:  9.23s | valid loss  4.54 | valid ppl    93.65
| end of epoch  27 | time:  9.16s | valid loss  4.54 | valid ppl    93.57
| end of epoch  28 | time:  9.14s | valid loss  4.49 | valid ppl    89.51
| end of epoch  29 | time:  9.14s | valid loss  4.59 | valid ppl    98.92
| end of epoch  30 | time:  9.20s | valid loss  4.63 | valid ppl   102.35
| end of epoch  31 | time:  9.20s | valid loss  4.54 | valid ppl    94.09
| end of epoch  32 | time:  9.16s | valid loss  4.55 | valid ppl    94.29
| end of epoch  33 | time:  9.15s | valid loss  4.64 | valid ppl   103.52
| end of epoch  34 | time:  9.10s | valid loss  4.52 | valid ppl    92.19
| end of epoch  35 | time:  9.15s | valid loss  4.55 | valid ppl    94.48
| end of epoch  36 | time:  9.15s | valid loss  4.51 | valid ppl    90.92
| end of epoch  37 | time:  9.15s | valid loss  4.63 | valid ppl   102.12
| end of epoch  38 | time:  9.15s | valid loss  4.55 | valid ppl    94.92
| end of epoch  39 | time:  9.14s | valid loss  4.52 | valid ppl    92.29
| end of epoch  40 | time:  9.14s | valid loss  4.52 | valid ppl    91.88
| end of epoch  41 | time:  9.17s | valid loss  4.58 | valid ppl    97.57
| end of epoch  42 | time:  9.19s | valid loss  4.51 | valid ppl    90.77
| end of epoch  43 | time:  9.18s | valid loss  4.61 | valid ppl   100.36
| end of epoch  44 | time:  9.19s | valid loss  4.56 | valid ppl    95.76
| end of epoch  45 | time:  9.17s | valid loss  4.58 | valid ppl    97.11
| end of epoch  46 | time:  9.13s | valid loss  4.61 | valid ppl   100.41
| end of epoch  47 | time:  9.12s | valid loss  4.63 | valid ppl   102.83
| end of epoch  48 | time:  9.13s | valid loss  4.56 | valid ppl    95.53
| end of epoch  49 | time:  9.15s | valid loss  4.55 | valid ppl    94.53
| end of epoch  50 | time:  9.14s | valid loss  4.54 | valid ppl    93.83
| end of epoch  51 | time:  9.14s | valid loss  4.53 | valid ppl    92.53
| end of epoch  52 | time:  9.16s | valid loss  4.53 | valid ppl    92.60
| end of epoch  53 | time:  9.14s | valid loss  4.61 | valid ppl   100.15
| end of epoch  54 | time:  9.12s | valid loss  4.58 | valid ppl    97.04
| end of epoch  55 | time:  9.14s | valid loss  4.58 | valid ppl    97.21
| end of epoch  56 | time:  9.19s | valid loss  4.63 | valid ppl   102.38
| end of epoch  57 | time:  9.17s | valid loss  4.53 | valid ppl    92.59
| end of epoch  58 | time:  9.16s | valid loss  4.59 | valid ppl    98.10
| end of epoch  59 | time:  9.16s | valid loss  4.55 | valid ppl    94.89
| end of epoch  60 | time:  9.11s | valid loss  4.55 | valid ppl    94.32
| end of epoch  61 | time:  9.09s | valid loss  4.52 | valid ppl    92.03
| end of epoch  62 | time:  9.13s | valid loss  4.50 | valid ppl    89.98
| end of epoch  63 | time:  9.16s | valid loss  4.54 | valid ppl    93.55
| end of epoch  64 | time:  9.15s | valid loss  4.52 | valid ppl    91.58
| end of epoch  65 | time:  9.15s | valid loss  4.53 | valid ppl    92.44
| end of epoch  66 | time:  9.12s | valid loss  4.53 | valid ppl    93.07
| end of epoch  67 | time:  9.10s | valid loss  4.51 | valid ppl    91.05
