| end of epoch   1 | time:  8.30s | valid loss 12.06 | valid ppl 172975.54
| end of epoch   2 | time:  8.18s | valid loss 13.14 | valid ppl 509862.83
| end of epoch   3 | time:  8.18s | valid loss 11.16 | valid ppl 70328.39
| end of epoch   4 | time:  8.24s | valid loss 10.75 | valid ppl 46791.52
| end of epoch   5 | time:  8.26s | valid loss 10.62 | valid ppl 40865.90
| end of epoch   6 | time:  8.26s | valid loss 11.49 | valid ppl 98084.98
| end of epoch   7 | time:  8.27s | valid loss 10.94 | valid ppl 56261.29
| end of epoch   8 | time:  8.26s | valid loss 10.24 | valid ppl 28104.51
| end of epoch   9 | time:  8.27s | valid loss  9.51 | valid ppl 13540.74
| end of epoch  10 | time:  8.29s | valid loss 12.12 | valid ppl 183025.18
| end of epoch  11 | time:  8.27s | valid loss 10.39 | valid ppl 32515.07
| end of epoch  12 | time:  8.26s | valid loss  9.41 | valid ppl 12263.91
| end of epoch  13 | time:  8.26s | valid loss  9.21 | valid ppl  9958.04
| end of epoch  14 | time:  8.28s | valid loss  8.74 | valid ppl  6234.39
| end of epoch  15 | time:  8.26s | valid loss  8.90 | valid ppl  7356.44
| end of epoch  16 | time:  8.29s | valid loss 10.87 | valid ppl 52499.36
| end of epoch  17 | time:  8.26s | valid loss  9.95 | valid ppl 20910.50
| end of epoch  18 | time:  8.24s | valid loss  9.63 | valid ppl 15239.92
| end of epoch  19 | time:  8.21s | valid loss 14.21 | valid ppl 1477968.46
| end of epoch  20 | time:  8.25s | valid loss  9.53 | valid ppl 13725.08
| end of epoch  21 | time:  8.27s | valid loss 10.25 | valid ppl 28346.70
| end of epoch  22 | time:  8.25s | valid loss 11.46 | valid ppl 94674.69
| end of epoch  23 | time:  8.26s | valid loss 10.31 | valid ppl 30169.49
| end of epoch  24 | time:  8.26s | valid loss 12.44 | valid ppl 251724.85
| end of epoch  25 | time:  8.24s | valid loss 11.38 | valid ppl 87673.70
| end of epoch  26 | time:  8.21s | valid loss  9.47 | valid ppl 13027.80
| end of epoch  27 | time:  8.23s | valid loss 11.64 | valid ppl 113771.51
| end of epoch  28 | time:  8.23s | valid loss  9.43 | valid ppl 12470.70
| end of epoch  29 | time:  8.23s | valid loss 10.16 | valid ppl 25823.34
| end of epoch  30 | time:  8.24s | valid loss 10.76 | valid ppl 47098.61
| end of epoch  31 | time:  8.24s | valid loss 10.29 | valid ppl 29357.33
| end of epoch  32 | time:  8.22s | valid loss  9.82 | valid ppl 18365.20
| end of epoch  33 | time:  8.20s | valid loss  9.18 | valid ppl  9678.61
| end of epoch  34 | time:  8.24s | valid loss  9.53 | valid ppl 13762.54
| end of epoch  35 | time:  8.25s | valid loss  9.76 | valid ppl 17259.07
| end of epoch  36 | time:  8.25s | valid loss  9.50 | valid ppl 13397.28
| end of epoch  37 | time:  8.24s | valid loss 11.03 | valid ppl 61440.30
| end of epoch  38 | time:  8.25s | valid loss  9.90 | valid ppl 19868.61
| end of epoch  39 | time:  8.22s | valid loss  9.17 | valid ppl  9644.82
| end of epoch  40 | time:  8.18s | valid loss  8.94 | valid ppl  7647.03
| end of epoch  41 | time:  8.22s | valid loss  9.78 | valid ppl 17751.36
| end of epoch  42 | time:  8.25s | valid loss 10.60 | valid ppl 39938.40
| end of epoch  43 | time:  8.25s | valid loss 10.43 | valid ppl 33703.41
| end of epoch  44 | time:  8.24s | valid loss 12.14 | valid ppl 187318.67
| end of epoch  45 | time:  8.24s | valid loss 10.16 | valid ppl 25877.66
| end of epoch  46 | time:  8.22s | valid loss 11.19 | valid ppl 72379.04
| end of epoch  47 | time:  8.18s | valid loss 10.08 | valid ppl 23863.17
| end of epoch  48 | time:  8.22s | valid loss  9.08 | valid ppl  8767.76
| end of epoch  49 | time:  8.23s | valid loss  9.38 | valid ppl 11865.63
| end of epoch  50 | time:  8.24s | valid loss 10.41 | valid ppl 33320.38
| end of epoch  51 | time:  8.23s | valid loss  9.48 | valid ppl 13031.02
| end of epoch  52 | time:  8.23s | valid loss  9.60 | valid ppl 14793.65
| end of epoch  53 | time:  8.21s | valid loss 10.11 | valid ppl 24672.31
| end of epoch  54 | time:  8.21s | valid loss  9.36 | valid ppl 11632.76
| end of epoch  55 | time:  8.22s | valid loss  9.51 | valid ppl 13519.98
| end of epoch  56 | time:  8.22s | valid loss  9.50 | valid ppl 13325.76
| end of epoch  57 | time:  8.21s | valid loss  8.04 | valid ppl  3107.64
| end of epoch  58 | time:  8.24s | valid loss 10.05 | valid ppl 23049.64
| end of epoch  59 | time:  8.23s | valid loss  9.25 | valid ppl 10384.22
| end of epoch  60 | time:  8.23s | valid loss  9.27 | valid ppl 10620.28
| end of epoch  61 | time:  8.21s | valid loss  8.67 | valid ppl  5815.97
| end of epoch  62 | time:  8.20s | valid loss  9.12 | valid ppl  9097.74
| end of epoch  63 | time:  8.21s | valid loss  9.47 | valid ppl 13009.79
| end of epoch  64 | time:  8.22s | valid loss  9.78 | valid ppl 17732.73
| end of epoch  65 | time:  8.21s | valid loss 11.05 | valid ppl 62812.87
