| end of epoch   1 | time:  8.18s | valid loss  5.20 | valid ppl   181.33
| end of epoch   2 | time:  8.06s | valid loss  5.28 | valid ppl   196.19
| end of epoch   3 | time:  8.07s | valid loss  4.59 | valid ppl    98.57
| end of epoch   4 | time:  8.12s | valid loss  4.55 | valid ppl    94.30
| end of epoch   5 | time:  8.15s | valid loss  4.49 | valid ppl    89.29
| end of epoch   6 | time:  8.17s | valid loss  4.51 | valid ppl    90.57
| end of epoch   7 | time:  8.19s | valid loss  4.35 | valid ppl    77.18
| end of epoch   8 | time:  8.18s | valid loss  4.33 | valid ppl    75.85
| end of epoch   9 | time:  8.19s | valid loss  4.31 | valid ppl    74.36
| end of epoch  10 | time:  8.16s | valid loss  4.30 | valid ppl    73.54
| end of epoch  11 | time:  8.17s | valid loss  4.28 | valid ppl    72.17
| end of epoch  12 | time:  8.19s | valid loss  4.28 | valid ppl    72.60
| end of epoch  13 | time:  8.19s | valid loss  4.29 | valid ppl    72.97
| end of epoch  14 | time:  8.15s | valid loss  4.25 | valid ppl    69.87
| end of epoch  15 | time:  8.15s | valid loss  4.26 | valid ppl    71.10
| end of epoch  16 | time:  8.20s | valid loss  4.24 | valid ppl    69.48
| end of epoch  17 | time:  8.17s | valid loss  4.26 | valid ppl    71.15
| end of epoch  18 | time:  8.16s | valid loss  4.26 | valid ppl    70.65
| end of epoch  19 | time:  8.16s | valid loss  4.25 | valid ppl    69.96
| end of epoch  20 | time:  8.16s | valid loss  4.26 | valid ppl    71.13
| end of epoch  21 | time:  8.15s | valid loss  4.29 | valid ppl    72.78
| end of epoch  22 | time:  8.13s | valid loss  4.25 | valid ppl    70.33
| end of epoch  23 | time:  8.16s | valid loss  4.24 | valid ppl    69.45
| end of epoch  24 | time:  8.15s | valid loss  4.26 | valid ppl    70.51
| end of epoch  25 | time:  8.13s | valid loss  4.26 | valid ppl    70.83
| end of epoch  26 | time:  8.12s | valid loss  4.28 | valid ppl    72.32
| end of epoch  27 | time:  8.17s | valid loss  4.25 | valid ppl    70.26
| end of epoch  28 | time:  8.17s | valid loss  4.26 | valid ppl    70.72
| end of epoch  29 | time:  8.14s | valid loss  4.28 | valid ppl    72.30
| end of epoch  30 | time:  8.13s | valid loss  4.24 | valid ppl    69.52
| end of epoch  31 | time:  8.13s | valid loss  4.28 | valid ppl    71.99
| end of epoch  32 | time:  8.13s | valid loss  4.24 | valid ppl    69.64
| end of epoch  33 | time:  8.13s | valid loss  4.27 | valid ppl    71.58
| end of epoch  34 | time:  8.14s | valid loss  4.25 | valid ppl    70.27
| end of epoch  35 | time:  8.13s | valid loss  4.27 | valid ppl    71.51
| end of epoch  36 | time:  8.18s | valid loss  4.26 | valid ppl    70.90
| end of epoch  37 | time:  8.15s | valid loss  4.27 | valid ppl    71.43
| end of epoch  38 | time:  8.14s | valid loss  4.28 | valid ppl    72.19
| end of epoch  39 | time:  8.13s | valid loss  4.27 | valid ppl    71.24
| end of epoch  40 | time:  8.11s | valid loss  4.26 | valid ppl    70.99
| end of epoch  41 | time:  8.12s | valid loss  4.23 | valid ppl    68.76
| end of epoch  42 | time:  8.13s | valid loss  4.26 | valid ppl    70.57
| end of epoch  43 | time:  8.14s | valid loss  4.25 | valid ppl    69.92
| end of epoch  44 | time:  8.12s | valid loss  4.25 | valid ppl    69.78
| end of epoch  45 | time:  8.15s | valid loss  4.27 | valid ppl    71.25
| end of epoch  46 | time:  8.16s | valid loss  4.27 | valid ppl    71.51
| end of epoch  47 | time:  8.12s | valid loss  4.27 | valid ppl    71.42
| end of epoch  48 | time:  8.14s | valid loss  4.26 | valid ppl    70.70
| end of epoch  49 | time:  8.14s | valid loss  4.27 | valid ppl    71.32
| end of epoch  50 | time:  8.15s | valid loss  4.26 | valid ppl    71.04
| end of epoch  51 | time:  8.16s | valid loss  4.25 | valid ppl    69.77
| end of epoch  52 | time:  8.14s | valid loss  4.28 | valid ppl    72.08
| end of epoch  53 | time:  8.16s | valid loss  4.25 | valid ppl    70.12
| end of epoch  54 | time:  8.15s | valid loss  4.26 | valid ppl    71.03
| end of epoch  55 | time:  8.16s | valid loss  4.27 | valid ppl    71.49
| end of epoch  56 | time:  8.15s | valid loss  4.27 | valid ppl    71.35
| end of epoch  57 | time:  8.14s | valid loss  4.27 | valid ppl    71.50
| end of epoch  58 | time:  8.13s | valid loss  4.26 | valid ppl    70.70
| end of epoch  59 | time:  8.09s | valid loss  4.26 | valid ppl    70.66
| end of epoch  60 | time:  8.14s | valid loss  4.26 | valid ppl    70.66
| end of epoch  61 | time:  8.11s | valid loss  4.28 | valid ppl    72.11
| end of epoch  62 | time:  8.15s | valid loss  4.27 | valid ppl    71.18
| end of epoch  63 | time:  8.16s | valid loss  4.26 | valid ppl    71.02
| end of epoch  64 | time:  8.12s | valid loss  4.26 | valid ppl    70.79
| end of epoch  65 | time:  8.12s | valid loss  4.27 | valid ppl    71.59
| end of epoch  66 | time:  8.10s | valid loss  4.26 | valid ppl    70.99
| end of epoch  67 | time:  8.12s | valid loss  4.25 | valid ppl    70.33
| end of epoch  68 | time:  8.15s | valid loss  4.28 | valid ppl    72.22
| end of epoch  69 | time:  8.14s | valid loss  4.26 | valid ppl    70.55
| end of epoch  70 | time:  8.14s | valid loss  4.26 | valid ppl    70.78
| end of epoch  71 | time:  8.16s | valid loss  4.28 | valid ppl    71.89
| end of epoch  72 | time:  8.15s | valid loss  4.25 | valid ppl    69.91
| end of epoch  73 | time:  8.15s | valid loss  4.26 | valid ppl    70.89
| end of epoch  74 | time:  8.10s | valid loss  4.26 | valid ppl    70.69
| end of epoch  75 | time:  8.08s | valid loss  4.26 | valid ppl    70.71
| end of epoch  76 | time:  8.11s | valid loss  4.26 | valid ppl    70.74
| end of epoch  77 | time:  8.16s | valid loss  4.25 | valid ppl    70.08
| end of epoch  78 | time:  8.15s | valid loss  4.25 | valid ppl    70.05
| end of epoch  79 | time:  8.13s | valid loss  4.26 | valid ppl    70.92
| end of epoch  80 | time:  8.13s | valid loss  4.28 | valid ppl    72.02
| end of epoch  81 | time:  8.08s | valid loss  4.26 | valid ppl    70.53
| end of epoch  82 | time:  8.13s | valid loss  4.27 | valid ppl    71.27
| end of epoch  83 | time:  8.14s | valid loss  4.25 | valid ppl    70.34
| end of epoch  84 | time:  8.15s | valid loss  4.25 | valid ppl    70.42
| end of epoch  85 | time:  8.13s | valid loss  4.27 | valid ppl    71.23
| end of epoch  86 | time:  8.13s | valid loss  4.25 | valid ppl    70.17
| end of epoch  87 | time:  8.13s | valid loss  4.26 | valid ppl    70.95
| end of epoch  88 | time:  8.16s | valid loss  4.25 | valid ppl    70.23
| end of epoch  89 | time:  8.09s | valid loss  4.26 | valid ppl    70.52
| end of epoch  90 | time:  8.09s | valid loss  4.24 | valid ppl    69.37
| end of epoch  91 | time:  8.14s | valid loss  4.27 | valid ppl    71.30
| end of epoch  92 | time:  8.15s | valid loss  4.26 | valid ppl    70.73
| end of epoch  93 | time:  8.14s | valid loss  4.27 | valid ppl    71.27
| end of epoch  94 | time:  8.14s | valid loss  4.27 | valid ppl    71.75
| end of epoch  95 | time:  8.11s | valid loss  4.26 | valid ppl    70.47
| end of epoch  96 | time:  8.07s | valid loss  4.26 | valid ppl    70.92
| end of epoch  97 | time:  8.10s | valid loss  4.26 | valid ppl    70.72
| end of epoch  98 | time:  8.16s | valid loss  4.27 | valid ppl    71.77
| end of epoch  99 | time:  8.14s | valid loss  4.26 | valid ppl    70.49
| end of epoch 100 | time:  8.14s | valid loss  4.25 | valid ppl    70.16
| end of epoch 101 | time:  8.14s | valid loss  4.25 | valid ppl    70.02
| end of epoch 102 | time:  8.13s | valid loss  4.24 | valid ppl    69.72
| end of epoch 103 | time:  8.09s | valid loss  4.28 | valid ppl    72.09
| end of epoch 104 | time:  8.10s | valid loss  4.27 | valid ppl    71.22
| end of epoch 105 | time:  8.16s | valid loss  4.29 | valid ppl    72.86
| end of epoch 106 | time:  8.14s | valid loss  4.28 | valid ppl    71.93
| end of epoch 107 | time:  8.14s | valid loss  4.25 | valid ppl    70.10
| end of epoch 108 | time:  8.15s | valid loss  4.25 | valid ppl    69.79
| end of epoch 109 | time:  8.13s | valid loss  4.24 | valid ppl    69.40
| end of epoch 110 | time:  8.10s | valid loss  4.26 | valid ppl    70.63
| end of epoch 111 | time:  8.08s | valid loss  4.25 | valid ppl    70.37
| end of epoch 112 | time:  8.14s | valid loss  4.26 | valid ppl    70.99
| end of epoch 113 | time:  8.16s | valid loss  4.26 | valid ppl    70.61
| end of epoch 114 | time:  8.15s | valid loss  4.27 | valid ppl    71.54
| end of epoch 115 | time:  8.13s | valid loss  4.26 | valid ppl    70.53
| end of epoch 116 | time:  8.13s | valid loss  4.29 | valid ppl    73.21
| end of epoch 117 | time:  8.10s | valid loss  4.25 | valid ppl    70.45
| end of epoch 118 | time:  8.16s | valid loss  4.27 | valid ppl    71.71
| end of epoch 119 | time:  8.14s | valid loss  4.24 | valid ppl    69.43
| end of epoch 120 | time:  8.15s | valid loss  4.28 | valid ppl    72.04
| end of epoch 121 | time:  8.13s | valid loss  4.26 | valid ppl    70.74
| end of epoch 122 | time:  8.15s | valid loss  4.25 | valid ppl    70.03
| end of epoch 123 | time:  8.15s | valid loss  4.28 | valid ppl    72.22
| end of epoch 124 | time:  8.08s | valid loss  4.24 | valid ppl    69.17
| end of epoch 125 | time:  8.09s | valid loss  4.27 | valid ppl    71.23
| end of epoch 126 | time:  8.13s | valid loss  4.26 | valid ppl    71.03
| end of epoch 127 | time:  8.16s | valid loss  4.28 | valid ppl    72.30
| end of epoch 128 | time:  8.16s | valid loss  4.27 | valid ppl    71.37
| end of epoch 129 | time:  8.15s | valid loss  4.27 | valid ppl    71.58
| end of epoch 130 | time:  8.12s | valid loss  4.26 | valid ppl    70.52
| end of epoch 131 | time:  8.06s | valid loss  4.27 | valid ppl    71.51
| end of epoch 132 | time:  8.12s | valid loss  4.26 | valid ppl    71.02
| end of epoch 133 | time:  8.14s | valid loss  4.26 | valid ppl    70.87
| end of epoch 134 | time:  8.13s | valid loss  4.26 | valid ppl    70.74
| end of epoch 135 | time:  8.14s | valid loss  4.27 | valid ppl    71.64
| end of epoch 136 | time:  8.14s | valid loss  4.23 | valid ppl    68.82
| end of epoch 137 | time:  8.14s | valid loss  4.26 | valid ppl    70.93
| end of epoch 138 | time:  8.13s | valid loss  4.26 | valid ppl    70.94
| end of epoch 139 | time:  8.10s | valid loss  4.26 | valid ppl    71.11
| end of epoch 140 | time:  8.10s | valid loss  4.26 | valid ppl    70.56
| end of epoch 141 | time:  8.12s | valid loss  4.28 | valid ppl    72.02
| end of epoch 142 | time:  8.12s | valid loss  4.26 | valid ppl    70.94
| end of epoch 143 | time:  8.13s | valid loss  4.24 | valid ppl    69.66
| end of epoch 144 | time:  8.11s | valid loss  4.25 | valid ppl    70.15
| end of epoch 145 | time:  8.10s | valid loss  4.26 | valid ppl    70.90
| end of epoch 146 | time:  8.09s | valid loss  4.25 | valid ppl    70.28
| end of epoch 147 | time:  8.07s | valid loss  4.27 | valid ppl    71.30
| end of epoch 148 | time:  8.09s | valid loss  4.29 | valid ppl    72.75
| end of epoch 149 | time:  8.11s | valid loss  4.27 | valid ppl    71.78
| end of epoch 150 | time:  8.13s | valid loss  4.24 | valid ppl    69.48
| end of epoch 151 | time:  8.15s | valid loss  4.26 | valid ppl    70.65
| end of epoch 152 | time:  8.10s | valid loss  4.27 | valid ppl    71.35
| end of epoch 153 | time:  8.08s | valid loss  4.26 | valid ppl    70.83
| end of epoch 154 | time:  8.10s | valid loss  4.28 | valid ppl    72.58
| end of epoch 155 | time:  8.11s | valid loss  4.25 | valid ppl    70.24
| end of epoch 156 | time:  8.13s | valid loss  4.25 | valid ppl    70.42
| end of epoch 157 | time:  8.14s | valid loss  4.26 | valid ppl    71.03
| end of epoch 158 | time:  8.15s | valid loss  4.26 | valid ppl    70.61
| end of epoch 159 | time:  8.12s | valid loss  4.26 | valid ppl    70.85
| end of epoch 160 | time:  8.11s | valid loss  4.26 | valid ppl    70.63
| end of epoch 161 | time:  8.11s | valid loss  4.26 | valid ppl    70.91
| end of epoch 162 | time:  8.16s | valid loss  4.27 | valid ppl    71.86
| end of epoch 163 | time:  8.14s | valid loss  4.26 | valid ppl    70.98
| end of epoch 164 | time:  8.15s | valid loss  4.25 | valid ppl    69.77
| end of epoch 165 | time:  8.14s | valid loss  4.26 | valid ppl    70.53
| end of epoch 166 | time:  8.10s | valid loss  4.25 | valid ppl    69.94
| end of epoch 167 | time:  8.14s | valid loss  4.26 | valid ppl    70.92
| end of epoch 168 | time:  8.09s | valid loss  4.27 | valid ppl    71.29
| end of epoch 169 | time:  8.08s | valid loss  4.27 | valid ppl    71.48
| end of epoch 170 | time:  8.09s | valid loss  4.25 | valid ppl    70.32
| end of epoch 171 | time:  8.14s | valid loss  4.26 | valid ppl    70.85
| end of epoch 172 | time:  8.15s | valid loss  4.25 | valid ppl    69.98
| end of epoch 173 | time:  8.12s | valid loss  4.26 | valid ppl    71.16
| end of epoch 174 | time:  8.08s | valid loss  4.25 | valid ppl    70.33
| end of epoch 175 | time:  8.10s | valid loss  4.25 | valid ppl    70.33
| end of epoch 176 | time:  8.11s | valid loss  4.26 | valid ppl    70.93
| end of epoch 177 | time:  8.13s | valid loss  4.25 | valid ppl    70.16
| end of epoch 178 | time:  8.12s | valid loss  4.25 | valid ppl    69.81
| end of epoch 179 | time:  8.14s | valid loss  4.28 | valid ppl    71.96
| end of epoch 180 | time:  8.10s | valid loss  4.25 | valid ppl    70.00
| end of epoch 181 | time:  8.09s | valid loss  4.26 | valid ppl    71.07
| end of epoch 182 | time:  8.14s | valid loss  4.29 | valid ppl    73.04
| end of epoch 183 | time:  8.11s | valid loss  4.28 | valid ppl    71.99
| end of epoch 184 | time:  8.12s | valid loss  4.26 | valid ppl    71.02
| end of epoch 185 | time:  8.11s | valid loss  4.26 | valid ppl    71.11
| end of epoch 186 | time:  8.15s | valid loss  4.26 | valid ppl    70.81
| end of epoch 187 | time:  8.15s | valid loss  4.26 | valid ppl    70.59
| end of epoch 188 | time:  8.13s | valid loss  4.25 | valid ppl    70.45
