| end of epoch   1 | time: 511.14s | valid loss  8.43 | valid ppl  4578.24\
| end of epoch   2 | time: 505.31s | valid loss  7.53 | valid ppl  1864.86\
| end of epoch   3 | time: 503.10s | valid loss  6.29 | valid ppl   540.73\
| end of epoch   4 | time: 502.62s | valid loss  5.57 | valid ppl   263.15\
| end of epoch   5 | time: 502.81s | valid loss  5.27 | valid ppl   194.58\
| end of epoch   6 | time: 502.03s | valid loss  5.09 | valid ppl   161.73\
| end of epoch   7 | time: 502.68s | valid loss  4.95 | valid ppl   141.02\
| end of epoch   8 | time: 504.00s | valid loss  4.87 | valid ppl   130.85\
| end of epoch   9 | time: 503.14s | valid loss  4.79 | valid ppl   120.10\
| end of epoch  10 | time: 502.20s | valid loss  4.74 | valid ppl   114.70\
| end of epoch  11 | time: 503.33s | valid loss  4.71 | valid ppl   111.10\
| end of epoch  12 | time: 501.81s | valid loss  4.67 | valid ppl   106.90\
| end of epoch  13 | time: 502.83s | valid loss  4.63 | valid ppl   102.22\
| end of epoch  14 | time: 502.61s | valid loss  4.61 | valid ppl   100.02\
| end of epoch  15 | time: 503.10s | valid loss  4.61 | valid ppl   100.20\
| end of epoch  16 | time: 502.61s | valid loss  4.56 | valid ppl    95.89\
| end of epoch  17 | time: 505.18s | valid loss  4.57 | valid ppl    96.21\
| end of epoch  18 | time: 507.41s | valid loss  4.58 | valid ppl    97.66\
| end of epoch  19 | time: 502.68s | valid loss  4.57 | valid ppl    96.84\
| end of epoch  20 | time: 502.69s | valid loss  4.56 | valid ppl    95.14\
| end of epoch  21 | time: 502.99s | valid loss  4.55 | valid ppl    94.95\
| end of epoch  22 | time: 502.53s | valid loss  4.57 | valid ppl    96.52\
| end of epoch  23 | time: 503.97s | valid loss  4.58 | valid ppl    97.06\
| end of epoch  24 | time: 502.49s | valid loss  4.59 | valid ppl    98.84\
| end of epoch  25 | time: 502.47s | valid loss  4.58 | valid ppl    97.89\
| end of epoch  26 | time: 502.68s | valid loss  4.57 | valid ppl    96.77\
| end of epoch  27 | time: 503.04s | valid loss  4.56 | valid ppl    95.23\
| end of epoch  28 | time: 503.38s | valid loss  4.56 | valid ppl    95.92\
| end of epoch  29 | time: 503.73s | valid loss  4.57 | valid ppl    96.32\
| end of epoch  30 | time: 502.61s | valid loss  4.57 | valid ppl    96.73\
| end of epoch  31 | time: 502.19s | valid loss  4.55 | valid ppl    94.58\
| end of epoch  32 | time: 502.75s | valid loss  4.57 | valid ppl    96.16\
| end of epoch  33 | time: 502.98s | valid loss  4.56 | valid ppl    95.61\
| end of epoch  34 | time: 503.23s | valid loss  4.56 | valid ppl    96.00\
| end of epoch  35 | time: 502.73s | valid loss  4.57 | valid ppl    96.78\
| end of epoch  36 | time: 502.68s | valid loss  4.59 | valid ppl    98.16\
| end of epoch  37 | time: 502.47s | valid loss  4.58 | valid ppl    97.10\
| end of epoch  38 | time: 503.25s | valid loss  4.59 | valid ppl    98.38\
| end of epoch  39 | time: 503.44s | valid loss  4.56 | valid ppl    95.18\
| end of epoch  40 | time: 501.46s | valid loss  4.59 | valid ppl    98.38\
