| end of epoch   1 | time:  8.92s | valid loss  7.21 | valid ppl  1353.11
| end of epoch   2 | time:  8.79s | valid loss  7.51 | valid ppl  1817.94
| end of epoch   3 | time:  8.86s | valid loss  5.74 | valid ppl   312.43
| end of epoch   4 | time:  8.90s | valid loss  5.47 | valid ppl   237.72
| end of epoch   5 | time:  8.92s | valid loss  5.57 | valid ppl   261.94
| end of epoch   6 | time:  8.97s | valid loss  4.72 | valid ppl   112.53
| end of epoch   7 | time:  8.92s | valid loss  4.81 | valid ppl   123.08
| end of epoch   8 | time:  8.92s | valid loss  4.76 | valid ppl   116.53
| end of epoch   9 | time:  8.91s | valid loss  4.68 | valid ppl   107.73
| end of epoch  10 | time:  8.93s | valid loss  4.73 | valid ppl   113.02
| end of epoch  11 | time:  8.92s | valid loss  4.69 | valid ppl   108.64
| end of epoch  12 | time:  8.92s | valid loss  4.67 | valid ppl   106.86
| end of epoch  13 | time:  8.93s | valid loss  4.62 | valid ppl   101.02
| end of epoch  14 | time:  8.91s | valid loss  4.73 | valid ppl   113.26
| end of epoch  15 | time:  8.88s | valid loss  4.66 | valid ppl   105.70
| end of epoch  16 | time:  8.91s | valid loss  4.63 | valid ppl   102.33
| end of epoch  17 | time:  8.91s | valid loss  4.65 | valid ppl   104.56
| end of epoch  18 | time:  8.92s | valid loss  4.63 | valid ppl   102.17
| end of epoch  19 | time:  8.92s | valid loss  4.67 | valid ppl   106.68
| end of epoch  20 | time:  8.92s | valid loss  4.65 | valid ppl   104.51
| end of epoch  21 | time:  8.92s | valid loss  4.60 | valid ppl    99.81
| end of epoch  22 | time:  8.93s | valid loss  4.60 | valid ppl    99.31
| end of epoch  23 | time:  8.93s | valid loss  4.62 | valid ppl   101.12
| end of epoch  24 | time:  8.92s | valid loss  4.62 | valid ppl   101.03
| end of epoch  25 | time:  8.91s | valid loss  4.56 | valid ppl    95.25
| end of epoch  26 | time:  8.92s | valid loss  4.55 | valid ppl    94.26
| end of epoch  27 | time:  8.90s | valid loss  4.53 | valid ppl    92.81
| end of epoch  28 | time:  8.89s | valid loss  4.60 | valid ppl    99.42
| end of epoch  29 | time:  8.88s | valid loss  4.68 | valid ppl   108.30
| end of epoch  30 | time:  8.90s | valid loss  4.67 | valid ppl   106.71
| end of epoch  31 | time:  8.88s | valid loss  4.60 | valid ppl    99.17
| end of epoch  32 | time:  8.90s | valid loss  4.53 | valid ppl    92.86
| end of epoch  33 | time:  8.92s | valid loss  4.57 | valid ppl    96.12
| end of epoch  34 | time:  8.90s | valid loss  4.48 | valid ppl    88.53
| end of epoch  35 | time:  8.88s | valid loss  4.58 | valid ppl    97.57
| end of epoch  36 | time:  8.89s | valid loss  4.52 | valid ppl    91.53
| end of epoch  37 | time:  8.87s | valid loss  4.63 | valid ppl   102.12
| end of epoch  38 | time:  8.89s | valid loss  4.53 | valid ppl    92.48
| end of epoch  39 | time:  8.92s | valid loss  4.51 | valid ppl    90.70
| end of epoch  40 | time:  8.90s | valid loss  4.47 | valid ppl    87.75
| end of epoch  41 | time:  8.89s | valid loss  4.64 | valid ppl   103.84
| end of epoch  42 | time:  8.87s | valid loss  4.54 | valid ppl    93.94
| end of epoch  43 | time:  8.90s | valid loss  4.61 | valid ppl   100.07
| end of epoch  44 | time:  8.90s | valid loss  4.53 | valid ppl    92.91
| end of epoch  45 | time:  8.87s | valid loss  4.58 | valid ppl    97.50
| end of epoch  46 | time:  8.88s | valid loss  4.57 | valid ppl    96.69
| end of epoch  47 | time:  8.88s | valid loss  4.65 | valid ppl   104.43
| end of epoch  48 | time:  8.85s | valid loss  4.51 | valid ppl    90.91
| end of epoch  49 | time:  8.90s | valid loss  4.53 | valid ppl    93.20
| end of epoch  50 | time:  8.87s | valid loss  4.46 | valid ppl    86.55
| end of epoch  51 | time:  8.87s | valid loss  4.48 | valid ppl    88.15
| end of epoch  52 | time:  8.88s | valid loss  4.55 | valid ppl    94.24
| end of epoch  53 | time:  8.88s | valid loss  4.56 | valid ppl    96.04
| end of epoch  54 | time:  8.89s | valid loss  4.54 | valid ppl    93.59
| end of epoch  55 | time:  8.87s | valid loss  4.55 | valid ppl    94.67
| end of epoch  56 | time:  8.87s | valid loss  4.50 | valid ppl    90.26
| end of epoch  57 | time:  8.89s | valid loss  4.48 | valid ppl    88.32
| end of epoch  58 | time:  8.92s | valid loss  4.57 | valid ppl    96.68
| end of epoch  59 | time:  8.91s | valid loss  4.56 | valid ppl    95.62
| end of epoch  60 | time:  8.87s | valid loss  4.52 | valid ppl    92.11
| end of epoch  61 | time:  8.84s | valid loss  4.53 | valid ppl    92.74
| end of epoch  62 | time:  8.85s | valid loss  4.48 | valid ppl    88.24
| end of epoch  63 | time:  8.89s | valid loss  4.50 | valid ppl    89.75
| end of epoch  64 | time:  8.87s | valid loss  4.52 | valid ppl    92.10
| end of epoch  65 | time:  8.88s | valid loss  4.51 | valid ppl    91.06
| end of epoch  66 | time:  8.88s | valid loss  4.47 | valid ppl    87.36
| end of epoch  67 | time:  8.88s | valid loss  4.49 | valid ppl    89.25
| end of epoch  68 | time:  8.86s | valid loss  4.51 | valid ppl    90.94
| end of epoch  69 | time:  8.89s | valid loss  4.53 | valid ppl    93.08
| end of epoch  70 | time:  8.88s | valid loss  4.58 | valid ppl    97.97
| end of epoch  71 | time:  8.89s | valid loss  4.59 | valid ppl    98.64
| end of epoch  72 | time:  8.89s | valid loss  4.54 | valid ppl    93.71
| end of epoch  73 | time:  8.91s | valid loss  4.59 | valid ppl    98.74
| end of epoch  74 | time:  8.87s | valid loss  4.56 | valid ppl    95.22
| end of epoch  75 | time:  8.88s | valid loss  4.59 | valid ppl    98.67
| end of epoch  76 | time:  8.91s | valid loss  4.55 | valid ppl    94.32
| end of epoch  77 | time:  8.90s | valid loss  4.49 | valid ppl    88.86
| end of epoch  78 | time:  8.86s | valid loss  4.52 | valid ppl    92.14
| end of epoch  79 | time:  8.87s | valid loss  4.53 | valid ppl    93.20
| end of epoch  80 | time:  8.88s | valid loss  4.62 | valid ppl   101.73
| end of epoch  81 | time:  8.91s | valid loss  4.56 | valid ppl    95.49
