| end of epoch   1 | time:  8.01s | valid loss 40.61 | valid ppl 433707591130021504.00
| end of epoch   2 | time:  7.89s | valid loss 22.32 | valid ppl 4934520151.91
| end of epoch   3 | time:  7.91s | valid loss 24.30 | valid ppl 35834492181.07
| end of epoch   4 | time:  7.96s | valid loss 18.22 | valid ppl 81528071.71
| end of epoch   5 | time:  8.00s | valid loss 20.41 | valid ppl 729813907.73
| end of epoch   6 | time:  8.01s | valid loss 28.57 | valid ppl 2560585180904.79
| end of epoch   7 | time:  8.02s | valid loss 15.11 | valid ppl 3665085.64
| end of epoch   8 | time:  8.00s | valid loss 14.07 | valid ppl 1284261.17
| end of epoch   9 | time:  8.00s | valid loss 13.70 | valid ppl 887606.82
| end of epoch  10 | time:  7.99s | valid loss 12.91 | valid ppl 404138.40
| end of epoch  11 | time:  8.04s | valid loss 11.75 | valid ppl 127085.66
| end of epoch  12 | time:  7.97s | valid loss 18.33 | valid ppl 90974240.82
| end of epoch  13 | time:  7.99s | valid loss 13.59 | valid ppl 797384.55
| end of epoch  14 | time:  8.03s | valid loss 31.01 | valid ppl 29472952595655.19
| end of epoch  15 | time:  8.03s | valid loss 13.73 | valid ppl 918477.12
| end of epoch  16 | time:  8.02s | valid loss 14.90 | valid ppl 2953638.54
| end of epoch  17 | time:  8.02s | valid loss 14.64 | valid ppl 2281300.19
| end of epoch  18 | time:  7.96s | valid loss 16.44 | valid ppl 13828752.19
| end of epoch  19 | time:  7.97s | valid loss 17.63 | valid ppl 45400949.42
| end of epoch  20 | time:  8.03s | valid loss 17.38 | valid ppl 35150279.46
| end of epoch  21 | time:  8.03s | valid loss 33.40 | valid ppl 319845060545064.12
| end of epoch  22 | time:  8.01s | valid loss 14.95 | valid ppl 3112700.65
| end of epoch  23 | time:  8.01s | valid loss 14.00 | valid ppl 1203696.92
| end of epoch  24 | time:  8.01s | valid loss 14.83 | valid ppl 2762717.46
| end of epoch  25 | time:  7.98s | valid loss 12.72 | valid ppl 334648.30
| end of epoch  26 | time:  7.92s | valid loss 11.45 | valid ppl 94085.65
| end of epoch  27 | time:  8.02s | valid loss 20.89 | valid ppl 1187201118.30
| end of epoch  28 | time:  8.04s | valid loss 12.20 | valid ppl 197985.79
| end of epoch  29 | time:  7.98s | valid loss 13.80 | valid ppl 979901.04
| end of epoch  30 | time:  8.01s | valid loss 12.61 | valid ppl 299150.09
| end of epoch  31 | time:  7.99s | valid loss 12.08 | valid ppl 175888.21
| end of epoch  32 | time:  7.96s | valid loss 13.53 | valid ppl 749285.65
| end of epoch  33 | time:  7.95s | valid loss 19.24 | valid ppl 226326114.49
| end of epoch  34 | time:  7.98s | valid loss 15.75 | valid ppl 6900936.63
