seed_text(prime_text),generated _text,perplexity,,
,"best rates or refund + $50 coupon. book your hotel in singapore today!
",40.63790608,,
,"best rates or refund + $50 coupon. save on hotels in benida, italy.
",31.5453149,,
,"book at the santa barca hotel, london. no reservation costs. great rates.
",35.14226512,,
,"book at the staning hotel, tokyo. no reservation costs. great rates.
",30.96077533,,
,"book your hotel in barcelona online. no reservation costs. great rates
",23.85398382,,
,"book a b&b in stanbury online. no reservation costs. great rates.
",28.43178931,,
,"book at the beach hotel, lisbon
",53.6739579,,
,"book at the starlin house hotel, london. no reservation costs. great rates.
",37.63164173,,
,"book at head royal hotel & suites, milan. no reservation costs. great rates.
",63.3282963,,
,"book at the belfast inn, new york. no reservation costs. great rates.
",56.69761191,,
,"save with expedia's price guarantee. save on hotels in bellard, mi.
",42.43047187,,
,"best rates on hotel de la playa playa del carmen. plan your next trip with expedia.
",127.1828052,,
,"book your hotel in santa caria online. no reservation costs. great rates.
",32.10115633,,
,"book your hotel in san francisco online. no reservation costs. great rates.
",45.85021214,,
,"book your hotel in bellavie wa online. no reservation costs. great rates.
",35.75417685,,
,"book your hotel in san francisco online. no reservation costs. great rates.
",45.85021214,,
,"book a b&b in barcelona online. no reservation costs. great rates.
",36.39891108,,
,"best rates or refund + $50 coupon. book your hotel in saint-martin co on expedia
",39.83246549,,
,"the bangkak hotel in bangkok, near marina and fall-service spa.
",62.84203308,,
,"best rates or refund + $50 coupon. book your hotel in san juan indine today!
",50.10622069,,
,"book a hotel near state centre, san francisco. get instant confirmation.
",127.0841413,,
,"book your hotel in san francisco ca online. no reservation costs. great rates.
",51.88524397,,
,"book at the barcelona, manchester. no reservation costs. great rates.
",27.53550277,,
,"book a hotel near state cardiff. save up to 50% on your reservation.
",52.38180026,,
,"book at the lancaster hatel, london. no reservation costs. great rates.
",47.48631686,,
,"best rates or refund + $50 coupon. save on hotels in barchangtow, ma.
",31.5453149,,
,"book your hotel in barcelona online. no reservation costs. great rates.
",35.90983426,,
,"book a hotel near haka ant save up to 50% on your reservation.
",41.86418795,,
,"best rates or refund + $50 coupon. book your hotel in bangkok today!
",38.14470034,,
,"best rates or refund + $50 coupon. save on hotels in belling, india.
",31.5453149,,
,"best rates or refund + $50 coupon. book your halifar hotel today!
",38.24721908,,
,"best rates or refund + $50 coupon. save on hotels in belfick, mi.
",31.5453149,,
,"more choices, best prices, trusted. save on hotels in santa cana, mi.
",47.85874211,,
,"book at the lakes hotel, london. no reservation costs. great rates.
",43.75016036,,
,"book at hotel santa carina beach resort. no reservation costs. great rates.
",36.9277135,,
,"book at the starlington hotel, london. no reservation costs. great rates.
",30.96077533,,
