seed_text(prime_text),generated _text,perplexity,random,
,"experience 50+ live & on demand channels + hulus huge streaming library. enhanced cloud dvr. all-new tv experience. no hidden fees. 50+ top channels. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.
",98.34602905,0.616458621,
,"current hbo episodes, past seasons and hit movies. add hbo on hulu now. hbo. prices starting at $7.99. live tv. showtime. all your tv in one place. unlimited streaming. 50+ live tv channels. hit movies. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.
",66.47402691,0.865258703,
,"stream seasons 1 - 6 of nashlille on hulu. sign up for 30 days free today! hit movies. live tv. unlimited streaming. hbo. showtime. all your tv in one place. prices starting at $7.99. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.
",80.76326534,0.36172293,
,"weleve your favorite tv moments that dada you laugh and cry. only on hulu! unlimited streaming. hbo. showtime. hit movies. prices starting at $7.99. 50+ live tv channels. all your tv in one place. hbo. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.
",84.26124052,0.497824031,
,"a tv experience like no other. discover hulu's collection of movies & shows! all your tv in one place. 50+ live tv channels. unlimited streaming. showtime. 30 day free trial. hit movies. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice.
",74.81897523,0.442977998,
,"cut your cable & enjoy a better live tv experience with hulu. hassle-free tv. enhanced cloud dvr. watch live tv & sports. all-new tv experience. 50+ top channels. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.
",100.4781486,0.575020988,
,"current hbo episodes, past seasons and hit movies. add hbo on hulu now. showtime. hbo. prices starting at $7.99.
",92.89096182,0.812866917,
,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 50+ top channels. no hidden fees. 7 day free trial. hassle-free tv. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports.
",105.6075302,0.540614835,
,"watch showtime's taries on hulu with live tv.
",70.44966539,0.803053553,
,"all your tv together in one place. choose the plan for you and try 30 days free! hbo. showtime. unlimited streaming. 30 day free trial. all your tv in one place. hbo. 50+ live tv channels. live tv. current episodes next day. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice.
",77.47668205,0.830933282,
,"enjoy all your favorite fox sports coverage live on hulu. start free trial! no hidden fees. 50+ top channels. all-new tv experience. no hidden fees. hassle-free tv. no hidden fees. live sports. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.
",81.10518799,0.627901873,
,"enjoy your favorite fox shows live on hulu. start your free trial now! watch live tv & sports. 50+ top channels. no hidden fees. 7 day free trial. enhanced cloud dvr. all-new tv experience. no hidden fees. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.
",73.32100014,0.201048869,
,"catch up with the latest episodes. sign up today for your hulu free trial! showtime. hbo. prices starting at $7.99. unlimited streaming. hit movies. all your tv in one place. 50+ live tv channels. live tv. shows: grey's anatomy, rick and morty, this is us, empire.
",63.63933041,0.91992672,
,"start your 30 day trial and watch great exclusives and originals only on hulu! live tv. showtime. hbo. 50+ live tv channels. all your tv in one place. hit movies. unlimited streaming. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire.
",63.11538592,0.678419004,
,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv. nhl. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.
",80.3233348,0.6727993,
,"enjoy all your favorite fsx sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv. enhanced cloud dvr. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.
",85.04764807,0.760497278,
,"live tv & streaming in one place with hulu. start your free trial today! enhanced cloud dvr. 50+ top channels. hassle-free tv. 7 day free trial. no hidden fees. watch live tv & sports. brands: hbo, fs1, cbs, fx, cnn international.
",67.32922006,0.841188998,
,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 50+ top channels. hassle-free tv. 7 day free trial. no hidden fees. watch live tv & sports. brands: hbo, fs1, cbs, fx, cnn international.
",101.0281201,0.734180507,
,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. 50+ top channels. hassle-free tv. enhanced cloud dvr. no hidden fees. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.
",78.64760285,0.965720022,
,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hit movies. prices starting at $7.99. unlimited streaming. all your tv in one place. showtime. 50+ live tv channels. hbo. shows: grey's anatomy, rick and morty, this is us, empire.
",70.1806456,0.833069688,
,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. nhl. no hidden fees. 50+ top channels.
",71.76811453,0.757025104,
,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 7 day free trial. watch live tv & sports. 50+ top channels. no hidden fees. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.
",105.675446,0.187963508,
,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 50+ top channels. hassle-free tv. watch live tv & sports. no hidden fees. 7 day free trial.
",107.5142408,0.747350374,
,"cut your cable & enjoy a better live tv experience with hulu. 50+ top channels. hassle-free tv. enhanced cloud dvr. watch live tv & sports. 7 day free trial. all-new tv experience. no hidden fees. brands: hbo, fs1, cbs, fx, cnn international.
",97.76737914,0.045270473,
,"enjoy all your favorite fo1 sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. 50+ top channels.
",67.58712668,0.520968861,
,"stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! unlimited streaming. hit movies. live tv. showtime. all your tv in one place. 50+ live tv channels. hbo. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice.
",87.07865348,0.587161623,
,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 50+ top channels. hassle-free tv. 7 day free trial. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.
",107.0890479,0.917899547,
,"experience 50+ live & on demand channels + hulus huge streaming library. watch live tv & sports. 50+ top channels. no hidden fees. all-new tv experience. no hidden fees. watch live tv & sports. enhanced cloud dvr. hassle-free tv. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.
",87.62429518,0.424954293,
,"start your 30 day trial and watch great exclusives and originals only on hulu! live tv. showtime. all your tv in one place. unlimited streaming. hbo. 50+ live tv channels. prices starting at $7.99. hit movies. shows: grey's anatomy, rick and morty, this is us,
",62.47320734,0.034997681,
,"watch the best of food network & hgtv now on hulu. try a 30 day free trial! hbo. unlimited streaming. showtime. hit movies. 50+ live tv channels. all your tv in one place. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice.
",84.47137888,0.418988035,
,"stream season 7 or binge from the beginning. start your free trial today! hit movies. live tv. 50+ live tv channels. unlimited streaming. prices starting at $7.99. showtime. hbo. all your tv in one place. shows: grey's anatomy, rick and morty, this is us, empire, the voice.
",64.00554616,0.647807395,
,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. showtime. hit movies. all your tv in one place. prices starting at $7.99. 50+ live tv channels. unlimited streaming. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power.
",71.08588571,0.197051956,
,"enjoy your favorite fx shows live on hulu. start your free trial now! enhanced cloud dvr. 50+ top channels. hassle-free tv. 7 day free trial. watch live tv & sports. brands: fox, cbs, nbc, fx, tnt, tbs, hgtv, freeform.
",70.88663156,0.223076193,
,"cut your cable & enjoy a better live tv experience with hulu. 50+ top channels. hassle-free tv. nhl. all-new tv experience. no hidden fees. watch live tv & sports. enhanced cloud dvr. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.
",95.66564611,0.661001261,
,"cut your cable & enjoy a better live tv experience with hulu. 50+ top channels. no hidden fees. watch live tv & sports. all-new tv experience. hassle-free tv. enhanced cloud dvr. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.
",95.57149173,0.429122821,
