seed_text(prime_text),generated _text,perplexity,random,
,"book your hotel in belfast online. no reservation costs. great rates.
",47.23018595,0.231676623,
,"book at the beach hotel, lisbon
",53.6739579,0.315059287,
,"best rates or refund + $50 coupon. save big on hotels in san juse.
",37.39001597,0.433380102,
,"save on your hotel in dallas, tn and.
",50.9058234,0.764284885,
,"best rates on hall palace hotel & suites. plan your next trip with expedia.
",81.82399458,0.446306169,
,"book at the starlington hotel, london. no reservation costs. great rates.
",30.96077533,0.390981681,
,"book your hotel in bata online. no reservation costs. great rates.
",28.04976334,0.677466729,
,"book your hotel in bellin mi online. no reservation costs. great rates.
",43.38675819,0.369915528,
,"book your hotel in barcelona online. no reservation costs. great rates.
",35.90983426,0.248067403,
,"book at the lanch hotel and spa, killirn. no reservation costs. great rates.
",30.12526457,0.686615083,
,"book a hotel near mintic square. save up to 50% on your reservation.
",41.86418795,0.97638427,
,"book at the stanion hotel, tel aviv. no reservation costs. great rates.
",49.10236442,0.016478408,
,"book your hotel in berlin, ma online. no reservation costs. great rates.
",36.51511936,0.629445274,
,"book at hotel saint petic barcelona. no reservation costs. great rates.
",45.54576405,0.497030264,
,"book a hotel near station stadion. save up to 50% on your reservation.
",50.71103605,0.37589638,
,"best rates on the san fronticon play your next trip with expedia.
",48.56263548,0.464517126,
,"best rates on hotel de la playa playa del carmen. plan your next trip with expedia.
",127.1828052,0.508424103,
,"book at the lending inn, new orleans. no reservation costs. great rates.
",35.16671896,0.451096251,
,"book at the bella hotel, turket. no reservation costs. great rates.
",54.13575342,0.760852809,
,"book at hotel elee resort, miami beach. no reservation costs. great rates.
",42.2187324,0.246583693,
,"best rates or refund + $50 coupon. book your hotel in barcelona, ireland hotel today!
",42.15660727,0.508327539,
,"best rates or refund + $50 coupon. save on motels in sala beach, fl.
",45.54127319,0.12270759,
,"book your hotel in seaside ca online. no reservation costs. great rates.
",48.39934151,0.218787341,
,"book your hotel in san francicco online. no reservation costs. great rates.
",35.08391913,0.71874717,
,"book your hotel in bermington ny online. no reservation costs. great rates.
",42.40784599,0.244886895,
,"book at the stratton hotel, new york. no reservation costs. great rates.
",35.16671896,0.954576356,
,"best rates or refund + $50 coupon. save on hotels in banff, irada.
",31.5453149,0.530738307,
,"best rates on the sentia hotel. plan your next trip with expedia.
",43.39352698,0.484160368,
,"best price guarantee! best rates or refund + $50 coupon. save on hotels in san francisco, ca.
",41.95574827,0.517686433,
,"book a hotel near haka and save up to 50%. save on hotels in miami beach, fl.
",41.33472079,0.834680759,
,"book at the bangkok hotel, tokyo. no reservation costs. great rates.
",38.14615617,0.710555428,
,"book at hotel el carmel beach, marrakech. no reservation costs. great rates.
",66.20935099,0.382006068,
,"book your hotel in surat online. no reservation costs. great rates.
",26.41035701,0.496204539,
,"book at hotel san diego south paris, malan. no reservation costs. great rates
",41.08207353,0.410945938,
,"book at the barcelona hotel, lincon. no reservation costs. great rates.
",39.63656652,0.449464706,
,"book at the san antonio resort, cancun. no reservation costs. great rates.
",53.44576894,0.452170273,
,"book at the strict hotel, london. no reservation costs. great rates.
",30.96077533,0.551064262,
,"best rates or refund + $50 coupon. save big on hotels in san jose.
",37.39001597,0.729712947,
,"book a hotel near six flags center. save up to 50% on your reservation.
",82.77446113,0.970212507,
,"book your hotel in barcelona online. no reservation costs. great rates.
",35.90983426,0.35620103,
,"best rates on the santa cara resort. plan your next trip with expedia.
",47.52616736,0.026544196,
,"best rates or refund + $50 coupon. book your south beach hotel today!
",41.11243781,0.588515456,
,"book at the starlin hotel & suites, milan. no reservation costs. great rates.
",34.95559621,0.916449106,
,"book at the santia hotel, miami. no reservation costs. great rates.
",30.96077533,0.88778485,
,"save with expedia's price guarantee. save on hotels in barcelona, mi.
",42.43047187,0.102431171,
,"book at the lancaster, milan. no reservation costs. great rates.
",27.53550277,0.815568089,
,"book a hotel near harbor stadium, saint pori. save up to 50% on your reservation.
",78.72472677,0.73280316,
,"book at the strattor hotel, north beach. no reservation costs. great rates.
",44.06766431,0.985851431,
