original_title,generated _text,original_desc,perplexity,
['book darts at amazon.com']," tett on amazon

free shipping on qale free shipping on qale free shipping on qale free shipping on ",['buy book darts at amazon! free shipping on qualified orders.'],7.389859174,
['books on inventions - official site'],"es  free shipping on qualified orde shipping on qualifis oe the books.
buy book stand at amazon stud","['browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.']",39.35268814,
['pink composition notebook']," free shipping on quotective free 2-day shipping with amazon
student.
buy book shelf for $ $2..9 top","['shop for office supplies on amazon. compare by price, type &amp; brand.', 'shop for office supplies on amazon. compare by price, type &amp; brand.', 'shop for office supplies on amazon. compare by price, type &amp; brand.']",40.44739799,
['boy baby book at amazon - official site'],"es free shipping on qualified orders on amazon
buy book of serapbook at amazon student.
buy book sta",['buy boy baby book at amazon. free shipping on qualified orders.'],19.54467626,
['bell hooks books - free 2-day shipping w/ amazon prime'],"
buy book stand at amazon! free shipping on qualified orders.
buy book stand at amazon! free shippin",['low prices on millions of books'],28.4541462,
['shop scrapbooks for friends - free 2-day shipping w/ prime']," thipping on qualified order your books on amazon
buy book of serapbook at amazon! free shipping on ","['find deals on scrapbooks for friends in scrapbooking on amazon.', 'find deals on scrapbooks for friends in scrapbooking on amazon.', 'find deals on scrapbooks for friends in scrapbooking on amazon.', 'find deals on scrapbooks for friends in scrapbooking on amazon.']",32.09179497,
['masonic book at amazon'],"!
free shipping on amazon.
buy book seteree
shipping on amazon.
buy book seteree
shipping on amazon.","['free 2-day shipping w/ amazon primelow prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books']",34.53592921,
['german harry potter books - official site'],"es  free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
","['browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.']",18.73497605,
['wade cook books at amazon']," 
free shipping on quotective free 2-day shipping with amazon
student.
buy book shelf for $ $2..9 to","['buy wade cook books at amazon! free shipping on qualified orders.', 'buy wade cook books at amazon! free shipping on qualified orders.']",38.9653403,
['6 inch scrapbook paper']," free shipping of toddker free shipping on amazon.
buy book seteree
shipping on amazon.
buy book set",['buy 6 inch scrapbook paper at amazon! free shipping on qualified orders.'],39.72629794,
