original_title,generated _text,original_desc,perplexity,
['basic guitar book - amazon.com'],"
books on sale on amazon - low priced books on cd
shop books on sale - amazon - free 2-day shipping ",['buy basic guitar book at amazon! free shipping on qualified orders.'],44.71455206,
['business books on tape']," - shop low prices & the bread attosha books - official site
books on she sarascato - save on refere","['stay ahead of the curve with business and investing books', 'stay ahead of the curve with business and investing books', 'stay ahead of the curve with business and investing books']",54.65387662,
['dome bookkeeping books']," - official site
books on she sarascato - save on reference - amazon.com
books on card for kids - of",['free 2-day shipping w/ amazon prime low prices on millions of books'],34.46127854,
['scholastic books on cd - amazon.com']," official site
books on she sarascatic - amazon.com
books on sale on amazon - low priced books on se","['free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books']",65.7762739,
"['working dogs books - millions of titles, new & used']","
books on sale on amazon - low priced books on selling
books on she sarascatic - amazon.com
books on","['free shipping on qualified orders.', 'free shipping on qualified orders.']",51.691759,
['mac book battery a1175 - amazon.com'],"
books on sale on cd - amazon.com
books on sale on amazon - low priced books on seller
books on she ","['top-rated mac book battery a1175 free 2-day shipping w/amazon prime!', 'top-rated mac book battery a1175 free 2-day shipping w/amazon prime!', 'top-rated mac book battery a1175 free 2-day shipping w/amazon prime!', 'top-rated mac book battery a1175 free 2-day shipping w/amazon prime!']",66.36584161,
['scrapbook paper storage box']," - amazon.com
books on sale on amazon - official site
books on she sarascatic - official site
books ","['buy popular products at amazon! free shipping on qualified orders.', 'buy popular products at amazon! free shipping on qualified orders.', 'buy popular products at amazon! free shipping on qualified orders.', 'buy popular products at amazon! free shipping on qualified orders.', 'buy popular products at amazon! free shipping on qualified orders.']",38.07543756,
"[""sticker book 1000 - save on kids' books for all ages""]","
books on sale on amazon - low priced books on selling
books on she sarascation
books on she sarasca","['free shipping on qualified orders.', 'free shipping on qualified orders.']",105.1241244,
['ukelele songbooks']," - amazon.com
book of she book - millions of title - amazon.com
book of she book - millions of title","['millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.']",47.63395192,
['activity and coloring book']," - official site
books on she sarascati - official site
books on she sarascati - official site
books",['buy activity and coloring book at amazon!free shipping on qualified orders.'],63.58507463,
