Title,Description,Visible Url,Url
"The Samsung Galaxy S7 edge - Samsung.com‎","The <b>Samsung</b> GS7 edge. Available Now.","www.samsung.com/Galaxy/S7","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-"
"The Samsung GS7 edge - Samsung.com‎","The <b>Samsung</b> GS7 edge. Available Now.","www.samsung.com/Galaxy/S7","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-"
"samsung.com - The New Samsung Galaxy S8 - Get The New Galaxy‎","Our New Galaxy Phone With Infinity Screen and Bixby Interface. Available Now.","www.samsung.com/Galaxy/S8","http://www.samsung.com/us/explore/galaxy-s8/"
"The Innovative GS7 edge - Samsung.com‎","The <b>Samsung</b> GS7 edge. Available Now.","www.samsung.com/Galaxy/S7","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-"
"The New Samsung Galaxy S8 - Get The New Galaxy‎","Our New Galaxy Phone With Infinity Screen and Bixby Interface. Available Now.","www.samsung.com/Galaxy/S8","http://www.samsung.com/us/explore/galaxy-s8/"
"samsung.com - The New Samsung Galaxy S8 - Get The New Galaxy‎","The Galaxy S8: Our Best Phone. Infinitely Amazing. Available Now.","www.samsung.com/Galaxy/S8","http://www.samsung.com/us/explore/galaxy-s8/"
"samsung.com - The New Samsung Galaxy S8 - Get The New Galaxy‎","Infinitely Amazing. With The World's First Infinity Screen. Available Now.","www.samsung.com/Galaxy/S8","http://www.google.com/aclk?sa=l&ai=DChcSEwiZ1tSm0Z_UAhWMqe0KHSwGClgYABAAGgJkZw&sig=AOD64_2KeMNeJquGNlHqwOnqXB394WYpkA&adurl=&q="
"The New Samsung Galaxy S8 - Get The New Galaxy - samsung.com‎","Our New Galaxy <b>Phone</b> With Infinity Screen and Bixby Interface. Available Now.","www.samsung.com/Galaxy/S8","http://www.samsung.com/us/explore/galaxy-s8/"
"The Samsung Galaxy S8 and S8+ - Infinitely Amazing - samsung.com‎","<b>Buy</b> The Galaxy S8 And Get The New Gear 360 for $49.","www.samsung.com/GS8/Offers","http://www.samsung.com/us/explore/galaxy-s8/buy/"
"The Samsung Galaxy Tab S3 - Faster Than Samsung Tab S2‎","Check Sports Scores, Edit Videos and More with the <b>Galaxy Tab</b> S3. Learn More.","www.samsung.com/Tablets/TabS3","http://www.samsung.com/us/explore/tab-s3/"
"The New Samsung Galaxy S8 - Get The New Galaxy‎","The Galaxy S8: Our Best Phone. Infinitely Amazing. Available Now.","www.samsung.com/Galaxy/S8","http://www.samsung.com/us/explore/galaxy-s8/"
"Samsung Sound+ Soundbar - The Way Sound Should Sound‎","Enjoy Rich, Room-Filling Home Theater <b>Sound</b>. Shop the New Samsung Sound+ Today.","www.samsung.com/","http://www.samsung.com/us/explore/soundplus/"
"The New Samsung Galaxy S8 - Get The New Galaxy‎","Infinitely Amazing. With The World's First Infinity Screen. Available Now.","www.samsung.com/Galaxy/S8","http://www.samsung.com/us/explore/galaxy-s8/"
