Title,Description,Visible Url,Url
"The Samsung Galaxy S7 edge - Samsung.com‎","The <b>Samsung</b> GS7 edge. Available Now.","www.samsung.com/Galaxy/S7","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-"
"The Samsung GS7 edge - Samsung.com‎","The <b>Samsung</b> GS7 edge. Available Now.","www.samsung.com/Galaxy/S7","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-"
"","It's Everything You've Been Waiting For. Switch To <b>Galaxy</b> Today. Learn More.","www.samsung.com/Galaxy/Switch",""
"Switch To Galaxy - The Wait Is Over‎","Switch To A <b>Phone</b> That's Designed For You. Discover The Galaxy S8 And Note8.","www.samsung.com/Galaxy/Switch","http://www.samsung.com/us/galaxy/switch-to-galaxy/"
"samsung.com - The New Samsung Galaxy S8 - Get The New Galaxy‎","The Galaxy S8: Our Best Phone. Infinitely Amazing. Available Now.","www.samsung.com/Galaxy/S8","http://www.samsung.com/us/explore/galaxy-s8/"
"The Wait Is Over - Switch To Galaxy‎","Now You Have Two Options. Switch To The Galaxy S8 Or Note8. Learn More.","www.samsung.com/Galaxy/Switch","http://www.samsung.com/us/galaxy/switch-to-galaxy/"
"The Wait Is Over - Switch To Galaxy‎","It's Everything You've Been Waiting For. Switch To <b>Galaxy</b> Today. Learn <b>More</b>.","www.samsung.com/Galaxy/Switch","https://www.samsung.com/us/galaxy/switch-to-galaxy/"
"The Wait Is Over - Discover The Samsung Galaxy‎","Waiting Is Overrated. Get The <b>Phone</b> You <b>Want</b> Today. Switch To Galaxy.","www.samsung.com/Galaxy/Switch","https://www.samsung.com/us/galaxy/switch-to-galaxy/"
"The Innovative GS7 edge - Samsung.com‎","The <b>Samsung</b> GS7 edge. Available Now.","www.samsung.com/Galaxy/S7","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-"
"","Experience Perfect Color with the QLED <b>TV</b> from <b>Samsung</b>. Get Yours Today!","www.samsung.com/",""
"Official Samsung SSD - Portable SSD T5‎","Superfast external storage. Up to 4.9x faster than external <b>HDD</b>.","www.samsung.com/Portable-SSD","http://www.samsung.com/us/computing/memory-storage/portable-solid-state-drives/"
"","Open Two Apps Side By Side To Enjoy More At Once With The <b>Galaxy Tablet</b>.","www.samsung.com/Samsung/Tab_A",""
"The Wait Is Over - Discover The Samsung Galaxy - samsung.com‎","Waiting Is Overrated. Get The <b>Phone</b> You Want Today. Switch To Galaxy.","www.samsung.com/Galaxy/Switch","http://www.samsung.com/us/galaxy/switch-to-galaxy/"
"Switch To Galaxy - The Wait Is Over - samsung.com‎","Switch To A Phone That's Designed For You. Discover The Galaxy S8 And Note8.","www.samsung.com/Galaxy/Switch","https://www.samsung.com/us/galaxy/switch-to-galaxy/"
"The New Samsung Galaxy S8 - Get The New Galaxy‎","The Galaxy S8: Our Best Phone. Infinitely Amazing. Available Now.","www.samsung.com/Galaxy/S8","http://www.samsung.com/us/explore/galaxy-s8/"
