id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,book your hotel in belfast online. no reservation costs. great rates.,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,best rates or refund + $50 coupon. save big on hotels in san juse.,-,-,-,98.72,Very Easy,2th and 3th grade,16,13,2,2,,,
-,-,best rates on hall palace hotel & suites. plan your next trip with expedia.,-,-,-,90.26,Very Easy,7th and 8th grade,17,13,2,1,,,
-,-,"book at the starlington hotel, london. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,18th and 19th grade,17,11,2,4,,,
-,-,book your hotel in bata online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,book your hotel in bellin mi online. no reservation costs. great rates.,-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,2,,,
-,-,book your hotel in barcelona online. no reservation costs. great rates.,-,-,-,82.81,Easy,11th and 12th grade,15,11,2,2,,,
-,-,"book at the lanch hotel and spa, killirn. no reservation costs. great rates.",-,-,-,90.26,Very Easy,4th and 5th grade,17,13,2,2,,,
-,-,book a hotel near mintic square. save up to 50% on your reservation.,-,-,-,98.72,Very Easy,4th and 5th grade,16,13,2,1,,,
-,-,"book at the stanion hotel, tel aviv. no reservation costs. great rates.",-,-,-,90.77,Very Easy,7th and 8th grade,16,12,2,3,,,
-,-,"book your hotel in berlin, ma online. no reservation costs. great rates.",-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,2,,,
-,-,book at hotel saint petic barcelona. no reservation costs. great rates.,-,-,-,82.81,Easy,11th and 12th grade,15,11,2,2,,,
-,-,book a hotel near station stadion. save up to 50% on your reservation.,-,-,-,81.8,Easy,5th and 6th grade,18,13,2,2,,,
-,-,best rates on the san fronticon play your next trip with expedia.,-,-,-,84.68,Easy,5th and 6th grade,16,12,1,2,,,
-,-,best rates on hotel de la playa playa del carmen. plan your next trip with expedia.,-,-,-,88.74,Easy,2th and 3th grade,20,16,2,2,,,
-,-,"book at the lending inn, new orleans. no reservation costs. great rates.",-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,3,,,
-,-,"book at the bella hotel, turket. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,9th and 10th grade,16,11,2,4,,,
-,-,"book at hotel elee resort, miami beach. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,9th and 10th grade,18,12,2,3,,,
-,-,"best rates or refund + $50 coupon. book your hotel in barcelona, ireland hotel today!",-,-,-,81.29,Easy,5th and 6th grade,20,14,2,3,,,
-,-,"best rates or refund + $50 coupon. save on motels in sala beach, fl.",-,-,-,98.72,Very Easy,1th and 2th grade,16,13,2,2,,,
-,-,book your hotel in seaside ca online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3,,,
-,-,book your hotel in san francicco online. no reservation costs. great rates.,-,-,-,65.39,Standard,7th and 8th grade,19,12,2,3,,,
-,-,book your hotel in bermington ny online. no reservation costs. great rates.,-,-,-,82.31,Easy,7th and 8th grade,17,12,2,3,,,
-,-,"book at the stratton hotel, new york. no reservation costs. great rates.",-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,3,,,
-,-,"best rates or refund + $50 coupon. save on hotels in banff, irada.",-,-,-,90.77,Very Easy,2th and 3th grade,16,12,2,3,,,
-,-,best rates on the sentia hotel. plan your next trip with expedia.,-,-,-,90.77,Very Easy,2th and 3th grade,16,12,2,3,,,
-,-,"best price guarantee! best rates or refund + $50 coupon. save on hotels in san francisco, ca.",-,-,-,83.02,Easy,7th and 8th grade,23,16,3,4,,,
-,-,"book a hotel near haka and save up to 50%. save on hotels in miami beach, fl.",-,-,-,88.23,Easy,2th and 3th grade,22,17,2,3,,,
-,-,"book at the bangkok hotel, tokyo. no reservation costs. great rates.",-,-,-,91.27,Very Easy,1th and 2th grade,14,11,2,2,,,
-,-,"book at hotel el carmel beach, marrakech. no reservation costs. great rates.",-,-,-,90.77,Very Easy,10th and 11th grade,16,12,2,2,,,
-,-,book your hotel in surat online. no reservation costs. great rates.,-,-,-,82.81,Easy,5th and 6th grade,15,11,2,2,,,
-,-,"book at hotel san diego south paris, malan. no reservation costs. great rates",-,-,-,98.72,Very Easy,4th and 5th grade,16,13,2,1,,,
-,-,"book at the barcelona hotel, lincon. no reservation costs. great rates.",-,-,-,82.81,Easy,7th and 8th grade,15,11,2,3,,,
-,-,"book at the san antonio resort, cancun. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,9th and 10th grade,18,12,2,4,,,
-,-,"book at the strict hotel, london. no reservation costs. great rates.",-,-,-,82.81,Easy,8th and 9th grade,15,11,2,3,,,
-,-,best rates or refund + $50 coupon. save big on hotels in san jose.,-,-,-,98.72,Very Easy,2th and 3th grade,16,13,2,2,,,
-,-,book a hotel near six flags center. save up to 50% on your reservation.,-,-,-,89.75,Easy,2th and 3th grade,18,14,2,2,,,
-,-,book your hotel in barcelona online. no reservation costs. great rates.,-,-,-,82.81,Easy,11th and 12th grade,15,11,2,2,,,
-,-,best rates on the santa cara resort. plan your next trip with expedia.,-,-,-,90.26,Very Easy,2th and 3th grade,17,13,2,3,,,
-,-,best rates or refund + $50 coupon. book your south beach hotel today!,-,-,-,90.77,Very Easy,6th and 7th grade,16,12,2,2,,,
-,-,"book at the starlin hotel & suites, milan. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,7th and 8th grade,18,12,2,3,,,
-,-,"book at the santia hotel, miami. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,9th and 10th grade,17,11,2,4,,,
