id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,rates or refund + $50 coupon. save big on hotels now and save,-,-,-,90.77,Very Easy,2th and 3th grade,15,12,2,2,,,
-,-,"cost blue, kong arch i-city, i-city. i-city. no reservation costs. great rates. save",-,-,-,64.88,Standard,7th and 8th grade,21,13,2,3,,,
-,-,"international jumeirah i-city. no reservation costs. great rates. book at city i-city hotel,",-,-,-,50.19,Fairly Difficult,9th and 10th grade,24,13,3,5,,,
-,-,"coupon. book your i-city, i-city hotel today! expedia price guarantee. find and compare",-,-,-,50.19,Fairly Difficult,9th and 10th grade,24,13,3,5,,,
-,-,save to i-city. book your hotel in i-city tx online. no reservation costs.,-,-,-,67.11,Standard,8th and 9th grade,21,13,3,4,,,
-,-,"great hotel & spa, i-city. no reservation costs. great rates. find and compare",-,-,-,67.42,Standard,8th and 9th grade,19,12,3,2,,,
-,-,compare hotel today! book at sakura hotel daina. no reservation costs. great rates.,-,-,-,75.57,Fairly Easy,6th and 7th grade,20,13,3,3,,,
-,-,texas motel in i-city i-city. book the majestic hotel best rates or refund,-,-,-,56.42,Fairly Difficult,6th and 7th grade,22,13,2,5,,,
-,-,great rates. best rates or refund + $50 coupon. cheap hotels by gatwick,-,-,-,90.77,Very Easy,4th and 5th grade,15,12,2,2,,,
-,-,"hotels in i-city i-city, i-city. best price guarantee secure value with expedias price",-,-,-,31.04,Difficult,12th and 13th grade,26,13,2,7,,,
-,-,reservation costs. great rates. save on hotels in delhi. book at riverside hotel,-,-,-,73.34,Fairly Easy,6th and 7th grade,19,13,2,4,,,
-,-,"grand somerset, i-city. save up to i-city. save with expedia today! book your",-,-,-,58.65,Fairly Difficult,9th and 10th grade,22,13,3,4,,,
-,-,motel in i-city. bear puerto cabo andrews. no reservation costs. great rates. save,-,-,-,75.57,Fairly Easy,9th and 10th grade,20,13,3,5,,,
-,-,site! book hotels near beverly point. find things to do in accra. expedia,-,-,-,73.34,Fairly Easy,6th and 7th grade,19,13,2,4,,,
-,-,reservation costs. great rates. save up to $603 on flight + hotel. book,-,-,-,84.68,Easy,4th and 5th grade,16,12,1,2,,,
-,-,costs. great rates. book a condo in hong kong. no reservation costs. great,-,-,-,98.72,Very Easy,1th and 2th grade,16,13,2,2,,,
-,-,save book + hotel & save more. hotel deals on tours & sightseeing!,-,-,-,57.94,Fairly Difficult,9th and 10th grade,17,10,2,1,,,
-,-,"choices, book a room in i-coun best rates or refund + $50 coupon.",-,-,-,84.68,Easy,5th and 6th grade,15,12,1,2,,,
-,-,online. book accommodation in i-coun find and compare exclusive deals on hotels in,-,-,-,49.82,Difficult,9th and 10th grade,22,13,1,4,,,
-,-,shuttle book accommodation in i-city. book your hotel in kalkaska lisbon. no reservation,-,-,-,31.04,Difficult,10th and 11th grade,26,13,2,6,,,
-,-,"reservation costs. great rates. save on hotels in i-city, i-coun. find and compare",-,-,-,73.34,Fairly Easy,7th and 8th grade,19,13,2,3,,,
-,-,deals to maui. book your hotel in fremont house in ohakune. find low,-,-,-,98.72,Very Easy,4th and 5th grade,15,13,2,1,,,
-,-,"save to i-city. book flight in i-city south beach, fl. no reservation costs.",-,-,-,75.57,Fairly Easy,3th and 4th grade,19,13,3,3,,,
-,-,"book prices & i-city, prince i-city and best rates or refund + $50",-,-,-,60.31,Standard,7th and 8th grade,18,11,1,3,,,
-,-,guarantee ormond point intl hotel i-city. best price guarantee. save up to 50%,-,-,-,67.11,Standard,8th and 9th grade,21,13,3,4,,,
-,-,"prices, ramon citadel walk, arch i-city, i-city. no reservation costs. great rates. best",-,-,-,73.34,Fairly Easy,8th and 9th grade,20,13,2,4,,,
-,-,hotels in new kong area. in new la jolla. louis travel on great,-,-,-,100.95,Other Value,12th and 13th grade,16,13,3,3,,,
-,-,great rates. book your hotel in pluckley online. no reservation costs. great rates.,-,-,-,81.8,Easy,7th and 8th grade,18,13,2,3,,,
-,-,best rates or refund + $50 coupon. save on hotels in blacksburg i-coun.,-,-,-,90.77,Very Easy,7th and 8th grade,16,12,2,3,,,
-,-,"hotel in i-city i-city, near 4-star i-city book at airport hotels. more choices,",-,-,-,41.36,Difficult,10th and 11th grade,24,13,1,5,,,
-,-,rates or refund +$50 coupon. save on martin's angkor hotels. save up to,-,-,-,100.95,Other Value,12th and 13th grade,16,13,3,3,,,
-,-,hotel in glenwood barthelemy south heights ny and save on your vacation falls,-,-,-,75.2,Fairly Easy,10th and 11th grade,18,13,1,3,,,
-,-,"refund value book at i-city b&b i-city airport, i-city. no reservation costs. great",-,-,-,47.96,Difficult,10th and 11th grade,24,13,2,5,,,
-,-,find book today! book at royal sea hotel online no reservation costs. great,-,-,-,73.34,Fairly Easy,7th and 8th grade,19,13,2,3,,,
-,-,"kuala hotel in i-city. book at moss airport, braov. no reservation costs. great",-,-,-,75.57,Fairly Easy,7th and 8th grade,19,13,3,3,,,
-,-,"refund to online accommodationa and save big! book a motel in fremont, ca.",-,-,-,64.88,Standard,19th and 20th grade,21,13,2,5,,,
-,-,"japan. summit, pa and save big! book an apartment in corralejo. book your",-,-,-,90.26,Very Easy,6th and 7th grade,17,13,2,2,,,
-,-,"book i-city, i-city hotels. best i-city st first hotel i-city. no reservation costs.",-,-,-,41.73,Difficult,9th and 10th grade,25,13,3,5,,,
-,-,great reservation costs. great rates. book your hotel in i-city az online. no,-,-,-,73.34,Fairly Easy,4th and 5th grade,19,13,2,3,,,
-,-,"full-service marinda st. i-city, quarter. get discounts i-city saint louis park in i-city",-,-,-,47.96,Difficult,10th and 11th grade,23,13,2,6,,,
-,-,refund your trip with expedia. book at apartment in i-city book a hotel,-,-,-,73.34,Fairly Easy,13th and 14th grade,20,13,2,3,,,
-,-,"hotel in i-city i-city, near i-city imperial palace. book a vacation to i-city.",-,-,-,22.58,Very Confusing,9th and 10th grade,27,13,2,5,,,
-,-,rates or refund + $50 coupon. generator hostel i-city. book a hotel on,-,-,-,50.5,Fairly Difficult,7th and 8th grade,21,12,3,4,,,
-,-,"costs. great rates. book at athos palace, kallithea rhodes. no reservation costs. great",-,-,-,98.72,Very Easy,1th and 2th grade,15,13,2,1,,,
-,-,save to i-city. book today and save. best rates or refund + $50,-,-,-,84.34,Easy,0th and 1th grade,17,12,3,2,,,
-,-,"panoramic you marble arch i-city, i-city. no reservation costs. great rates. best rates",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,4,,,
-,-,"coupon fast, i-city. book your hotel in i-coun online. no reservation costs. great",-,-,-,75.57,Fairly Easy,7th and 8th grade,19,13,3,3,,,
-,-,"free summit, pa and save big! book your hotel in brantford on expedia",-,-,-,81.8,Easy,1th and 2th grade,18,13,2,3,,,
-,-,compare hotel today! book holiday apartment hong airport airport. best rates or refund,-,-,-,58.65,Fairly Difficult,7th and 8th grade,22,13,3,3,,,
-,-,"reservation costs. great rates. best sint cabarete metropole i-city, i-city. no reservation costs.",-,-,-,64.88,Standard,7th and 8th grade,21,13,2,3,,,
-,-,shopping last bryce arena. book a cheap hotel in i-city online. no reservation,-,-,-,64.88,Standard,8th and 9th grade,21,13,2,4,,,
-,-,"hotel, i-city. no reservation costs. great rates. choose from rental deals in i-city.",-,-,-,73.34,Fairly Easy,7th and 8th grade,20,13,2,3,,,
-,-,hotels. find exclusive deals on hotels in sao paulo best rates or refund,-,-,-,75.2,Fairly Easy,8th and 9th grade,18,13,1,4,,,
-,-,"best prices more choices, best prices, trusted. save big on hotels in i-coun. book",-,-,-,98.21,Very Easy,8th and 9th grade,17,14,2,3,,,
-,-,"house of panoramic cana deals. summer leaf, and & spa i-city. best price",-,-,-,82.31,Easy,6th and 7th grade,17,12,2,2,,,
-,-,costs. great rates. book a hotel on the beach ca hotel no reservation,-,-,-,83.66,Easy,5th and 6th grade,17,13,1,1,,,
-,-,great rates. save on hotels near los steps. best rates or refund +,-,-,-,90.77,Very Easy,2th and 3th grade,15,12,2,2,,,
-,-,guarantee. book accommodation in to i-city. no reservation costs. great rates. book st,-,-,-,47.96,Difficult,8th and 9th grade,23,13,2,4,,,
-,-,georges star hotel i-city. book at royal lake south beach hotel find hotels,-,-,-,73.34,Fairly Easy,4th and 5th grade,19,13,2,2,,,
-,-,"best rates or refund + $50 coupon. find hotels in i-city, i-city save",-,-,-,65.39,Standard,17th and 18th grade,19,12,2,4,,,
-,-,"vietnam summit, pa and save big! book your hotel in grand district mn",-,-,-,90.26,Very Easy,2th and 3th grade,17,13,2,3,,,
-,-,great rates. book your hotel in fairfield ca online. no reservation costs. great,-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3,,,
-,-,reservation costs. great rates. book your hotel in i-city online. book at club,-,-,-,73.34,Fairly Easy,13th and 14th grade,19,13,2,3,,,
-,-,"book your hotel in yorkshire, i-city today! book + $50 coupon. book your",-,-,-,73.85,Fairly Easy,7th and 8th grade,18,12,2,3,,,
-,-,"hotels in gatlinburg, - book the accommodation in downtown i-city. best rates or",-,-,-,48.47,Difficult,7th and 8th grade,22,12,2,4,,,
-,-,"trusted. excellence elaf i-city, montral. 3-star i-city, favorite on hotels! best rates or",-,-,-,50.19,Fairly Difficult,8th and 9th grade,24,13,3,6,,,
-,-,"london summit, pa and save big! book your hotel in i-city town online.",-,-,-,73.34,Fairly Easy,8th and 9th grade,19,13,2,4,,,
-,-,locations mo. secure airport best reservation costs. grand resort on el calafate. eco-friendly,-,-,-,64.88,Standard,11th and 12th grade,21,13,2,5,,,
-,-,book at high hope over empire hotel book the premier i-city. plan your,-,-,-,75.2,Fairly Easy,7th and 8th grade,18,13,1,3,,,
-,-,"reservation costs. great rates. find and compare exclusive deals on hotels in canyon,",-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3,,,
