id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,"book at the grand hotel & suites, i-city. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,6th and 7th grade,18,12,2,2,,,
-,-,"book at hotel le cannon i-city, i-city. no reservation costs. great rates.",-,-,-,56.93,Fairly Difficult,9th and 10th grade,20,12,2,3,,,
-,-,book your hotel in collington online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,7th and 8th grade,16,11,2,3,,,
-,-,"book your hotel near sonton airport, i-city now. no reservation costs. great rates.",-,-,-,73.34,Fairly Easy,8th and 9th grade,20,13,2,4,,,
-,-,book at hotel le santoria i-city. no reservation costs. great rates.,-,-,-,65.89,Standard,8th and 9th grade,18,11,2,3,,,
-,-,"best rates or refund + $50 coupon. book at hotel sai airport, i-city",-,-,-,73.85,Fairly Easy,7th and 8th grade,18,12,2,3,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your solthers hotel today!,-,-,-,82.81,Easy,7th and 8th grade,15,11,2,2,,,
-,-,best rates or refund + $50 coupon. book your cord beach hotel today!,-,-,-,90.77,Very Easy,6th and 7th grade,16,12,2,2,,,
-,-,book a hotel in the best rotes in i-city. no reservation costs. great rates.,-,-,-,81.29,Easy,5th and 6th grade,19,14,2,2,,,
-,-,"best rates or refund + $50 coupon. save big on hotels in i-city, i-coun",-,-,-,81.8,Easy,5th and 6th grade,18,13,2,3,,,
-,-,"book a hotel near park station, i-city. get instant confirmation.",-,-,-,49.48,Difficult,10th and 11th grade,18,10,2,3,,,
-,-,"book a hotel near panama cetter, i-city. get instant confirmation",-,-,-,49.48,Difficult,10th and 11th grade,18,10,2,3,,,
-,-,"book a motel in contral bergh, i-city. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,17th and 18th grade,18,12,2,4,,,
-,-,"book at the south palace, i-city. no reservation costs. great rates.",-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,"book at the salama hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,9th and 10th grade,17,11,2,4,,,
-,-,"book at the southerd, i-city. no reservation costs. great rates.",-,-,-,83.32,Easy,6th and 7th grade,14,10,2,2,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,book a hotel near peris center. save up to 50% on your reservation.,-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,2,,,
-,-,"best rates or refund + $50 coupon. save on hotels in i-coun, i-coun.",-,-,-,90.77,Very Easy,6th and 7th grade,15,12,2,2,,,
-,-,"find and compare exclusive deals on hotels in i-city, ca and save big!",-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3,,,
-,-,"find and compare exclusive deals on hotels in i-city, ca and save big!",-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3,,,
-,-,book your hotel in iscity online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,book a hotel in central breakfast. near tokyo hotel in i-city. no reservation costs. great rates.,-,-,-,74.56,Fairly Easy,7th and 8th grade,24,16,3,4,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates!",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,"book at hotel santa cana, playa bel car. no reservation costs. great rates.",-,-,-,90.26,Very Easy,4th and 5th grade,17,13,2,2,,,
-,-,"book at hotel le santoria i-city, i-city. no reservation costs. great rates.",-,-,-,48.47,Difficult,10th and 11th grade,21,12,2,4,,,
-,-,"book at hotel le solera, santa mara.",-,-,-,81.29,Easy,2th and 3th grade,10,7,1,2,,,
-,-,book your hotel in carlong ny online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3,,,
-,-,"book at the sourh hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your cariso hotel today!,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,book a hotel near six flags center. save up to 50% on your reservation.,-,-,-,89.75,Easy,2th and 3th grade,18,14,2,2,,,
-,-,"book at hotel lancelona park, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,11th and 12th grade,16,11,2,2,,,
-,-,book a hotel in central bridge. no reservation costs. great rates.,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,"book at the sandor hotel & spa, i-city. no reservation costs. great rates.",-,-,-,65.39,Standard,5th and 6th grade,19,12,2,3,,,
-,-,"book at hotel le santa mala, i-city. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,7th and 8th grade,18,12,2,3,,,
