id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,book your hotel in saint penara online. no reservation costs. great rates.,-,-,-,82.31,Easy,9th and 10th grade,17,12,2,3,,,
-,-,"book at the marberla hotel, i-city. no reservation costs. great rates.",-,-,-,65.89,Standard,9th and 10th grade,18,11,2,4,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,best rates on hotel contage resort & spa. plan your next trip with expedia.,-,-,-,73.34,Fairly Easy,7th and 8th grade,19,13,2,3,,,
-,-,"save with expedia's price guarantee. save big on hotels in i-city, i-coun.",-,-,-,65.39,Standard,9th and 10th grade,19,12,2,4,,,
-,-,book your hotel in santa carro online. no reservation costs. great rates.,-,-,-,73.85,Fairly Easy,17th and 18th grade,18,12,2,4,,,
-,-,"book at hotel santa cruz beach, st. louis. no reservation costs. great rates.",-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,2,,,
-,-,"book your hotel in santa barbara, i-coun. no reservation costs. great rates.",-,-,-,82.31,Easy,7th and 8th grade,17,12,2,3,,,
-,-,"book at the monde cottege, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,3,,,
-,-,"book your hotel near i-city airport, i-city. no reservation costs. great rates.",-,-,-,56.93,Fairly Difficult,17th and 18th grade,20,12,2,4,,,
-,-,"book a hostel in i-city, i-coun. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book a motel in seaside, nj. no reservation costs. great rates.",-,-,-,82.81,Easy,3th and 4th grade,15,11,2,3,,,
-,-,best rates on the i-city park. plan your next trip with expedia.,-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,2,,,
-,-,"book at hard stock hotel i-city, i-city. no reservation costs. great rates.",-,-,-,65.39,Standard,7th and 8th grade,19,12,2,3,,,
-,-,"book at the monterey hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,9th and 10th grade,17,11,2,4,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book a hotel near the beach, i-city. save up to 50% on your reservation.",-,-,-,81.29,Easy,1th and 2th grade,19,14,2,2,,,
-,-,best rates or refund + $50 coupon. book your i-city hotel today!,-,-,-,74.35,Fairly Easy,6th and 7th grade,17,11,2,3,,,
-,-,book your hotel in santa carrana online. no reservation costs. great rates.,-,-,-,73.85,Fairly Easy,6th and 7th grade,18,12,2,4,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,"book at the i-city hotel, i-city. no reservation costs. great rates.",-,-,-,65.89,Standard,9th and 10th grade,18,11,2,4,,,
-,-,book your hotel in i-city on online. no reservation costs. great rates.,-,-,-,73.85,Fairly Easy,7th and 8th grade,18,12,2,3,,,
-,-,"book at hotel male tower, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book at the mander hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,9th and 10th grade,17,11,2,4,,,
-,-,best rates or refund + $50 coupon. book your hotel in i-city online,-,-,-,73.85,Fairly Easy,7th and 8th grade,18,12,2,3,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book a hotel near i-city square, i-city. get instant confirmation",-,-,-,41.02,Difficult,8th and 9th grade,19,10,2,3,,,
-,-,"book at hotel male times square hotel, i-city. no reservation costs. great rates.",-,-,-,73.34,Fairly Easy,6th and 7th grade,19,13,2,3,,,
-,-,"book at hotel marterley i-city, i-city. no reservation costs. great rates.",-,-,-,57.43,Fairly Difficult,9th and 10th grade,19,11,2,4,,,
-,-,"book at the i-city hotel, i-city. no reservation costs. great rates.",-,-,-,65.89,Standard,9th and 10th grade,18,11,2,4,,,
-,-,save on hotels in santa cana i-coun.,-,-,-,89.75,Easy,2th and 3th grade,9,7,1,2,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,book your hotel in i-city online,-,-,-,56.93,Fairly Difficult,17th and 18th grade,10,6,1,2,,,
-,-,"book at hotel mall i-city, i-city. no reservation costs. great rates.",-,-,-,65.89,Standard,9th and 10th grade,18,11,2,3,,,
-,-,"book a hotel near the salace, i-city. save up to 50% on your reservation.",-,-,-,81.29,Easy,1th and 2th grade,19,14,2,2,,,
-,-,book your hotel in santa barbara online. no reservation costs. great rates.,-,-,-,73.85,Fairly Easy,6th and 7th grade,18,12,2,4,,,
-,-,book a hotel near i-city state university. save up to 50% on your reservation.,-,-,-,64.37,Standard,6th and 7th grade,22,14,2,3,,,
-,-,book your hotel in santa bara online.,-,-,-,81.29,Easy,2th and 3th grade,10,7,1,2,,,
-,-,best rates or refund + $50 coupon. save on hotels near saint mallert mall.,-,-,-,98.72,Very Easy,6th and 7th grade,16,13,2,2,,,
-,-,"book a hostel in i-city, i-coun. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,"best rates or refund + $50 coupon. save on hotels in i-city, i-coun.",-,-,-,82.31,Easy,3th and 4th grade,17,12,2,3,,,
-,-,book your hotel in i-city on online. no reservation costs. great rates.,-,-,-,73.85,Fairly Easy,7th and 8th grade,18,12,2,3,,,
-,-,"book at the manders hotel i-city, i-city. no reservation costs. great rates.",-,-,-,56.93,Fairly Difficult,6th and 7th grade,20,12,2,4,,,
-,-,save with expedia's price guarantee save big on hotels in i-city.,-,-,-,60.31,Standard,7th and 8th grade,18,11,1,4,,,
-,-,best rates or refund + $50 coupon. save big on hotels in i-city i-coun,-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3,,,
-,-,"book a hotel near i-coun convention center, save up to 50% on your reservation.",-,-,-,74.19,Fairly Easy,7th and 8th grade,20,14,1,3,,,
-,-,"find and compare exclusive deals on hotels in i-city, i-city and save big!",-,-,-,58.28,Fairly Difficult,9th and 10th grade,21,13,1,4,,,
-,-,find and compare exclusive deals on hotels in i-city and save big!,-,-,-,67.76,Standard,8th and 9th grade,18,12,1,3,,,
-,-,book a hotel near i-city state uponty. save up to 50% on your reservation.,-,-,-,72.83,Fairly Easy,4th and 5th grade,21,14,2,3,,,
-,-,best rates or refund + $50 coupon. book your hotel in i-city today!,-,-,-,73.85,Fairly Easy,7th and 8th grade,18,12,2,3,,,
-,-,"book a motel in saint mallerta, co online. no reservation costs. great rates.",-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4,,,
-,-,"book at the marboro hotel, long beach. no reservation costs. great rates.",-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,3,,,
-,-,"best rates or refund + $50 coupon. save on hotels in saint palm, i-coun.",-,-,-,98.72,Very Easy,2th and 3th grade,16,13,2,2,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book at hotel malleria, mallon. no reservation costs. great rates.",-,-,-,66.4,Standard,8th and 9th grade,16,10,2,3,,,
-,-,best rates or refund + $50 coupon. save big on hotels in santa cara bay.,-,-,-,89.75,Easy,2th and 3th grade,18,14,2,3,,,
-,-,"save with expedia's price guarantee. save on hotels in i-city, i-city.",-,-,-,48.97,Difficult,10th and 11th grade,20,11,2,5,,,
-,-,"save on hotels in saint peerson, i-coun.",-,-,-,89.75,Easy,2th and 3th grade,9,7,1,2,,,
-,-,best rates or refund + $50 coupon. book your i-coun city hotel today!,-,-,-,90.77,Very Easy,6th and 7th grade,16,12,2,2,,,
