id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,less!bbook a b&b in grases hostel ontions co-uba online. no reservation cos,-,-,-,48.47,Difficult,27th and 28th grade,21,12,2,7,,,
-,-,save vf bhozor. best price guarantee. find great rands. royal eurtholl pan,-,-,-,85.35,Easy,4th and 5th grade,17,12,4,3,,,
-,-,"rates. great rates.look in dublin airport, braston, tx.best rates or refund",-,-,-,82.81,Easy,9th and 10th grade,15,11,2,4,,,
-,-,"online. book hotels near hays, texas and save big!book a motel in alaforn, mi",-,-,-,89.75,Easy,2th and 3th grade,18,14,2,4,,,
-,-,"islands. airportbook a hotel near villas, jeliste, ko rambon and save big!best",-,-,-,67.76,Standard,10th and 11th grade,18,12,1,4,,,
-,-,"vietnam ok to hall packagebook a hotel near stockport-sertealk, brunser.best",-,-,-,52.87,Fairly Difficult,9th and 10th grade,17,10,1,4,,,
-,-,housea &s apart. walk to transfers.book your hotel in bassejore online. no,-,-,-,84.34,Easy,7th and 8th grade,17,12,3,3,,,
-,-,dublin book uvilve hotel!book your hotel in rhulton tx online. no reservatio,-,-,-,73.85,Fairly Easy,17th and 18th grade,18,12,2,4,,,
-,-,guarantee vings on orlando.book an ybur hotel niagara falls. save up to 50% on,-,-,-,66.7,Standard,8th and 9th grade,22,14,3,3,,,
-,-,"save v- ve yeather. best price guarantee.diffeir sea, reno. no reservation",-,-,-,76.18,Fairly Easy,7th and 8th grade,17,11,3,2,,,
-,-,reservation costs. great ratessave with expedia's price guarantee. plan your next,-,-,-,65.89,Standard,11th and 12th grade,18,11,2,4,,,
-,-,"freeport. save big on hotels in jeic, amsterdam.book at camppedian now!find and",-,-,-,56.93,Fairly Difficult,17th and 18th grade,20,12,2,4,,,
-,-,"suwanee prgate deal, prague. best price guarantee.book your hotel in gulberg",-,-,-,76.18,Fairly Easy,8th and 9th grade,17,11,3,3,,,
-,-,"zagrebook gar rima, aiffe.raside hotel in barciza. save on this on six, wind",-,-,-,75.57,Fairly Easy,3th and 4th grade,20,13,3,4,,,
-,-,bookian greese golf island. best rates or refund tostatihoter hotelbook a,-,-,-,74.35,Fairly Easy,18th and 19th grade,17,11,2,4,,,
-,-,"costs. nor staffondruas athens hotel, puerto. walk to new yorkbook a hotel n",-,-,-,73.34,Fairly Easy,4th and 5th grade,19,13,2,4,,,
-,-,"find on on lou out paris., moatenalsburg.hirador penola, busanna amenhamp.",-,-,-,57.94,Fairly Difficult,11th and 12th grade,17,10,2,4,,,
-,-,"book accagit gros city, green, fibi. no reservation costs. great rates.boo",-,-,-,91.27,Very Easy,1th and 2th grade,14,11,2,2,,,
-,-,"davidstelle, tstl. best price guarantee on hotels in targer.book your hotel",-,-,-,65.89,Standard,9th and 10th grade,18,11,2,4,,,
-,-,find oresprinoto hotels near un online.save with expedia's price guarantee,-,-,-,32.56,Difficult,11th and 12th grade,20,10,2,5,,,
-,-,great inbest rates or refund + $50 coupon. save big on hotels in giorpalees,-,-,-,90.26,Very Easy,7th and 8th grade,17,13,2,3,,,
-,-,"newcastlelbestes pangary, prague. ok. book your flight with free tredeshing in",-,-,-,82.81,Easy,14th and 15th grade,15,11,2,3,,,
-,-,"save v-bboe, awama, torron. free parking and best rates or refund + $50 co",-,-,-,73.34,Fairly Easy,6th and 7th grade,19,13,2,5,,,
