id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 7 day free trial. 50+ top channels. watch live tv & sports. no hidden fees. hassle-free tv. brands: hbo, fs1, cbs, fx, cnn international.",-,-,-,65.99,Standard,8th and 9th grade,60,38,7,10,,,
-,-,"enjoy your favorite tnt shows live on hulu. start your free trial today! 7 day free trial. enhanced cloud dvr. watch live tv & sports. 50+ top channels. no hidden fees. all-new tv experience. no hidden fees. hassle-free tv. brands: fox, cbs, nbc, fx, tnt, tbs, hgtv.",-,-,-,83.73,Easy,5th and 6th grade,63,46,10,9,,,
-,-,"current hbo episodes, past seasons and hit movies. add hbo on hulu now. hit movies. prices starting at $7.99. live tv. showtime. all your tv in one place. hbo. unlimited streaming. 50+ live tv channels. shows: grey's anatomy, rick and morty.",-,-,-,89.95,Easy,5th and 6th grade,52,41,6,9,,,
-,-,catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hbo. showtime.,-,-,-,70.13,Fairly Easy,7th and 8th grade,25,18,1,3,,,
-,-,"witch up with the latest episodes or binge from the beginning - only on hulu! live tv. showtime. hit movies. prices starting at $7.99. unlimited streaming. hbo. all your tv in one place. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,87.52,Easy,6th and 7th grade,61,46,5,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. showtime. hit movies. all your tv in one place. prices starting at $7.99. 50+ live tv channels. unlimited streaming. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power.",-,-,-,86.1,Easy,6th and 7th grade,70,53,5,11,,,
-,-,"all your tv together in one place. stream live tv, hit shows & hulu originals! showtime. all your tv in one place. hit movies. prices starting at $7.99. live tv. 50+ live tv channels. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,97.5,Very Easy,6th and 7th grade,57,46,6,7,,,
-,-,"experience 50+ live & on demand channels + hulus huge streaming library. enhanced cloud dvr. all-new tv experience. no hidden fees. 50+ top channels. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,74.76,Fairly Easy,8th and 9th grade,54,36,7,10,,,
-,-,"staeam seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! unlimited streaming. hit movies. live tv. all your tv in one place. showtime. hbo. prices starting at $7.99. 50+ live tv channels. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.43,Easy,7th and 8th grade,65,50,6,11,,,
-,-,"cut your cable & enjoy a better live tv experience with hulu. 50+ top channels. no hidden fees. watch live tv & sports. all-new tv experience. hassle-free tv. enhanced cloud dvr. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.91,Easy,6th and 7th grade,62,43,8,9,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 50+ top channels. no hidden fees. 7 day free trial. no hidden fees. watch live tv & sports. brands: hbo, fs1, cbs, fx, cnn international.",-,-,-,74.86,Fairly Easy,6th and 7th grade,61,40,8,9,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 50+ top channels. hassle-free tv. watch live tv & sports. 7 day free trial. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.41,Easy,6th and 7th grade,59,41,7,9,,,
-,-,enjoy your favorite fx shows live on hulu. start your free trial now! enhanced cloud dvr. 50+ top channels. hassle-free tv. no hidden fees.,-,-,-,83.52,Easy,5th and 6th grade,33,24,5,5,,,
-,-,"watch the best of hbo now on hulu. start streaming all your tv in one place. hit movies. live tv. unlimited streaming. showtime. hbo. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,87.21,Easy,5th and 6th grade,48,38,4,8,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. hassle-free tv. 50+ top channels. watch live news. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,82.71,Easy,6th and 7th grade,62,45,8,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. unlimited streaming. 50+ live tv channels. hit movies. live tv. prices starting at $7.99. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! watch live news. no hidden fees. all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc",-,-,-,83.42,Easy,6th and 7th grade,62,44,9,9,,,
-,-,golf of th & more on hulu. start your free trial!,-,-,-,91.78,Very Easy,1th and 2th grade,13,10,2,2,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 7 day free trial. 50+ top channels. no hidden fees. hassle-free tv. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,72.83,Fairly Easy,8th and 9th grade,61,42,6,11,,,
-,-,enjoy all your favorite fox sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. no hidden fees. hassle-free tv. 50+ top channels. no hidden fees. watch live tv & sports. enhanced cloud dvr.,-,-,-,84.13,Easy,6th and 7th grade,55,38,9,8,,,
-,-,"binge broad city on hulu and sign up for a 30 day free trial today! unlimited streaming. hbo. showtime. 50+ live tv channels. live tv. hit movies. all your tv in one place. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,95.37,Very Easy,4th and 5th grade,61,49,5,10,,,
-,-,"stream the top sports networks and live games on anl your supported devices! live sports. all-new tv experience. no hidden fees. watch live tv & sports. 50+ top channels. no hidden fees. hassle-free tv. enhanced cloud dvr. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,90.87,Very Easy,6th and 7th grade,71,53,9,10,,,
-,-,"cut your cable & enjoy a better live tv experience with hulu. 50+ top channels. hassle-free tv. enhanced cloud dvr. watch live tv & sports. all-new tv experience. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,74.15,Fairly Easy,6th and 7th grade,58,40,7,9,,,
