id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,large choice of sony core. compare prices and beat the crunch!,-,-,-,108.19,Other Value,-1th and 0th grade,12,11,2,0,,,
-,-,save big on women's shoes. experience anteltection for your baby!,-,-,-,49.48,Difficult,10th and 11th grade,18,10,2,4,,,
-,-,shopping discovery made simple. explore sony core controller!,-,-,-,50.5,Fairly Difficult,11th and 12th grade,14,8,2,4,,,
-,-,shop 200+ alto sundarce. super savings on action figures!,-,-,-,58.45,Fairly Difficult,12th and 13th grade,15,9,2,5,,,
-,-,shopping discovery made simple. explore sandals sexy shorts!,-,-,-,50.5,Fairly Difficult,11th and 12th grade,14,8,2,4,,,
-,-,large choice of string micro store. compare prices and beat the crunch!,-,-,-,99.23,Very Easy,7th and 8th grade,14,12,2,1,,,
-,-,shopping discovery made simple. explore connectivity!,-,-,-,-10.76,Other Value,25th and 26th grade,15,6,1,4,,,
-,-,shopping discovery made simple. explore solar coreles shirts!,-,-,-,42.04,Difficult,28th and 29th grade,15,8,2,5,,,
-,-,large choice of mini skin products. compare prices and stores!,-,-,-,91.78,Very Easy,1th and 2th grade,13,10,2,2,,,
-,-,large choice of stands. compare prices and beat the crunch!,-,-,-,108.7,Other Value,-1th and 0th grade,11,10,2,0,,,
-,-,large choice of man controller parts. compare prices and beat the crunch!,-,-,-,99.23,Very Easy,5th and 6th grade,14,12,2,1,,,
-,-,large choice of sony price online. compare prices and beat the crunch!,-,-,-,99.23,Very Easy,7th and 8th grade,14,12,2,1,,,
-,-,shopping discovery made simple. explore sony vicrosoft supplies!,-,-,-,42.04,Difficult,13th and 14th grade,15,8,2,5,,,
-,-,large choice of marine car parts. compare prices and beat the crunch!,-,-,-,99.23,Very Easy,7th and 8th grade,14,12,2,1,,,
-,-,shopping discovery made simple. explore samsung price cards!,-,-,-,50.5,Fairly Difficult,11th and 12th grade,14,8,2,4,,,
-,-,large choice of maric compare prices and stores!,-,-,-,88.74,Easy,2th and 3th grade,10,8,1,1,,,
-,-,large choice of stars power tops explore colone panties!,-,-,-,96.18,Very Easy,11th and 12th grade,11,9,1,1,,,
-,-,shopping discovery made simple. explore color designer!,-,-,-,25.62,Very Confusing,12th and 13th grade,15,7,2,4,,,
-,-,"save on pantys of the rone server. ""compare prices, product reviews.",-,-,-,82.81,Easy,9th and 10th grade,15,11,2,4,,,
-,-,shopping discovery made simple. explore sandal shoes online!,-,-,-,42.04,Difficult,13th and 14th grade,15,8,2,5,,,
-,-,shopping discovery made simple. explore canon panasonic cards for sale!,-,-,-,57.94,Fairly Difficult,9th and 10th grade,17,10,2,4,,,
-,-,shopping discovery made simple. explore samsung pro 60 camera!,-,-,-,49.99,Difficult,12th and 13th grade,16,9,2,5,,,
-,-,"save on satin price loom shoes. ""low prices, reviews, free shipping.",-,-,-,99.73,Very Easy,6th and 7th grade,13,11,2,2,,,
-,-,large choice of martin computer boots. compare prices and stores!,-,-,-,83.32,Easy,11th and 12th grade,14,10,2,2,,,
-,-,large choice of sony card explore sony card!,-,-,-,105.66,Other Value,6th and 7th grade,9,8,1,1,,,
-,-,large choice of sony color sport store explore canadian shoes!,-,-,-,78.25,Fairly Easy,13th and 14th grade,14,10,1,2,,,
-,-,large choice of microsoft office explore canada!,-,-,-,55.91,Fairly Difficult,10th and 11th grade,12,7,1,3,,,
-,-,large choice of sony party. compare prices and beat the crunch!,-,-,-,99.73,Very Easy,7th and 8th grade,13,11,2,1,,,
-,-,large choice of sony products explore connectivity canada shoes!,-,-,-,45.42,Difficult,11th and 12th grade,16,9,1,4,,,
-,-,savenon satellite shoes!,-,-,-,93.81,Very Easy,16th and 17th grade,4,3,1,1,,,
-,-,"save on stars for server serving reviews. ""compare prices, product reviews.",-,-,-,74.35,Fairly Easy,1th and 2th grade,17,11,2,5,,,
-,-,large choice of samsung galaxy s4 patterns. compare prices and beat the crunch!,-,-,-,90.26,Very Easy,13th and 14th grade,17,13,2,3,,,
-,-,shopping discovery made simple. explore samaung gelaxy s4 car seat!,-,-,-,74.86,Fairly Easy,8th and 9th grade,15,10,2,3,,,
-,-,shopping discovery made simple. explore connection toys for mac!,-,-,-,49.99,Difficult,10th and 11th grade,16,9,2,4,,,
-,-,large choice of sony collection the boots explore sexy shirts womens!,-,-,-,77.23,Fairly Easy,12th and 13th grade,15,11,1,3,,,
-,-,save on pink canada!,-,-,-,92.8,Very Easy,0th and 1th grade,5,4,1,1,,,
-,-,shopping discovery made simple. explore car product on the rocket!,-,-,-,57.94,Fairly Difficult,11th and 12th grade,17,10,2,5,,,
-,-,shopping discovery made simple. explore sandals shoes online!,-,-,-,42.04,Difficult,28th and 29th grade,15,8,2,5,,,
-,-,shopping discovery made simple. explore color designer pants!,-,-,-,33.58,Difficult,11th and 12th grade,16,8,2,4,,,
-,-,shopping discovery made simple. explore samsung galaxy s3 price!,-,-,-,49.99,Difficult,13th and 14th grade,16,9,2,5,,,
-,-,large choice of sony prices explore sony vicrosoft sexy shoes!,-,-,-,95.17,Very Easy,13th and 14th grade,12,10,1,2,,,
-,-,large choice of marine carding sets. compare prices and beat the crunch!,-,-,-,90.77,Very Easy,1th and 2th grade,15,12,2,2,,,
