HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.content,Answer.sentiment,Approve,Reject
304QEQWKZPY5OCVS544T98DLBAZ0OJ,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:04:46 PDT 2018,3,BatchId:3379402;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:04:46 PDT 2018,,,3DZQRBDBSMTJQGKCLA8NKVGEFDX3SB,A23WTODPHXZ68Y,Approved,Sat Sep 22 16:36:11 PDT 2018,Sat Sep 22 16:49:29 PDT 2018,Tue Sep 25 16:49:29 PDT 2018,Sun Sep 23 07:28:20 PDT 2018,,,798,100% (50/50),100% (50/50),100% (50/50),"enjoy all your favorite fox sports coverage live on hulu. start free trial now! a4l-new tv experience. 50+ top channels. hassle-free tv. no hidden fees. watch live news. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",Relevance,,
304QEQWKZPY5OCVS544T98DLBAZ0OJ,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:04:46 PDT 2018,3,BatchId:3379402;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:04:46 PDT 2018,,,3U5NZHP4LSG17WBJ8ETVTKCDBY5PHL,A1G94QON7A9K0N,Approved,Sat Sep 22 16:17:57 PDT 2018,Sat Sep 22 16:18:17 PDT 2018,Tue Sep 25 16:18:17 PDT 2018,Sat Sep 22 16:20:10 PDT 2018,,,20,100% (403/403),100% (403/403),100% (403/403),"enjoy all your favorite fox sports coverage live on hulu. start free trial now! a4l-new tv experience. 50+ top channels. hassle-free tv. no hidden fees. watch live news. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",Relevance,,
304QEQWKZPY5OCVS544T98DLBAZ0OJ,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:04:46 PDT 2018,3,BatchId:3379402;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:04:46 PDT 2018,,,3XXU1SWE8N9J9SZLLN4DXXO1QV5A0Q,A2LV5432PV1S39,Approved,Sat Sep 22 16:32:07 PDT 2018,Sat Sep 22 16:32:11 PDT 2018,Tue Sep 25 16:32:11 PDT 2018,Sun Sep 23 07:28:20 PDT 2018,,,4,100% (405/405),100% (405/405),100% (405/405),"enjoy all your favorite fox sports coverage live on hulu. start free trial now! a4l-new tv experience. 50+ top channels. hassle-free tv. no hidden fees. watch live news. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",Relevance,,
3087LXLJ6MUBIZIZ61L3ME47J980FX,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:04:44 PDT 2018,3,BatchId:3379402;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:04:44 PDT 2018,,,3C5W7UE9CG4S8JELL2JPF26CUJEMXG,A1G94QON7A9K0N,Approved,Sat Sep 22 16:27:56 PDT 2018,Sat Sep 22 16:28:09 PDT 2018,Tue Sep 25 16:28:09 PDT 2018,Sun Sep 23 07:28:20 PDT 2018,,,13,100% (403/403),100% (403/403),100% (403/403),"enjoy your favorite fox shows live on hulu. start your free trial now! watch live tv & sports. 50+ top channels. no hidden fees. 7 day free trial. enhanced cloud dvr. all-new tv experience. no hidden fees. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",Relevance,,
3087LXLJ6MUBIZIZ61L3ME47J980FX,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:04:44 PDT 2018,3,BatchId:3379402;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:04:44 PDT 2018,,,3R9WASFE20UB74MJ0X3XHX2E5I0FZZ,A34M93NJC830DP,Approved,Sat Sep 22 16:23:56 PDT 2018,Sat Sep 22 16:24:20 PDT 2018,Tue Sep 25 16:24:20 PDT 2018,Sun Sep 23 07:28:20 PDT 2018,,,24,100% (11/11),100% (11/11),100% (11/11),"enjoy your favorite fox shows live on hulu. start your free trial now! watch live tv & sports. 50+ top channels. no hidden fees. 7 day free trial. enhanced cloud dvr. all-new tv experience. no hidden fees. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",Relevance,,
3087LXLJ6MUBIZIZ61L3ME47J980FX,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:04:44 PDT 2018,3,BatchId:3379402;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:04:44 PDT 2018,,,3V5Q80FXIY5QLH3ERVTHTD3AHJY328,ACDX50KGPE97I,Approved,Sat Sep 22 16:34:48 PDT 2018,Sat Sep 22 16:34:54 PDT 2018,Tue Sep 25 16:34:54 PDT 2018,Sun Sep 23 07:28:21 PDT 2018,,,6,100% (50/50),100% (50/50),100% (50/50),"enjoy your favorite fox shows live on hulu. start your free trial now! watch live tv & sports. 50+ top channels. no hidden fees. 7 day free trial. enhanced cloud dvr. all-new tv experience. no hidden fees. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",Relevance,,
308KJXFUJRKH2HYITNNLSOVLJ4RTAO,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:04:44 PDT 2018,3,BatchId:3379402;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:04:44 PDT 2018,,,3DEL4X4EL7ZS203Z45709XTJ3TSYXI,A2LV5432PV1S39,Approved,Sat Sep 22 16:27:30 PDT 2018,Sat Sep 22 16:27:34 PDT 2018,Tue Sep 25 16:27:34 PDT 2018,Sun Sep 23 07:28:21 PDT 2018,,,4,100% (405/405),100% (405/405),100% (405/405),"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 7 day free trial. watch live tv & sports. 50+ top channels. no hidden fees. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",Relevance,,
308KJXFUJRKH2HYITNNLSOVLJ4RTAO,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:04:44 PDT 2018,3,BatchId:3379402;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:04:44 PDT 2018,,,3QRYMNZ7FZVR9KQ1STXS3EA6MD0NTY,AJPQEZBVJXVE9,Approved,Sat Sep 22 16:25:30 PDT 2018,Sat Sep 22 16:25:37 PDT 2018,Tue Sep 25 16:25:37 PDT 2018,Sun Sep 23 07:28:21 PDT 2018,,,7,100% (91/91),100% (91/91),100% (91/91),"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 7 day free trial. watch live tv & sports. 50+ top channels. no hidden fees. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",Relevance,,
308KJXFUJRKH2HYITNNLSOVLJ4RTAO,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:04:44 PDT 2018,3,BatchId:3379402;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:04:44 PDT 2018,,,3SLE99ER0ORLUNA3VVH1Y7BTQK7ZB0,APQU1QQ738JV9,Approved,Sat Sep 22 16:18:45 PDT 2018,Sat Sep 22 16:19:00 PDT 2018,Tue Sep 25 16:19:00 PDT 2018,Sat Sep 22 16:20:36 PDT 2018,,,15,100% (222/222),100% (222/222),100% (222/222),"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 7 day free trial. watch live tv & sports. 50+ top channels. no hidden fees. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",Relevance,,
308KJXFUJRKH2HYITNNLSOVLJ4SAT6,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:04:46 PDT 2018,3,BatchId:3379402;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:04:46 PDT 2018,,,34J10VATJGCM33NIE9Q5T132G77IQZ,A1LZWU72K42V92,Approved,Sat Sep 22 16:24:03 PDT 2018,Sat Sep 22 16:24:07 PDT 2018,Tue Sep 25 16:24:07 PDT 2018,Sun Sep 23 07:28:21 PDT 2018,,,4,100% (94/94),100% (94/94),100% (94/94),"enjoy all your favorite fs1 sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv. enhanced cloud dvr. watch live tv & sports. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",Relevance,,
