HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.content,Answer.sentiment,Approve,Reject
301KG0KX9CZ2S5CJGEDH8N9ZWM5H2W,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:07:28 PDT 2018,3,BatchId:3379404;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:07:28 PDT 2018,,,3FQ5JJ512M2S610EYKJ02NNA30AKNQ,A2SBISQJE2ZPJQ,Approved,Sat Sep 22 16:33:10 PDT 2018,Sat Sep 22 16:36:36 PDT 2018,Tue Sep 25 16:36:36 PDT 2018,Sun Sep 23 07:27:43 PDT 2018,,,206,100% (353/353),100% (353/353),100% (353/353),book a b&b in bangkok online. no reservation costs. great rates.,Relevance,,
301KG0KX9CZ2S5CJGEDH8N9ZWM5H2W,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:07:28 PDT 2018,3,BatchId:3379404;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:07:28 PDT 2018,,,3ITXP059PXXUBUM1OV0A02X3BAHJS1,A2LV5432PV1S39,Approved,Sat Sep 22 16:26:28 PDT 2018,Sat Sep 22 16:26:33 PDT 2018,Tue Sep 25 16:26:33 PDT 2018,Sun Sep 23 07:27:43 PDT 2018,,,5,100% (405/405),100% (405/405),100% (405/405),book a b&b in bangkok online. no reservation costs. great rates.,Irrelevance,,
301KG0KX9CZ2S5CJGEDH8N9ZWM5H2W,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:07:28 PDT 2018,3,BatchId:3379404;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:07:28 PDT 2018,,,3R2PKQ87NXMVIOPQMGJOCSJX66BMIH,A1G94QON7A9K0N,Approved,Sat Sep 22 16:32:36 PDT 2018,Sat Sep 22 16:32:53 PDT 2018,Tue Sep 25 16:32:53 PDT 2018,Sun Sep 23 07:27:43 PDT 2018,,,17,100% (403/403),100% (403/403),100% (403/403),book a b&b in bangkok online. no reservation costs. great rates.,Relevance,,
302OLP89DZL0G0W771SV3EVHVISCAP,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:07:28 PDT 2018,3,BatchId:3379404;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:07:28 PDT 2018,,,31IBVUNM9TDUYKH9Z0EUWRPIH7UFVZ,APQU1QQ738JV9,Approved,Sat Sep 22 16:23:49 PDT 2018,Sat Sep 22 16:23:55 PDT 2018,Tue Sep 25 16:23:55 PDT 2018,Sun Sep 23 07:27:43 PDT 2018,,,6,100% (222/222),100% (222/222),100% (222/222),best rates or refund + $50 coupon. book your san jusn airport hotel today!,Relevance,,
302OLP89DZL0G0W771SV3EVHVISCAP,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:07:28 PDT 2018,3,BatchId:3379404;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:07:28 PDT 2018,,,3OVHNO1VE7FE9K8N9R87TXZTT5JZD7,A1LZWU72K42V92,Approved,Sat Sep 22 16:18:54 PDT 2018,Sat Sep 22 16:19:07 PDT 2018,Tue Sep 25 16:19:07 PDT 2018,Sat Sep 22 16:22:52 PDT 2018,,,13,100% (94/94),100% (94/94),100% (94/94),best rates or refund + $50 coupon. book your san jusn airport hotel today!,Relevance,,
302OLP89DZL0G0W771SV3EVHVISCAP,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:07:28 PDT 2018,3,BatchId:3379404;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:07:28 PDT 2018,,,3OWEPKL08AQ4BMTUFQURYIIOXG7N7K,A2LV5432PV1S39,Approved,Sat Sep 22 16:08:05 PDT 2018,Sat Sep 22 16:08:29 PDT 2018,Tue Sep 25 16:08:29 PDT 2018,Sat Sep 22 16:22:53 PDT 2018,,,24,100% (405/405),100% (405/405),100% (405/405),best rates or refund + $50 coupon. book your san jusn airport hotel today!,Relevance,,
307FVKVSYRTF2ULU7JATAPH32X547D,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:07:28 PDT 2018,3,BatchId:3379404;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:07:28 PDT 2018,,,3EF8EXOTT29UHAN7BCLQ41AULA51J0,APJJ1HHD2GGFS,Approved,Sat Sep 22 16:31:53 PDT 2018,Sat Sep 22 16:32:01 PDT 2018,Tue Sep 25 16:32:01 PDT 2018,Sun Sep 23 07:27:44 PDT 2018,,,8,100% (47/47),100% (47/47),100% (47/47),best rates on the san francisco hotel. plan your next trip with expedia.,Relevance,,
307FVKVSYRTF2ULU7JATAPH32X547D,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:07:28 PDT 2018,3,BatchId:3379404;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:07:28 PDT 2018,,,3SB4CE2TJW9R6I5WOZTK6BBC02NXA5,APQU1QQ738JV9,Approved,Sat Sep 22 16:08:13 PDT 2018,Sat Sep 22 16:08:23 PDT 2018,Tue Sep 25 16:08:23 PDT 2018,Sat Sep 22 16:22:53 PDT 2018,,,10,100% (222/222),100% (222/222),100% (222/222),best rates on the san francisco hotel. plan your next trip with expedia.,Relevance,,
307FVKVSYRTF2ULU7JATAPH32X547D,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:07:28 PDT 2018,3,BatchId:3379404;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:07:28 PDT 2018,,,3ZSANO2JCGLE6S05559PL45BI3ZFST,A2LV5432PV1S39,Approved,Sat Sep 22 16:12:06 PDT 2018,Sat Sep 22 16:12:09 PDT 2018,Tue Sep 25 16:12:09 PDT 2018,Sat Sep 22 16:22:53 PDT 2018,,,3,100% (405/405),100% (405/405),100% (405/405),best rates on the san francisco hotel. plan your next trip with expedia.,Relevance,,
309D674SHZZ5ZA1ZDFSRYPFND0DCBK,30HLKW73X2JPP1AI67Y8J58E8Q4CBT,relevancy evaluation,provide the relevancy of keyword to sentences,"relevancy evaluation, relevancy keyword",$0.01,Sat Sep 22 16:07:29 PDT 2018,3,BatchId:3379404;OriginalHitTemplateId:926051491;,86400,259200,Sat Sep 22 23:07:29 PDT 2018,,,3LEIZ60CDKD26UV6XB3571G32K49Z0,A2LV5432PV1S39,Approved,Sat Sep 22 16:09:35 PDT 2018,Sat Sep 22 16:09:39 PDT 2018,Tue Sep 25 16:09:39 PDT 2018,Sat Sep 22 16:22:53 PDT 2018,,,4,100% (405/405),100% (405/405),100% (405/405),"book a hotel near st germain, mall. save up to 50% on your reservation.",Relevance,,
