"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.seed","Input.content","Answer.sentiment","Approve","Reject"
"3EKZL9T8Y80FQN4LD72NK0IL8DICH0","30HLKW73X2JPP1AI67Y8J58E8Q4CBT","relevancy evaluation","provide the relevancy of keyword to sentences","relevancy evaluation, relevancy keyword","$0.01","Sat Sep 22 16:08:49 PDT 2018","3","BatchId:3379405;OriginalHitTemplateId:926051491;","86400","259200","Sat Sep 22 23:08:49 PDT 2018","","","39ZSFO5CA9AAQ7E5D0VAF3FRW71UJR","APQU1QQ738JV9","Approved","Sat Sep 22 16:19:04 PDT 2018","Sat Sep 22 16:19:15 PDT 2018","Tue Sep 25 16:19:15 PDT 2018","Sat Sep 22 16:24:30 PDT 2018","","","11","100% (222/222)","100% (222/222)","100% (222/222)","great","great great spa scorf, gardens. best price guaranteebest rates on hotel apa","Irrelevance"
"3EKZL9T8Y80FQN4LD72NK0IL8DICH0","30HLKW73X2JPP1AI67Y8J58E8Q4CBT","relevancy evaluation","provide the relevancy of keyword to sentences","relevancy evaluation, relevancy keyword","$0.01","Sat Sep 22 16:08:49 PDT 2018","3","BatchId:3379405;OriginalHitTemplateId:926051491;","86400","259200","Sat Sep 22 23:08:49 PDT 2018","","","3NVC2EB65RDGM2WLKG0C2H4FWYRY3I","A130P4M9JPT4YA","Approved","Sat Sep 22 16:29:45 PDT 2018","Sat Sep 22 16:29:49 PDT 2018","Tue Sep 25 16:29:49 PDT 2018","Sun Sep 23 07:31:09 PDT 2018","","","4","100% (342/342)","100% (342/342)","100% (342/342)","great","great great spa scorf, gardens. best price guaranteebest rates on hotel apa","Relevance"
"3EKZL9T8Y80FQN4LD72NK0IL8DICH0","30HLKW73X2JPP1AI67Y8J58E8Q4CBT","relevancy evaluation","provide the relevancy of keyword to sentences","relevancy evaluation, relevancy keyword","$0.01","Sat Sep 22 16:08:49 PDT 2018","3","BatchId:3379405;OriginalHitTemplateId:926051491;","86400","259200","Sat Sep 22 23:08:49 PDT 2018","","","3RWE2M8QWIOQTBTAUR9IJ381P22N0L","A2LV5432PV1S39","Approved","Sat Sep 22 16:19:06 PDT 2018","Sat Sep 22 16:19:09 PDT 2018","Tue Sep 25 16:19:09 PDT 2018","Sat Sep 22 16:24:30 PDT 2018","","","3","100% (405/405)","100% (405/405)","100% (405/405)","great","great great spa scorf, gardens. best price guaranteebest rates on hotel apa","Relevance"
"3IKDQS3DQEEFMIF5JPK8KCJ08QXCIT","30HLKW73X2JPP1AI67Y8J58E8Q4CBT","relevancy evaluation","provide the relevancy of keyword to sentences","relevancy evaluation, relevancy keyword","$0.01","Sat Sep 22 16:08:49 PDT 2018","3","BatchId:3379405;OriginalHitTemplateId:926051491;","86400","259200","Sat Sep 22 23:08:49 PDT 2018","","","317HQ483I86106AQYHYOP78XBWJINB","A2SBISQJE2ZPJQ","Approved","Sat Sep 22 16:13:29 PDT 2018","Sat Sep 22 16:17:38 PDT 2018","Tue Sep 25 16:17:38 PDT 2018","Sat Sep 22 16:24:31 PDT 2018","","","249","100% (353/353)","100% (353/353)","100% (353/353)","central","centralenfind and compare exclusive deals on hotels in edinburgh courtep, ind","Relevance"
"3IKDQS3DQEEFMIF5JPK8KCJ08QXCIT","30HLKW73X2JPP1AI67Y8J58E8Q4CBT","relevancy evaluation","provide the relevancy of keyword to sentences","relevancy evaluation, relevancy keyword","$0.01","Sat Sep 22 16:08:49 PDT 2018","3","BatchId:3379405;OriginalHitTemplateId:926051491;","86400","259200","Sat Sep 22 23:08:49 PDT 2018","","","34S6N1K2ZWXBGBWLGM0OC33T6O4LHJ","APQU1QQ738JV9","Approved","Sat Sep 22 16:14:22 PDT 2018","Sat Sep 22 16:14:33 PDT 2018","Tue Sep 25 16:14:33 PDT 2018","Sat Sep 22 16:24:31 PDT 2018","","","11","100% (222/222)","100% (222/222)","100% (222/222)","central","centralenfind and compare exclusive deals on hotels in edinburgh courtep, ind","Irrelevance"
"3IKDQS3DQEEFMIF5JPK8KCJ08QXCIT","30HLKW73X2JPP1AI67Y8J58E8Q4CBT","relevancy evaluation","provide the relevancy of keyword to sentences","relevancy evaluation, relevancy keyword","$0.01","Sat Sep 22 16:08:49 PDT 2018","3","BatchId:3379405;OriginalHitTemplateId:926051491;","86400","259200","Sat Sep 22 23:08:49 PDT 2018","","","3VSOLARPKCN1L1ODC48W30BONP5933","A2LV5432PV1S39","Approved","Sat Sep 22 16:13:33 PDT 2018","Sat Sep 22 16:13:37 PDT 2018","Tue Sep 25 16:13:37 PDT 2018","Sat Sep 22 16:24:32 PDT 2018","","","4","100% (405/405)","100% (405/405)","100% (405/405)","central","centralenfind and compare exclusive deals on hotels in edinburgh courtep, ind","Irrelevance"
"38EHZ67RIM6EZDL16QEJ2WBWNR9MGT","30HLKW73X2JPP1AI67Y8J58E8Q4CBT","relevancy evaluation","provide the relevancy of keyword to sentences","relevancy evaluation, relevancy keyword","$0.01","Sat Sep 22 16:08:49 PDT 2018","3","BatchId:3379405;OriginalHitTemplateId:926051491;","86400","259200","Sat Sep 22 23:08:49 PDT 2018","","","3HMVI3QICK6KCZI6XCMTEOPIYEBY1O","A2LV5432PV1S39","Approved","Sat Sep 22 16:10:06 PDT 2018","Sat Sep 22 16:10:10 PDT 2018","Tue Sep 25 16:10:10 PDT 2018","Sat Sep 22 16:24:26 PDT 2018","","","4","100% (405/405)","100% (405/405)","100% (405/405)","great","greatimupn teneria.book johannes hotels near canage homes, singasa. best pr","Irrelevance"
"38EHZ67RIM6EZDL16QEJ2WBWNR9MGT","30HLKW73X2JPP1AI67Y8J58E8Q4CBT","relevancy evaluation","provide the relevancy of keyword to sentences","relevancy evaluation, relevancy keyword","$0.01","Sat Sep 22 16:08:49 PDT 2018","3","BatchId:3379405;OriginalHitTemplateId:926051491;","86400","259200","Sat Sep 22 23:08:49 PDT 2018","","","3MHW492WW1R04U9QLNI7RH9RE85VML","A1G94QON7A9K0N","Approved","Sat Sep 22 16:22:14 PDT 2018","Sat Sep 22 16:22:39 PDT 2018","Tue Sep 25 16:22:39 PDT 2018","Sat Sep 22 16:24:26 PDT 2018","","","25","100% (403/403)","100% (403/403)","100% (403/403)","great","greatimupn teneria.book johannes hotels near canage homes, singasa. best pr","Irrelevance"
"38EHZ67RIM6EZDL16QEJ2WBWNR9MGT","30HLKW73X2JPP1AI67Y8J58E8Q4CBT","relevancy evaluation","provide the relevancy of keyword to sentences","relevancy evaluation, relevancy keyword","$0.01","Sat Sep 22 16:08:49 PDT 2018","3","BatchId:3379405;OriginalHitTemplateId:926051491;","86400","259200","Sat Sep 22 23:08:49 PDT 2018","","","3WYGZ5XF3XTPMESJ6G0M1HXGQZHSK9","AHP3TKMY58D8Z","Approved","Sat Sep 22 16:30:11 PDT 2018","Sat Sep 22 16:30:15 PDT 2018","Tue Sep 25 16:30:15 PDT 2018","Sun Sep 23 07:31:09 PDT 2018","","","4","100% (290/290)","100% (290/290)","100% (290/290)","great","greatimupn teneria.book johannes hotels near canage homes, singasa. best pr","Irrelevance"
"3RIHDBQ1NECSZ9GCQWW1NWNX2RMMHS","30HLKW73X2JPP1AI67Y8J58E8Q4CBT","relevancy evaluation","provide the relevancy of keyword to sentences","relevancy evaluation, relevancy keyword","$0.01","Sat Sep 22 16:08:49 PDT 2018","3","BatchId:3379405;OriginalHitTemplateId:926051491;","86400","259200","Sat Sep 22 23:08:49 PDT 2018","","","34Q075JO1YRNF4MLP4BKMWVYM1Y10S","A2LV5432PV1S39","Approved","Sat Sep 22 16:23:59 PDT 2018","Sat Sep 22 16:24:03 PDT 2018","Tue Sep 25 16:24:03 PDT 2018","Sat Sep 22 16:24:49 PDT 2018","","","4","100% (405/405)","100% (405/405)","100% (405/405)","big","bigion. now on gobid's beach, switzer. get instant confirmation.book at a","Irrelevance"
