id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words
-,-,"book at harbour hotel, i-city. no reservation costs. great rates.",-,-,-,66.4,Standard,10th and 11th grade,16,10,2,4
-,-,"book at harbour hotel, i-city. no reservation costs. great rates.",-,-,-,66.4,Standard,10th and 11th grade,16,10,2,4
-,-,"book at harbour hotel, i-city. no reservation costs. great rates.",-,-,-,66.4,Standard,10th and 11th grade,16,10,2,4
-,-,"book a motel in i-city, ca. no reservation costs. great rates!",-,-,-,74.35,Easy,3th and 4th grade,16,11,2,3
-,-,"book a motel in i-city, ca. no reservation costs. great rates!",-,-,-,74.35,Easy,3th and 4th grade,16,11,2,3
-,-,"book a motel in i-city, ca. no reservation costs. great rates!",-,-,-,74.35,Easy,3th and 4th grade,16,11,2,3
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Easy,3th and 4th grade,16,11,2,3
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Easy,3th and 4th grade,16,11,2,3
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Easy,3th and 4th grade,16,11,2,3
-,-,book a hotel in central bricks. no reservation costs. great rates.,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2
-,-,book a hotel in central bricks. no reservation costs. great rates.,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2
-,-,book a hotel in central bricks. no reservation costs. great rates.,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2
-,-,best rates or refund + $50 coupon. book your cordich hotel today!,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2
-,-,best rates or refund + $50 coupon. book your cordich hotel today!,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2
-,-,best rates or refund + $50 coupon. book your cordich hotel today!,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2
-,-,"best rates or refund + $50 coupon. save on hotels in i-city, i-coun.",-,-,-,82.31,Easy,3th and 4th grade,17,12,2,3
-,-,"best rates or refund + $50 coupon. save on hotels in i-city, i-coun.",-,-,-,82.31,Easy,3th and 4th grade,17,12,2,3
-,-,"best rates or refund + $50 coupon. save on hotels in i-city, i-coun.",-,-,-,82.31,Easy,3th and 4th grade,17,12,2,3
-,-,"book a hotel near perrist street, i-city. save up to 50% on your reservation.",-,-,-,81.29,Easy,3th and 4th grade,20,14,2,3
-,-,"book a hotel near perrist street, i-city. save up to 50% on your reservation.",-,-,-,81.29,Easy,3th and 4th grade,20,14,2,3
-,-,"book a hotel near perrist street, i-city. save up to 50% on your reservation.",-,-,-,81.29,Easy,3th and 4th grade,20,14,2,3
-,-,"book at hotel le saint-millern, i-city. no reservation costs. great rates.",-,-,-,74.35,Easy,8th and 9th grade,17,11,2,3
-,-,"book at hotel le saint-millern, i-city. no reservation costs. great rates.",-,-,-,74.35,Easy,8th and 9th grade,17,11,2,3
-,-,"book at hotel le saint-millern, i-city. no reservation costs. great rates.",-,-,-,74.35,Easy,8th and 9th grade,17,11,2,3
-,-,"best rates or refund + $50 coupon. save on hotels in i-city, i-coun.",-,-,-,82.31,Easy,3th and 4th grade,17,12,2,3
-,-,"best rates or refund + $50 coupon. save on hotels in i-city, i-coun.",-,-,-,82.31,Easy,3th and 4th grade,17,12,2,3
-,-,"best rates or refund + $50 coupon. save on hotels in i-city, i-coun.",-,-,-,82.31,Easy,3th and 4th grade,17,12,2,3
-,-,best rates or refund + $50 coupon. book your south beach hotel today!,-,-,-,90.77,Easy,6th and 7th grade,16,12,2,2
-,-,best rates or refund + $50 coupon. book your south beach hotel today!,-,-,-,90.77,Easy,6th and 7th grade,16,12,2,2
-,-,best rates or refund + $50 coupon. book your south beach hotel today!,-,-,-,90.77,Easy,6th and 7th grade,16,12,2,2
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Easy,8th and 9th grade,17,11,2,3
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Easy,8th and 9th grade,17,11,2,3
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Easy,8th and 9th grade,17,11,2,3
-,-,book your hotel in corto ca online. no reservation costs. great rates.,-,-,-,82.31,Easy,7th and 8th grade,17,12,2,3
-,-,book your hotel in corto ca online. no reservation costs. great rates.,-,-,-,82.31,Easy,7th and 8th grade,17,12,2,3
