id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words
-,-,mansions downtown romantic downtown hotel. save with instant easy to yale. no reservation,-,-,-,56.42,Difficult,9th and 10th grade,22,13,2,4
-,-,mansions downtown romantic downtown hotel. save with instant easy to yale. no reservation,-,-,-,56.42,Difficult,9th and 10th grade,22,13,2,4
-,-,mansions downtown romantic downtown hotel. save with instant easy to yale. no reservation,-,-,-,56.42,Difficult,9th and 10th grade,22,13,2,4
-,-,"book accommodation in soho. no reservation costs. great rates. book at hotel metropole,",-,-,-,67.11,Standard,7th and 8th grade,21,13,3,3
-,-,"book accommodation in soho. no reservation costs. great rates. book at hotel metropole,",-,-,-,67.11,Standard,7th and 8th grade,21,13,3,3
-,-,"book accommodation in soho. no reservation costs. great rates. book at hotel metropole,",-,-,-,67.11,Standard,7th and 8th grade,21,13,3,3
-,-,"near the san antonio center. book at natura queen beach hotel, united mexico.",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,6
-,-,"near the san antonio center. book at natura queen beach hotel, united mexico.",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,6
-,-,"near the san antonio center. book at natura queen beach hotel, united mexico.",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,6
-,-,"free lincoln shores ny book reservation great rates save big on this detroit,",-,-,-,83.66,Easy,4th and 5th grade,17,13,1,3
-,-,"free lincoln shores ny book reservation great rates save big on this detroit,",-,-,-,83.66,Easy,4th and 5th grade,17,13,1,3
-,-,"free lincoln shores ny book reservation great rates save big on this detroit,",-,-,-,83.66,Easy,4th and 5th grade,17,13,1,3
-,-,"best western bowness-on-windermere luxury hotel, new jersey. no reservation costs. great rates. hotels",-,-,-,31.04,Difficult,10th and 11th grade,26,13,2,6
-,-,"best western bowness-on-windermere luxury hotel, new jersey. no reservation costs. great rates. hotels",-,-,-,31.04,Difficult,10th and 11th grade,26,13,2,6
-,-,"best western bowness-on-windermere luxury hotel, new jersey. no reservation costs. great rates. hotels",-,-,-,31.04,Difficult,10th and 11th grade,26,13,2,6
-,-,"book at hotel oudaya, marrakech. no reservation costs. great rates. save on hotels",-,-,-,75.57,Easy,8th and 9th grade,19,13,3,4
-,-,"book at hotel oudaya, marrakech. no reservation costs. great rates. save on hotels",-,-,-,75.57,Easy,8th and 9th grade,19,13,3,4
-,-,"book at hotel oudaya, marrakech. no reservation costs. great rates. save on hotels",-,-,-,75.57,Easy,8th and 9th grade,19,13,3,4
-,-,"portofino, louis point ny ny inn, marina nearby. no reservation costs. great rates.",-,-,-,73.34,Easy,8th and 9th grade,19,13,2,4
-,-,"portofino, louis point ny ny inn, marina nearby. no reservation costs. great rates.",-,-,-,73.34,Easy,8th and 9th grade,19,13,2,4
-,-,"portofino, louis point ny ny inn, marina nearby. no reservation costs. great rates.",-,-,-,73.34,Easy,8th and 9th grade,19,13,2,4
-,-,deals book hotels near seattle france shopping excursion to 50% on your hotels,-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3
-,-,deals book hotels near seattle france shopping excursion to 50% on your hotels,-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3
-,-,deals book hotels near seattle france shopping excursion to 50% on your hotels,-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3
-,-,craggy this lake hotel. book save with expedia's price guarantee book at woodlands,-,-,-,73.34,Easy,10th and 11th grade,20,13,2,5
-,-,craggy this lake hotel. book save with expedia's price guarantee book at woodlands,-,-,-,73.34,Easy,10th and 11th grade,20,13,2,5
-,-,craggy this lake hotel. book save with expedia's price guarantee book at woodlands,-,-,-,73.34,Easy,10th and 11th grade,20,13,2,5
-,-,book on hotels in dubrovnik. no reservation costs. great rates. book your hotel,-,-,-,92.49,Easy,6th and 7th grade,17,13,3,2
-,-,book on hotels in dubrovnik. no reservation costs. great rates. book your hotel,-,-,-,92.49,Easy,6th and 7th grade,17,13,3,2
-,-,book on hotels in dubrovnik. no reservation costs. great rates. book your hotel,-,-,-,92.49,Easy,6th and 7th grade,17,13,3,2
-,-,"reservation costs. great rates. best rates on omaha hotel & walking private beach,",-,-,-,50.84,Difficult,9th and 10th grade,20,12,1,4
-,-,"reservation costs. great rates. best rates on omaha hotel & walking private beach,",-,-,-,50.84,Difficult,9th and 10th grade,20,12,1,4
-,-,"reservation costs. great rates. best rates on omaha hotel & walking private beach,",-,-,-,50.84,Difficult,9th and 10th grade,20,12,1,4
