HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.seed,Input.content,Answer.sentiment,Approve,Reject
3V0TR1NRVAGXLWJSEMMDKGJT33E4A3,3EYXOXDEN7U8FDJ4MDVXSRSCPDWJZH,english readability,read english texts and rate its readability,english text readability,$0.01,Thu Sep 20 16:14:53 PDT 2018,3,BatchId:3377761;OriginalHitTemplateId:926051491;,86400,259200,Thu Sep 20 23:14:53 PDT 2018,,,336KAV9KYR6R1K02GGM7J7ZNQFF2YP,A1506T1PAYRT16,Approved,Thu Sep 20 17:37:51 PDT 2018,Thu Sep 20 17:37:56 PDT 2018,Sun Sep 23 17:37:56 PDT 2018,Fri Sep 21 13:57:44 PDT 2018,,,5,100% (155/155),100% (155/155),100% (155/155),mansions,mansions downtown romantic downtown hotel. save with instant easy to yale. no reservation,Very Easy,,
3V0TR1NRVAGXLWJSEMMDKGJT33E4A3,3EYXOXDEN7U8FDJ4MDVXSRSCPDWJZH,english readability,read english texts and rate its readability,english text readability,$0.01,Thu Sep 20 16:14:53 PDT 2018,3,BatchId:3377761;OriginalHitTemplateId:926051491;,86400,259200,Thu Sep 20 23:14:53 PDT 2018,,,338JKRMM27DUKS5HJVBY3PNIC7UAH5,A3EZ0H07TSDAPW,Approved,Thu Sep 20 17:43:40 PDT 2018,Thu Sep 20 17:43:50 PDT 2018,Sun Sep 23 17:43:50 PDT 2018,Fri Sep 21 13:57:44 PDT 2018,,,10,100% (565/565),100% (565/565),100% (565/565),mansions,mansions downtown romantic downtown hotel. save with instant easy to yale. no reservation,Fairly Easy,,
3V0TR1NRVAGXLWJSEMMDKGJT33E4A3,3EYXOXDEN7U8FDJ4MDVXSRSCPDWJZH,english readability,read english texts and rate its readability,english text readability,$0.01,Thu Sep 20 16:14:53 PDT 2018,3,BatchId:3377761;OriginalHitTemplateId:926051491;,86400,259200,Thu Sep 20 23:14:53 PDT 2018,,,34PGFRQONPPNIB3A80ABXR0OHI0WJ6,A3I1W58P6SIV26,Approved,Thu Sep 20 17:40:42 PDT 2018,Thu Sep 20 17:40:53 PDT 2018,Sun Sep 23 17:40:53 PDT 2018,Fri Sep 21 13:57:44 PDT 2018,,,11,100% (240/240),100% (240/240),100% (240/240),mansions,mansions downtown romantic downtown hotel. save with instant easy to yale. no reservation,Easy,,
3P520RYKCHKZWO1QYWMEP911A20U59,3EYXOXDEN7U8FDJ4MDVXSRSCPDWJZH,english readability,read english texts and rate its readability,english text readability,$0.01,Thu Sep 20 16:14:53 PDT 2018,3,BatchId:3377761;OriginalHitTemplateId:926051491;,86400,259200,Thu Sep 20 23:14:53 PDT 2018,,,3E4GGUZ1T95WHFBLC1LGAZKCS05K2B,A1PD6JGBEGNHE6,Approved,Thu Sep 20 17:34:35 PDT 2018,Thu Sep 20 17:34:41 PDT 2018,Sun Sep 23 17:34:41 PDT 2018,Fri Sep 21 13:57:37 PDT 2018,,,6,100% (155/155),100% (155/155),100% (155/155),book,"book accommodation in soho. no reservation costs. great rates. book at hotel metropole,",Fairly Easy,,
3P520RYKCHKZWO1QYWMEP911A20U59,3EYXOXDEN7U8FDJ4MDVXSRSCPDWJZH,english readability,read english texts and rate its readability,english text readability,$0.01,Thu Sep 20 16:14:53 PDT 2018,3,BatchId:3377761;OriginalHitTemplateId:926051491;,86400,259200,Thu Sep 20 23:14:53 PDT 2018,,,3PQ8K71NHYYFA5X3DP16M30EZC2AAS,A3EZ0H07TSDAPW,Approved,Thu Sep 20 17:28:13 PDT 2018,Thu Sep 20 17:28:20 PDT 2018,Sun Sep 23 17:28:20 PDT 2018,Fri Sep 21 13:57:37 PDT 2018,,,7,100% (565/565),100% (565/565),100% (565/565),book,"book accommodation in soho. no reservation costs. great rates. book at hotel metropole,",Fairly Easy,,
3P520RYKCHKZWO1QYWMEP911A20U59,3EYXOXDEN7U8FDJ4MDVXSRSCPDWJZH,english readability,read english texts and rate its readability,english text readability,$0.01,Thu Sep 20 16:14:53 PDT 2018,3,BatchId:3377761;OriginalHitTemplateId:926051491;,86400,259200,Thu Sep 20 23:14:53 PDT 2018,,,3SBEHTYCWOHVC5E45J7Z6N64FBAIYE,A3I1W58P6SIV26,Approved,Thu Sep 20 17:26:36 PDT 2018,Thu Sep 20 17:26:43 PDT 2018,Sun Sep 23 17:26:43 PDT 2018,Fri Sep 21 13:57:37 PDT 2018,,,7,100% (240/240),100% (240/240),100% (240/240),book,"book accommodation in soho. no reservation costs. great rates. book at hotel metropole,",Fairly Easy,,
3TUOHPJXYHBLQBA5Z2KAZGDIOHLWXK,3EYXOXDEN7U8FDJ4MDVXSRSCPDWJZH,english readability,read english texts and rate its readability,english text readability,$0.01,Thu Sep 20 16:14:53 PDT 2018,3,BatchId:3377761;OriginalHitTemplateId:926051491;,86400,259200,Thu Sep 20 23:14:53 PDT 2018,,,3HWRJOOET6GM0E09AUPJ3MKB6X6ESM,A3EZ0H07TSDAPW,Approved,Thu Sep 20 17:19:22 PDT 2018,Thu Sep 20 17:19:31 PDT 2018,Sun Sep 23 17:19:31 PDT 2018,Fri Sep 21 13:57:42 PDT 2018,,,9,100% (565/565),100% (565/565),100% (565/565),near,"near the san antonio center. book at natura queen beach hotel, united mexico.",Easy,,
3TUOHPJXYHBLQBA5Z2KAZGDIOHLWXK,3EYXOXDEN7U8FDJ4MDVXSRSCPDWJZH,english readability,read english texts and rate its readability,english text readability,$0.01,Thu Sep 20 16:14:53 PDT 2018,3,BatchId:3377761;OriginalHitTemplateId:926051491;,86400,259200,Thu Sep 20 23:14:53 PDT 2018,,,3WR9XG3T64PIPEJOXLFVZ9CO6U474R,A31Z5TPD8QKE26,Approved,Thu Sep 20 17:57:21 PDT 2018,Thu Sep 20 17:57:26 PDT 2018,Sun Sep 23 17:57:26 PDT 2018,Fri Sep 21 13:57:42 PDT 2018,,,5,100% (311/311),100% (311/311),100% (311/311),near,"near the san antonio center. book at natura queen beach hotel, united mexico.",Easy,,
3TUOHPJXYHBLQBA5Z2KAZGDIOHLWXK,3EYXOXDEN7U8FDJ4MDVXSRSCPDWJZH,english readability,read english texts and rate its readability,english text readability,$0.01,Thu Sep 20 16:14:53 PDT 2018,3,BatchId:3377761;OriginalHitTemplateId:926051491;,86400,259200,Thu Sep 20 23:14:53 PDT 2018,,,3X73LLYYQ2S14BZ6SZG3PV7IBEPNHY,A3I1W58P6SIV26,Approved,Thu Sep 20 17:16:00 PDT 2018,Thu Sep 20 17:16:06 PDT 2018,Sun Sep 23 17:16:06 PDT 2018,Fri Sep 21 13:57:42 PDT 2018,,,6,100% (240/240),100% (240/240),100% (240/240),near,"near the san antonio center. book at natura queen beach hotel, united mexico.",Fairly Easy,,
371QPA24C22L8TLIX4USHN2IF8P1T8,3EYXOXDEN7U8FDJ4MDVXSRSCPDWJZH,english readability,read english texts and rate its readability,english text readability,$0.01,Thu Sep 20 16:14:53 PDT 2018,3,BatchId:3377761;OriginalHitTemplateId:926051491;,86400,259200,Thu Sep 20 23:14:53 PDT 2018,,,35DR22AR5EYRMX6BFKEAJ3X6UNJX3N,A3EZ0H07TSDAPW,Approved,Thu Sep 20 17:29:31 PDT 2018,Thu Sep 20 17:29:39 PDT 2018,Sun Sep 23 17:29:39 PDT 2018,Fri Sep 21 13:55:45 PDT 2018,,,8,100% (565/565),100% (565/565),100% (565/565),free,"free lincoln shores ny book reservation great rates save big on this detroit,",Easy,,
