id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words
-,-,"best rates or refund + $50 coupon. save on hotels in barcelona, ma.",-,-,-,90.77,Easy,2th and 3th grade,15,12,2,2
-,-,"best rates or refund + $50 coupon. save on hotels in barcelona, ma.",-,-,-,90.77,Easy,2th and 3th grade,15,12,2,2
-,-,"best rates or refund + $50 coupon. save on hotels in barcelona, ma.",-,-,-,90.77,Easy,2th and 3th grade,15,12,2,2
-,-,book your hotel in barchara online. no reservation costs. great rates.,-,-,-,74.35,Easy,6th and 7th grade,16,11,2,3
-,-,book your hotel in barchara online. no reservation costs. great rates.,-,-,-,74.35,Easy,6th and 7th grade,16,11,2,3
-,-,book your hotel in barchara online. no reservation costs. great rates.,-,-,-,74.35,Easy,6th and 7th grade,16,11,2,3
-,-,"book at the staning hotel, tokyo. no reservation costs. great rates.",-,-,-,82.81,Easy,8th and 9th grade,15,11,2,3
-,-,"book at the staning hotel, tokyo. no reservation costs. great rates.",-,-,-,82.81,Easy,8th and 9th grade,15,11,2,3
-,-,"book at the staning hotel, tokyo. no reservation costs. great rates.",-,-,-,82.81,Easy,8th and 9th grade,15,11,2,3
-,-,book your hotel in santa caria online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3
-,-,book your hotel in santa caria online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3
-,-,book your hotel in santa caria online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3
-,-,book your hotel in sunta cara online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3
-,-,book your hotel in sunta cara online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3
-,-,book your hotel in sunta cara online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3
-,-,"book at the strant hotel, montreal. no reservation costs. great rates.",-,-,-,74.35,Easy,6th and 7th grade,16,11,2,3
-,-,"book at the strant hotel, montreal. no reservation costs. great rates.",-,-,-,74.35,Easy,6th and 7th grade,16,11,2,3
-,-,"book at the strant hotel, montreal. no reservation costs. great rates.",-,-,-,74.35,Easy,6th and 7th grade,16,11,2,3
-,-,book your hotel in bridgen co online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3
-,-,book your hotel in bridgen co online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3
-,-,book your hotel in bridgen co online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3
