id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,"great rates. your rock all-inclusive lisbon hotel in stamford, de perth no reservation",-,-,-,66.74,Standard,14th and 15th grade,19,13,1,4,,,
-,-,save on hotels in montreal. best price guarantee! day trip silverwater american getaway,-,-,-,50.19,Fairly Difficult,10th and 11th grade,24,13,3,6,,,
-,-,"grand the san antonio center. book great rates from san francisco, all-inclusive station",-,-,-,73.34,Fairly Easy,8th and 9th grade,20,13,2,4,,,
-,-,"texas hotel telford, telford. no reservation costs. great rates. best rates on sultanahmet",-,-,-,84.03,Easy,9th and 10th grade,18,13,3,2,,,
-,-,"guarantee book at the crown, pacific resort now. save up to 50% on",-,-,-,81.8,Easy,3th and 4th grade,18,13,2,3,,,
-,-,"free lincoln shores ny book reservation great rates save big on this detroit,",-,-,-,83.66,Easy,4th and 5th grade,17,13,1,3,,,
-,-,golden canova online. no reservation costs. great rates. luxury harbour hotel with 2,-,-,-,58.65,Fairly Difficult,9th and 10th grade,22,13,3,5,,,
-,-,book rentals in worcester online book your hotel in port rose fl online.,-,-,-,83.66,Easy,5th and 6th grade,17,13,1,3,,,
-,-,resorts. book your hotel online. find and compare exclusive deals on hotels on,-,-,-,73.34,Fairly Easy,8th and 9th grade,20,13,2,4,,,
-,-,online. no reservation costs. great rates. save on your business congress airport hotels,-,-,-,73.34,Fairly Easy,8th and 9th grade,20,13,2,4,,,
-,-,"hull book at hotel oudaya, canary florida. no reservation costs. great rates. best",-,-,-,73.34,Fairly Easy,7th and 8th grade,20,13,2,3,,,
-,-,save on hotels in kuala chang. no reservation costs. great rates. best rates,-,-,-,98.72,Very Easy,4th and 5th grade,16,13,2,2,,,
-,-,"great rates. hotel with lavish green river, portland. beach resort - spa -",-,-,-,65.89,Standard,7th and 8th grade,18,11,2,4,,,
-,-,"rates. book a hotel near san angeles beach, chiang lucia car rental delhi",-,-,-,66.74,Standard,8th and 9th grade,19,13,1,4,,,
-,-,"shuttle and save big! book a motel in la paz, bolivia. no reservation",-,-,-,81.8,Easy,1th and 2th grade,18,13,2,4,,,
-,-,"airport, tokyo. no reservation costs. great rates. book at over tampa, fl hotels.",-,-,-,81.8,Easy,10th and 11th grade,18,13,2,4,,,
-,-,"save on cheap hotels in taormina, nh md online. no reservation costs. great",-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4,,,
-,-,"big book at great split central, hong kong. no reservation costs. great rates.",-,-,-,98.72,Very Easy,5th and 6th grade,16,13,2,2,,,
-,-,"choices, save on hotels in kansas city, wi. book at perfect hotel. dan",-,-,-,81.8,Easy,5th and 6th grade,18,13,2,5,,,
-,-,"rarotonga. boston book at hotel palym, paris. no reservation costs. great rates. book",-,-,-,73.34,Fairly Easy,8th and 9th grade,20,13,2,4,,,
-,-,"coupon book kata resort with 4 beach island. free nearby beach, paris hotel.",-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4,,,
-,-,hotels in singapore. no reservation costs. great rates. save big on this south,-,-,-,84.03,Easy,7th and 8th grade,18,13,3,3,,,
-,-,hotel in plymouth meeting de. best price guarantee! lowest price guarantee! book at,-,-,-,67.11,Standard,7th and 8th grade,21,13,3,3,,,
-,-,book online. best rates or refund + $50 coupon. book your trip to,-,-,-,90.77,Very Easy,4th and 5th grade,15,12,2,2,,,
-,-,"full-service hotel telford, telford. no reservation costs. great rates. best rates or refund",-,-,-,84.03,Easy,12th and 13th grade,18,13,3,3,,,
-,-,dublin austin save book your 5-star hotel today! find and compare exclusive deals,-,-,-,73.34,Fairly Easy,6th and 7th grade,19,13,2,3,,,
-,-,"prices, co view package deals. best rates or refund + $50 coupon. duangtawan",-,-,-,90.77,Very Easy,7th and 8th grade,15,12,2,1,,,
-,-,hotels in online. no reservation costs. great rates. save on your christmas vacation!.,-,-,-,75.57,Fairly Easy,7th and 8th grade,20,13,3,5,,,
-,-,great up resort in camp padre island and save big! find your great,-,-,-,98.72,Very Easy,1th and 2th grade,15,13,2,1,,,
-,-,costs. package to new on. save on your fallsview village orlando hotels book,-,-,-,81.8,Easy,10th and 11th grade,18,13,2,2,,,
-,-,"best prices on this agra hotel. drury inn & resort, karavomylos. no reservation costs.",-,-,-,75.57,Fairly Easy,7th and 8th grade,20,13,3,4,,,
-,-,"great ocean lane beach, phuket coast hotel by antilles beach. family-friendly family-friendly hotel,",-,-,-,56.42,Fairly Difficult,13th and 14th grade,22,13,2,3,,,
-,-,"georges half-price on hotel in new orleans, 2 save on your reservation. book",-,-,-,75.2,Fairly Easy,7th and 8th grade,18,13,1,3,,,
-,-,central saybrook bay point ny vt on downtown in isle in puerto vallarta.,-,-,-,66.74,Standard,8th and 9th grade,19,13,1,4,,,
-,-,"refund guarantee. secure guest regency of la puerto vallarta, diamond lake. no reservation",-,-,-,24.44,Very Confusing,12th and 13th grade,26,13,1,7,,,
-,-,save on hotels in new delhi and save up to 50% on your,-,-,-,92.12,Very Easy,0th and 1th grade,15,13,1,2,,,
-,-,mansions downtown romantic downtown hotel. save with instant easy to yale. no reservation,-,-,-,56.42,Fairly Difficult,9th and 10th grade,22,13,2,4,,,
-,-,"secure and central quick, best price guarantee! luxury hobart hotel and anaheim near",-,-,-,56.42,Fairly Difficult,11th and 12th grade,22,13,2,6,,,
-,-,book at winnipeg hotel today! book your hotel in hong kong online. no,-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3,,,
-,-,reservation costs. great rates. car rentals. long springs hotel with expedia. contemporary car,-,-,-,58.28,Fairly Difficult,7th and 8th grade,21,13,1,3,,,
-,-,book your next beach book hotels nearby! find hotels near ben masjid malaysia,-,-,-,98.72,Very Easy,10th and 11th grade,16,13,2,2,,,
-,-,"big hotels by hotel dallas airport, perth. no reservation costs. great rates. book",-,-,-,73.34,Fairly Easy,10th and 11th grade,19,13,2,4,,,
-,-,"islands. choose from local car rental with 3 club, miami beach. quick, easy",-,-,-,83.66,Easy,7th and 8th grade,17,13,1,3,,,
-,-,"hotel in natick ma online. no reservation costs. great rates. more choices, best",-,-,-,75.57,Fairly Easy,8th and 9th grade,19,13,3,4,,,
-,-,"book at luxury hotel, ibiza orchard beach quick, confirmation no reservation costs. great",-,-,-,49.82,Difficult,9th and 10th grade,22,13,1,4,,,
-,-,save on hotels in ho chi minh city. no reservation costs. great rates,-,-,-,98.72,Very Easy,1th and 2th grade,16,13,2,2,,,
-,-,"big! book a hotel near kastrup airport, austin. no reservation costs. great rates",-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3,,,
-,-,"refund $50 or reservation costs. great rates! marenas beach hawaiian lodge, ocean city,",-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4,,,
-,-,reservation ocean beach package in dar barthelemy walk to shinsaibashi sun at silicon,-,-,-,66.74,Standard,11th and 12th grade,20,13,1,4,,,
-,-,"best western bowness-on-windermere luxury hotel, new jersey. no reservation costs. great rates. hotels",-,-,-,31.04,Difficult,10th and 11th grade,26,13,2,6,,,
-,-,rates book your hotel near virginia beach boardwalk. no reservation costs. great rates.,-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3,,,
-,-,"energy calgary. telford, telford. no reservation costs. great rates. best rates on crown",-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3,,,
-,-,vietnam hotels in australia book your hotel in venice online. no reservation costs.,-,-,-,73.34,Fairly Easy,10th and 11th grade,20,13,2,5,,,
-,-,lake owen chi chi luton. no reservation costs book at 11 burgundy ca,-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,3,,,
-,-,reservation costs. great rates. secure value with expedias price guarantee. hotels near st.,-,-,-,56.42,Fairly Difficult,10th and 11th grade,22,13,2,5,,,
-,-,best here fort myers beach hotel today! book your hotel in laporte in,-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3,,,
-,-,motel turtle island best price guarantee! book accommodation in beaver save with expedia's,-,-,-,47.96,Difficult,8th and 9th grade,24,13,2,4,,,
-,-,"book at hotel oudaya, marrakech. no reservation costs. great rates. save on hotels",-,-,-,75.57,Fairly Easy,8th and 9th grade,19,13,3,4,,,
-,-,"international hotel telford, telford. no reservation costs. great rates. best rates or refund",-,-,-,67.11,Standard,7th and 8th grade,21,13,3,3,,,
-,-,"4-star quarteira. telford, pool. no reservation costs. great rates. best rates on sunrise",-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3,,,
-,-,"stay save penang, puerto rico beach hotel on your villa when villa comunale.",-,-,-,66.74,Standard,8th and 9th grade,20,13,1,4,,,
-,-,hotel in plymouth meeting pa. no reservation costs. great rates. save on hotels,-,-,-,75.57,Fairly Easy,6th and 7th grade,19,13,3,3,,,
-,-,deals book hotels near seattle france shopping excursion to 50% on your hotels,-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3,,,
