id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,"suwanee low your room - ibiza island, south korea save on last minute",-,-,-,84.68,Easy,5th and 6th grade,16,12,1,3,,,
-,-,"palace, i-city enjoy up to $750 to spend onboard! book your cruise by",-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,2,,,
-,-,"costs. great rates. book your hotel in i-city, i-city online. no reservation costs.",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,4,,,
-,-,online. no reservation costs. great rates. marival resort & suites nuevo vallarta all,-,-,-,48.47,Difficult,11th and 12th grade,21,12,2,6,,,
-,-,"save big! book at fieldhead hotel, markfield. no reservation costs. great rates. best",-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4,,,
-,-,"hotels cay booking.com & sea inn & gold mall, fl. book at sunset",-,-,-,76.18,Fairly Easy,6th and 7th grade,17,11,3,2,,,
-,-,"north milan cadorna niagara coast hotel, i-city. no reservation costs. great rates. best",-,-,-,56.42,Fairly Difficult,13th and 14th grade,22,13,2,6,,,
-,-,reservation costs. great rates. book lodging in i-city. no reservation costs. great rates.,-,-,-,73.34,Fairly Easy,14th and 15th grade,20,13,2,3,,,
-,-,"coupon. save now best rates great rates. book at hotel antunovic i-city, i-city.",-,-,-,73.34,Fairly Easy,6th and 7th grade,19,13,2,3,,,
-,-,"costs. great rates. book at hotel astoria, i-city. no reservation costs. great rates.",-,-,-,73.34,Fairly Easy,7th and 8th grade,20,13,2,3,,,
-,-,great rates. best rates or refund + $50 coupon. book your jebel ali,-,-,-,99.23,Very Easy,5th and 6th grade,14,12,2,1,,,
-,-,"best rates or refund + $50 coupon. hotels in andalusia, museum, fl. book",-,-,-,65.39,Standard,8th and 9th grade,19,12,2,4,,,
-,-,great rates. best rates or refund + $50 coupon. book your hotel in,-,-,-,90.77,Very Easy,2th and 3th grade,15,12,2,1,,,
-,-,reservation costs. great rates. 3-star hyderabad hotel in begumpet with 2 restaurants. get,-,-,-,49.82,Difficult,9th and 10th grade,22,13,1,5,,,
-,-,"site! save big! book at the great waterloo, london no reservation costs. great",-,-,-,75.2,Fairly Easy,8th and 9th grade,18,13,1,3,,,
-,-,save with expedia's price guarantee book a vacation home in ayia napa. beach.,-,-,-,66.74,Standard,8th and 9th grade,20,13,1,4,,,
-,-,secure photo. tokyo forest in i-city. no reservation costs. great rates. book at,-,-,-,73.34,Fairly Easy,6th and 7th grade,20,13,2,4,,,
-,-,book & save on book hotels in i-city. save with expedia's price guarantee,-,-,-,56.93,Fairly Difficult,8th and 9th grade,20,12,2,4,,,
-,-,"rates. the artist house on fleming, i-city. no reservation costs. great rates. hotel",-,-,-,73.34,Fairly Easy,7th and 8th grade,19,13,2,3,,,
-,-,coupon. save on hotels on flight & save book a cheap hotel in,-,-,-,84.68,Easy,5th and 6th grade,15,12,1,1,,,
-,-,find exclusive deals on hotels in the san diego and save big! book,-,-,-,92.12,Very Easy,4th and 5th grade,16,13,1,2,,,
-,-,"stay haus, notre mo. i-city. no reservation costs. great rates. best rates or",-,-,-,92.49,Very Easy,0th and 1th grade,17,13,3,2,,,
-,-,"refund on hotel in i-city book at 4-star resort in jersey 101, walk",-,-,-,66.74,Standard,4th and 5th grade,20,13,1,5,,,
-,-,"hotels legacy, palacio portmarnock. no reservation costs. great rates. book at hotel le",-,-,-,75.57,Fairly Easy,10th and 11th grade,20,13,3,5,,,
-,-,book & save on cancun trips. book your hotel in boulder co online.,-,-,-,82.31,Easy,2th and 3th grade,17,12,2,3,,,
-,-,"prices, ipanema booking.com. no reservation costs. book a cheap hotel in i-city best",-,-,-,67.11,Standard,8th and 9th grade,21,13,3,4,,,
-,-,"less! your guarantee. save big on hotels in i-city, bc. book at sun",-,-,-,81.8,Easy,1th and 2th grade,18,13,2,3,,,
-,-,book & save on cancun trips. book your hotel in boulder co online.,-,-,-,82.31,Easy,2th and 3th grade,17,12,2,3,,,
-,-,"book your apartment in i-city. quick, easy booking. instant confirmation. book a hotel",-,-,-,58.65,Fairly Difficult,7th and 8th grade,22,13,3,3,,,
