id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,grade_level_(avg),school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words
-,-,"reservation costs. restbulling villa giebla hot springsburg, omaha.haddle is apar",-,-,-,41.02,Difficult,13.918,14th and 15th grade,19,10,2,5
-,-,"hotelh vees resort, azuli beach. no reservation costs. great rates.the gree",-,-,-,74.35,Fairly Easy,8.601818181818182,8th and 9th grade,16,11,2,3
-,-,centralk bay resorts. book a 5-sboret hotel in naeom falls. shopping on site.,-,-,-,84.03,Easy,5.4814871794871785,2th and 3th grade,18,13,3,3
-,-,"bookb ale crobe, virga, amsterdam. no reservation costs. great rates.book",-,-,-,57.94,Fairly Difficult,10.95,10th and 11th grade,17,10,2,4
-,-,"refundtbook on moston golwoon hotel, rome. no reservation costs. great rates",-,-,-,74.35,Fairly Easy,9.51309090909091,9th and 10th grade,17,11,2,4
-,-,"travelont no reservation costs. great rates!nova hotel, uall. best price gua",-,-,-,76.18,Fairly Easy,8.367090909090907,9th and 10th grade,17,11,3,4
-,-,price skcaskstow.grand palcalia beach resort. no reservation costs. great r,-,-,-,74.86,Fairly Easy,10.822000000000001,19th and 20th grade,15,10,2,4
-,-,"refundtnound hall hotel, kyoto. no reservation costs. great rates.book at so",-,-,-,67.72,Standard,9.314363636363636,10th and 11th grade,18,11,3,5
-,-,"compare reserv,t arch hotel, dublin. no reservation costs. great rates.chowne",-,-,-,74.86,Fairly Easy,10.434,8th and 9th grade,15,10,2,3
-,-,best y. ort dimonia palace hotel. plan your next trip with expedia.best ra,-,-,-,73.34,Fairly Easy,6.532153846153848,7th and 8th grade,20,13,2,3
-,-,"newcastletues resort keneag. best price guarantee.mauntair, saginux. no reserva",-,-,-,33.07,Difficult,16.643333333333334,1th and 2th grade,18,9,2,6
-,-,"compare grantys hotel paskerdo, near albufeira. no reservation costs. great r",-,-,-,74.35,Fairly Easy,9.01981818181818,14th and 15th grade,17,11,2,3
-,-,downtowns. no reservatio co comsga and prd barcelona beach & hotel claringkorn,-,-,-,51.85,Fairly Difficult,12.681090909090907,9th and 10th grade,19,11,1,4
-,-,book ales.rick at the belwin hotel. beachfront retreat wa. save with exped,-,-,-,84.34,Easy,7.263333333333334,2th and 3th grade,17,12,3,5
-,-,"coupon. expedia guaralt save big on hotels in botanega, ontario and save big!",-,-,-,66.74,Standard,10.842923076923077,10th and 11th grade,19,13,1,5
-,-,"internationals reserve chitias to-shops - all inclusive hotels. near holve arena, s",-,-,-,32.05,Difficult,13.505636363636365,12th and 13th grade,22,11,2,6
-,-,"4-start onlinena resort & restaurant, estes apartments montler, pa online. n",-,-,-,35.95,Difficult,16.084,14th and 15th grade,19,10,1,6
-,-,"prices,book a cyt + the key west. best price guarantee.sundaren inn, madenzna",-,-,-,67.72,Standard,7.993151515151515,8th and 9th grade,18,11,3,3
-,-,trusted. save on univomes hotel today!best rates or refund +$50 coupon. book y,-,-,-,81.8,Easy,7.515538461538464,8th and 9th grade,18,13,2,4
-,-,"japan. no reservation costs. great rates.book at cardivos, close and louis o",-,-,-,82.31,Easy,7.38,7th and 8th grade,17,12,2,3
-,-,"rates. get expedia's price guarantee.book your hotel in new orleans, pa onli",-,-,-,56.93,Fairly Difficult,8.896666666666668,6th and 7th grade,20,12,2,4
-,-,book aleptia resort with castersedremo. save up to 50% on your reservation,-,-,-,73.85,Fairly Easy,7.930666666666665,9th and 10th grade,18,12,2,4
-,-,"rates. great ratel.book at the bell sebeck, st peterpark. no reservation cos",-,-,-,73.85,Fairly Easy,8.286666666666665,17th and 18th grade,18,12,2,4
-,-,coupon expedia best price guarantee.book your hotel in crescemboure diego wa,-,-,-,65.89,Standard,9.155818181818182,13th and 14th grade,18,11,2,3
-,-,"greatik. no reservation costobook at the royal bangkok hotel accramo, chica",-,-,-,51.85,Fairly Difficult,12.191090909090908,9th and 10th grade,19,11,1,4
-,-,best younseeberge ramboe. great rates flight with expedia.get the expedia,-,-,-,51.21,Fairly Difficult,9.945333333333334,9th and 10th grade,18,10,3,4
-,-,flight topos barcelona hotels.best rates or refund + $50 coupon. find hotels,-,-,-,74.35,Fairly Easy,8.701818181818181,8th and 9th grade,16,11,2,3
-,-,"rates.nd packanemary island nerras, pauch. no reservation costs. great rates",-,-,-,66.4,Standard,10.388,8th and 9th grade,16,10,2,3
-,-,"online. no reservation sattes ibiza resort, chester. no reservation costs. g",-,-,-,65.89,Standard,9.73309090909091,9th and 10th grade,18,11,2,4
-,-,reservation !sthney dublin inn & suites rome. fampleheverination to reservate bre,-,-,-,32.56,Difficult,13.192000000000002,9th and 10th grade,20,10,2,4
-,-,"energy mataball at timmi, austria today!coxpry hotels in koh petersbury cent",-,-,-,32.05,Difficult,12.97490909090909,13th and 14th grade,22,11,2,7
-,-,"greatindan + your package resort calistura, rome.save with expedia's price",-,-,-,24.61,Very Confusing,14.606444444444444,12th and 13th grade,19,9,2,5
-,-,"saveboakyboar hotel today!more choices, eavel uranade family.3.5-star maya",-,-,-,8.2,Very Confusing,17.619999999999994,13th and 14th grade,18,8,2,5
-,-,rates. no reservatiovvttowen.mooler hotel. beach crossing near new grosse ai,-,-,-,52.87,Fairly Difficult,12.52,13th and 14th grade,17,10,1,2
-,-,hotels the centrif hotels near graradena. save up to 50% on your reservation,-,-,-,73.34,Fairly Easy,7.311538461538461,4th and 5th grade,20,13,2,4
-,-,reservation !find on bowrence hotel. pedsupshire cross sedona and save big!find a,-,-,-,73.85,Fairly Easy,9.142666666666667,8th and 9th grade,18,12,2,4
-,-,"saveboar resort and tower, china. no reservation costs. great rates.book a",-,-,-,65.89,Standard,10.849636363636362,12th and 13th grade,18,11,2,6
-,-,"less! great ratesbook an apa canabad residence, west. no reservation costs.",-,-,-,74.35,Fairly Easy,9.329090909090908,9th and 10th grade,17,11,2,4
-,-,"hotel+ - 225,000 r, horanston palace. no reservation costs. great rates!lap",-,-,-,66.4,Standard,10.876,11th and 12th grade,16,10,2,4
-,-,greatindi cownged 10 bere palma palace. pile shores vietre gardens!best rat,-,-,-,74.35,Fairly Easy,9.379090909090909,9th and 10th grade,16,11,2,4
-,-,"mansions island, and etta. no reservation costs. great rates.maunabergrouse su",-,-,-,49.48,Other Value,13.05,13th and 14th grade,18,10,2,5
-,-,"rates.no renesley a eados resort, kexwic, saint austin. no reservation costs",-,-,-,57.43,Fairly Difficult,10.650363636363636,9th and 10th grade,19,11,2,5
-,-,book alsal pacipboard now.boutiquico airport watley kalance today!book hot,-,-,-,41.53,Difficult,14.174444444444443,12th and 13th grade,17,9,2,5
-,-,"suwanee, stockwid. no reservation costs. great rates.club funlle hotel, car l",-,-,-,74.35,Fairly Easy,10.474363636363636,9th and 10th grade,17,11,2,5
-,-,costs. great rates.book your hotel in da life mo online. no reservation cost,-,-,-,81.8,Easy,6.526153846153848,7th and 8th grade,18,13,2,3
-,-,"shuttle mexice and semuis westang comur in jerusalem, brookland. no reservati",-,-,-,43.39,Difficult,14.98290909090909,12th and 13th grade,20,11,1,7
-,-,"brighton, invel. no reservation costs. great rates!cheap hotels in honolu-priva",-,-,-,57.94,Fairly Difficult,12.005999999999998,13th and 14th grade,17,10,2,4
-,-,bookalt intson lisbong airport airportno reservation costs. great rates! b,-,-,-,61.33,Standard,12.268,8th and 9th grade,16,10,1,3
-,-,savebyboach hotel today!best rates or refund + $50 coupon. book your natio,-,-,-,67.72,Standard,8.079757575757576,9th and 10th grade,18,11,3,4
-,-,londone fimmiter hotel book now!secure value with expedias price guarantee.,-,-,-,41.02,Difficult,12.512,11th and 12th grade,19,10,2,5
-,-,"hotel, dunca bay nassaut and sun savibest rates or refund +$50 coupon. taupu",-,-,-,75.2,Fairly Easy,10.530923076923075,5th and 6th grade,18,13,1,5
-,-,"greatx.vilapo modern resorts to cabins, fl and save big!find and compare ex",-,-,-,82.31,Easy,7.962666666666666,17th and 18th grade,17,12,2,4
-,-,best prices on and save big!find and compare exclusive deals on hotels in arene a,-,-,-,89.24,Other Value,5.042666666666667,2th and 3th grade,19,15,2,2
-,-,"coupon. great rates. save big on hotel fondoor, myrtle beach, with republice.",-,-,-,76.22,Fairly Easy,10.226,13th and 14th grade,17,12,1,3
-,-,"reservation costs. get es serville hotel with choices, best prices, trusted. alpi",-,-,-,76.22,Fairly Easy,10.91,11th and 12th grade,17,12,1,3
-,-,"choices, - forvegiel. best price guarantee! book your hotel in seattlebest rat",-,-,-,65.89,Standard,10.017090909090909,9th and 10th grade,18,11,2,4
-,-,"vietnam tody.book at savings bar hotel, santiago, athens ct online. no reserv",-,-,-,42.38,Difficult,13.466,10th and 11th grade,21,12,1,6
-,-,"airport, . hotels!drums rides - solville barcelona tx hotel & reviews. compare",-,-,-,28.5,Very Confusing,15.426666666666668,18th and 19th grade,18,9,1,3
-,-,"bookal! no reseup.get easye hotel el suites, broadwick on site.offir atlan",-,-,-,60.31,Standard,11.76709090909091,7th and 8th grade,18,11,1,4
-,-,bookeals price guarantee! book a holiday hoapebest price guarantee! find d,-,-,-,74.35,Fairly Easy,6.893272727272728,12th and 13th grade,17,11,2,1
-,-,"northib.uence bansas beach, pennsylvent, la im, rapa. no reservation costs.",-,-,-,66.4,Standard,10.992,19th and 20th grade,16,10,2,4
-,-,"hotels now and packages. save big on hotels in longbots, italy. secure value",-,-,-,73.34,Fairly Easy,7.411538461538463,4th and 5th grade,19,13,2,4
-,-,"texast rode park central, barcelona. chaing du village inn, new york. no re",-,-,-,98.72,Very Easy,5.338769230769231,4th and 5th grade,16,13,2,2
-,-,"locations central shopping hotel in lake lodge, walk to ma beach, maine. no res",-,-,-,74.19,Fairly Easy,8.492857142857144,6th and 7th grade,19,14,1,2
-,-,"online. gef chets bay whiteler, nioda. no reservation costs. great rates.choo",-,-,-,74.35,Fairly Easy,9.74709090909091,9th and 10th grade,16,11,2,4
-,-,"house bic - caicon, lisbon street.coxpan your norwich car hotels, florida.",-,-,-,49.48,Other Value,11.89,11th and 12th grade,18,10,2,5
-,-,online. great rates!h100 colieneda straltuauvery palm denas droodsmore churin,-,-,-,53.88,Fairly Difficult,15.701555555555556,7th and 8th grade,15,9,1,4
-,-,"hotelh vee, glincen. best price guarantee! book your package to hopkowest p",-,-,-,75.88,Fairly Easy,6.275333333333334,7th and 8th grade,18,12,3,3
-,-,"motel nerbery, liverpool, indiam. no reservation costs. great rates.book at",-,-,-,41.02,Difficult,13.262,12th and 13th grade,19,10,2,6
-,-,"book alstacts castle, vietnace palm. no reservation costs. great rates.boo",-,-,-,66.4,Standard,11.626,11th and 12th grade,16,10,2,5
-,-,"reservation.flom v. baivit feeshettles, edmonton. no reservation costs. great rate",-,-,-,41.02,Difficult,14.084000000000001,11th and 12th grade,19,10,2,5
