original_title,generated _text,original_desc,perplexity,
"[""find hall of fame wwe on ebay - earth's largest marketplace""]","s fantastic prices on sansung ssed box; feedtionans!
fantastic prices on sansui re 120; feed your pa",{'looking for great deals on hall of fame wwe? find your perfect on ebay.'},79.00298462,
['outdoor tvs at best buy - expert service. unbeatable price'],".
fantastic prices on sansung he 100; feed your passion on ebay
fantastic prices on sansui re 120; f",{'free shipping on orders $35 & up!'},42.0413609,
['lenovo ideacentre pcs - shop now & save at best buy'],"!
fantastic prices on santage srailers ueseoum.
fantastic prices on santon 10 magazine; order today!",{'free shipping on lenovo desktops. shop best buy official site today!'},43.98041123,
['20 kw wind turbine on ebay'],"
fantastic prices!
fantastic prices

fantastic prices

fantastic prices

fantastic prices

fantastic",{'fantastic prices on 20 kw wind turbine; feed your passion on ebay'},11.65738049,
['duratrax axis parts on ebay'],"

fane ortercts rower today!
fantastic prices

fantastic prices 
fantastic prices 
fantastic prices ",{'fantastic prices on duratrax axis parts; feed your passion on ebay'},21.21951491,
['bravia tv - shop cyber monday'],"!
new your seclngs now!
fantastic prices onoine
fantast.com

fantastic prices onoine
fantast.com

fa",{'hot deals for one day only at best buy.'},52.54313877,
['canon powershot - full assortment of cameras plus'],"
free shipping!
fantastic prices on santon 10 magazine fantastic prices on san seat trenter now!
fan","{'free shipping, shop now & save!'}",132.9091513,
"['uss enterprise ncc 1701 on ebay - seriously, we have everything']",".
shop now!
fantastic prices on sansui re 120; feed your passion on ebay
fantastic prices on sansui ",{'free shipping available. buy on ebay. money back guarantee!'},32.68733775,
"['my baby just cares for me on ebay - seriously, we have everything']","
fantastic prices on sansung hx 10 ster; free shipping.
fantastic prices on sansui re 120; feed your",{'free shipping available. buy on ebay. money back guarantee!'},54.91020936,
['gt 240 gddr5 on ebay'],"
fantasy came dorntrers and figh she now!
fantastic pooieear she fantast nfwerina selection ietel pe","{'great deals on gt 240 gddr5 on ebay;buy it new, buy it used; buy it now'}",107.6460494,
['mxl-910 mic on ebay - fantastic prices on mxl-910 mic'],"ro; feed your passion on ebay!
fantastic prices on santon 10 magazine; fast & free shipping

fantast",{'feed your passion on ebay'},37.67116187,
['looking for print media art? - find it all on ebay'],"!
fantastic prices on sansung he 150; fen freeed monitors.
fantastic prices on sansung he relenn; sh","{'with more fast & free shipping than ever before, the time to buy is now on ebay'}",40.73137957,
['lg oled tvs at best buy - oled ultra hdtv'],".
fantastic prices on ssed sraini.
fantastic prices on ssed model son browes. free shipping!
fantast",{'the brilliant new way to watch tv. learn more now!'},36.22221134,
