seed_text(prime_text),generated _text,perplexity,
international,"international artsy deals prices. rates. save on hotels in nicosia, bayswater, book your",70.19851293,
hotel,hotel western best great today! +$50 on hotels in tijuana arena flight stay,116.2681506,
deals,"deals change find deals nyc expedia. alcatraz, hotels in new ramon. book at",160.1430144,
coupon,coupon great on caravan inn plan your next trip with expedia. book your,65.12154448,
reservation,reservation your lodging car motel hotel in downtown del near pool. to thailand.,132.2999182,
rates,"rates rates + hotels near anaheim square book at hotel ansgar, helene, paris.",63.30117385,
great,great hire hotel in adelaide in online. no reservation costs. great rates. book,74.95294519,
cost,cost caicos ideal hotel hotel in the new antonio. book at grange dunes,217.1998828,
expedia,expedia your guarantee. book hotels near gunwharf montparnasse. no reservation costs. great rates!,76.98722754,
save,"save post, hostel to mar canada. save with expedia's price guarantee save big",81.85745616,
no,"no costs, or in trip to expedia find and compare exclusive deals on",39.89990188,
book,book breakfast. next the ibiza falls. tranquil hotel in stirling with bar/lounge. book,115.5517486,
big,"big your trusted. find exclusive deals on hotels in muscat, wing, texas and",72.4854781,
vietnam,vietnam caicos reservation reservation costs. costs. great rates. book your 5-star airport in,105.4939798,
canton mA,canton mA hotels things to the niagara palace qt melzi book at albert historic,608.1339796,
best prices,best prices great rates. book deals with quartier #1 travel site! save on hotels,65.03324605,
accommodation,accommodation price tinakilly al-andalus sydney. no reservation costs. great rates! book your hotel,108.1362721,
carnegie mellon university,"carnegie mellon university rga. no costs. great rates. book a hotel near oslo airport, london.",212.5871466,
guarantee,guarantee big! in fort studios mountain. santo zealand. best rates or refund +,108.7979373,
international,"international villa, hotel! oceanside. no reservation costs. book rates. heathrow hotels near london.",59.94051979,
hotel,hotel rates horley. affordable city amsterdam hotel in myrtle city business parking. no,141.4586939,
deals,"deals rates, 5-star sawgrass beach resort & spa resort and booking. secure hotels",143.8502629,
coupon,coupon crazy affordable seacrets. no reservation costs. great rates. book your hotel in,85.98762303,
reservation,reservation great costs. great +$50 save on hotels in freeport city book your,44.51504981,
rates,"rates at real tourville hotel, shanghai. no reservation costs. great rates book at",89.07867134,
great,great reservation great your hotel choose from business-friendly entertainment hotel north calne. book,152.2179928,
cost,cost artsy lane on hotel hotel from mui dubai. no reservation costs. great,90.89985158,
expedia,"expedia rates. more choices, save savings on beach wan fort rica dells. book",248.4203959,
save,"save fantastic oceanfront home hotel booking. compare choices, best prices, trusted. save on",92.62600644,
no,"no central great rates. save with expedia's price guarantee. hotels in dix30, mountain",84.24421098,
book,"book in hotel in parksville, or. no reservation costs. great rates. save on",27.90742017,
big,"big big! find and compare exclusive deals on hotels in salida, new dakota",58.8573633,
vietnam,vietnam discover great no reservation costs. great rates. save big on hotels in,67.32237604,
canton mA,canton mA a the jose. hotel compare machu the historic champagne carmen. book at,188.2393983,
best prices,"best prices fees. rates. find and compare exclusive deals on hotels in olean, florida",69.48454319,
accommodation,"accommodation page tagaytay. book a package to augusta, blanc travel expedia! best rates",113.9682363,
carnegie mellon university,carnegie mellon university mt value big! by suites solaris use city. car rental on a,764.1743235,
guarantee,guarantee best rates. book your hotel in hambantota online. book at royal de,61.04068042,
mt.,"mt. sevilla, hotel to san vegas. expedia guarantee. jan excursion close top airport",371.7052948,
lagoon.,"lagoon. price quick, deco center. best rates or refund + $50 coupon. save",145.4635538,
mirage.,mirage. book packages. best rates or refund + $50 coupon. book accommodation in,40.60439663,
"warsaw,","warsaw, artsy indoor premier guarantee. in south city. book at shaza view hotel,",732.0465342,
serris.,serris. costs book a with hotel in amsterdam book at budget inn &,56.37550387,
everglades.,"everglades. a guarantee. hotels in warren, penh accommodation exclusive online travel prices. beachfront",158.6350695,
maddox,"maddox artsy aranjuez, quick, hotels and for cheapest prices prices. compare choices, best",272.4264667,
limon,limon midtown daytona il cairo don. no reservation great rates. stoweflake 8 guesthouse,981.1510349,
rambler,rambler walden city collingwood. great prices + $50 on your grand your la,306.258328,
thrills,"thrills rates guaranteed! book at grand whitney resort, cap hempstead. no reservation costs.",204.0891977,
beaune,beaune de picnic dan guarantee. and in district tx. best rates or refund,100.8445057,
"maputo,","maputo, kima vernazza best rates on now book at danubius hotel on guesthouse",430.383244,
380,"380 price rates. sivory atlntica. secure airport beach, banbury. no reservation costs. great",270.6886645,
lbano,lbano the best rates in kigali. search and book your tara hotels today!,160.0894569,
"imperiale,","imperiale, artsy grove, reservation rates on hotel hotels. book at hotel bay inn,",84.42637896,
"l'arcade,","l'arcade, artsy online. up find near montana village, petri, city. no reservation costs.",160.3029028,
eugene.,eugene. great rates. book your hotel in downtown francisco nl online. no reservation,91.68830762,
okinawa.,"okinawa. great now save on vilamoura, las zealand accommodations tivoli expedia when you",364.0865978,
cup,cup great hotels. great more the walk city philippines. to the rhone field.,165.3461513,
,,,178.5139426
