0/39750 (epoch 0), train_loss = 9.864, time/batch = 0.434, All_Time = 0.434
model saved to gru_2x_400/model.ckpt
50/39750 (epoch 0), train_loss = 5.951, time/batch = 0.080, All_Time = 4.207
100/39750 (epoch 0), train_loss = 5.911, time/batch = 0.081, All_Time = 7.965
150/39750 (epoch 0), train_loss = 5.986, time/batch = 0.077, All_Time = 11.739
200/39750 (epoch 0), train_loss = 5.954, time/batch = 0.075, All_Time = 15.529
250/39750 (epoch 0), train_loss = 6.018, time/batch = 0.075, All_Time = 19.316
300/39750 (epoch 1), train_loss = 6.059, time/batch = 0.074, All_Time = 23.096
350/39750 (epoch 1), train_loss = 6.086, time/batch = 0.076, All_Time = 26.860
400/39750 (epoch 1), train_loss = 5.962, time/batch = 0.082, All_Time = 30.631
450/39750 (epoch 1), train_loss = 6.040, time/batch = 0.075, All_Time = 34.415
500/39750 (epoch 1), train_loss = 5.991, time/batch = 0.074, All_Time = 38.211
550/39750 (epoch 2), train_loss = 5.950, time/batch = 0.075, All_Time = 42.003
600/39750 (epoch 2), train_loss = 6.007, time/batch = 0.077, All_Time = 45.782
650/39750 (epoch 2), train_loss = 5.920, time/batch = 0.075, All_Time = 49.560
700/39750 (epoch 2), train_loss = 6.032, time/batch = 0.073, All_Time = 53.395
750/39750 (epoch 2), train_loss = 5.950, time/batch = 0.073, All_Time = 57.159
800/39750 (epoch 3), train_loss = 5.973, time/batch = 0.075, All_Time = 60.935
850/39750 (epoch 3), train_loss = 6.064, time/batch = 0.074, All_Time = 64.719
900/39750 (epoch 3), train_loss = 5.684, time/batch = 0.074, All_Time = 68.532
950/39750 (epoch 3), train_loss = 5.966, time/batch = 0.073, All_Time = 72.331
1000/39750 (epoch 3), train_loss = 5.961, time/batch = 0.073, All_Time = 76.133
model saved to gru_2x_400/model.ckpt
1050/39750 (epoch 3), train_loss = 5.862, time/batch = 0.073, All_Time = 79.919
1100/39750 (epoch 4), train_loss = 5.900, time/batch = 0.076, All_Time = 83.729
1150/39750 (epoch 4), train_loss = 6.115, time/batch = 0.080, All_Time = 87.540
1200/39750 (epoch 4), train_loss = 6.064, time/batch = 0.079, All_Time = 91.366
1250/39750 (epoch 4), train_loss = 5.969, time/batch = 0.078, All_Time = 95.200
1300/39750 (epoch 4), train_loss = 6.072, time/batch = 0.075, All_Time = 99.031
1350/39750 (epoch 5), train_loss = 6.109, time/batch = 0.077, All_Time = 102.867
1400/39750 (epoch 5), train_loss = 5.892, time/batch = 0.080, All_Time = 106.776
1450/39750 (epoch 5), train_loss = 6.045, time/batch = 0.075, All_Time = 110.614
1500/39750 (epoch 5), train_loss = 6.161, time/batch = 0.076, All_Time = 114.484
1550/39750 (epoch 5), train_loss = 5.911, time/batch = 0.081, All_Time = 118.333
1600/39750 (epoch 6), train_loss = 5.868, time/batch = 0.075, All_Time = 122.221
1650/39750 (epoch 6), train_loss = 5.930, time/batch = 0.079, All_Time = 126.071
1700/39750 (epoch 6), train_loss = 5.972, time/batch = 0.076, All_Time = 129.924
1750/39750 (epoch 6), train_loss = 5.909, time/batch = 0.080, All_Time = 133.781
1800/39750 (epoch 6), train_loss = 5.917, time/batch = 0.076, All_Time = 137.692
1850/39750 (epoch 6), train_loss = 5.843, time/batch = 0.075, All_Time = 141.523
1900/39750 (epoch 7), train_loss = 6.094, time/batch = 0.078, All_Time = 145.347
1950/39750 (epoch 7), train_loss = 5.558, time/batch = 0.081, All_Time = 149.268
2000/39750 (epoch 7), train_loss = 5.979, time/batch = 0.081, All_Time = 153.131
model saved to gru_2x_400/model.ckpt
2050/39750 (epoch 7), train_loss = 6.001, time/batch = 0.081, All_Time = 157.010
2100/39750 (epoch 7), train_loss = 6.049, time/batch = 0.077, All_Time = 160.867
2150/39750 (epoch 8), train_loss = 5.935, time/batch = 0.082, All_Time = 164.692
2200/39750 (epoch 8), train_loss = 5.871, time/batch = 0.076, All_Time = 168.540
2250/39750 (epoch 8), train_loss = 5.834, time/batch = 0.077, All_Time = 172.366
2300/39750 (epoch 8), train_loss = 6.077, time/batch = 0.077, All_Time = 176.179
2350/39750 (epoch 8), train_loss = 5.743, time/batch = 0.075, All_Time = 180.039
2400/39750 (epoch 9), train_loss = 6.089, time/batch = 0.079, All_Time = 183.958
2450/39750 (epoch 9), train_loss = 5.984, time/batch = 0.075, All_Time = 187.817
2500/39750 (epoch 9), train_loss = 5.778, time/batch = 0.075, All_Time = 191.673
2550/39750 (epoch 9), train_loss = 5.768, time/batch = 0.075, All_Time = 195.516
2600/39750 (epoch 9), train_loss = 5.983, time/batch = 0.079, All_Time = 199.378
2650/39750 (epoch 10), train_loss = 5.885, time/batch = 0.079, All_Time = 203.253
2700/39750 (epoch 10), train_loss = 5.670, time/batch = 0.077, All_Time = 207.102
2750/39750 (epoch 10), train_loss = 5.742, time/batch = 0.078, All_Time = 210.978
2800/39750 (epoch 10), train_loss = 5.813, time/batch = 0.076, All_Time = 214.859
