0/132500 (epoch 0), train_loss = 9.862, time/batch = 0.176, All_Time = 0.176
model saved to rnn_0x_500/model.ckpt
50/132500 (epoch 0), train_loss = 5.758, time/batch = 0.033, All_Time = 1.800
100/132500 (epoch 0), train_loss = 5.724, time/batch = 0.036, All_Time = 3.571
150/132500 (epoch 0), train_loss = 5.780, time/batch = 0.038, All_Time = 5.346
200/132500 (epoch 0), train_loss = 5.748, time/batch = 0.036, All_Time = 7.128
250/132500 (epoch 0), train_loss = 5.819, time/batch = 0.035, All_Time = 8.904
300/132500 (epoch 1), train_loss = 5.899, time/batch = 0.036, All_Time = 10.593
350/132500 (epoch 1), train_loss = 5.870, time/batch = 0.036, All_Time = 12.313
400/132500 (epoch 1), train_loss = 5.785, time/batch = 0.036, All_Time = 14.033
450/132500 (epoch 1), train_loss = 5.838, time/batch = 0.035, All_Time = 15.833
500/132500 (epoch 1), train_loss = 5.784, time/batch = 0.035, All_Time = 17.625
550/132500 (epoch 2), train_loss = 6.710, time/batch = 0.035, All_Time = 19.334
600/132500 (epoch 2), train_loss = 6.827, time/batch = 0.034, All_Time = 21.083
650/132500 (epoch 2), train_loss = 6.731, time/batch = 0.033, All_Time = 22.833
700/132500 (epoch 2), train_loss = 6.752, time/batch = 0.035, All_Time = 24.596
750/132500 (epoch 2), train_loss = 6.752, time/batch = 0.038, All_Time = 26.460
800/132500 (epoch 3), train_loss = 6.518, time/batch = 0.035, All_Time = 28.316
850/132500 (epoch 3), train_loss = 6.629, time/batch = 0.034, All_Time = 30.035
900/132500 (epoch 3), train_loss = 6.351, time/batch = 0.036, All_Time = 31.761
950/132500 (epoch 3), train_loss = 6.559, time/batch = 0.037, All_Time = 33.536
1000/132500 (epoch 3), train_loss = 6.557, time/batch = 0.037, All_Time = 35.412
model saved to rnn_0x_500/model.ckpt
1050/132500 (epoch 3), train_loss = 6.474, time/batch = 0.036, All_Time = 37.054
1100/132500 (epoch 4), train_loss = 5.879, time/batch = 0.032, All_Time = 38.696
1150/132500 (epoch 4), train_loss = 6.080, time/batch = 0.032, All_Time = 40.356
1200/132500 (epoch 4), train_loss = 6.000, time/batch = 0.040, All_Time = 42.145
1250/132500 (epoch 4), train_loss = 5.943, time/batch = 0.038, All_Time = 44.033
1300/132500 (epoch 4), train_loss = 5.907, time/batch = 0.038, All_Time = 45.894
1350/132500 (epoch 5), train_loss = 5.859, time/batch = 0.035, All_Time = 47.653
1400/132500 (epoch 5), train_loss = 5.160, time/batch = 0.036, All_Time = 49.422
1450/132500 (epoch 5), train_loss = 4.836, time/batch = 0.038, All_Time = 51.224
1500/132500 (epoch 5), train_loss = 4.710, time/batch = 0.034, All_Time = 53.006
1550/132500 (epoch 5), train_loss = 4.315, time/batch = 0.035, All_Time = 54.803
1600/132500 (epoch 6), train_loss = 4.134, time/batch = 0.035, All_Time = 56.601
1650/132500 (epoch 6), train_loss = 4.092, time/batch = 0.036, All_Time = 58.278
1700/132500 (epoch 6), train_loss = 3.948, time/batch = 0.035, All_Time = 60.061
1750/132500 (epoch 6), train_loss = 3.682, time/batch = 0.035, All_Time = 61.863
1800/132500 (epoch 6), train_loss = 3.437, time/batch = 0.035, All_Time = 63.651
1850/132500 (epoch 6), train_loss = 3.207, time/batch = 0.035, All_Time = 65.444
1900/132500 (epoch 7), train_loss = 3.304, time/batch = 0.036, All_Time = 67.159
1950/132500 (epoch 7), train_loss = 2.673, time/batch = 0.035, All_Time = 68.951
2000/132500 (epoch 7), train_loss = 2.919, time/batch = 0.037, All_Time = 70.745
model saved to rnn_0x_500/model.ckpt
2050/132500 (epoch 7), train_loss = 2.968, time/batch = 0.035, All_Time = 72.411
2100/132500 (epoch 7), train_loss = 3.051, time/batch = 0.037, All_Time = 74.195
2150/132500 (epoch 8), train_loss = 2.866, time/batch = 0.035, All_Time = 75.918
2200/132500 (epoch 8), train_loss = 2.766, time/batch = 0.034, All_Time = 77.642
2250/132500 (epoch 8), train_loss = 2.755, time/batch = 0.035, All_Time = 79.401
2300/132500 (epoch 8), train_loss = 2.900, time/batch = 0.037, All_Time = 81.174
2350/132500 (epoch 8), train_loss = 2.444, time/batch = 0.040, All_Time = 83.040
2400/132500 (epoch 9), train_loss = 2.816, time/batch = 0.033, All_Time = 84.832
2450/132500 (epoch 9), train_loss = 2.748, time/batch = 0.034, All_Time = 86.535
2500/132500 (epoch 9), train_loss = 2.435, time/batch = 0.038, All_Time = 88.337
2550/132500 (epoch 9), train_loss = 2.454, time/batch = 0.038, All_Time = 90.214
2600/132500 (epoch 9), train_loss = 2.625, time/batch = 0.036, All_Time = 92.033
2650/132500 (epoch 10), train_loss = 2.856, time/batch = 0.030, All_Time = 93.854
2700/132500 (epoch 10), train_loss = 2.283, time/batch = 0.035, All_Time = 95.512
2750/132500 (epoch 10), train_loss = 2.354, time/batch = 0.035, All_Time = 97.303
2800/132500 (epoch 10), train_loss = 2.513, time/batch = 0.038, All_Time = 99.123
2850/132500 (epoch 10), train_loss = 2.273, time/batch = 0.037, All_Time = 100.993
2900/132500 (epoch 10), train_loss = 2.338, time/batch = 0.038, All_Time = 102.871
2950/132500 (epoch 11), train_loss = 2.522, time/batch = 0.033, All_Time = 104.557
3000/132500 (epoch 11), train_loss = 2.466, time/batch = 0.035, All_Time = 106.358
model saved to rnn_0x_500/model.ckpt
3050/132500 (epoch 11), train_loss = 2.276, time/batch = 0.036, All_Time = 108.063
3100/132500 (epoch 11), train_loss = 2.325, time/batch = 0.036, All_Time = 109.862
3150/132500 (epoch 11), train_loss = 2.293, time/batch = 0.036, All_Time = 111.647
3200/132500 (epoch 12), train_loss = 2.277, time/batch = 0.036, All_Time = 113.377
3250/132500 (epoch 12), train_loss = 2.314, time/batch = 0.036, All_Time = 115.249
3300/132500 (epoch 12), train_loss = 2.100, time/batch = 0.039, All_Time = 117.122
3350/132500 (epoch 12), train_loss = 2.206, time/batch = 0.035, All_Time = 118.964
3400/132500 (epoch 12), train_loss = 2.215, time/batch = 0.035, All_Time = 120.751
3450/132500 (epoch 13), train_loss = 2.163, time/batch = 0.035, All_Time = 122.548
3500/132500 (epoch 13), train_loss = 2.205, time/batch = 0.035, All_Time = 124.300
3550/132500 (epoch 13), train_loss = 1.899, time/batch = 0.036, All_Time = 126.056
3600/132500 (epoch 13), train_loss = 2.123, time/batch = 0.037, All_Time = 127.861
3650/132500 (epoch 13), train_loss = 2.074, time/batch = 0.036, All_Time = 129.736
3700/132500 (epoch 13), train_loss = 2.017, time/batch = 0.040, All_Time = 131.604
3750/132500 (epoch 14), train_loss = 2.100, time/batch = 0.036, All_Time = 133.298
3800/132500 (epoch 14), train_loss = 2.133, time/batch = 0.036, All_Time = 135.073
3850/132500 (epoch 14), train_loss = 2.111, time/batch = 0.038, All_Time = 136.842
3900/132500 (epoch 14), train_loss = 2.051, time/batch = 0.038, All_Time = 138.632
3950/132500 (epoch 14), train_loss = 1.995, time/batch = 0.037, All_Time = 140.511
4000/132500 (epoch 15), train_loss = 2.002, time/batch = 0.034, All_Time = 142.266
model saved to rnn_0x_500/model.ckpt
4050/132500 (epoch 15), train_loss = 2.032, time/batch = 0.035, All_Time = 143.849
4100/132500 (epoch 15), train_loss = 2.002, time/batch = 0.035, All_Time = 145.636
4150/132500 (epoch 15), train_loss = 2.008, time/batch = 0.035, All_Time = 147.428
4200/132500 (epoch 15), train_loss = 2.010, time/batch = 0.035, All_Time = 149.225
4250/132500 (epoch 16), train_loss = 1.931, time/batch = 0.031, All_Time = 150.969
4300/132500 (epoch 16), train_loss = 1.905, time/batch = 0.035, All_Time = 152.674
4350/132500 (epoch 16), train_loss = 1.952, time/batch = 0.038, All_Time = 154.478
4400/132500 (epoch 16), train_loss = 2.037, time/batch = 0.038, All_Time = 156.344
4450/132500 (epoch 16), train_loss = 1.857, time/batch = 0.037, All_Time = 158.219
4500/132500 (epoch 16), train_loss = 1.818, time/batch = 0.036, All_Time = 160.083
4550/132500 (epoch 17), train_loss = 1.929, time/batch = 0.036, All_Time = 161.805
4600/132500 (epoch 17), train_loss = 1.707, time/batch = 0.035, All_Time = 163.574
4650/132500 (epoch 17), train_loss = 1.748, time/batch = 0.037, All_Time = 165.343
4700/132500 (epoch 17), train_loss = 1.799, time/batch = 0.038, All_Time = 167.127
4750/132500 (epoch 17), train_loss = 1.931, time/batch = 0.036, All_Time = 168.903
4800/132500 (epoch 18), train_loss = 1.870, time/batch = 0.033, All_Time = 170.638
4850/132500 (epoch 18), train_loss = 1.791, time/batch = 0.039, All_Time = 172.448
4900/132500 (epoch 18), train_loss = 1.825, time/batch = 0.036, All_Time = 174.308
4950/132500 (epoch 18), train_loss = 1.866, time/batch = 0.040, All_Time = 176.163
5000/132500 (epoch 18), train_loss = 1.647, time/batch = 0.039, All_Time = 178.012
model saved to rnn_0x_500/model.ckpt
5050/132500 (epoch 19), train_loss = 1.851, time/batch = 0.038, All_Time = 179.677
5100/132500 (epoch 19), train_loss = 1.868, time/batch = 0.035, All_Time = 181.469
5150/132500 (epoch 19), train_loss = 1.694, time/batch = 0.038, All_Time = 183.275
5200/132500 (epoch 19), train_loss = 1.712, time/batch = 0.037, All_Time = 185.138
5250/132500 (epoch 19), train_loss = 1.778, time/batch = 0.040, All_Time = 187.030
5300/132500 (epoch 20), train_loss = 1.873, time/batch = 0.033, All_Time = 188.920
5350/132500 (epoch 20), train_loss = 1.647, time/batch = 0.034, All_Time = 190.578
5400/132500 (epoch 20), train_loss = 1.698, time/batch = 0.034, All_Time = 192.292
5450/132500 (epoch 20), train_loss = 1.765, time/batch = 0.034, All_Time = 194.066
5500/132500 (epoch 20), train_loss = 1.593, time/batch = 0.036, All_Time = 195.880
5550/132500 (epoch 20), train_loss = 1.680, time/batch = 0.035, All_Time = 197.697
5600/132500 (epoch 21), train_loss = 1.774, time/batch = 0.032, All_Time = 199.447
5650/132500 (epoch 21), train_loss = 1.746, time/batch = 0.033, All_Time = 201.194
5700/132500 (epoch 21), train_loss = 1.598, time/batch = 0.034, All_Time = 202.929
5750/132500 (epoch 21), train_loss = 1.610, time/batch = 0.034, All_Time = 204.664
5800/132500 (epoch 21), train_loss = 1.621, time/batch = 0.032, All_Time = 206.398
5850/132500 (epoch 22), train_loss = 1.651, time/batch = 0.037, All_Time = 208.116
5900/132500 (epoch 22), train_loss = 1.675, time/batch = 0.036, All_Time = 209.843
5950/132500 (epoch 22), train_loss = 1.530, time/batch = 0.037, All_Time = 211.617
6000/132500 (epoch 22), train_loss = 1.606, time/batch = 0.033, All_Time = 213.427
model saved to rnn_0x_500/model.ckpt
6050/132500 (epoch 22), train_loss = 1.608, time/batch = 0.036, All_Time = 215.076
6100/132500 (epoch 23), train_loss = 1.572, time/batch = 0.039, All_Time = 216.785
6150/132500 (epoch 23), train_loss = 1.626, time/batch = 0.036, All_Time = 218.620
6200/132500 (epoch 23), train_loss = 1.532, time/batch = 0.037, All_Time = 220.458
6250/132500 (epoch 23), train_loss = 1.622, time/batch = 0.037, All_Time = 222.297
6300/132500 (epoch 23), train_loss = 1.579, time/batch = 0.038, All_Time = 224.133
6350/132500 (epoch 23), train_loss = 1.572, time/batch = 0.038, All_Time = 225.980
6400/132500 (epoch 24), train_loss = 1.582, time/batch = 0.033, All_Time = 227.687
6450/132500 (epoch 24), train_loss = 1.624, time/batch = 0.040, All_Time = 229.525
6500/132500 (epoch 24), train_loss = 1.559, time/batch = 0.038, All_Time = 231.347
6550/132500 (epoch 24), train_loss = 1.593, time/batch = 0.035, All_Time = 233.175
6600/132500 (epoch 24), train_loss = 1.491, time/batch = 0.037, All_Time = 234.988
6650/132500 (epoch 25), train_loss = 1.529, time/batch = 0.032, All_Time = 236.724
6700/132500 (epoch 25), train_loss = 1.610, time/batch = 0.037, All_Time = 238.493
6750/132500 (epoch 25), train_loss = 1.571, time/batch = 0.039, All_Time = 240.413
6800/132500 (epoch 25), train_loss = 1.519, time/batch = 0.037, All_Time = 242.308
6850/132500 (epoch 25), train_loss = 1.585, time/batch = 0.038, All_Time = 244.202
6900/132500 (epoch 26), train_loss = 1.524, time/batch = 0.032, All_Time = 246.035
6950/132500 (epoch 26), train_loss = 1.492, time/batch = 0.036, All_Time = 247.720
7000/132500 (epoch 26), train_loss = 1.535, time/batch = 0.039, All_Time = 249.602
model saved to rnn_0x_500/model.ckpt
7050/132500 (epoch 26), train_loss = 1.628, time/batch = 0.034, All_Time = 251.315
7100/132500 (epoch 26), train_loss = 1.452, time/batch = 0.035, All_Time = 253.114
7150/132500 (epoch 26), train_loss = 1.416, time/batch = 0.036, All_Time = 254.921
7200/132500 (epoch 27), train_loss = 1.449, time/batch = 0.037, All_Time = 256.631
7250/132500 (epoch 27), train_loss = 1.393, time/batch = 0.039, All_Time = 258.525
7300/132500 (epoch 27), train_loss = 1.329, time/batch = 0.038, All_Time = 260.421
7350/132500 (epoch 27), train_loss = 1.448, time/batch = 0.040, All_Time = 262.339
7400/132500 (epoch 27), train_loss = 1.461, time/batch = 0.035, All_Time = 264.234
7450/132500 (epoch 28), train_loss = 1.511, time/batch = 0.037, All_Time = 265.999
7500/132500 (epoch 28), train_loss = 1.383, time/batch = 0.034, All_Time = 267.769
7550/132500 (epoch 28), train_loss = 1.462, time/batch = 0.036, All_Time = 269.571
7600/132500 (epoch 28), train_loss = 1.462, time/batch = 0.034, All_Time = 271.374
7650/132500 (epoch 28), train_loss = 1.344, time/batch = 0.037, All_Time = 273.187
7700/132500 (epoch 29), train_loss = 1.453, time/batch = 0.034, All_Time = 274.938
7750/132500 (epoch 29), train_loss = 1.479, time/batch = 0.033, All_Time = 276.590
7800/132500 (epoch 29), train_loss = 1.335, time/batch = 0.034, All_Time = 278.328
7850/132500 (epoch 29), train_loss = 1.363, time/batch = 0.039, All_Time = 280.172
7900/132500 (epoch 29), train_loss = 1.403, time/batch = 0.037, All_Time = 282.055
7950/132500 (epoch 30), train_loss = 1.469, time/batch = 0.033, All_Time = 283.956
8000/132500 (epoch 30), train_loss = 1.307, time/batch = 0.034, All_Time = 285.595
model saved to rnn_0x_500/model.ckpt
8050/132500 (epoch 30), train_loss = 1.385, time/batch = 0.032, All_Time = 287.193
8100/132500 (epoch 30), train_loss = 1.441, time/batch = 0.037, All_Time = 288.877
8150/132500 (epoch 30), train_loss = 1.292, time/batch = 0.035, All_Time = 290.594
8200/132500 (epoch 30), train_loss = 1.388, time/batch = 0.038, All_Time = 292.427
8250/132500 (epoch 31), train_loss = 1.472, time/batch = 0.033, All_Time = 294.141
8300/132500 (epoch 31), train_loss = 1.401, time/batch = 0.037, All_Time = 295.888
8350/132500 (epoch 31), train_loss = 1.278, time/batch = 0.039, All_Time = 297.686
8400/132500 (epoch 31), train_loss = 1.297, time/batch = 0.036, All_Time = 299.503
8450/132500 (epoch 31), train_loss = 1.327, time/batch = 0.036, All_Time = 301.315
8500/132500 (epoch 32), train_loss = 1.414, time/batch = 0.035, All_Time = 303.061
8550/132500 (epoch 32), train_loss = 1.372, time/batch = 0.033, All_Time = 304.825
8600/132500 (epoch 32), train_loss = 1.227, time/batch = 0.038, All_Time = 306.670
8650/132500 (epoch 32), train_loss = 1.302, time/batch = 0.039, All_Time = 308.562
8700/132500 (epoch 32), train_loss = 1.295, time/batch = 0.041, All_Time = 310.482
8750/132500 (epoch 33), train_loss = 1.288, time/batch = 0.033, All_Time = 312.333
8800/132500 (epoch 33), train_loss = 1.333, time/batch = 0.036, All_Time = 314.046
8850/132500 (epoch 33), train_loss = 1.294, time/batch = 0.036, All_Time = 315.815
8900/132500 (epoch 33), train_loss = 1.332, time/batch = 0.036, All_Time = 317.633
8950/132500 (epoch 33), train_loss = 1.317, time/batch = 0.037, All_Time = 319.427
9000/132500 (epoch 33), train_loss = 1.276, time/batch = 0.035, All_Time = 321.227
model saved to rnn_0x_500/model.ckpt
9050/132500 (epoch 34), train_loss = 1.325, time/batch = 0.034, All_Time = 322.856
9100/132500 (epoch 34), train_loss = 1.325, time/batch = 0.032, All_Time = 324.565
9150/132500 (epoch 34), train_loss = 1.256, time/batch = 0.034, All_Time = 326.272
9200/132500 (epoch 34), train_loss = 1.340, time/batch = 0.036, All_Time = 328.016
9250/132500 (epoch 34), train_loss = 1.193, time/batch = 0.036, All_Time = 329.858
9300/132500 (epoch 35), train_loss = 1.311, time/batch = 0.038, All_Time = 331.635
9350/132500 (epoch 35), train_loss = 1.317, time/batch = 0.037, All_Time = 333.542
9400/132500 (epoch 35), train_loss = 1.295, time/batch = 0.035, All_Time = 335.393
9450/132500 (epoch 35), train_loss = 1.226, time/batch = 0.038, All_Time = 337.244
9500/132500 (epoch 35), train_loss = 1.340, time/batch = 0.035, All_Time = 339.078
9550/132500 (epoch 36), train_loss = 1.253, time/batch = 0.031, All_Time = 340.868
9600/132500 (epoch 36), train_loss = 1.275, time/batch = 0.038, All_Time = 342.622
9650/132500 (epoch 36), train_loss = 1.300, time/batch = 0.038, All_Time = 344.390
9700/132500 (epoch 36), train_loss = 1.365, time/batch = 0.037, All_Time = 346.270
9750/132500 (epoch 36), train_loss = 1.250, time/batch = 0.038, All_Time = 348.169
9800/132500 (epoch 36), train_loss = 1.192, time/batch = 0.037, All_Time = 350.050
9850/132500 (epoch 37), train_loss = 1.239, time/batch = 0.035, All_Time = 351.747
9900/132500 (epoch 37), train_loss = 1.193, time/batch = 0.036, All_Time = 353.555
9950/132500 (epoch 37), train_loss = 1.131, time/batch = 0.035, All_Time = 355.373
10000/132500 (epoch 37), train_loss = 1.241, time/batch = 0.038, All_Time = 357.186
model saved to rnn_0x_500/model.ckpt
10050/132500 (epoch 37), train_loss = 1.242, time/batch = 0.036, All_Time = 358.831
10100/132500 (epoch 38), train_loss = 1.283, time/batch = 0.034, All_Time = 360.488
