0/132500 (epoch 0), train_loss = 9.863, time/batch = 0.374, All_Time = 0.374
model saved to lstm_2x_400/model.ckpt
50/132500 (epoch 0), train_loss = 5.913, time/batch = 0.077, All_Time = 4.262
100/132500 (epoch 0), train_loss = 5.878, time/batch = 0.077, All_Time = 8.104
150/132500 (epoch 0), train_loss = 5.959, time/batch = 0.074, All_Time = 11.981
200/132500 (epoch 0), train_loss = 5.924, time/batch = 0.081, All_Time = 15.876
250/132500 (epoch 0), train_loss = 5.985, time/batch = 0.079, All_Time = 19.794
300/132500 (epoch 1), train_loss = 6.041, time/batch = 0.078, All_Time = 23.662
350/132500 (epoch 1), train_loss = 6.063, time/batch = 0.077, All_Time = 27.555
400/132500 (epoch 1), train_loss = 5.940, time/batch = 0.077, All_Time = 31.407
450/132500 (epoch 1), train_loss = 6.013, time/batch = 0.075, All_Time = 35.254
500/132500 (epoch 1), train_loss = 5.966, time/batch = 0.078, All_Time = 39.126
550/132500 (epoch 2), train_loss = 5.880, time/batch = 0.080, All_Time = 43.022
600/132500 (epoch 2), train_loss = 5.943, time/batch = 0.075, All_Time = 46.908
650/132500 (epoch 2), train_loss = 5.861, time/batch = 0.077, All_Time = 50.801
700/132500 (epoch 2), train_loss = 5.979, time/batch = 0.080, All_Time = 54.703
750/132500 (epoch 2), train_loss = 5.918, time/batch = 0.077, All_Time = 58.601
800/132500 (epoch 3), train_loss = 5.925, time/batch = 0.081, All_Time = 62.515
850/132500 (epoch 3), train_loss = 6.043, time/batch = 0.078, All_Time = 66.428
900/132500 (epoch 3), train_loss = 5.651, time/batch = 0.075, All_Time = 70.298
950/132500 (epoch 3), train_loss = 5.924, time/batch = 0.075, All_Time = 74.195
1000/132500 (epoch 3), train_loss = 5.942, time/batch = 0.079, All_Time = 78.096
model saved to lstm_2x_400/model.ckpt
1050/132500 (epoch 3), train_loss = 5.852, time/batch = 0.081, All_Time = 81.999
1100/132500 (epoch 4), train_loss = 5.851, time/batch = 0.080, All_Time = 85.880
1150/132500 (epoch 4), train_loss = 6.042, time/batch = 0.079, All_Time = 89.803
1200/132500 (epoch 4), train_loss = 6.043, time/batch = 0.079, All_Time = 93.675
1250/132500 (epoch 4), train_loss = 5.912, time/batch = 0.079, All_Time = 97.593
1300/132500 (epoch 4), train_loss = 6.039, time/batch = 0.081, All_Time = 101.471
1350/132500 (epoch 5), train_loss = 6.037, time/batch = 0.081, All_Time = 105.380
1400/132500 (epoch 5), train_loss = 5.837, time/batch = 0.076, All_Time = 109.284
1450/132500 (epoch 5), train_loss = 5.933, time/batch = 0.082, All_Time = 113.244
