seed_text(prime_text),generated _text,perplexity
international,international asakusa wa per up to pattaya. for you booking holiday value with,1245.9396728801844
hotel,hotel azulik. plan your next trip with expedia. best rates on hotel baja.,47.92792965483107
deals,deals with great today. i-loc. view the best hotel book the beach hotel,56.89346761224628
coupon,coupon book gardens airport resorts. save. save with expedia's price guarantee. book at,60.67751181529221
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,34.378972669332384
rates,rates or refund + $50 coupon. book accommodations in ko phi phi now!,265.79146037632256
great,great rates. book a room by best hotel in i-loc book a hostel,47.813937250851964
cost,cost singel kathmandu grand prince lake saint louis saint thomas grand saint malo,2790.778784807891
expedia,expedia has 4-star hotel now with expedia. best rates or refund +$50 coupon.,137.90290702884852
save,save co. on caribbean resorts. save with expedia's price guarantee. save on hotels,71.03000037854945
no,"no reservation costs. great rates. book a motel in chelan, i-loc. no reservation",58.37145985615994
book,"book with expedia. save big on i-loc, nm hotels. save big on sint",81.47288399128237
big,"big cretan county gate, i-loc. no reservation costs. great rates bewleys marrakech nyc,",337.93796519221837
vietnam,"vietnam tampa, tulum fl hvar i-loc quinta place green village hotel, lincoln river.",1282.6450335304582
canton mA,"canton mA 1,078,000 gran hotel. golfing bed & reviews of mallorca central miami hotel.",940.5477444417207
best prices,best prices makkah. save on everglades copenhagen hotels. best rates or refund +$50 coupon.,154.70921796054336
accommodation,"accommodation in apartments in rarotonga. more choices, great prices, trusted. save on hotels",75.62428278788686
carnegie mellon university,carnegie mellon university 1000 surfers' ro southwold williamsburg. no no costs. great rates pan great,708.6560924288402
guarantee,guarantee light del mar grand wall theatre toronto st pete beach resort &,1042.0127964053602
international,international service. medical de lion hotel next to roman fun. i-loc. no reservation,436.87117574789283
hotel,hotel azulik. plan your next trip with expedia. best rates on hotel baja.,45.23742063935514
deals,"deals with expedia. save big on hotels in i-loc, on. save with expedia's",34.02719155758227
coupon,"coupon s town. save with a a website in ao nang beach, with",302.2110662994265
reservation,reservation costs. great rates. book your hotel in west cayman online. no reservation,44.78621515951331
rates,rates from top brands. car rental northern ireland. compare low rates from top,412.22910613539426
great,"great rates. pattaya beach offers i-loc, i-loc. best price guarantee. california swiss inn",571.705227705119
cost,"cost this lotte hotel santa rocat, sanur i-loc. no reservation costs. great rates.",282.8743186798593
expedia,expedia aparthotel and save! book now! book i-loc and book cheap amsterdam hotels.,80.39822497440659
save,save big on caribbean resorts. save with expedia's price guarantee. save big on,65.96719747976702
no,"no reservation costs. great rates. book a motel in chelan, i-loc. no reservation",45.99876673168556
book,"book with expedia. save big on i-loc, nm hotels. save big on sint",116.91168810550494
big,big cancellation hoi and spa hotel and villas access with restaurant and restaurant,506.23667695621805
vietnam,"vietnam fujiya monteverde, kathmandu royal hotel coco royal end saint the island. hotel",1730.5571767569143
canton mA,"canton mA istanbul. chamberlain hostel facing francisco reforma & spa, playa del carmen. no",1263.0234904623167
best prices,best prices on rio de lee stadium book tokyo vacation to i-loc da i-loc.,387.66231006927285
accommodation,accommodation online. no reservation costs. rates. book your hotel in barrie online book,55.48325704305053
carnegie mellon university,carnegie mellon university sankt umhlanga avoriaz. 360-degree guarantee. great online! 2 dining in la. white,1780.357980492895
guarantee,guarantee book a jamaica hotel in falkirk. save with expedia's price guarantee. book,64.4967360371261
ayur,ayur centrally catalonia airport luxury villa in las tao spa st. #1 royal,1129.4909716258846
inverloch.,inverloch. unbeatable tomorrow. book on expedia & save! miami beach resort at miami,218.7389234361981
storrs,"storrs customer bunkyo, tennis zoo this saint kilda lagoon. no reservation costs. great",460.25826641711024
wombats,wombats breckinridge bled. no reservation costs. great rates. book your hotel near prague,199.96808765042942
pozna,pozna with save on i-loc in i-loc book on expedia & save! find,37.29652852587622
aris,"aris chaweng mykonos. great rates guarantee! book at the adams hotel, i-loc now.",191.91186856732955
southampton,southampton restaurant. save big on hotels in i-loc. book a hotel in i-loc.,89.71955217193745
"novas,","novas, jenolan australia hotel saint costa rooms. book at the compare hotels in",179.55141427994468
vk,"vk online. no reservation costs. great rates. book your lodge in i-loc, i-loc.",107.34564336657292
under,under brian shores wye. alexis pool. scuba rates. book on expedia today &,643.8023437446681
greenbank,greenbank no reservation costs. great rates. book the koh phangan hotel & save.,120.11416362672442
"don,","don, playa val hotel spa, costs. great rates on sunrise gardens hotel -",192.79441233458766
whitewater,whitewater & del myers beach hotel online old town at the i-loc of,294.0173363271488
"branson,","branson, shops. open crystal san lucas hotel cheap center to secure now! guided",343.02833088336337
cupertino,cupertino +$50 book great luxury hotel today. on your car deals. book flight,135.73743539083583
switzerland,switzerland sapporo center world tokyo. optimized i-loc expedia's price guarantee. no reservation costs.,355.3994593354634
moro,"moro simeon. alameda terrace, i-loc. no reservation costs. great rates. book at red",241.11548201762798
edgewater,edgewater mellon thames stornoway alpine. ambleside. de. guarantee. bossa. no reservation costs. great,437.8199915951902
kingsail,kingsail taichung colesberg asakusa asakusa culebra north. guarantee. great online spa online. no,1291.111822930739
