0/752000 (epoch 0), train_loss = 9.930, time/batch = 0.469, All_Time = 0.469
model saved to NER/geotext/model.ckpt
50/752000 (epoch 0), train_loss = 5.665, time/batch = 0.037, All_Time = 2.357
100/752000 (epoch 0), train_loss = 5.515, time/batch = 0.038, All_Time = 4.238
150/752000 (epoch 0), train_loss = 5.420, time/batch = 0.040, All_Time = 6.112
200/752000 (epoch 0), train_loss = 5.649, time/batch = 0.039, All_Time = 8.002
250/752000 (epoch 0), train_loss = 5.443, time/batch = 0.037, All_Time = 9.897
300/752000 (epoch 0), train_loss = 5.531, time/batch = 0.039, All_Time = 11.800
350/752000 (epoch 0), train_loss = 5.443, time/batch = 0.038, All_Time = 13.694
400/752000 (epoch 1), train_loss = 5.491, time/batch = 0.038, All_Time = 15.585
450/752000 (epoch 1), train_loss = 5.249, time/batch = 0.037, All_Time = 17.477
500/752000 (epoch 1), train_loss = 5.430, time/batch = 0.037, All_Time = 19.373
550/752000 (epoch 1), train_loss = 5.490, time/batch = 0.037, All_Time = 21.258
600/752000 (epoch 1), train_loss = 5.538, time/batch = 0.037, All_Time = 23.147
650/752000 (epoch 1), train_loss = 5.752, time/batch = 0.037, All_Time = 25.042
700/752000 (epoch 1), train_loss = 5.682, time/batch = 0.039, All_Time = 26.930
750/752000 (epoch 1), train_loss = 5.455, time/batch = 0.039, All_Time = 28.821
800/752000 (epoch 2), train_loss = 5.526, time/batch = 0.039, All_Time = 30.710
850/752000 (epoch 2), train_loss = 5.569, time/batch = 0.039, All_Time = 32.601
900/752000 (epoch 2), train_loss = 5.392, time/batch = 0.039, All_Time = 34.496
950/752000 (epoch 2), train_loss = 5.609, time/batch = 0.037, All_Time = 36.401
1000/752000 (epoch 2), train_loss = 5.388, time/batch = 0.040, All_Time = 38.295
model saved to NER/geotext/model.ckpt
1050/752000 (epoch 2), train_loss = 5.348, time/batch = 0.038, All_Time = 40.183
1100/752000 (epoch 2), train_loss = 5.315, time/batch = 0.036, All_Time = 42.067
1150/752000 (epoch 3), train_loss = 5.554, time/batch = 0.036, All_Time = 43.967
1200/752000 (epoch 3), train_loss = 5.411, time/batch = 0.036, All_Time = 45.848
1250/752000 (epoch 3), train_loss = 5.410, time/batch = 0.036, All_Time = 47.723
1300/752000 (epoch 3), train_loss = 5.410, time/batch = 0.037, All_Time = 49.608
1350/752000 (epoch 3), train_loss = 5.457, time/batch = 0.039, All_Time = 51.492
1400/752000 (epoch 3), train_loss = 5.481, time/batch = 0.037, All_Time = 53.368
1450/752000 (epoch 3), train_loss = 5.861, time/batch = 0.037, All_Time = 55.273
1500/752000 (epoch 3), train_loss = 5.468, time/batch = 0.038, All_Time = 57.163
1550/752000 (epoch 4), train_loss = 5.402, time/batch = 0.036, All_Time = 59.058
1600/752000 (epoch 4), train_loss = 5.598, time/batch = 0.038, All_Time = 60.951
1650/752000 (epoch 4), train_loss = 5.368, time/batch = 0.037, All_Time = 62.842
1700/752000 (epoch 4), train_loss = 5.557, time/batch = 0.040, All_Time = 64.730
1750/752000 (epoch 4), train_loss = 5.393, time/batch = 0.040, All_Time = 66.626
1800/752000 (epoch 4), train_loss = 5.362, time/batch = 0.038, All_Time = 68.530
1850/752000 (epoch 4), train_loss = 5.368, time/batch = 0.039, All_Time = 70.427
1900/752000 (epoch 5), train_loss = 5.528, time/batch = 0.037, All_Time = 72.332
1950/752000 (epoch 5), train_loss = 5.455, time/batch = 0.037, All_Time = 74.222
2000/752000 (epoch 5), train_loss = 5.373, time/batch = 0.039, All_Time = 76.108
model saved to NER/geotext/model.ckpt
2050/752000 (epoch 5), train_loss = 5.166, time/batch = 0.037, All_Time = 78.005
2100/752000 (epoch 5), train_loss = 4.207, time/batch = 0.037, All_Time = 79.893
2150/752000 (epoch 5), train_loss = 3.305, time/batch = 0.038, All_Time = 81.789
2200/752000 (epoch 5), train_loss = 3.145, time/batch = 0.037, All_Time = 83.690
2250/752000 (epoch 5), train_loss = 2.818, time/batch = 0.037, All_Time = 85.584
2300/752000 (epoch 6), train_loss = 2.565, time/batch = 0.038, All_Time = 87.495
2350/752000 (epoch 6), train_loss = 2.723, time/batch = 0.038, All_Time = 89.385
2400/752000 (epoch 6), train_loss = 2.468, time/batch = 0.038, All_Time = 91.270
2450/752000 (epoch 6), train_loss = 2.359, time/batch = 0.036, All_Time = 93.165
2500/752000 (epoch 6), train_loss = 2.093, time/batch = 0.039, All_Time = 95.060
2550/752000 (epoch 6), train_loss = 2.015, time/batch = 0.037, All_Time = 96.948
2600/752000 (epoch 6), train_loss = 1.999, time/batch = 0.041, All_Time = 98.851
2650/752000 (epoch 7), train_loss = 2.173, time/batch = 0.038, All_Time = 100.758
2700/752000 (epoch 7), train_loss = 2.165, time/batch = 0.038, All_Time = 102.669
2750/752000 (epoch 7), train_loss = 1.929, time/batch = 0.038, All_Time = 104.585
2800/752000 (epoch 7), train_loss = 1.828, time/batch = 0.038, All_Time = 106.478
2850/752000 (epoch 7), train_loss = 1.705, time/batch = 0.038, All_Time = 108.379
2900/752000 (epoch 7), train_loss = 1.936, time/batch = 0.038, All_Time = 110.274
2950/752000 (epoch 7), train_loss = 2.021, time/batch = 0.040, All_Time = 112.180
3000/752000 (epoch 7), train_loss = 2.122, time/batch = 0.039, All_Time = 114.085
model saved to NER/geotext/model.ckpt
3050/752000 (epoch 8), train_loss = 1.848, time/batch = 0.038, All_Time = 115.996
3100/752000 (epoch 8), train_loss = 1.975, time/batch = 0.037, All_Time = 117.892
3150/752000 (epoch 8), train_loss = 1.822, time/batch = 0.037, All_Time = 119.787
3200/752000 (epoch 8), train_loss = 1.821, time/batch = 0.040, All_Time = 121.684
