seed_text(prime_text),generated _text,perplexity
international,international moderate course across great rates. book your hotel in i-gpe cebu tanzania,642.7872479145077
hotel,"hotel near excel exhibition centre, i-gpe. get instant confirmation. book a hotel near",160.1528016047044
deals,"deals i-gpe your hotel in i-gpe, cape jose. no reservation costs. great rates.",43.813185995570144
coupon,"coupon to i-gpe, nc and secure coast booking on city center hotel in",143.76530952762727
reservation,reservation costs. great rates. book your hotel in durrs online. no reservation costs.,43.00638691269364
rates,"rates or refund + $50 coupon. book auckland, i-gpe accommodations! best rates or",66.76394755136485
great,"great rates. i-gpe at petinos hotel, platis yialos mykonos. no reservation costs. great",176.13573177218674
cost,"cost civic sherbrooke and embassy and beverage istanbul lodge and golf club, albufeira.",1546.8513974089403
expedia,expedia on car best to i-gpe. compare low rates from top brands. i-gpe,68.0976675104673
save,"save on i-gpe in i-gpe more choices, dubai secure value with expedia's price",56.1223164136639
no,no reservation costs. great rates. book accommodation in i-gpe. no reservation costs. great,28.53018794295224
book,book on save when you book with i-gpe. save up to 50% on,65.99581240265138
big,"big with view arena, i-gpe in i-gpe today. i-gpe on your hotel in",29.65467217884823
vietnam,"vietnam allegheny springs, i-gpe. no reservation costs. great rates. i-gpe at allegria hotel,",229.27160183504543
canton mA,canton mA shop with and save on i-gpe on i-gpe today! save up to,100.01488573444868
best prices,"best prices guarantee. midtown hotel and casino, i-gpe. no reservation costs. great rates. i-gpe",46.65225433850785
accommodation,"accommodation and casino, oa. no reservation costs. great rates. i-gpe hotels on the",30.428005709006204
carnegie mellon university,"carnegie mellon university swimming beach. en livingstone i-gpe i-gpe at the william, i-gpe. no reservation",410.4431435293317
guarantee,"guarantee no reservation costs. great rates. book a motel in i-gpe, va. no",33.424272314636156
international,"international 401 np, banff-lake and and chequers station, montreux. louis inn guesthouse, i-gpe.",376.96558364151946
hotel,"hotel & casino, pahrump. no reservation costs. great rates. i-gpe hotel deals. best",38.90602041952141
deals,deals and i-gpe in i-gpe. no reservation costs. great rates. book your hotel,20.086299287864406
coupon,coupon on i-gpe in i-gpe. book your hotel in live nv ca ca,88.78772091191874
reservation,reservation costs. great rates. book your hotel in durrs online. no reservation costs.,71.96311433417841
rates,"rates or refund + $50 coupon. book auckland, i-gpe accommodations! best rates or",73.71534264437877
great,"great rates. book your hotel in i-gpe, i-gpe. no reservation costs. great rates.",39.624488665028075
cost,"cost juniper shop lobo. casino, ma plan a nearby hotel today! more choices,",411.0998597422992
expedia,expedia and save up to 50% on your reservation. book a niagara hotel,76.17906093807792
save,save on i-gpe today secure incredible choices and book deals on i-gpe in,40.015566252590645
no,no reservation costs. great rates. book accommodation in i-gpe book accommodation in i-gpe,19.506724875486167
book,"book your tour on only & motel deals from i-gpe, texas hotel. book",173.5612689970208
big,"big on i-gpe in i-gpe, i-gpe. save on i-gpe in i-gpe fl. save",15.596603236758664
vietnam,"vietnam 101, shop chatham. inn, siem arenas downtown howe $50 no reservation costs.",675.8309800014978
canton mA,canton mA miami-area resor and ut save save save save on i-gpe village ga.,545.8912244660478
best prices,"best prices and i-gpe at the grace los home hotel, miami beach. no reservation",107.3024789872288
accommodation,accommodation downtown excelsior bridge. no reservation costs. great rates. book a hotel in,76.29597292671383
carnegie mellon university,"carnegie mellon university beach. online. no reservation costs. great rates! i-gpe at el towne hotel,",304.75899892553167
guarantee,guarantee no reservation costs. great rates. book accommodation in i-gpe gambier i-gpe online.,64.08277442418536
fanhams,fanhams costs. great rates. rates. i-gpe vegas. save save on i-gpe at the,46.94589723426773
bay,bay casper kolkata. and book today! save big on i-gpe in i-gpe. save,72.72386411013262
conventions,conventions jade jade water. no reservation i-gpe i-gpe ann queen harbour golf -,738.9089615467688
incheon,incheon scott ride and i-gpe at penang resort las vegas no reservation costs.,227.96273300127243
"borough,","borough, at&t dover, beach. no reservation costs. great rates. book a room in",42.034871377884286
caney,"caney beach. get i-gpe hotel central, amsterdam. no reservation costs. great rates. i-gpe",51.58064812025209
"andheri,","andheri, rhodes rome's neuchtel andrews flamingos, 23 adler, patong, patong, shop and livingstone",1658.6081408033974
"bleu,","bleu, oratory, reservation costs. great rates. book accommodation in i-gpe. book accommodation in",25.251334148430324
"palace,","palace, i-gpe. save save up i-gpe rates save big on i-gpe in i-gpe",19.78455710591468
admission,admission to hanoi spa hotel in i-gpe. find hotel rates on hotels near,74.5501311828789
homestead.,homestead. accommodation in i-gpe harbour and save big! i-gpe and compare exclusive book,60.35047000859654
kunsthaus,kunsthaus golf hotel. save up great rates! book with hotel on the i-gpe.,139.54763527122842
"mascagni,","mascagni, i-gpe. no reservation costs. great rates. i-gpe in fort william. no reservation",40.40957011702112
"kok,","kok, i-gpe. save big on i-gpe in i-gpe. no reservation costs. great rates.",34.16373772697596
serviced,"serviced alam quick, wisconsin dells. save up to 50% on your reservation. book",249.41887803820208
"arts,","arts, i-gpe. no reservation costs. great rates. book accommodation in i-gpe. no reservation",27.363857139993463
penticton.,penticton. no reservation costs. great rates. book your hotel in gold coast ski,99.44417140729357
don.,"don. no reservation costs. great rates. book a hotel in i-gpe, omaha. no",26.7648263377488
"nebo,","nebo, and save up great to i-gpe & more! book at hotel soho,",26.318009301539693
