0/750000 (epoch 0), train_loss = 9.767, time/batch = 0.224, All_Time = 0.224
model saved to NER/nltk/model.ckpt
50/750000 (epoch 0), train_loss = 5.230, time/batch = 0.033, All_Time = 1.921
100/750000 (epoch 0), train_loss = 5.220, time/batch = 0.035, All_Time = 3.592
150/750000 (epoch 0), train_loss = 5.157, time/batch = 0.033, All_Time = 5.275
200/750000 (epoch 0), train_loss = 5.174, time/batch = 0.034, All_Time = 6.992
250/750000 (epoch 0), train_loss = 5.226, time/batch = 0.033, All_Time = 8.715
300/750000 (epoch 0), train_loss = 5.342, time/batch = 0.036, All_Time = 10.437
350/750000 (epoch 0), train_loss = 5.374, time/batch = 0.034, All_Time = 12.147
400/750000 (epoch 1), train_loss = 5.197, time/batch = 0.035, All_Time = 13.868
450/750000 (epoch 1), train_loss = 5.193, time/batch = 0.034, All_Time = 15.595
500/750000 (epoch 1), train_loss = 5.379, time/batch = 0.033, All_Time = 17.314
550/750000 (epoch 1), train_loss = 5.101, time/batch = 0.036, All_Time = 19.039
600/750000 (epoch 1), train_loss = 5.204, time/batch = 0.032, All_Time = 20.751
650/750000 (epoch 1), train_loss = 5.263, time/batch = 0.034, All_Time = 22.451
700/750000 (epoch 1), train_loss = 5.130, time/batch = 0.034, All_Time = 24.163
750/750000 (epoch 2), train_loss = 5.310, time/batch = 0.035, All_Time = 25.894
800/750000 (epoch 2), train_loss = 5.163, time/batch = 0.036, All_Time = 27.638
850/750000 (epoch 2), train_loss = 5.219, time/batch = 0.037, All_Time = 29.351
900/750000 (epoch 2), train_loss = 5.151, time/batch = 0.033, All_Time = 31.067
950/750000 (epoch 2), train_loss = 5.130, time/batch = 0.033, All_Time = 32.797
1000/750000 (epoch 2), train_loss = 5.209, time/batch = 0.034, All_Time = 34.524
model saved to NER/nltk/model.ckpt
1050/750000 (epoch 2), train_loss = 5.314, time/batch = 0.033, All_Time = 36.245
1100/750000 (epoch 2), train_loss = 5.316, time/batch = 0.037, All_Time = 37.948
1150/750000 (epoch 3), train_loss = 5.184, time/batch = 0.033, All_Time = 39.663
1200/750000 (epoch 3), train_loss = 5.168, time/batch = 0.035, All_Time = 41.381
1250/750000 (epoch 3), train_loss = 5.336, time/batch = 0.033, All_Time = 43.105
1300/750000 (epoch 3), train_loss = 5.058, time/batch = 0.036, All_Time = 44.834
1350/750000 (epoch 3), train_loss = 5.165, time/batch = 0.035, All_Time = 46.556
1400/750000 (epoch 3), train_loss = 5.247, time/batch = 0.033, All_Time = 48.284
1450/750000 (epoch 3), train_loss = 5.084, time/batch = 0.035, All_Time = 49.989
1500/750000 (epoch 4), train_loss = 5.208, time/batch = 0.035, All_Time = 51.728
1550/750000 (epoch 4), train_loss = 5.081, time/batch = 0.034, All_Time = 53.461
1600/750000 (epoch 4), train_loss = 5.149, time/batch = 0.034, All_Time = 55.158
1650/750000 (epoch 4), train_loss = 5.087, time/batch = 0.034, All_Time = 56.888
1700/750000 (epoch 4), train_loss = 5.089, time/batch = 0.037, All_Time = 58.617
1750/750000 (epoch 4), train_loss = 5.175, time/batch = 0.035, All_Time = 60.341
1800/750000 (epoch 4), train_loss = 5.290, time/batch = 0.034, All_Time = 62.062
1850/750000 (epoch 4), train_loss = 5.309, time/batch = 0.035, All_Time = 63.812
1900/750000 (epoch 5), train_loss = 5.200, time/batch = 0.036, All_Time = 65.538
1950/750000 (epoch 5), train_loss = 5.157, time/batch = 0.036, All_Time = 67.278
2000/750000 (epoch 5), train_loss = 5.126, time/batch = 0.034, All_Time = 69.001
model saved to NER/nltk/model.ckpt
2050/750000 (epoch 5), train_loss = 3.968, time/batch = 0.033, All_Time = 70.724
2100/750000 (epoch 5), train_loss = 3.287, time/batch = 0.036, All_Time = 72.460
2150/750000 (epoch 5), train_loss = 2.729, time/batch = 0.036, All_Time = 74.187
2200/750000 (epoch 5), train_loss = 2.563, time/batch = 0.036, All_Time = 75.902
2250/750000 (epoch 6), train_loss = 2.994, time/batch = 0.035, All_Time = 77.628
2300/750000 (epoch 6), train_loss = 2.299, time/batch = 0.033, All_Time = 79.379
2350/750000 (epoch 6), train_loss = 2.372, time/batch = 0.034, All_Time = 81.095
2400/750000 (epoch 6), train_loss = 2.139, time/batch = 0.036, All_Time = 82.814
2450/750000 (epoch 6), train_loss = 1.926, time/batch = 0.036, All_Time = 84.548
2500/750000 (epoch 6), train_loss = 1.996, time/batch = 0.036, All_Time = 86.274
2550/750000 (epoch 6), train_loss = 2.175, time/batch = 0.034, All_Time = 87.986
2600/750000 (epoch 6), train_loss = 2.097, time/batch = 0.033, All_Time = 89.702
2650/750000 (epoch 7), train_loss = 2.052, time/batch = 0.034, All_Time = 91.452
2700/750000 (epoch 7), train_loss = 1.893, time/batch = 0.034, All_Time = 93.171
2750/750000 (epoch 7), train_loss = 2.147, time/batch = 0.034, All_Time = 94.898
2800/750000 (epoch 7), train_loss = 1.744, time/batch = 0.033, All_Time = 96.628
2850/750000 (epoch 7), train_loss = 1.701, time/batch = 0.037, All_Time = 98.371
2900/750000 (epoch 7), train_loss = 1.777, time/batch = 0.036, All_Time = 100.098
2950/750000 (epoch 7), train_loss = 1.842, time/batch = 0.034, All_Time = 101.839
3000/750000 (epoch 8), train_loss = 2.247, time/batch = 0.038, All_Time = 103.555
model saved to NER/nltk/model.ckpt
3050/750000 (epoch 8), train_loss = 1.768, time/batch = 0.035, All_Time = 105.310
3100/750000 (epoch 8), train_loss = 1.866, time/batch = 0.037, All_Time = 107.023
3150/750000 (epoch 8), train_loss = 1.631, time/batch = 0.033, All_Time = 108.748
3200/750000 (epoch 8), train_loss = 1.522, time/batch = 0.035, All_Time = 110.475
3250/750000 (epoch 8), train_loss = 1.544, time/batch = 0.034, All_Time = 112.194
3300/750000 (epoch 8), train_loss = 1.794, time/batch = 0.035, All_Time = 113.984
3350/750000 (epoch 8), train_loss = 1.725, time/batch = 0.035, All_Time = 115.775
3400/750000 (epoch 9), train_loss = 1.656, time/batch = 0.034, All_Time = 117.575
3450/750000 (epoch 9), train_loss = 1.586, time/batch = 0.037, All_Time = 119.324
3500/750000 (epoch 9), train_loss = 1.793, time/batch = 0.034, All_Time = 121.062
3550/750000 (epoch 9), train_loss = 1.495, time/batch = 0.035, All_Time = 122.815
3600/750000 (epoch 9), train_loss = 1.419, time/batch = 0.034, All_Time = 124.556
3650/750000 (epoch 9), train_loss = 1.535, time/batch = 0.032, All_Time = 126.321
3700/750000 (epoch 9), train_loss = 1.605, time/batch = 0.035, All_Time = 128.062
3750/750000 (epoch 10), train_loss = 1.830, time/batch = 0.038, All_Time = 129.814
3800/750000 (epoch 10), train_loss = 1.564, time/batch = 0.033, All_Time = 131.548
3850/750000 (epoch 10), train_loss = 1.634, time/batch = 0.035, All_Time = 133.299
3900/750000 (epoch 10), train_loss = 1.412, time/batch = 0.033, All_Time = 135.072
3950/750000 (epoch 10), train_loss = 1.351, time/batch = 0.034, All_Time = 136.816
4000/750000 (epoch 10), train_loss = 1.329, time/batch = 0.036, All_Time = 138.589
model saved to NER/nltk/model.ckpt
4050/750000 (epoch 10), train_loss = 1.589, time/batch = 0.036, All_Time = 140.341
4100/750000 (epoch 10), train_loss = 1.504, time/batch = 0.032, All_Time = 142.069
4150/750000 (epoch 11), train_loss = 1.447, time/batch = 0.036, All_Time = 143.825
4200/750000 (epoch 11), train_loss = 1.388, time/batch = 0.037, All_Time = 145.594
4250/750000 (epoch 11), train_loss = 1.564, time/batch = 0.035, All_Time = 147.326
4300/750000 (epoch 11), train_loss = 1.318, time/batch = 0.034, All_Time = 149.068
