seed_text(prime_text),generated _text,perplexity
international,international beverage area. no reservation costs. great rates. book a at the le,98.5303840048615
hotel,"hotel in i-loc i-loc trade centre, i-loc i-loc. book a hotel deal on",106.57933621961064
deals,"deals resort & eiffel spa, i-loc. i-loc nj i-loc nj near i-loc pa.",304.5367878897851
coupon,"coupon jantzen, int. oceanfront, trevi grasmere grasmere condo resort! value find low rates.",645.5457475344034
reservation,"reservation costs. great rates. book at st raphael resort, i-loc. no reservation costs.",146.50711057668016
rates,rates from top brands. car rental kent. compare low rates from top brands.,386.7501951376046
great,"great rates. book at hotel i-loc i-loc, i-loc. no reservation costs. great rates.",43.03680311906416
cost,cost suburban b&b hotels in i-loc now! great rates! great hotels in i-loc,43.57460052617217
expedia,"expedia skyline zone johannesburg jackson banff per coupon. 360-degree revolving dining in choices,",11640.79333022368
save,save on i-loc in i-loc i-loc dc. best rates or refund + $50,20.461938655322555
no,no reservation costs. great rates. book a hotel in the i-loc book a,17.880395474083112
book,"book a hotel near i-loc i-loc, boston. save up to 50% on your",27.770698193454628
big,"big resort & spa, i-loc an. no reservation costs. great rates. i-loc &",23.627197238326946
vietnam,vietnam delhi nice hotels in i-loc in. expedia price guarantee. save big on,89.3943592346937
canton mA,canton mA online! book prices. book at hotel in i-loc in montral. no reservation,18.947234210061524
best prices,best prices on book at beach resort and spa now. book now! get the,52.95114010423517
accommodation,accommodation in i-loci-loc i-loci-loc ca. no reservation costs. great rates. book at i-loc,34.309068557991594
carnegie mellon university,"carnegie mellon university nearby, orlando all sedona admission admission admission to and save big! price",1161.591803180775
guarantee,guarantee no reservation costs. great rates. book a at i-loc i-loc i-loc myrtle,25.138819137981066
international,"international food resort myrtle isle south, i-loc. i-loc i-loc. best price guarantee! star",1166.628005885295
hotel,hotel in i-loc i-loc wine country. no reservation costs. great rates. book your,23.09021432766589
deals,deals resort trevi grasmere trevi trevi trevi apartment in i-loc i-loc. secure value,1325.5254480611547
coupon,coupon conv. food credit credit credit per voucher. 360-degree revolving dining area. great,1937.69169677732
reservation,"reservation costs. great rates. book at plus hotel and casino, i-loc i-loc. no",49.119094138259285
rates,rates from top brands. car rental kent. compare low rates from top brands.,267.6981652388393
great,"great rates. book at hotel i-loc i-loc, i-loc. no reservation costs. great rates.",33.19366525728614
cost,"cost getaway. book at hotel i-loc i-loc, i-loc. no reservation costs. great rates.",59.172451384787465
expedia,expedia monuments on eiffel lisboa hotel. resort in i-loc i-loc i-loc. i-loc and,235.40172927464604
save,save on i-loc in i-loc i-loc dc. best rates or refund + $50,24.177132697402676
no,no reservation costs. great rates. book a b&b in white rock online. no,66.69260855876536
book,book accommodation in i-loc. no reservation costs. great rates. book saint saint rates.,135.44369774246871
big,"big resort & spa, i-loc i-loc. i-loc germain villa sc resort or rooms",166.03660453846103
vietnam,"vietnam fiesta peninsula hollywood, & i-loc i-loc i-loc and entertainment i-loc. centre on",173.4994135864117
canton mA,"canton mA 90 +$50 coupon. find hotels in i-loc i-loc, i-loc. quicki-loc easy booking.",359.72850586278673
best prices,best prices on & save on hotels in i-loc i-loc. book online & save,37.57221526554945
accommodation,"accommodation in i-loci-loc i-loc, in. no reservation costs. great rates. book a room",43.884226771047494
carnegie mellon university,carnegie mellon university capitol. best reservation ga i-loc next trip with expedia. best rates or,207.81990511799177
guarantee,"guarantee book at hotel west i-loc palace, i-loc i-loc. no reservation costs. great",47.269473408476
dizengoff,"dizengoff safari resort, & four pools. golfing nearby. family-friendly royal caribbean hotel on",551.3486440459137
"air,","air, london island, and i-loc new i-loc i-loc! find rates. great rates on",61.300272571397855
tassie,"tassie jared johannesburg lakefront next club, pricesi-loc credit next credit credit club. best",4051.968222722135
hills,"hills crown resort, john. john. no reservation costs. great rates. i-loc i-loc. best",122.12971754004887
changanil-i-loc,changanil-i-loc cambridge memorable hotel in i-loc i-loc i-loc i-loc i-loci-loc i-loc i-loc accommodation,134.08334231849506
large,"large best prices, trusted. book a hotel in i-loc on i-loc i-loc. get",93.36123400961785
"carlos,","carlos, rates. i-loc i-loc i-loc i-loci-loc i-loc. no reservation costs. great rates. book",32.396203791715465
memorial.,memorial. great rates. book at i-loc i-loc i-loc i-loc. no reservation costs. great,19.26110491539153
vagabond,"vagabond paris, tiberias. no reservation costs. great rates. book at the talbot inn,",78.15426678979698
165,"165 japan, i-loc-on-sea. & hot i-loc on i-loc near national park. secure value",178.7043053286314
"opry,","opry, living i-loc. no reservation costs. great rates. book john i-loc i-loc, i-loc",154.64729480669314
hard,"hard princess, sweet lavish imperial i-loc. i-loc i-loc, i-loc. i-loc i-loc. 3 minutes",1960.7726568549936
thessalonki.,thessalonki. no reservation costs. great rates. book your hotel in picayune or online.,73.35833114583957
dubrovnik.,dubrovnik. book your hotel in i-loc la online. no reservation costs. great rates.,30.879298057005485
peters,"peters seabank row, keys great i-loc i-loc beach resort, i-loc. no reservation costs.",281.93602823866746
richmond.,richmond. trade lowe's bargara. gili inni-loc encantada airport and state airport 10 value,1421.2134954774685
people.,people. landing escondido termini silicon bourbon conv. squarei-loc near crested branson church. museum,5057.953124256707
chinatown,chinatown group night next resort best rates or refund + $50 coupon. book,466.48405831568397
"d'adrien,","d'adrien, europa, and save on hotels in i-loc i-loc on your i-loc in",23.55243879959197
