0/758000 (epoch 0), train_loss = 9.535, time/batch = 0.218, All_Time = 0.218
model saved to NER/polyglot/model.ckpt
50/758000 (epoch 0), train_loss = 5.019, time/batch = 0.029, All_Time = 1.661
100/758000 (epoch 0), train_loss = 4.882, time/batch = 0.029, All_Time = 3.092
150/758000 (epoch 0), train_loss = 4.838, time/batch = 0.028, All_Time = 4.527
200/758000 (epoch 0), train_loss = 5.030, time/batch = 0.029, All_Time = 5.949
250/758000 (epoch 0), train_loss = 4.912, time/batch = 0.029, All_Time = 7.394
300/758000 (epoch 0), train_loss = 4.993, time/batch = 0.029, All_Time = 8.818
350/758000 (epoch 0), train_loss = 4.831, time/batch = 0.028, All_Time = 10.247
400/758000 (epoch 1), train_loss = 4.828, time/batch = 0.029, All_Time = 11.685
450/758000 (epoch 1), train_loss = 4.754, time/batch = 0.028, All_Time = 13.116
500/758000 (epoch 1), train_loss = 4.938, time/batch = 0.028, All_Time = 14.551
550/758000 (epoch 1), train_loss = 4.791, time/batch = 0.028, All_Time = 15.980
600/758000 (epoch 1), train_loss = 4.746, time/batch = 0.029, All_Time = 17.416
650/758000 (epoch 1), train_loss = 4.741, time/batch = 0.029, All_Time = 18.840
700/758000 (epoch 1), train_loss = 4.926, time/batch = 0.027, All_Time = 20.272
750/758000 (epoch 1), train_loss = 4.950, time/batch = 0.028, All_Time = 21.708
800/758000 (epoch 2), train_loss = 4.909, time/batch = 0.028, All_Time = 23.156
850/758000 (epoch 2), train_loss = 4.410, time/batch = 0.029, All_Time = 24.582
900/758000 (epoch 2), train_loss = 3.377, time/batch = 0.029, All_Time = 26.014
950/758000 (epoch 2), train_loss = 2.675, time/batch = 0.029, All_Time = 27.453
1000/758000 (epoch 2), train_loss = 2.085, time/batch = 0.028, All_Time = 28.882
model saved to NER/polyglot/model.ckpt
1050/758000 (epoch 2), train_loss = 2.149, time/batch = 0.029, All_Time = 30.311
1100/758000 (epoch 2), train_loss = 2.027, time/batch = 0.028, All_Time = 31.734
1150/758000 (epoch 3), train_loss = 2.159, time/batch = 0.030, All_Time = 33.167
1200/758000 (epoch 3), train_loss = 1.774, time/batch = 0.028, All_Time = 34.601
1250/758000 (epoch 3), train_loss = 1.976, time/batch = 0.028, All_Time = 36.031
1300/758000 (epoch 3), train_loss = 1.770, time/batch = 0.030, All_Time = 37.455
1350/758000 (epoch 3), train_loss = 1.778, time/batch = 0.028, All_Time = 38.892
1400/758000 (epoch 3), train_loss = 1.448, time/batch = 0.030, All_Time = 40.316
1450/758000 (epoch 3), train_loss = 1.873, time/batch = 0.029, All_Time = 41.742
1500/758000 (epoch 3), train_loss = 1.629, time/batch = 0.028, All_Time = 43.176
1550/758000 (epoch 4), train_loss = 1.602, time/batch = 0.029, All_Time = 44.615
1600/758000 (epoch 4), train_loss = 1.596, time/batch = 0.029, All_Time = 46.048
1650/758000 (epoch 4), train_loss = 1.368, time/batch = 0.030, All_Time = 47.485
1700/758000 (epoch 4), train_loss = 1.501, time/batch = 0.029, All_Time = 48.917
1750/758000 (epoch 4), train_loss = 1.413, time/batch = 0.029, All_Time = 50.352
1800/758000 (epoch 4), train_loss = 1.446, time/batch = 0.028, All_Time = 51.796
1850/758000 (epoch 4), train_loss = 1.353, time/batch = 0.028, All_Time = 53.233
1900/758000 (epoch 5), train_loss = 1.459, time/batch = 0.030, All_Time = 54.669
1950/758000 (epoch 5), train_loss = 1.361, time/batch = 0.028, All_Time = 56.101
2000/758000 (epoch 5), train_loss = 1.500, time/batch = 0.030, All_Time = 57.536
model saved to NER/polyglot/model.ckpt
2050/758000 (epoch 5), train_loss = 1.329, time/batch = 0.029, All_Time = 58.981
2100/758000 (epoch 5), train_loss = 1.221, time/batch = 0.029, All_Time = 60.422
2150/758000 (epoch 5), train_loss = 1.114, time/batch = 0.029, All_Time = 61.849
2200/758000 (epoch 5), train_loss = 1.497, time/batch = 0.029, All_Time = 63.286
2250/758000 (epoch 5), train_loss = 1.350, time/batch = 0.028, All_Time = 64.718
2300/758000 (epoch 6), train_loss = 1.523, time/batch = 0.030, All_Time = 66.157
2350/758000 (epoch 6), train_loss = 1.154, time/batch = 0.030, All_Time = 67.591
2400/758000 (epoch 6), train_loss = 1.309, time/batch = 0.028, All_Time = 69.026
2450/758000 (epoch 6), train_loss = 1.223, time/batch = 0.029, All_Time = 70.450
2500/758000 (epoch 6), train_loss = 1.333, time/batch = 0.028, All_Time = 71.885
2550/758000 (epoch 6), train_loss = 1.248, time/batch = 0.029, All_Time = 73.303
2600/758000 (epoch 6), train_loss = 1.380, time/batch = 0.028, All_Time = 74.735
2650/758000 (epoch 6), train_loss = 1.172, time/batch = 0.029, All_Time = 76.173
2700/758000 (epoch 7), train_loss = 1.273, time/batch = 0.028, All_Time = 77.602
2750/758000 (epoch 7), train_loss = 1.355, time/batch = 0.028, All_Time = 79.040
2800/758000 (epoch 7), train_loss = 1.094, time/batch = 0.030, All_Time = 80.471
2850/758000 (epoch 7), train_loss = 1.137, time/batch = 0.029, All_Time = 81.904
2900/758000 (epoch 7), train_loss = 1.074, time/batch = 0.029, All_Time = 83.341
2950/758000 (epoch 7), train_loss = 1.080, time/batch = 0.027, All_Time = 84.773
3000/758000 (epoch 7), train_loss = 1.217, time/batch = 0.028, All_Time = 86.207
model saved to NER/polyglot/model.ckpt
3050/758000 (epoch 8), train_loss = 1.234, time/batch = 0.029, All_Time = 87.645
3100/758000 (epoch 8), train_loss = 1.153, time/batch = 0.028, All_Time = 89.071
3150/758000 (epoch 8), train_loss = 1.190, time/batch = 0.030, All_Time = 90.518
3200/758000 (epoch 8), train_loss = 1.191, time/batch = 0.030, All_Time = 91.954
3250/758000 (epoch 8), train_loss = 0.944, time/batch = 0.029, All_Time = 93.387
3300/758000 (epoch 8), train_loss = 1.014, time/batch = 0.030, All_Time = 94.828
3350/758000 (epoch 8), train_loss = 1.222, time/batch = 0.028, All_Time = 96.257
3400/758000 (epoch 8), train_loss = 1.019, time/batch = 0.028, All_Time = 97.690
3450/758000 (epoch 9), train_loss = 1.059, time/batch = 0.030, All_Time = 99.124
3500/758000 (epoch 9), train_loss = 1.172, time/batch = 0.028, All_Time = 100.558
3550/758000 (epoch 9), train_loss = 0.974, time/batch = 0.028, All_Time = 101.986
3600/758000 (epoch 9), train_loss = 1.043, time/batch = 0.028, All_Time = 103.421
3650/758000 (epoch 9), train_loss = 0.982, time/batch = 0.029, All_Time = 104.852
3700/758000 (epoch 9), train_loss = 1.229, time/batch = 0.028, All_Time = 106.277
3750/758000 (epoch 9), train_loss = 1.063, time/batch = 0.030, All_Time = 107.713
3800/758000 (epoch 10), train_loss = 0.970, time/batch = 0.028, All_Time = 109.150
3850/758000 (epoch 10), train_loss = 1.082, time/batch = 0.029, All_Time = 110.588
3900/758000 (epoch 10), train_loss = 1.062, time/batch = 0.028, All_Time = 112.077
3950/758000 (epoch 10), train_loss = 0.910, time/batch = 0.030, All_Time = 113.552
4000/758000 (epoch 10), train_loss = 0.891, time/batch = 0.028, All_Time = 115.012
model saved to NER/polyglot/model.ckpt
4050/758000 (epoch 10), train_loss = 0.911, time/batch = 0.029, All_Time = 116.470
4100/758000 (epoch 10), train_loss = 0.895, time/batch = 0.029, All_Time = 117.911
4150/758000 (epoch 10), train_loss = 1.020, time/batch = 0.029, All_Time = 119.372
4200/758000 (epoch 11), train_loss = 1.131, time/batch = 0.029, All_Time = 120.815
4250/758000 (epoch 11), train_loss = 0.963, time/batch = 0.028, All_Time = 122.261
4300/758000 (epoch 11), train_loss = 0.931, time/batch = 0.029, All_Time = 123.704
4350/758000 (epoch 11), train_loss = 0.964, time/batch = 0.029, All_Time = 125.312
4400/758000 (epoch 11), train_loss = 0.988, time/batch = 0.028, All_Time = 126.787
4450/758000 (epoch 11), train_loss = 1.000, time/batch = 0.028, All_Time = 128.241
4500/758000 (epoch 11), train_loss = 0.997, time/batch = 0.028, All_Time = 129.684
4550/758000 (epoch 12), train_loss = 0.869, time/batch = 0.028, All_Time = 131.128
4600/758000 (epoch 12), train_loss = 0.925, time/batch = 0.028, All_Time = 132.573
4650/758000 (epoch 12), train_loss = 0.976, time/batch = 0.029, All_Time = 134.026
4700/758000 (epoch 12), train_loss = 0.867, time/batch = 0.030, All_Time = 135.516
4750/758000 (epoch 12), train_loss = 0.797, time/batch = 0.028, All_Time = 137.023
4800/758000 (epoch 12), train_loss = 0.839, time/batch = 0.032, All_Time = 138.491
4850/758000 (epoch 12), train_loss = 0.867, time/batch = 0.029, All_Time = 139.979
4900/758000 (epoch 12), train_loss = 0.832, time/batch = 0.030, All_Time = 141.434
4950/758000 (epoch 13), train_loss = 0.907, time/batch = 0.029, All_Time = 142.893
5000/758000 (epoch 13), train_loss = 0.831, time/batch = 0.028, All_Time = 144.353
model saved to NER/polyglot/model.ckpt
5050/758000 (epoch 13), train_loss = 0.924, time/batch = 0.028, All_Time = 145.807
5100/758000 (epoch 13), train_loss = 0.895, time/batch = 0.030, All_Time = 147.264
5150/758000 (epoch 13), train_loss = 0.737, time/batch = 0.028, All_Time = 148.715
5200/758000 (epoch 13), train_loss = 0.797, time/batch = 0.028, All_Time = 150.169
5250/758000 (epoch 13), train_loss = 0.870, time/batch = 0.030, All_Time = 151.626
5300/758000 (epoch 13), train_loss = 0.833, time/batch = 0.029, All_Time = 153.078
5350/758000 (epoch 14), train_loss = 0.840, time/batch = 0.029, All_Time = 154.544
5400/758000 (epoch 14), train_loss = 0.924, time/batch = 0.030, All_Time = 155.994
5450/758000 (epoch 14), train_loss = 0.843, time/batch = 0.029, All_Time = 157.465
5500/758000 (epoch 14), train_loss = 0.734, time/batch = 0.028, All_Time = 158.929
5550/758000 (epoch 14), train_loss = 0.774, time/batch = 0.028, All_Time = 160.382
5600/758000 (epoch 14), train_loss = 0.842, time/batch = 0.029, All_Time = 161.843
5650/758000 (epoch 14), train_loss = 0.826, time/batch = 0.030, All_Time = 163.307
5700/758000 (epoch 15), train_loss = 0.817, time/batch = 0.029, All_Time = 164.773
5750/758000 (epoch 15), train_loss = 0.865, time/batch = 0.029, All_Time = 166.235
5800/758000 (epoch 15), train_loss = 0.830, time/batch = 0.029, All_Time = 167.694
5850/758000 (epoch 15), train_loss = 0.712, time/batch = 0.031, All_Time = 169.150
5900/758000 (epoch 15), train_loss = 0.656, time/batch = 0.028, All_Time = 170.601
5950/758000 (epoch 15), train_loss = 0.694, time/batch = 0.031, All_Time = 172.062
6000/758000 (epoch 15), train_loss = 0.743, time/batch = 0.028, All_Time = 173.524
model saved to NER/polyglot/model.ckpt
6050/758000 (epoch 15), train_loss = 0.793, time/batch = 0.029, All_Time = 174.980
6100/758000 (epoch 16), train_loss = 0.860, time/batch = 0.029, All_Time = 176.444
6150/758000 (epoch 16), train_loss = 0.756, time/batch = 0.030, All_Time = 177.893
6200/758000 (epoch 16), train_loss = 0.724, time/batch = 0.031, All_Time = 179.372
6250/758000 (epoch 16), train_loss = 0.716, time/batch = 0.030, All_Time = 180.850
6300/758000 (epoch 16), train_loss = 0.794, time/batch = 0.030, All_Time = 182.309
6350/758000 (epoch 16), train_loss = 0.829, time/batch = 0.030, All_Time = 183.781
6400/758000 (epoch 16), train_loss = 0.746, time/batch = 0.028, All_Time = 185.243
6450/758000 (epoch 17), train_loss = 0.690, time/batch = 0.030, All_Time = 186.721
6500/758000 (epoch 17), train_loss = 0.689, time/batch = 0.029, All_Time = 188.170
6550/758000 (epoch 17), train_loss = 0.852, time/batch = 0.029, All_Time = 189.638
6600/758000 (epoch 17), train_loss = 0.696, time/batch = 0.028, All_Time = 191.098
6650/758000 (epoch 17), train_loss = 0.683, time/batch = 0.030, All_Time = 192.543
6700/758000 (epoch 17), train_loss = 0.661, time/batch = 0.028, All_Time = 193.992
6750/758000 (epoch 17), train_loss = 0.731, time/batch = 0.030, All_Time = 195.447
6800/758000 (epoch 17), train_loss = 0.680, time/batch = 0.029, All_Time = 196.910
6850/758000 (epoch 18), train_loss = 0.695, time/batch = 0.028, All_Time = 198.363
6900/758000 (epoch 18), train_loss = 0.691, time/batch = 0.031, All_Time = 199.843
6950/758000 (epoch 18), train_loss = 0.644, time/batch = 0.030, All_Time = 201.328
7000/758000 (epoch 18), train_loss = 0.722, time/batch = 0.028, All_Time = 202.784
model saved to NER/polyglot/model.ckpt
7050/758000 (epoch 18), train_loss = 0.653, time/batch = 0.030, All_Time = 204.245
7100/758000 (epoch 18), train_loss = 0.616, time/batch = 0.030, All_Time = 205.689
7150/758000 (epoch 18), train_loss = 0.754, time/batch = 0.029, All_Time = 207.137
7200/758000 (epoch 18), train_loss = 0.686, time/batch = 0.030, All_Time = 208.586
7250/758000 (epoch 19), train_loss = 0.668, time/batch = 0.030, All_Time = 210.049
7300/758000 (epoch 19), train_loss = 0.785, time/batch = 0.030, All_Time = 211.507
7350/758000 (epoch 19), train_loss = 0.607, time/batch = 0.029, All_Time = 212.971
7400/758000 (epoch 19), train_loss = 0.594, time/batch = 0.030, All_Time = 214.437
7450/758000 (epoch 19), train_loss = 0.713, time/batch = 0.029, All_Time = 215.889
7500/758000 (epoch 19), train_loss = 0.686, time/batch = 0.030, All_Time = 217.343
7550/758000 (epoch 19), train_loss = 0.649, time/batch = 0.028, All_Time = 218.791
7600/758000 (epoch 20), train_loss = 0.653, time/batch = 0.028, All_Time = 220.241
7650/758000 (epoch 20), train_loss = 0.595, time/batch = 0.030, All_Time = 221.691
7700/758000 (epoch 20), train_loss = 0.604, time/batch = 0.031, All_Time = 223.140
7750/758000 (epoch 20), train_loss = 0.600, time/batch = 0.029, All_Time = 224.610
7800/758000 (epoch 20), train_loss = 0.553, time/batch = 0.030, All_Time = 226.096
7850/758000 (epoch 20), train_loss = 0.626, time/batch = 0.029, All_Time = 227.561
7900/758000 (epoch 20), train_loss = 0.750, time/batch = 0.029, All_Time = 229.028
7950/758000 (epoch 20), train_loss = 0.638, time/batch = 0.029, All_Time = 230.496
8000/758000 (epoch 21), train_loss = 0.642, time/batch = 0.029, All_Time = 231.952
model saved to NER/polyglot/model.ckpt
8050/758000 (epoch 21), train_loss = 0.683, time/batch = 0.029, All_Time = 233.409
8100/758000 (epoch 21), train_loss = 0.608, time/batch = 0.029, All_Time = 234.847
8150/758000 (epoch 21), train_loss = 0.627, time/batch = 0.029, All_Time = 236.293
8200/758000 (epoch 21), train_loss = 0.533, time/batch = 0.029, All_Time = 237.737
8250/758000 (epoch 21), train_loss = 0.629, time/batch = 0.030, All_Time = 239.192
8300/758000 (epoch 21), train_loss = 0.650, time/batch = 0.029, All_Time = 240.657
8350/758000 (epoch 22), train_loss = 0.636, time/batch = 0.029, All_Time = 242.127
8400/758000 (epoch 22), train_loss = 0.568, time/batch = 0.029, All_Time = 243.578
8450/758000 (epoch 22), train_loss = 0.627, time/batch = 0.030, All_Time = 245.043
8500/758000 (epoch 22), train_loss = 0.591, time/batch = 0.031, All_Time = 246.508
8550/758000 (epoch 22), train_loss = 0.585, time/batch = 0.028, All_Time = 247.964
8600/758000 (epoch 22), train_loss = 0.540, time/batch = 0.029, All_Time = 249.428
8650/758000 (epoch 22), train_loss = 0.568, time/batch = 0.029, All_Time = 250.888
8700/758000 (epoch 22), train_loss = 0.623, time/batch = 0.031, All_Time = 252.352
8750/758000 (epoch 23), train_loss = 0.604, time/batch = 0.029, All_Time = 253.799
8800/758000 (epoch 23), train_loss = 0.531, time/batch = 0.028, All_Time = 255.249
8850/758000 (epoch 23), train_loss = 0.661, time/batch = 0.027, All_Time = 256.710
8900/758000 (epoch 23), train_loss = 0.613, time/batch = 0.028, All_Time = 258.166
8950/758000 (epoch 23), train_loss = 0.542, time/batch = 0.029, All_Time = 259.643
9000/758000 (epoch 23), train_loss = 0.595, time/batch = 0.030, All_Time = 261.129
model saved to NER/polyglot/model.ckpt
