seed_text(prime_text),generated _text,perplexity
international,international flags you no reservation costs. great rates. all columbus airport in i-loc.,255.3960567681289
hotel,hotel with 2 restaurants and 2 spa tubs. golfing nearby. family-friendly hotel with,252.53428293218983
deals,"deals on hotels in i-gpe, i-gpe and save big! find and compare exclusive",45.71113759981277
coupon,coupon rock hotels near latin thomas myrtle airport. seattle hotels near portela airport,634.4489283655099
reservation,reservation great rates. book your hotel in mystic ct online. no reservation costs.,73.79392324860406
rates,rates at hotel du soleil. no fl online book your hotel near tampa,40.14613304299889
great,"great rates. animals world hotel riviera park i-gpe, i-gpe. no reservation costs. great",221.82967329528702
cost,cost othon linked hotel. up booking on expedia & book today. expedia for,307.3675849967775
expedia,expedia on save up to 50% on your reservation. book a hotel near,51.75196300085843
save,save up to 50% on your reservation. book a hotel near duval street.,48.60555132759443
no,"no reservation costs. great rates. book at apartment sol center cross, i-gpe. no",91.51116419994557
book,"book at leaside hotel, luton. no reservation costs. great rates. book at leblon",80.11886835211764
big,big dream i-gpe trip with the i-gpe! save with expedia's price guarantee. book,80.7841940472039
vietnam,vietnam bernabeu indianapolis 14300 360-degree amber easily off! very off very dining very,25905.63506450764
canton mA,canton mA postcard earn up 4-star 2 off swimming pool next book on the,1080.4699774487308
best prices,"best prices your town hotel in i-gpe today! quick, easy booking. expedia best price",60.4765396197911
accommodation,accommodation package exclusive up to 50% on great hotels. book your hotel in,33.641516071408944
carnegie mellon university,carnegie mellon university easily $25 off very first booking -50% bed & breakfast in i-gpe.,1318.6119184086774
guarantee,guarantee st nogales best rates or refund + $50 coupon. save on hotels,121.82832777166638
international,"international vadoo, i-gpe. no reservation costs. great rates. budget-friendly hotel i-gpe deals at",93.37516201583416
hotel,hotel today! best rates or refund + $50 coupon. book your hotel in,47.96946500203922
deals,"deals on hotels in i-gpe, i-gpe and save big! find and compare exclusive",51.03254521709631
coupon,coupon booking accommodation in i-gpe online. no reservation costs. great rates. book accommodation,26.17148018260169
reservation,reservation no reservation costs. great rates. book accommodation in i-gpe online. no reservation,23.67301836681951
rates,"rates or book a great a hotel in el nido, i-gpe. no reservation",40.05294012746956
great,"great rates. animals from i-loc, i-loc & the independence american international canada metro",890.4732085439343
cost,"cost tropical, money & hotel secure & book holiday cruise deals now! stay",91.1224672297924
expedia,"expedia on hotels in ein augustine, ma and expedia guarantees the best price.",199.3249687414125
save,"save on hotels in i-loc, on. save on hotels in i-gpe, i-gpe. save",33.44458765381428
no,no at trip i-gpe and save. best rates or refund + $50 coupon.,68.62823753366146
book,"book at leaside hotel, luton. no reservation costs. great rates. book at leblon",84.02485656720349
big,"big crest hotels near i-loc, i-gpe city, ca. more choices, best price guarantee.",71.05650586795069
vietnam,"vietnam low, rewards: atlanta. in. & book an online. no reservation costs. great",79.90640393454355
canton mA,canton mA 5-minute 11+ w/ revolving booking very like booking -50% with first booking,6303.755747678973
best prices,"best prices on hotels in i-gpe, i-gpe today expedia guarantees the best price. +",84.75895090565767
accommodation,accommodation on expedia's with expedia spa hotel with expedia. save on your trip,70.68588568819588
carnegie mellon university,carnegie mellon university area. $25 off very first booking -50% bed & breakfast in i-gpe.,1272.9743836313346
guarantee,"guarantee st giles house inn i-gpe. more choices, best prices, trusted. book your",149.4413263924645
"chita,","chita, i-gpe. no reservation costs. great rates. budget-friendly dublin hotel las free inclusive.",123.80277222693512
s'algar,"s'algar and save on i-loc, flights, vacations. get expedia's price guarantee. book your",116.92742722526742
timed-entry,timed-entry great costs. great rates. book a guest house online. no reservation costs.,69.34894351341934
centre.,centre. st giles resort & spa. plan your next trip with expedia. best,216.49101909477704
piraeus,piraeus lancaster. book at hotel de cancn resort. no reservation costs. great rates.,97.23136160668594
yunokawa,"yunokawa kelso ravenwood de. houserville. off! $100 build malpensa offers. most banks, discovery",3483.203380929024
alps.,"alps. reservation costs. great rates. book at airotel i-gpe, i-gpe. no reservation costs.",59.9932896422414
salam,salam a package to derbyshire. save with expedia's price guarantee book a package,122.705584346991
head,head receive -50% up in 50% on your motel on an expedia. book,143.62902242060346
gibraltar,gibraltar bora town d hotel today! best rates or refund + $50 coupon.,212.84555822236058
myrtle,myrtle tremblant commentary. earn earn 330 earn mitte. big! + & + +,1477.049024304509
gatlinburg.,"gatlinburg. 11 tasso wa hotel madison. old marsh eiffel, i-gpe. no reservation costs.",592.6158354928697
"taurito,","taurito, gerani sooner south the best the travel airport. airport on the best",480.400401693438
i-gpes.,i-gpes. no reservation costs. great rates. book accommodation in bakewell online. no reservation,53.023598022204894
daina.,daina. at accommodation on cancun today! best rates or refund + $50 coupon.,135.99998473369322
yelagiri,yelagiri on cheap university vancouver hotel online expedia best price guarantee. book your,189.883056052953
soldeu.,"soldeu. no reservation costs. great rates. book a resort in i-gpe, i-gpe. no",28.82693346235631
"bristol,","bristol, the spanish positano. no reservation costs. great rates. book a hotel in",49.99016464667292
ingoldmells,ingoldmells west louis saint i-gpe. no reservation costs. great rates. book at panama,251.28134316017736
