0/742000 (epoch 0), train_loss = 9.865, time/batch = 0.222, All_Time = 0.222
model saved to NER/spacy/model.ckpt
50/742000 (epoch 0), train_loss = 5.421, time/batch = 0.036, All_Time = 2.043
100/742000 (epoch 0), train_loss = 5.587, time/batch = 0.037, All_Time = 3.850
150/742000 (epoch 0), train_loss = 5.320, time/batch = 0.037, All_Time = 5.656
200/742000 (epoch 0), train_loss = 5.266, time/batch = 0.038, All_Time = 7.458
250/742000 (epoch 0), train_loss = 5.443, time/batch = 0.038, All_Time = 9.271
300/742000 (epoch 0), train_loss = 5.226, time/batch = 0.037, All_Time = 11.086
350/742000 (epoch 0), train_loss = 5.374, time/batch = 0.037, All_Time = 12.882
400/742000 (epoch 1), train_loss = 5.368, time/batch = 0.036, All_Time = 14.690
450/742000 (epoch 1), train_loss = 5.285, time/batch = 0.036, All_Time = 16.504
500/742000 (epoch 1), train_loss = 5.574, time/batch = 0.035, All_Time = 18.310
550/742000 (epoch 1), train_loss = 5.262, time/batch = 0.036, All_Time = 20.111
600/742000 (epoch 1), train_loss = 5.472, time/batch = 0.038, All_Time = 21.929
650/742000 (epoch 1), train_loss = 5.318, time/batch = 0.035, All_Time = 23.742
700/742000 (epoch 1), train_loss = 5.306, time/batch = 0.035, All_Time = 25.561
750/742000 (epoch 2), train_loss = 5.181, time/batch = 0.036, All_Time = 27.399
800/742000 (epoch 2), train_loss = 5.284, time/batch = 0.038, All_Time = 29.202
850/742000 (epoch 2), train_loss = 5.220, time/batch = 0.036, All_Time = 31.016
900/742000 (epoch 2), train_loss = 5.299, time/batch = 0.038, All_Time = 32.848
950/742000 (epoch 2), train_loss = 5.225, time/batch = 0.035, All_Time = 34.663
1000/742000 (epoch 2), train_loss = 5.148, time/batch = 0.037, All_Time = 36.479
model saved to NER/spacy/model.ckpt
1050/742000 (epoch 2), train_loss = 5.507, time/batch = 0.037, All_Time = 38.298
1100/742000 (epoch 2), train_loss = 5.407, time/batch = 0.034, All_Time = 40.100
1150/742000 (epoch 3), train_loss = 5.457, time/batch = 0.038, All_Time = 41.916
1200/742000 (epoch 3), train_loss = 5.298, time/batch = 0.037, All_Time = 43.721
1250/742000 (epoch 3), train_loss = 5.541, time/batch = 0.035, All_Time = 45.532
1300/742000 (epoch 3), train_loss = 5.339, time/batch = 0.037, All_Time = 47.349
1350/742000 (epoch 3), train_loss = 5.255, time/batch = 0.035, All_Time = 49.148
1400/742000 (epoch 3), train_loss = 5.358, time/batch = 0.037, All_Time = 50.961
1450/742000 (epoch 3), train_loss = 5.280, time/batch = 0.034, All_Time = 52.767
1500/742000 (epoch 4), train_loss = 5.299, time/batch = 0.037, All_Time = 54.590
1550/742000 (epoch 4), train_loss = 5.471, time/batch = 0.036, All_Time = 56.407
1600/742000 (epoch 4), train_loss = 5.498, time/batch = 0.036, All_Time = 58.220
1650/742000 (epoch 4), train_loss = 5.290, time/batch = 0.037, All_Time = 60.037
1700/742000 (epoch 4), train_loss = 5.423, time/batch = 0.037, All_Time = 61.849
1750/742000 (epoch 4), train_loss = 5.282, time/batch = 0.036, All_Time = 63.676
1800/742000 (epoch 4), train_loss = 5.286, time/batch = 0.037, All_Time = 65.507
1850/742000 (epoch 4), train_loss = 5.175, time/batch = 0.036, All_Time = 67.317
1900/742000 (epoch 5), train_loss = 5.274, time/batch = 0.036, All_Time = 69.140
1950/742000 (epoch 5), train_loss = 5.446, time/batch = 0.037, All_Time = 70.961
2000/742000 (epoch 5), train_loss = 5.321, time/batch = 0.036, All_Time = 72.770
model saved to NER/spacy/model.ckpt
2050/742000 (epoch 5), train_loss = 5.441, time/batch = 0.035, All_Time = 74.589
2100/742000 (epoch 5), train_loss = 5.029, time/batch = 0.037, All_Time = 76.405
2150/742000 (epoch 5), train_loss = 5.238, time/batch = 0.038, All_Time = 78.220
2200/742000 (epoch 5), train_loss = 5.389, time/batch = 0.036, All_Time = 80.030
2250/742000 (epoch 6), train_loss = 5.381, time/batch = 0.039, All_Time = 81.870
2300/742000 (epoch 6), train_loss = 5.412, time/batch = 0.036, All_Time = 83.693
2350/742000 (epoch 6), train_loss = 5.309, time/batch = 0.035, All_Time = 85.512
2400/742000 (epoch 6), train_loss = 5.205, time/batch = 0.036, All_Time = 87.338
2450/742000 (epoch 6), train_loss = 5.299, time/batch = 0.038, All_Time = 89.152
2500/742000 (epoch 6), train_loss = 5.114, time/batch = 0.036, All_Time = 90.967
2550/742000 (epoch 6), train_loss = 5.414, time/batch = 0.038, All_Time = 92.789
2600/742000 (epoch 7), train_loss = 5.221, time/batch = 0.035, All_Time = 94.626
2650/742000 (epoch 7), train_loss = 5.423, time/batch = 0.037, All_Time = 96.438
2700/742000 (epoch 7), train_loss = 5.391, time/batch = 0.036, All_Time = 98.297
2750/742000 (epoch 7), train_loss = 5.223, time/batch = 0.038, All_Time = 100.151
2800/742000 (epoch 7), train_loss = 5.176, time/batch = 0.035, All_Time = 101.986
