0/758000 (epoch 0), train_loss = 9.310, time/batch = 0.215, All_Time = 0.215
model saved to NER_lstm_0x_2000/model.ckpt
50/758000 (epoch 0), train_loss = 4.846, time/batch = 0.025, All_Time = 1.484
100/758000 (epoch 0), train_loss = 4.759, time/batch = 0.025, All_Time = 2.746
150/758000 (epoch 0), train_loss = 4.646, time/batch = 0.026, All_Time = 4.003
200/758000 (epoch 0), train_loss = 4.859, time/batch = 0.026, All_Time = 5.257
250/758000 (epoch 0), train_loss = 4.739, time/batch = 0.026, All_Time = 6.523
300/758000 (epoch 0), train_loss = 4.810, time/batch = 0.025, All_Time = 7.778
350/758000 (epoch 0), train_loss = 4.619, time/batch = 0.026, All_Time = 9.039
400/758000 (epoch 1), train_loss = 4.652, time/batch = 0.026, All_Time = 10.298
450/758000 (epoch 1), train_loss = 4.599, time/batch = 0.026, All_Time = 11.565
500/758000 (epoch 1), train_loss = 4.710, time/batch = 0.025, All_Time = 12.828
550/758000 (epoch 1), train_loss = 4.632, time/batch = 0.025, All_Time = 14.095
600/758000 (epoch 1), train_loss = 4.634, time/batch = 0.025, All_Time = 15.359
650/758000 (epoch 1), train_loss = 4.675, time/batch = 0.025, All_Time = 16.621
700/758000 (epoch 1), train_loss = 4.779, time/batch = 0.025, All_Time = 17.881
750/758000 (epoch 1), train_loss = 4.724, time/batch = 0.025, All_Time = 19.153
800/758000 (epoch 2), train_loss = 4.779, time/batch = 0.025, All_Time = 20.418
850/758000 (epoch 2), train_loss = 4.769, time/batch = 0.025, All_Time = 21.690
900/758000 (epoch 2), train_loss = 4.667, time/batch = 0.026, All_Time = 22.956
950/758000 (epoch 2), train_loss = 4.678, time/batch = 0.025, All_Time = 24.215
1000/758000 (epoch 2), train_loss = 4.597, time/batch = 0.025, All_Time = 25.478
model saved to NER_lstm_0x_2000/model.ckpt
1050/758000 (epoch 2), train_loss = 4.713, time/batch = 0.024, All_Time = 26.738
1100/758000 (epoch 2), train_loss = 4.821, time/batch = 0.024, All_Time = 28.010
