0/732000 (epoch 0), train_loss = 9.750, time/batch = 0.224, All_Time = 0.224
model saved to NER_lstm_0x_2000/model.ckpt
50/732000 (epoch 0), train_loss = 5.475, time/batch = 0.034, All_Time = 1.900
100/732000 (epoch 0), train_loss = 5.369, time/batch = 0.033, All_Time = 3.555
150/732000 (epoch 0), train_loss = 5.350, time/batch = 0.033, All_Time = 5.204
200/732000 (epoch 0), train_loss = 5.141, time/batch = 0.034, All_Time = 6.859
250/732000 (epoch 0), train_loss = 5.195, time/batch = 0.033, All_Time = 8.520
300/732000 (epoch 0), train_loss = 5.303, time/batch = 0.033, All_Time = 10.184
350/732000 (epoch 0), train_loss = 5.058, time/batch = 0.033, All_Time = 11.840
400/732000 (epoch 1), train_loss = 5.168, time/batch = 0.034, All_Time = 13.501
450/732000 (epoch 1), train_loss = 5.326, time/batch = 0.034, All_Time = 15.168
500/732000 (epoch 1), train_loss = 5.184, time/batch = 0.034, All_Time = 16.832
550/732000 (epoch 1), train_loss = 5.171, time/batch = 0.032, All_Time = 18.497
600/732000 (epoch 1), train_loss = 5.186, time/batch = 0.034, All_Time = 20.154
650/732000 (epoch 1), train_loss = 5.310, time/batch = 0.034, All_Time = 21.832
700/732000 (epoch 1), train_loss = 5.290, time/batch = 0.034, All_Time = 23.493
750/732000 (epoch 2), train_loss = 5.261, time/batch = 0.033, All_Time = 25.151
800/732000 (epoch 2), train_loss = 5.284, time/batch = 0.032, All_Time = 26.804
850/732000 (epoch 2), train_loss = 5.149, time/batch = 0.033, All_Time = 28.467
900/732000 (epoch 2), train_loss = 5.136, time/batch = 0.032, All_Time = 30.126
950/732000 (epoch 2), train_loss = 4.912, time/batch = 0.033, All_Time = 31.780
1000/732000 (epoch 2), train_loss = 4.946, time/batch = 0.034, All_Time = 33.442
model saved to NER_lstm_0x_2000/model.ckpt
1050/732000 (epoch 2), train_loss = 4.741, time/batch = 0.033, All_Time = 35.113
1100/732000 (epoch 3), train_loss = 4.145, time/batch = 0.033, All_Time = 36.776
1150/732000 (epoch 3), train_loss = 3.533, time/batch = 0.034, All_Time = 38.473
1200/732000 (epoch 3), train_loss = 3.138, time/batch = 0.033, All_Time = 40.146
1250/732000 (epoch 3), train_loss = 2.855, time/batch = 0.034, All_Time = 41.819
1300/732000 (epoch 3), train_loss = 2.744, time/batch = 0.032, All_Time = 43.477
1350/732000 (epoch 3), train_loss = 2.386, time/batch = 0.032, All_Time = 45.131
1400/732000 (epoch 3), train_loss = 2.247, time/batch = 0.034, All_Time = 46.800
1450/732000 (epoch 3), train_loss = 2.129, time/batch = 0.033, All_Time = 48.477
1500/732000 (epoch 4), train_loss = 1.911, time/batch = 0.035, All_Time = 50.154
1550/732000 (epoch 4), train_loss = 2.092, time/batch = 0.033, All_Time = 51.828
1600/732000 (epoch 4), train_loss = 2.091, time/batch = 0.034, All_Time = 53.502
1650/732000 (epoch 4), train_loss = 2.043, time/batch = 0.034, All_Time = 55.159
1700/732000 (epoch 4), train_loss = 1.697, time/batch = 0.033, All_Time = 56.821
1750/732000 (epoch 4), train_loss = 1.678, time/batch = 0.033, All_Time = 58.482
1800/732000 (epoch 4), train_loss = 2.040, time/batch = 0.033, All_Time = 60.145
1850/732000 (epoch 5), train_loss = 1.891, time/batch = 0.034, All_Time = 61.823
1900/732000 (epoch 5), train_loss = 1.911, time/batch = 0.035, All_Time = 63.497
1950/732000 (epoch 5), train_loss = 1.856, time/batch = 0.033, All_Time = 65.152
2000/732000 (epoch 5), train_loss = 1.797, time/batch = 0.034, All_Time = 66.830
model saved to NER_lstm_0x_2000/model.ckpt
2050/732000 (epoch 5), train_loss = 1.639, time/batch = 0.032, All_Time = 68.497
2100/732000 (epoch 5), train_loss = 1.667, time/batch = 0.033, All_Time = 70.180
2150/732000 (epoch 5), train_loss = 1.741, time/batch = 0.033, All_Time = 71.847
2200/732000 (epoch 6), train_loss = 1.778, time/batch = 0.032, All_Time = 73.511
2250/732000 (epoch 6), train_loss = 1.891, time/batch = 0.033, All_Time = 75.176
2300/732000 (epoch 6), train_loss = 1.598, time/batch = 0.033, All_Time = 76.844
2350/732000 (epoch 6), train_loss = 1.701, time/batch = 0.033, All_Time = 78.528
2400/732000 (epoch 6), train_loss = 1.680, time/batch = 0.034, All_Time = 80.210
2450/732000 (epoch 6), train_loss = 1.648, time/batch = 0.033, All_Time = 81.873
2500/732000 (epoch 6), train_loss = 1.640, time/batch = 0.031, All_Time = 83.550
2550/732000 (epoch 6), train_loss = 1.690, time/batch = 0.033, All_Time = 85.221
2600/732000 (epoch 7), train_loss = 1.523, time/batch = 0.033, All_Time = 86.899
2650/732000 (epoch 7), train_loss = 1.681, time/batch = 0.034, All_Time = 88.568
2700/732000 (epoch 7), train_loss = 1.621, time/batch = 0.035, All_Time = 90.246
2750/732000 (epoch 7), train_loss = 1.463, time/batch = 0.035, All_Time = 91.922
2800/732000 (epoch 7), train_loss = 1.494, time/batch = 0.033, All_Time = 93.595
2850/732000 (epoch 7), train_loss = 1.355, time/batch = 0.032, All_Time = 95.263
2900/732000 (epoch 7), train_loss = 1.579, time/batch = 0.033, All_Time = 96.931
2950/732000 (epoch 8), train_loss = 1.435, time/batch = 0.032, All_Time = 98.608
3000/732000 (epoch 8), train_loss = 1.601, time/batch = 0.032, All_Time = 100.282
model saved to NER_lstm_0x_2000/model.ckpt
3050/732000 (epoch 8), train_loss = 1.636, time/batch = 0.033, All_Time = 101.950
3100/732000 (epoch 8), train_loss = 1.430, time/batch = 0.033, All_Time = 103.612
3150/732000 (epoch 8), train_loss = 1.211, time/batch = 0.033, All_Time = 105.284
3200/732000 (epoch 8), train_loss = 1.508, time/batch = 0.034, All_Time = 106.960
3250/732000 (epoch 8), train_loss = 1.426, time/batch = 0.034, All_Time = 108.634
3300/732000 (epoch 9), train_loss = 1.478, time/batch = 0.033, All_Time = 110.302
3350/732000 (epoch 9), train_loss = 1.421, time/batch = 0.032, All_Time = 111.977
3400/732000 (epoch 9), train_loss = 1.425, time/batch = 0.035, All_Time = 113.659
3450/732000 (epoch 9), train_loss = 1.364, time/batch = 0.033, All_Time = 115.324
3500/732000 (epoch 9), train_loss = 1.363, time/batch = 0.034, All_Time = 117.008
3550/732000 (epoch 9), train_loss = 1.340, time/batch = 0.034, All_Time = 118.675
3600/732000 (epoch 9), train_loss = 1.352, time/batch = 0.034, All_Time = 120.358
3650/732000 (epoch 9), train_loss = 1.220, time/batch = 0.034, All_Time = 122.025
3700/732000 (epoch 10), train_loss = 1.347, time/batch = 0.034, All_Time = 123.685
3750/732000 (epoch 10), train_loss = 1.366, time/batch = 0.035, All_Time = 125.366
3800/732000 (epoch 10), train_loss = 1.291, time/batch = 0.034, All_Time = 127.028
3850/732000 (epoch 10), train_loss = 1.216, time/batch = 0.034, All_Time = 128.699
3900/732000 (epoch 10), train_loss = 1.279, time/batch = 0.033, All_Time = 130.386
3950/732000 (epoch 10), train_loss = 1.132, time/batch = 0.033, All_Time = 132.070
4000/732000 (epoch 10), train_loss = 1.272, time/batch = 0.034, All_Time = 133.731
model saved to NER_lstm_0x_2000/model.ckpt
4050/732000 (epoch 11), train_loss = 1.174, time/batch = 0.033, All_Time = 135.420
4100/732000 (epoch 11), train_loss = 1.271, time/batch = 0.032, All_Time = 137.097
4150/732000 (epoch 11), train_loss = 1.347, time/batch = 0.032, All_Time = 138.783
4200/732000 (epoch 11), train_loss = 1.326, time/batch = 0.033, All_Time = 140.461
4250/732000 (epoch 11), train_loss = 1.161, time/batch = 0.035, All_Time = 142.129
4300/732000 (epoch 11), train_loss = 1.225, time/batch = 0.036, All_Time = 143.814
4350/732000 (epoch 11), train_loss = 1.288, time/batch = 0.033, All_Time = 145.487
4400/732000 (epoch 12), train_loss = 1.085, time/batch = 0.032, All_Time = 147.156
4450/732000 (epoch 12), train_loss = 1.315, time/batch = 0.033, All_Time = 148.845
4500/732000 (epoch 12), train_loss = 1.287, time/batch = 0.031, All_Time = 150.509
4550/732000 (epoch 12), train_loss = 1.214, time/batch = 0.034, All_Time = 152.177
4600/732000 (epoch 12), train_loss = 1.147, time/batch = 0.035, All_Time = 153.851
4650/732000 (epoch 12), train_loss = 1.149, time/batch = 0.033, All_Time = 155.523
4700/732000 (epoch 12), train_loss = 1.086, time/batch = 0.033, All_Time = 157.188
4750/732000 (epoch 12), train_loss = 1.148, time/batch = 0.033, All_Time = 158.853
4800/732000 (epoch 13), train_loss = 1.030, time/batch = 0.033, All_Time = 160.531
4850/732000 (epoch 13), train_loss = 1.069, time/batch = 0.033, All_Time = 162.194
4900/732000 (epoch 13), train_loss = 1.297, time/batch = 0.033, All_Time = 163.857
4950/732000 (epoch 13), train_loss = 1.099, time/batch = 0.033, All_Time = 165.535
5000/732000 (epoch 13), train_loss = 1.231, time/batch = 0.033, All_Time = 167.206
model saved to NER_lstm_0x_2000/model.ckpt
5050/732000 (epoch 13), train_loss = 1.019, time/batch = 0.033, All_Time = 168.891
5100/732000 (epoch 13), train_loss = 1.015, time/batch = 0.033, All_Time = 170.579
5150/732000 (epoch 14), train_loss = 1.029, time/batch = 0.034, All_Time = 172.248
5200/732000 (epoch 14), train_loss = 1.212, time/batch = 0.035, All_Time = 173.955
5250/732000 (epoch 14), train_loss = 1.186, time/batch = 0.033, All_Time = 175.651
5300/732000 (epoch 14), train_loss = 1.074, time/batch = 0.034, All_Time = 177.342
5350/732000 (epoch 14), train_loss = 0.935, time/batch = 0.033, All_Time = 179.037
5400/732000 (epoch 14), train_loss = 1.116, time/batch = 0.034, All_Time = 180.730
5450/732000 (epoch 14), train_loss = 1.052, time/batch = 0.035, All_Time = 182.430
5500/732000 (epoch 15), train_loss = 1.035, time/batch = 0.035, All_Time = 184.119
5550/732000 (epoch 15), train_loss = 1.105, time/batch = 0.034, All_Time = 185.807
5600/732000 (epoch 15), train_loss = 1.226, time/batch = 0.031, All_Time = 187.490
5650/732000 (epoch 15), train_loss = 1.020, time/batch = 0.036, All_Time = 189.185
5700/732000 (epoch 15), train_loss = 1.016, time/batch = 0.034, All_Time = 190.872
5750/732000 (epoch 15), train_loss = 1.040, time/batch = 0.035, All_Time = 192.568
5800/732000 (epoch 15), train_loss = 1.169, time/batch = 0.033, All_Time = 194.259
5850/732000 (epoch 15), train_loss = 0.990, time/batch = 0.033, All_Time = 195.948
5900/732000 (epoch 16), train_loss = 0.953, time/batch = 0.034, All_Time = 197.648
5950/732000 (epoch 16), train_loss = 0.913, time/batch = 0.033, All_Time = 199.345
6000/732000 (epoch 16), train_loss = 0.876, time/batch = 0.033, All_Time = 201.043
model saved to NER_lstm_0x_2000/model.ckpt
6050/732000 (epoch 16), train_loss = 0.930, time/batch = 0.033, All_Time = 202.742
6100/732000 (epoch 16), train_loss = 1.091, time/batch = 0.036, All_Time = 204.425
6150/732000 (epoch 16), train_loss = 0.808, time/batch = 0.033, All_Time = 206.119
6200/732000 (epoch 16), train_loss = 0.954, time/batch = 0.036, All_Time = 207.809
6250/732000 (epoch 17), train_loss = 0.903, time/batch = 0.034, All_Time = 209.503
6300/732000 (epoch 17), train_loss = 1.018, time/batch = 0.034, All_Time = 211.194
6350/732000 (epoch 17), train_loss = 1.109, time/batch = 0.033, All_Time = 212.886
6400/732000 (epoch 17), train_loss = 0.935, time/batch = 0.035, All_Time = 214.592
6450/732000 (epoch 17), train_loss = 0.853, time/batch = 0.033, All_Time = 216.289
6500/732000 (epoch 17), train_loss = 0.891, time/batch = 0.036, All_Time = 217.988
6550/732000 (epoch 17), train_loss = 0.903, time/batch = 0.035, All_Time = 219.686
6600/732000 (epoch 18), train_loss = 0.945, time/batch = 0.033, All_Time = 221.378
6650/732000 (epoch 18), train_loss = 0.950, time/batch = 0.035, All_Time = 223.083
6700/732000 (epoch 18), train_loss = 1.024, time/batch = 0.034, All_Time = 224.774
6750/732000 (epoch 18), train_loss = 0.904, time/batch = 0.034, All_Time = 226.460
6800/732000 (epoch 18), train_loss = 0.892, time/batch = 0.035, All_Time = 228.147
6850/732000 (epoch 18), train_loss = 0.910, time/batch = 0.034, All_Time = 229.838
6900/732000 (epoch 18), train_loss = 0.911, time/batch = 0.035, All_Time = 231.531
6950/732000 (epoch 18), train_loss = 0.920, time/batch = 0.033, All_Time = 233.269
7000/732000 (epoch 19), train_loss = 0.908, time/batch = 0.034, All_Time = 234.965
model saved to NER_lstm_0x_2000/model.ckpt
7050/732000 (epoch 19), train_loss = 0.800, time/batch = 0.036, All_Time = 236.669
7100/732000 (epoch 19), train_loss = 0.926, time/batch = 0.034, All_Time = 238.359
7150/732000 (epoch 19), train_loss = 0.857, time/batch = 0.033, All_Time = 240.050
7200/732000 (epoch 19), train_loss = 0.910, time/batch = 0.034, All_Time = 241.735
7250/732000 (epoch 19), train_loss = 0.795, time/batch = 0.036, All_Time = 243.434
7300/732000 (epoch 19), train_loss = 0.933, time/batch = 0.035, All_Time = 245.204
7350/732000 (epoch 20), train_loss = 0.760, time/batch = 0.034, All_Time = 246.913
7400/732000 (epoch 20), train_loss = 0.902, time/batch = 0.033, All_Time = 248.601
7450/732000 (epoch 20), train_loss = 0.953, time/batch = 0.034, All_Time = 250.304
7500/732000 (epoch 20), train_loss = 0.814, time/batch = 0.033, All_Time = 252.000
7550/732000 (epoch 20), train_loss = 0.850, time/batch = 0.033, All_Time = 253.702
7600/732000 (epoch 20), train_loss = 0.846, time/batch = 0.034, All_Time = 255.411
7650/732000 (epoch 20), train_loss = 0.990, time/batch = 0.032, All_Time = 257.110
7700/732000 (epoch 21), train_loss = 0.804, time/batch = 0.033, All_Time = 258.817
7750/732000 (epoch 21), train_loss = 0.854, time/batch = 0.036, All_Time = 260.511
7800/732000 (epoch 21), train_loss = 0.958, time/batch = 0.035, All_Time = 262.207
7850/732000 (epoch 21), train_loss = 0.884, time/batch = 0.035, All_Time = 263.903
7900/732000 (epoch 21), train_loss = 0.871, time/batch = 0.035, All_Time = 265.616
7950/732000 (epoch 21), train_loss = 0.793, time/batch = 0.035, All_Time = 267.361
8000/732000 (epoch 21), train_loss = 0.968, time/batch = 0.036, All_Time = 269.101
model saved to NER_lstm_0x_2000/model.ckpt
8050/732000 (epoch 21), train_loss = 0.829, time/batch = 0.033, All_Time = 270.795
8100/732000 (epoch 22), train_loss = 0.868, time/batch = 0.035, All_Time = 272.483
8150/732000 (epoch 22), train_loss = 0.837, time/batch = 0.034, All_Time = 274.175
8200/732000 (epoch 22), train_loss = 0.726, time/batch = 0.033, All_Time = 275.858
8250/732000 (epoch 22), train_loss = 0.666, time/batch = 0.036, All_Time = 277.564
8300/732000 (epoch 22), train_loss = 0.885, time/batch = 0.034, All_Time = 279.280
8350/732000 (epoch 22), train_loss = 0.804, time/batch = 0.033, All_Time = 280.990
8400/732000 (epoch 22), train_loss = 0.777, time/batch = 0.033, All_Time = 282.689
8450/732000 (epoch 23), train_loss = 0.729, time/batch = 0.035, All_Time = 284.380
8500/732000 (epoch 23), train_loss = 0.918, time/batch = 0.032, All_Time = 286.060
8550/732000 (epoch 23), train_loss = 0.822, time/batch = 0.035, All_Time = 287.767
8600/732000 (epoch 23), train_loss = 0.740, time/batch = 0.033, All_Time = 289.450
8650/732000 (epoch 23), train_loss = 0.738, time/batch = 0.036, All_Time = 291.139
8700/732000 (epoch 23), train_loss = 0.734, time/batch = 0.035, All_Time = 292.836
8750/732000 (epoch 23), train_loss = 0.688, time/batch = 0.033, All_Time = 294.536
8800/732000 (epoch 24), train_loss = 0.808, time/batch = 0.034, All_Time = 296.239
8850/732000 (epoch 24), train_loss = 0.788, time/batch = 0.034, All_Time = 297.932
8900/732000 (epoch 24), train_loss = 0.844, time/batch = 0.034, All_Time = 299.630
8950/732000 (epoch 24), train_loss = 0.736, time/batch = 0.034, All_Time = 301.319
9000/732000 (epoch 24), train_loss = 0.757, time/batch = 0.032, All_Time = 302.995
model saved to NER_lstm_0x_2000/model.ckpt
9050/732000 (epoch 24), train_loss = 0.732, time/batch = 0.036, All_Time = 304.694
9100/732000 (epoch 24), train_loss = 0.888, time/batch = 0.037, All_Time = 306.386
9150/732000 (epoch 25), train_loss = 0.636, time/batch = 0.035, All_Time = 308.088
9200/732000 (epoch 25), train_loss = 0.836, time/batch = 0.036, All_Time = 309.836
9250/732000 (epoch 25), train_loss = 0.760, time/batch = 0.035, All_Time = 311.542
9300/732000 (epoch 25), train_loss = 0.818, time/batch = 0.034, All_Time = 313.248
9350/732000 (epoch 25), train_loss = 0.732, time/batch = 0.035, All_Time = 314.950
9400/732000 (epoch 25), train_loss = 0.796, time/batch = 0.035, All_Time = 316.652
9450/732000 (epoch 25), train_loss = 0.777, time/batch = 0.034, All_Time = 318.350
9500/732000 (epoch 25), train_loss = 0.666, time/batch = 0.035, All_Time = 320.064
9550/732000 (epoch 26), train_loss = 0.733, time/batch = 0.033, All_Time = 321.766
9600/732000 (epoch 26), train_loss = 0.771, time/batch = 0.032, All_Time = 323.446
9650/732000 (epoch 26), train_loss = 0.729, time/batch = 0.033, All_Time = 325.144
9700/732000 (epoch 26), train_loss = 0.686, time/batch = 0.033, All_Time = 326.842
9750/732000 (epoch 26), train_loss = 0.729, time/batch = 0.032, All_Time = 328.534
9800/732000 (epoch 26), train_loss = 0.745, time/batch = 0.033, All_Time = 330.228
9850/732000 (epoch 26), train_loss = 0.749, time/batch = 0.034, All_Time = 331.946
9900/732000 (epoch 27), train_loss = 0.610, time/batch = 0.035, All_Time = 333.634
9950/732000 (epoch 27), train_loss = 0.711, time/batch = 0.034, All_Time = 335.326
10000/732000 (epoch 27), train_loss = 0.672, time/batch = 0.036, All_Time = 337.018
model saved to NER_lstm_0x_2000/model.ckpt
10050/732000 (epoch 27), train_loss = 0.754, time/batch = 0.033, All_Time = 338.705
10100/732000 (epoch 27), train_loss = 0.644, time/batch = 0.033, All_Time = 340.397
10150/732000 (epoch 27), train_loss = 0.720, time/batch = 0.031, All_Time = 342.094
10200/732000 (epoch 27), train_loss = 0.814, time/batch = 0.033, All_Time = 343.799
10250/732000 (epoch 28), train_loss = 0.659, time/batch = 0.035, All_Time = 345.498
10300/732000 (epoch 28), train_loss = 0.681, time/batch = 0.032, All_Time = 347.188
10350/732000 (epoch 28), train_loss = 0.649, time/batch = 0.036, All_Time = 348.904
10400/732000 (epoch 28), train_loss = 0.729, time/batch = 0.034, All_Time = 350.638
10450/732000 (epoch 28), train_loss = 0.702, time/batch = 0.035, All_Time = 352.351
10500/732000 (epoch 28), train_loss = 0.660, time/batch = 0.033, All_Time = 354.055
10550/732000 (epoch 28), train_loss = 0.652, time/batch = 0.036, All_Time = 355.756
10600/732000 (epoch 28), train_loss = 0.651, time/batch = 0.037, All_Time = 357.458
10650/732000 (epoch 29), train_loss = 0.626, time/batch = 0.034, All_Time = 359.157
10700/732000 (epoch 29), train_loss = 0.640, time/batch = 0.033, All_Time = 360.844
10750/732000 (epoch 29), train_loss = 0.743, time/batch = 0.036, All_Time = 362.555
10800/732000 (epoch 29), train_loss = 0.676, time/batch = 0.036, All_Time = 364.251
10850/732000 (epoch 29), train_loss = 0.640, time/batch = 0.035, All_Time = 365.947
10900/732000 (epoch 29), train_loss = 0.606, time/batch = 0.034, All_Time = 367.648
10950/732000 (epoch 29), train_loss = 0.726, time/batch = 0.032, All_Time = 369.347
11000/732000 (epoch 30), train_loss = 0.588, time/batch = 0.035, All_Time = 371.029
