seed_text(prime_text),generated _text,perplexity,,
international,"international shiba vyrnwy balconies. sukhumvit, value, 105-room kanab, revolving per 360-degree revolving dining",10316.47268,,
hotel,hotel azulik. plan your next trip with expedia. best rates on hotel baja.,62.24954001,,
deals,"deals with i-city. more choices, best prices, trusted. save with expedia's price guarantee.",104.7405484,,
coupon,"coupon best prices. save on hotels in i-city, tn. more choices, best prices,",37.26429559,,
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,41.38113536,,
rates,rates or refund + $50 coupon. book accommodations in ko phi phi today!,223.7627214,,
great,great rates. book a room in i-city online. no reservation costs. great rates.,32.27280639,,
cost,cost a lodge hotel in latin quarter. save with expedia's price guarantee book,74.76275753,,
expedia,expedia price guarantee. save big on hotels in i-coun. save with expedia's price,55.48049185,,
save,save big on caribbean resorts. save with expedia's price guarantee. save big on,95.52824578,,
no,"no reservation costs. great rates. book a motel in chelan, i-city. no reservation",60.15103737,,
book,"book with expedia. save big on i-city, ca hotels. save big on all",77.33870212,,
big,"big best accommodations in i-city, i-coun. save big on hotels in i-city, i-coun.",74.37743572,,
vietnam,vietnam more all-inclusive palm fort san john river janeiro hotel near jack palm,1566.926045,,
best prices,"best prices in great ocean city, ca. no reservation costs. great rates. book at",31.7753049,,
accommodation,accommodation in penn art club. save up to save big on hotels in,118.8333935,,
carnegie mellon university,"carnegie mellon university bundoran. fl, haven. haven. hinton, mongkok, bronx. gothenburg, gothenburg, gothenburg, gothenburg, luz.",303.2156772,,
guarantee,guarantee bc online. no reservation costs. great rates. book your hotel at camden,66.12394956,,
japan.,japan. online. no reservation costs. great rates. book accommodation in i-coun book accommodation,42.84889835,,
no,"no reservation costs. great rates. book a motel in downtown i-city, i-city. no",75.75875999,,
"view,","view, sidmouth. booking.coms no no costs. great rates. book at hotel - palace,",68.59071093,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",72.77719785,,
hotel,hotel azulik. plan your next trip with expedia. best rates on hotel baja.,65.70351408,,
compare,compare online. no reservation costs. great rates. book your hotel in aberdeen wa,45.21221273,,
in,in sidmouth. no reservation costs. great rates. book accommodation in i-city. no reservation,43.54443035,,
a,"a hostel in i-city book a hostel in i-city, i-coun. no reservation costs.",60.0221975,,
no,"no reservation costs. great rates. book a motel in chelan, i-city. no reservation",65.95128456,,
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,43.14222947,,
in,in i-city online. no reservation costs. great rates book your hotel in narragansett,29.01622594,,
"choices,","choices, best prices, trusted. dallas lodging at cancun. find expedia from i-city! book",148.9203379,,
guarantee.,"guarantee. pasay, ritz santorini, car travel package expedia price guarantee. 50% off cedar",482.7318116,,
rates.,"rates. book at zenit abeba, i-city. no reservation costs. great rates. book at",95.10705796,,
costs.,"costs. great rates. book at aldemar knossos royal, hersonissos. no reservation costs. great",125.5168088,,
great,great rates. book in pattaya motel book a french quarter krabi hotels. no,149.4242153,,
rates.,"rates. book at zenit abeba, i-city. no reservation costs. great rates. book at",103.8718578,,
near,near stanford elegance bruxelles thames. no reservation costs. great rates! book a room,211.6342237,,
rates.,"rates. book at zenit abeba, i-city. no reservation costs. great rates. book at",108.0436379,,
on,on this tokyo hotel. hotel villa fontaine ueno. book now great rates on,115.2985576,,
with,with harborside a hotel patong big san diego zoo. save up to 50%,264.369812,,
hotel.,"hotel. book accommodation in bay beach co. more choices, best prices, trusted. book",110.6929554,,
your,"your seaventure ashling available londonderry. kanab, bronx. bronx. spring out shuttle. myrtle beach",973.6265438,,
in,in sidmouth. no reservation costs. great rates. book on expedia today and save!,31.06877236,,
"choices,","choices, best prices, trusted. dallas hotels by love field airport more choices, best",281.1498741,,
rates,"rates or refund + $50 coupon. great hotels by i-city, nsw today! best",205.4853898,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",132.7312994,,
a,"a hostel in i-city book a hostel in i-city, i-coun. no reservation costs.",48.08616837,,
"palace,","palace, bega rosellen kassandra harwich herzelia agapinor leading mineral dells dining leading change",55622.12828,,
great,great rates. pattaya beach offers a beguiling range of attractions and adventures in,442.5888612,,
rates.,rates. book accommodation in i-city online. no reservation costs. great rates. book accommodation,37.88281733,,
great,great rates. book a room in i-city online. no reservation costs. great rates.,34.17928038,,
refund,refund + $50 coupon. book your queensland hotel today! best rates or refund,118.2856254,,
on,on expedia public observation wheel. save with expedia's price guarantee. save on los,137.8698438,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",127.4498173,,
mansions,"mansions megaro bintang creek, alfond dallah fallsview, mallory costs! haven. woodenbridge costs! madhapur",9268.669445,,
to,to sidmouth. no reservation costs. great rates. book your hotel in narragansett ri,58.90624564,,
no,"no reservation costs. great rates. book a motel in chelan, i-city. no reservation",60.23864662,,
rates.,rates. book accommodation in i-city book accommodation in i-city online. no reservation costs.,30.91497406,,
rates.,rates. book accommodation in i-city online. no reservation costs. great rates. book accommodation,33.99577444,,
save,save big on caribbean resorts. save with expedia's price guarantee. save big on,27.32480121,,
hotel,hotel azulik. plan your next trip with expedia. best rates on hotel baja.,57.33458832,,
craggy,craggy whiskey vine nyc. no no reservation costs. best rates on sea hill,400.1910675,,
book,"book with expedia. save big on i-city, nm hotels. save on bournemouth motels",141.6851452,,
great,great rates. pattaya beach offers a beguiling range of attractions and adventures in,971.8311078,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",128.9246001,,
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,43.04791478,,
no,"no reservation costs. great rates. book a motel in chelan, i-city. no reservation",47.57409204,,
hotels,"hotels in mytilene, i-coun. more choices, best prices, trusted. save on hotels in",31.77405408,,
rates.,rates. book accommodation in i-city online. no reservation costs. great rates. book accommodation,47.29860747,,
hotel,hotel azulik. plan your next trip with expedia. best rates on hotel baja.,40.45980534,,
at,"at hotel ronda lesseps, i-city. no reservation costs. great rates. book at hotel",77.55620273,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",119.3396691,,
hotels.,"hotels. lech zurich. no reservation costs. great rates! book at gold hotel, es",142.4987893,,
save,save big on caribbean resorts. save with expedia's price guarantee. save big on,63.69350526,,
in,in sidmouth. no reservation costs. great rates. book accommodation in i-city. no reservation,36.57123618,,
coupon.,coupon. save on costs. great rates. book at town inn and book now!,75.52099256,,
online.,online. no reservation costs. great rates. book your hotel in i-city online. no,29.38639691,,
ambassador,ambassador online online. no reservation costs. great rates. book your hotel in melbourne,46.93774921,,
book,"book with expedia. save big on i-city, nm hotels. save big on i-city,",55.40795624,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",132.6958233,,
zagreb,zagreb bury af good sea simpson 5 bristol crescent sonoma york lake fountain,14445.27832,,
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,46.05983243,,
"brighton,","brighton, portree. with expedia on i-city. book now & save with expedia. save",96.92234277,,
newcastle,newcastle seaworld. city. no reservation costs. great rates. book your hotel in branson,68.45556744,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",92.40570062,,
b&b,"b&b hvar plan your next trip with expedia. best rates on hotel barberini,",75.95253936,,
panoramic,"panoramic stanford hotel victoria, algarve, i-city. no reservation costs. great rates. book your",154.5965682,,
price,"price rates. book at living hotel, galway. no reservation costs. great rates. book",35.51443696,,
in,in sidmouth. no reservation costs. great rates. book a room now! get a,59.85425323,,
no,"no reservation costs. great rates. book a motel in chelan, i-city. no reservation",46.91167617,,
in,in i-city online. no reservation costs. great rates book your hotel in narragansett,24.63884493,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",85.63577794,,
and,and molokai distrikt rates. no reservation costs. great rates book at harmony inn,246.1481061,,
rates,rates or refund + $50 coupon. great packages for chiang mai hotels. best,219.2479551,,
on,on this tokyo hotel. hotel villa fontaine ueno. book now great rates on,81.15081548,,
near,"near hotel ronda lesseps, i-city. no reservation costs. great rates. the nomad hotel,",167.7786128,,
save,save big on caribbean resorts. save with expedia's price guarantee. save big on,46.41604067,,
