seed_text(prime_text),generated _text,perplexity,random,,
coupon,"coupon best prices. save on hotels in i-city, tn. more choices, best prices,",37.26429559,0.620809681,,
hotel,hotel azulik. plan your next trip with expedia. best rates on hotel baja.,30.23332954,0.691264901,,
no,"no reservation costs. great rates. book a motel in chelan, i-city. no reservation",60.37993038,0.461721639,,
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,40.2328626,0.408005123,,
suwanee,"suwanee hanzomon, chincoteague. area, ca hotel! all i-city. more choices, best prices, trusted.",278.0390441,0.012875092,,
in,in sidmouth. no reservation costs. great rates. book a room now! get a,59.85425323,0.016313028,,
hotel.,"hotel. book accommodation in bay beach co. more choices, best prices, trusted. book",110.6929554,0.588269627,,
best prices,"best prices in great ocean city, ca. no reservation costs. great rates. book at",31.7753049,0.594771906,,
stay,"stay near your own santorini, an affordable condo experience & fun packages to",603.4169177,0.017352452,,
dublin,"dublin bc bc no reservation costs. great rates book at gora kadan, hakone.",122.9300319,0.059171321,,
packages.,"packages. book at a hotel in i-city, i-coun. get instant confirmation book in",36.05449176,0.195953161,,
trusted.,"trusted. save on hotels in i-city, queens. hoi prices. book a hotel in",47.38196298,0.426787406,,
$50,"$50 coupon. save on hotels in i-city, tn. best rates or refund +",58.67517604,0.701733945,,
rates.,"rates. book at zenit abeba, i-city. no reservation costs. great rates. book at",107.7762823,0.989701423,,
save,save big on caribbean resorts. save with expedia's price guarantee. save big on,42.43945996,0.172097332,,
on,on this tokyo hotel. hotel villa fontaine ueno. book now great rates on,158.0937123,0.21361982,,
price,"price rates. book at living hotel, galway. no reservation costs. great rates. book",35.51443696,0.386662205,,
great,great rates. book at hotel falls. save with expedia's price guarantee. book your,44.67739115,0.355055803,,
"puccini,","puccini, deals a rates in i-city, i-coun. no reservation costs. great rates. book",31.33920671,0.282313151,,
rates.,"rates. book at 2 resort and spa, i-city. no reservation costs. great rates.",61.0225367,0.457570629,,
online.,online. no reservation costs. great rates. book your hotel in i-coun online. no,36.89937975,0.689942495,,
cost,cost a lodge hotel in latin quarter. save with expedia's price guarantee book,74.76275753,0.861924342,,
kuala,"kuala pavilion, queensberry shops revolving ultimate spectacular de. tasmania. de. book this this",3135.045748,0.256332159,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",94.55028623,0.429300961,,
shuttle,shuttle california. get car an deals on things to do today save with,143.6354917,0.228656198,,
compare,compare save big on hotels in i-city. save with expedia's price guarantee find,65.27680242,0.961668329,,
rates,rates or refund + $50 coupon. great packages for chiang mai hotels. best,219.2479551,0.316798835,,
save,save big on caribbean resorts. save with expedia's price guarantee. save big on,70.6168105,0.910961688,,
save,save big on caribbean resorts. save with expedia's price guarantee. save big on,44.38803059,0.643581036,,
best,best $50 refund + book your palm break airport now. get easy booking.,156.7285272,0.490929439,,
book,"book with expedia. save big on i-city, ca hotels. save big on all",77.33870212,0.62146277,,
to,to sidmouth. no reservation costs. great rates. book your hotel in narragansett ri,58.90624564,0.135528373,,
online.,online. schlitterbahn i-city. no reservation costs. great rates. book at venice beach ocean,254.8923149,0.839127983,,
rates.,"rates. book at zenit abeba, i-city. no reservation costs. great rates. book at",108.0436379,0.627771247,,
"prices,","prices, wimbledon, lara , tuscany las atlanta. expedia expedia expedias price guarantee. save",183.8663233,0.716922925,,
great,great rates. book a room in i-city online. no reservation costs. great rates.,28.93070417,0.484238972,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",57.15614273,0.359526468,,
on,on this tokyo hotel. hotel villa fontaine ueno. book now great rates on,126.5632249,0.446493218,,
"view,","view, sidmouth. booking.coms no no costs. great rates. book at hotel - palace,",68.59071093,0.634543428,,
in,in sidmouth. no reservation costs. great rates. book accommodation in i-city online. no,32.4764135,0.5638154,,
great,great rates. book a room in i-city online. no reservation costs. great rates.,30.83301996,0.097091142,,
deals,"deals with i-city. more choices, best prices, trusted. save with expedia's price guarantee.",104.7405484,0.293816272,,
compare,"compare save big on hotels in i-city, ca. find a great hotel in",34.61411244,0.257324245,,
japan.,japan. lowest rates. book your beach hotel in i-city online. no reservation costs.,31.68848909,0.098633771,,
in,"in sidmouth. no reservation costs. great rates. book accommodation in lakes coast, i-coun.",38.7754487,0.102411966,,
save,save big on caribbean resorts. save with expedia's price guarantee. save big on,89.40925107,0.557494326,,
flight,"flight rutland belhurst sorella soi-city, costs! belhurst soi-city, de' honolulu. bart malibu, haven.",2364.261849,0.31037504,,
your,"your seaventure beit deira, nenagh. getaway! revolving voucher. 360-degree revolving per amazing amazing",6661.055456,0.740813855,,
"hotel,","hotel, aintree i-city online. no no reservation costs. great rates book your hotel",48.37046554,0.852967604,,
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,43.04791478,0.534872591,,
energy,"energy per hotel bonvecchiati, i-city. no reservation costs. great rates. book at hotel",129.773034,0.510790726,,
rates,rates or refund + $50 coupon. book accommodations in ko phi phi today!,286.6244929,0.27193144,,
with,with duca angel 60 expedia views shuttle. grand hotel vancouver. from this la,1207.36091,0.837463935,,
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,33.69787055,0.370625353,,
refund,refund + $50 coupon. book your queensland hotel today! best rates or refund,118.2856254,0.515035737,,
no,"no reservation costs. great rates. book a motel in chelan, i-city. no reservation",67.76374606,0.736955622,,
carnegie mellon university,"carnegie mellon university bundoran. fl, haven. haven. hinton, mongkok, bronx. gothenburg, gothenburg, gothenburg, gothenburg, luz.",303.2156772,0.836940266,,
rates.,rates. book accommodation in i-city online. no reservation costs. great rates. book accommodation,37.88281733,0.260946218,,
and,and australia distrikt costs queens. no reservation costs. great rates. book your hotel,75.4057881,0.093095086,,
great,great rates. book in pattaya motel book a french quarter krabi hotels. no,149.4242153,0.488770361,,
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,51.51970276,0.671656061,,
great,great rates. book a room in i-city online. no reservation costs. great rates.,32.27280639,0.988893427,,
great,great rates. book a room in i-city online. no reservation costs. great rates.,43.46096438,0.393573411,,
no,"no reservation costs. great rates. book a motel in chelan, i-city. no reservation",47.57409204,0.837479933,,
"newcastle,","newcastle, heart book at the big st. big more choices, best prices, trusted.",128.5201313,0.290883407,,
no,"no reservation costs. great rates. book a motel in chelan, i-city. no reservation",49.08212736,0.425665889,,
coupon.,coupon. surapon cumbria positano. positano. no no reservation costs. great at at sea,335.4394502,0.149641811,,
"choices,","choices, best prices, trusted. dallas hotels by love field airport more choices, best",281.1498741,0.077224117,,
resorts.,resorts. online. no reservation costs. great rates. book accommodation in i-city. no reservation,57.40673032,0.158770018,,
and,and montral confirmation book accommodation book in osaka now. save with expedia's price,122.8571333,0.233470481,,
in,in i-city online. no reservation costs. great rates book your hotel in narragansett,24.63884493,0.089356383,,
grand,grand coogee shannon available stranraer paros de. stanbul. no big costs. great rates.,836.45768,0.782359343,,
georges,georges i-city online online. no reservation costs. great rates. book a cheap hotel,66.54210272,0.153704284,,
hotels,"hotels in mytilene, i-coun. more choices, best prices, trusted. save on hotels in",31.77405408,0.883422337,,
craggy,craggy whiskey vine nyc. no no reservation costs. best rates on sea hill,400.1910675,0.063557588,,
hotel,hotel azulik. plan your next trip with expedia. best rates on hotel kyoto,78.17783745,0.105096105,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",127.4498173,0.228440845,,
panoramic,"panoramic stanford hotel victoria, algarve, i-city. no reservation costs. great rates. book your",154.5965682,0.675248264,,
your,your belleclaire zona filey. ymca shuttle. shuttle. shuttle. state national business resort. university,1421.494958,0.581716166,,
no,"no reservation costs. great rates. book a motel in downtown i-city, i-city. no",75.75875999,0.566826097,,
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,45.16782225,0.590999871,,
tannersville,"tannersville goring sydney. quick, easy save with expedia's price guarantee. book your hotel",125.9523982,0.839667004,,
near,near stanford elegance bruxelles thames. no reservation costs. great rates! book a room,211.6342237,0.235845258,,
great,great rates. book a room in i-city online. no reservation costs. great rates.,38.10567937,0.278431578,,
kangaroo,"kangaroo riverbend d.c., riande covington pulitzer freeform watch watch seaton montana, monaco, costs!",15908.2218,0.446031604,,
your,your kimi galgorm clarke ayara agra clonmel. blu no no no costs. no,1104.667698,0.726529044,,
great,great rates. book a room in great rates on a room near i-coun,71.40220782,0.181967903,,
big!,"big! find and compare exclusive deals on hotels in i-city, i-city & i-city",28.39889446,0.338086448,,
save,save big on caribbean resorts. save with expedia's price guarantee. save big on,46.41604067,0.203659798,,
your,"your seagull broadwater italia, tokyu, ashling fitness mechanicsburg today, kita sparkling available tenby.",4579.478494,0.432769312,,
great,great rates. pattaya beach offers a beguiling range of attractions and adventures in,632.0797475,0.575030817,,
"hotel,","hotel, sidmouth. no reservation costs. great rates. book at airport hotel i-city, i-city.",69.87072915,0.696766977,,
reservation.,reservation. book your hotel in i-city price guarantee. save now! hotels on your,25.32474974,0.649036875,,
site!,"site! save on hotels in i-city, i-coun. best rates or refund + $50",42.95331102,0.467094817,,
find,"find and compare exclusive deals on hotels in i-city, nc and save big!",82.49496898,0.261627701,,
a,"a hostel in i-city book a hostel in i-city, i-coun. no reservation costs.",48.08616837,0.274499505,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",86.50946572,0.757565336,,
hotel,hotel azulik. plan your next trip with expedia. best rates on hotel baja.,57.70920566,0.130480091,,
hotel,hotel azulik. plan your next trip with expedia. best rates on hotel baja.,57.33458832,0.479363314,,
book,"book with expedia. save big on i-city, nm hotels. save big on sint",119.3396691,0.63372609,,
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,41.38113536,0.065210029,,
near,"near hotel ronda lesseps, i-city. no reservation costs. great rates. the nomad hotel,",167.7786128,0.277641243,,
