0/752000 (epoch 0), train_loss = 9.930, time/batch = 0.250, All_Time = 0.250
model saved to NER/geotext/model.ckpt
50/752000 (epoch 0), train_loss = 5.682, time/batch = 0.039, All_Time = 2.160
100/752000 (epoch 0), train_loss = 5.528, time/batch = 0.039, All_Time = 4.064
150/752000 (epoch 0), train_loss = 5.430, time/batch = 0.037, All_Time = 5.978
200/752000 (epoch 0), train_loss = 5.662, time/batch = 0.039, All_Time = 7.881
250/752000 (epoch 0), train_loss = 5.449, time/batch = 0.038, All_Time = 9.804
300/752000 (epoch 0), train_loss = 5.549, time/batch = 0.037, All_Time = 11.707
350/752000 (epoch 0), train_loss = 5.460, time/batch = 0.038, All_Time = 13.610
400/752000 (epoch 1), train_loss = 5.504, time/batch = 0.038, All_Time = 15.515
450/752000 (epoch 1), train_loss = 5.268, time/batch = 0.039, All_Time = 17.421
500/752000 (epoch 1), train_loss = 5.440, time/batch = 0.037, All_Time = 19.318
550/752000 (epoch 1), train_loss = 5.498, time/batch = 0.039, All_Time = 21.228
600/752000 (epoch 1), train_loss = 5.551, time/batch = 0.037, All_Time = 23.132
650/752000 (epoch 1), train_loss = 5.762, time/batch = 0.038, All_Time = 25.031
700/752000 (epoch 1), train_loss = 5.697, time/batch = 0.039, All_Time = 26.947
750/752000 (epoch 1), train_loss = 5.465, time/batch = 0.039, All_Time = 28.847
800/752000 (epoch 2), train_loss = 5.534, time/batch = 0.037, All_Time = 30.753
850/752000 (epoch 2), train_loss = 5.562, time/batch = 0.038, All_Time = 32.654
900/752000 (epoch 2), train_loss = 5.369, time/batch = 0.040, All_Time = 34.590
950/752000 (epoch 2), train_loss = 5.575, time/batch = 0.037, All_Time = 36.487
1000/752000 (epoch 2), train_loss = 5.370, time/batch = 0.039, All_Time = 38.625
model saved to NER/geotext/model.ckpt
1050/752000 (epoch 2), train_loss = 5.327, time/batch = 0.040, All_Time = 40.538
1100/752000 (epoch 2), train_loss = 5.313, time/batch = 0.038, All_Time = 42.441
1150/752000 (epoch 3), train_loss = 5.536, time/batch = 0.038, All_Time = 44.365
1200/752000 (epoch 3), train_loss = 5.385, time/batch = 0.039, All_Time = 46.277
1250/752000 (epoch 3), train_loss = 5.373, time/batch = 0.037, All_Time = 48.177
1300/752000 (epoch 3), train_loss = 5.408, time/batch = 0.038, All_Time = 50.082
1350/752000 (epoch 3), train_loss = 5.430, time/batch = 0.037, All_Time = 51.989
1400/752000 (epoch 3), train_loss = 5.466, time/batch = 0.044, All_Time = 54.097
1450/752000 (epoch 3), train_loss = 5.863, time/batch = 0.041, All_Time = 56.243
1500/752000 (epoch 3), train_loss = 5.464, time/batch = 0.040, All_Time = 58.264
1550/752000 (epoch 4), train_loss = 5.389, time/batch = 0.037, All_Time = 60.187
1600/752000 (epoch 4), train_loss = 5.575, time/batch = 0.039, All_Time = 62.102
1650/752000 (epoch 4), train_loss = 5.359, time/batch = 0.040, All_Time = 64.003
1700/752000 (epoch 4), train_loss = 5.539, time/batch = 0.038, All_Time = 65.921
1750/752000 (epoch 4), train_loss = 5.384, time/batch = 0.040, All_Time = 67.830
1800/752000 (epoch 4), train_loss = 5.349, time/batch = 0.039, All_Time = 69.722
1850/752000 (epoch 4), train_loss = 5.377, time/batch = 0.037, All_Time = 71.623
1900/752000 (epoch 5), train_loss = 5.421, time/batch = 0.037, All_Time = 73.515
1950/752000 (epoch 5), train_loss = 4.962, time/batch = 0.037, All_Time = 75.441
2000/752000 (epoch 5), train_loss = 3.934, time/batch = 0.037, All_Time = 77.359
model saved to NER/geotext/model.ckpt
2050/752000 (epoch 5), train_loss = 3.083, time/batch = 0.038, All_Time = 79.276
2100/752000 (epoch 5), train_loss = 2.606, time/batch = 0.039, All_Time = 81.192
