seed_text(prime_text),generated _text,perplexity,random,,
online.,online. no reservation costs. great rates. book your hotel residence in luton online.,47.17950873,0.28842766,,
trusted.,trusted. plan your next trip with expedia. best rates on hotel cambodiana. plan,74.59535079,0.902802895,,
book,"book accommodation in bristol. no reservation costs. great rates. book accommodation in brittany,",23.66492641,0.082267252,,
at,"at pine bungalows, jasper. quick, easy to no no reservation costs. great rates.",81.86318467,0.364445974,,
reservation,"reservation costs. great rates. book saint louis hotel, munich. no reservation costs. great",54.82551851,0.794730123,,
rates.,"rates. book at ez 8 motel palmdale, palmdale. no reservation costs. great rates.",126.7677762,0.123401336,,
near,"near sea bungalows, casablanca. official all cancellation. shops, wifi. quick, easy reservation. easy",241.8701554,0.642303327,,
in,"in gulfport, ms and save big! find and compare exclusive deals on hotels",64.73461951,0.377344419,,
shuttle,shuttle & book & sightseeing! book & save on your hotel in dubai.,46.12419763,0.358912982,,
+,+ $50 coupon. book your hoi an hotel today! best rates or refund,147.4199679,0.012119902,,
no,"no reservation costs. great rates. book a hostel in saratoga springs, usa. no",49.43906058,0.950679551,,
save,"save on hotels in parliament rock, az nh get expedia's great costs. great",199.5981233,0.479736991,,
book,"book a hotel near faneuil hall, boston. save up to 50% on your",68.43511877,0.288310471,,
grand,"grand hotel copenhagen, saman. spa. quick, easy & secure online booking. hotel &",110.1589089,0.344486849,,
great,"great rates. book at jumeirah business centre hotel, bangkok. no reservation costs. great",55.19632314,0.793864989,,
"puccini,","puccini, nc. no costs. great rates. or a boutique hotel in saint paul",82.42531783,0.099031494,,
your,your hotel in s'illot online book your hotel in sa pa online. no,63.39598417,0.669434168,,
house,house in king cove hotels. no reservation costs. great rates. book your hotel,69.94055363,0.027868129,,
"brighton,","brighton, metropol cala'n maingate petersburg. hoi jazz and grand reviews. book hotel easy",539.5413741,0.559373108,,
downtown,downtown hoi mandarin hotels. no reservation fees. great rates. book holiday apartment in,165.3750789,0.184291356,,
japan.,japan. great rates. book a hotel in whistler blackcomb lowest price guarantee! book,105.4275588,0.608382943,,
book,"book a hotel near faneuil hall, boston. save up to 50% on your",62.62414334,0.084633527,,
great,"great rates. book at hotel ronda lesseps, barcelona. no reservation costs. great rates.",51.72698849,0.784317314,,
rates.,"rates. book at hotel bon sol resort & spa, illetas. no reservation costs.",156.212214,0.944077963,,
big!,"big! north, mexico. great instant confirmation. book now & save on price, ut",93.27809689,0.878944852,,
travel,travel palais naples. no reservation costs. great rates. book lodging in islamorada. no,99.00977654,0.140587558,,
no,"no reservation costs. great rates. book a b&b in the bund, mt. no",25.96837947,0.77638235,,
rates.,"rates. book at ez 8 motel palmdale, palmdale. no reservation costs. great rates.",142.4898683,0.105130643,,
in,"in columbus, in. no reservation costs. great rates. book a motel in columbus,",36.81973424,0.797085845,,
reservation,"reservation costs. great rates. book at st. raphael hotel plantation north, toronto. no",122.0785805,0.56042584,,
kuala,kuala don 50% on last confirmation. book hotel on expedia hotels. save up,97.54169375,0.275756191,,
guarantee!,guarantee! plan your hotel in san jose canada save up to 50% on,92.78342957,0.562257991,,
no,no reservation costs. great rates. book a b&b in white rock online. no,31.53717423,0.573431534,,
your,your hotel in s'illot online book your hotel in sa pa online. no,83.90536379,0.125929152,,
save,save on hotels in downtown washington dc. best rates or refund + $50,44.88944876,0.541397126,,
no,no reservation costs. great rates. book a b&b in white rock online. no,60.56095575,0.472119887,,
rates.,"rates. book at ez 8 motel palmdale, palmdale. no reservation costs. great rates.",148.7434087,0.904149132,,
rates,rates from top brands. car rental kent. compare low rates from top brands.,377.0137223,0.355781744,,
and,"and choices, best prices, trusted. save big on hotels in columbus, ga. more",90.29409791,0.223807722,,
your,your hotel in s'illot online book your hotel in sa pa online. no,85.89842874,0.788500894,,
book,"book a hotel near faneuil hall, boston. save up to 50% on your",101.3343557,0.477953695,,
rates.,"rates. book accommodation in costa highlands, naples. no reservation costs. great rates. book",43.75490484,0.784226457,,
refund,refund hotel in mont-tremblant with free breakfast. cross-country skiing nearby. family-friendly perth retreat,743.3429702,0.626510196,,
book,book accommodation on loch reykjavk. no reservation costs. great rates. book accommodation in,41.12373347,0.101431078,,
rates.,rates. book your hotel in kaunas online. no reservation costs. great rates. book,54.64653271,0.621659874,,
no,"no reservation costs. great rates. book a punta york, new port hollywood, paris",67.78224625,0.26677498,,
craggy,"craggy bologna, room with bend & gardens. no reservation costs. great rates. book",219.2896165,0.415785287,,
resorts.,"resorts. great rates. book san francisco palms resort, sanur. no reservation costs. great",87.02252592,0.498683376,,
cheap,cheap packages & breakfast in mexico. expedia price guarantee. save on holidays to,128.3725448,0.090663938,,
save,save on hotels in downtown miami hotels. rome. best rates or refund +,38.78557463,0.91085416,,
on,on hotels in bangkok on expedia. book today! find and compare exclusive deals,51.52547299,0.005888945,,
mansions,"mansions hotels university in tempe, mall. quick, hotel experience the grand experience chiang",690.2479455,0.353053662,,
online.,online. no reservation costs. great rates. book your hotel in eilat online. no,32.71420836,0.7522218,,
rates.,rates. book your hotel in kaunas online. no reservation costs. great rates. book,54.26382687,0.764139215,,
hotel,"hotel in da sol ski biloxi. quick, easy & secure online & save!",279.4980001,0.005628903,,
near,"near ixtapa suites, kata hakuraa palmar diving best best on hotels in sharm",760.9239339,0.458934692,,
reservation,"reservation costs. great rates. book at saint kilda hotel, kingston. no reservation costs.",64.50892413,0.768878134,,
accommodations,"accommodations in pine via del aires, wa. save big on hotels in jersey",167.6029886,0.961362454,,
hotel,hotel in syracuse port. hotel or + $50 coupon. book your cruise with,192.1158466,0.498044048,,
lake,lake unobstructed no reservation costs. great rates. book lodging in lorne. no reservation,85.97279828,0.687869665,,
your,your hotel in s'illot online book your hotel in sa pa online. no,99.06569609,0.21633769,,
deadwood.,"deadwood. great rates. book at hospitality manchester resort, tulum. no reservation costs. great",75.44799505,0.78679838,,
costs.,costs. great rates. book at ye royal ranch resort in grace de abona.,139.4078639,0.535013849,,
on,"on hotels in poros, greece save big on hotels in puerto rico. book",39.92838396,0.985474747,,
save,save on hotels in downtown washington dc. best rates on hotels in phuket,63.80134427,0.507158462,,
in,"in gulfport, ms and save big! find and compare exclusive deals on hotels",86.93974412,0.636982069,,
save,save on hotels in downtown washington dc. best rates or refund + $50,53.94450507,0.011334149,,
save,save on hotels in downtown washington dc. best rates or refund + $50,51.5164343,0.69719312,,
compare,"compare exclusive deals on hotels in wellington, colorado and save big! find and",36.56690874,0.779988706,,
great,great rates. book a 3 hotels today! book a hotel in port de,49.08740241,0.947304936,,
hotel,hotel in napa valley wine country. no reservation costs. great rates. book your,137.9394922,0.965650386,,
great,"great rates. book at hotel ronda lesseps, barcelona. no reservation costs. great rates.",48.72916547,0.557444236,,
great,"great rates. book at hotel ronda lesseps, barcelona. no reservation costs. great rates.",33.48145579,0.228465519,,
your,your hotel in s'illot online book your hotel in sa pa online. no,110.327649,0.557266678,,
great,"great rates. book at western blue casino hotel, bangkok. no reservation costs. great",62.89904748,0.923318151,,
reservation,"reservation costs. great rates. book at st. charles coral hotel, bundoran. no reservation",108.5150365,0.447050537,,
great,"great rates. book at hotel ronda lesseps, barcelona. no reservation costs. great rates.",51.38095233,0.132143518,,
coupon.,coupon. germany at hotel corn street vista sedona. no reservation costs. great rates.,348.9014865,0.438615381,,
best,best reservation costs. great rates. book a villa in koh phangan. no reservation,42.53408403,0.337800584,,
"view,","view, 1,705-room tuscana biloxi, clipper. hotels. quick, brands, get expedia's price guarantee. deals",223.5193262,0.327011488,,
online.,online. no reservation costs. great rates. book your hotel in brampton on online.,49.2388805,0.77841737,,
hotels,"hotels in orofino, idaho and save big! find and compare exclusive deals on",61.54512124,0.884504083,,
nina,nina a hotel in ventura ca - hi save up to 50% on,100.7534594,0.297097777,,
hotels,"hotels in orofino, idaho and save big! find and compare exclusive deals on",60.45914552,0.745372354,,
travel,travel ruskin oia oia pond tofino. hove wellness hotels in avila resort online.,1191.457123,0.576402481,,
package,package deals on hotels in davis ca online save compare exclusive deals on,74.97135504,0.462011209,,
hotel,hotel in napa village wine country. no reservation costs. great rates. book your,98.49827267,0.391380905,,
book,book accommodation in bristol. no reservation costs. great rates. book accommodation in beijing,56.97421924,0.533596771,,
"newcastle,","newcastle, coeur patio bungalows, idaho bungalows, limenas. no no reservation costs. great rates.",178.2483374,0.287341856,,
hotels,"hotels in orofino, idaho and save big! find and compare exclusive deals on",26.00610429,0.843502342,,
no,"no reservation costs. great rates. book a villa condo price hotel, berlin. no",74.85332888,0.714344599,,
book,"book casino hotels in downtown edmonton on expedia! quick, easy & secure hotel",84.59844702,0.838135733,,
refund,refund hotel in ewr of george area area nearby. 3-star belfast hotel in,228.0041751,0.618410892,,
rates.,"rates. book at hotel bon sol resort & spa, illetas. no reservation costs.",129.3390041,0.173942267,,
zagreb,"zagreb hotel, north crescent bogota adult state cana. admission and and and caicos.",787.7374762,0.077732777,,
from,"from columbus, in. no reservation costs. great rates. book a accommodations in western",79.53034709,0.768675808,,
at,"at living cat's hostel, madrid. no reservation costs. great rates. book at living",92.29596394,0.976114368,,
and,and town us with freedom next restaurant. hotel santorini view resort spa -,422.8904355,0.004657429,,
refund,"refund hotel in bergen, centro charleston. shuttle expedia's price guarantee. save on hotels",100.1686978,0.370061787,,
hotels,"hotels in orofino, idaho and save big! find and compare exclusive deals on",70.93170359,0.202316427,,
secure,secure optional spa resort to the the balcony. premium espana spa. fishing on,746.5544172,0.121781302,,
your,your hotel in s'illot online book your hotel in sa pa online. no,108.1160768,0.788298255,,
on,on hotels in bangkok on expedia. book today! find and compare exclusive deals,62.35429726,0.872057445,,
best,"best prices, trusted. book your hotel in saint tropez singapore best rates or",73.43635032,0.826081078,,
from,from 50% on your reservation. book a hotel near victoria bc naval fair.,130.2184527,0.044451281,,
hostel.,"hostel. plan principe hotel in amsterdam, amsterdam. club apartments in old city. best",150.795235,0.095046011,,
a,a hotel in port of spain. save with expedia's price guarantee. book a,60.72127732,0.688481022,,
costs.,"costs. great rates. book at ye kendall inn, boerne. no reservation costs. great",100.9672581,0.424122126,,
book,"book a hotel near faneuil hall, boston. save up to 50% on your",85.28226781,0.474013761,,
in,"in gulfport, ms and save big! find and compare exclusive deals on hotels",82.3351673,0.053620072,,
no,no reservation costs. great rates. book a b&b in ocean city online. no,37.8756417,0.106980255,,
hotel,hotel in napa valley wine country. no reservation costs. great rates. book your,79.13003934,0.154155058,,
rates.,"rates. book at ez 8 motel palmdale, palmdale. no reservation costs. great rates.",99.8060799,0.282156714,,
at,"at living cat's hostel, madrid. no reservation costs. great rates. book at living",128.8274546,0.818351864,,
a,a hotel in port of spain. save with expedia's price guarantee. book a,47.14187702,0.062787888,,
accommodation,accommodation in eureka del ny. discounts guarantee hotels and save save big on,95.21655739,0.534310407,,
book,book casino hotel in klamath falls save up to 50% on your reservation.,97.9352093,0.233378833,,
guarantee.,guarantee. elba book your hotel in kaunas online. no reservation costs. great rates.,82.21509308,0.029185019,,
"hotel,","hotel, springfield, samoa. plymouth. no costs. great rates. book at white hart le",110.2659009,0.698093356,,
book,book casino hotels in zrich online book a b&b in newmarket online. no,130.0742327,0.504174856,,
on,on hotels in bangkok on expedia. book today! find and compare exclusive deals,47.83893777,0.665782034,,
great,"great rates. book at hotel ronda lesseps, barcelona. no reservation costs. great rates.",49.00810243,0.133113087,,
online.,online. no reservation costs. great rates. book your hotel in eilat online. no,38.28914433,0.977796087,,
in,"in columbus, in. no reservation costs. great rates. book a motel in columbus,",48.55619325,0.818906571,,
great,great rates. book a room in negril. no reservation costs. great rates. book,44.75396303,0.758307986,,
north,"north columbus, in. no reservation costs. great rates. book a motel in columbus,",62.57812303,0.004816326,,
less!,less! booking book & save with expedia. book san antonio riverwalk hotels. save,113.1901119,0.033061913,,
helsingborg.,"helsingborg. montenegro. collins everglades tahoe, falls. great great book sint eureka del maldives.",423.4214644,0.348833763,,
on,"on hotels in poros, greece save big on hotels in puerto rico. book",34.83791915,0.8470425,,
reservation,"reservation costs. great rates. book at st raphael resort, limassol. no reservation costs.",91.03705239,0.835838809,,
no,no reservation costs. great rates. book a b&b in white rock online. no,66.66726329,0.240362995,,
hotel,"hotel in mykonos, waterpark. explore national hoi island. no reservation costs. great rates.",120.2079037,0.840566039,,
book,"book a hotel near faneuil hall, boston. save up to 50% on your",93.66920471,0.912126478,,
cancellation.,"cancellation. lakefront regent, hotels. no no fees. great rates. book lombardy riverwalk motel",86.14875489,0.144210846,,
online.,online. no reservation costs. great rates. book your hotel in eilat online. no,37.76419974,0.888238326,,
deals,deals & best reservation costs. book singapore bear canyon hotels. no reservation costs.,91.33519294,0.737984623,,
suwanee,suwanee oceanside princess. no best costs. great booking book a hotel in ibiza.,73.01767146,0.68144446,,
reservation,"reservation costs. great rates. book at st. mayakoba, punta cana. hotel! best rates",52.7427438,0.689307398,,
in,"in gulfport, ms and save big! find and compare exclusive deals on hotels",54.94059894,0.508132601,,
deals,deals & save on your kansas city hotels when you book with expedia.,51.27616309,0.28217119,,
locations,locations online. no fees. great reservation costs book barcelona hotel in san antonio,102.7374349,0.996291983,,
