seed_text(prime_text),generated _text,perplexity,random,
suwanee,"suwanee low your room - ibiza island, south korea save on last minute",239.9463115,0.689376171,
"palace,","palace, i-city enjoy up to $750 to spend onboard! book your cruise by",95.15666785,0.178852099,
no,no reservation costs book & save on hostels in nyc. secure value with,45.29859285,0.119298564,
"newcastle,","newcastle, exclusive deals on hotels in concord nh and save big! best price",73.53000166,0.386130287,
costs.,"costs. great rates. book your hotel in i-city, i-city online. no reservation costs.",40.85823085,0.646379021,
negril,"negril in seminyak, i-city. no reservation costs. great rates. book at the port",60.49562458,0.916394692,
no,no reservation costs book accommodation in zermatt online. no reservation costs. great rates.,42.98781234,0.70360422,
online.,online. no reservation costs. great rates. marival resort & suites nuevo vallarta all,88.62890269,0.613635331,
save,"save big! book at fieldhead hotel, markfield. no reservation costs. great rates. best",46.07842698,0.099605808,
hotels,"hotels cay booking.com & sea inn & gold mall, fl. book at sunset",152.3548872,0.747384659,
north,"north milan cadorna niagara coast hotel, i-city. no reservation costs. great rates. best",100.1922653,0.239455541,
davids,"davids save on your reservation. book at royal tree inn, balmaha. no reservation",65.49163345,0.373770394,
reservation,reservation costs. great rates. book lodging in i-city. no reservation costs. great rates.,45.10604197,0.929823368,
coupon.,"coupon. save now best rates great rates. book at hotel antunovic i-city, i-city.",45.72925137,0.091147626,
costs.,"costs. great rates. book at hotel astoria, i-city. no reservation costs. great rates.",42.74005785,0.867352256,
great,great rates. best rates or refund + $50 coupon. book your jebel ali,47.3177334,0.032421383,
no,"no reservation costs. great rates. book at maldron hotel wexford, patong best on",57.29023853,0.86811309,
+,"+ deals on hotels in i-city, pa & book hotels in ibiza island,",55.12298087,0.961179597,
best,"best rates or refund + $50 coupon. hotels in andalusia, museum, fl. book",46.13853133,0.254316421,
great,great rates. best rates or refund + $50 coupon. book your hotel in,38.93371509,0.20392878,
on,"on booking.com & save! book at claridge i-city, i-city. no reservation costs. great",52.54392085,0.789217997,
zagreb,"zagreb downtown te lubuk isrotel plantation photo. suites, i-city. beach. no reservation costs.",144.2089746,0.264561716,
reservation,reservation costs. great rates. 3-star hyderabad hotel in begumpet with 2 restaurants. get,118.6061248,0.710654341,
this,this baguio spa. at the terrace on ibiza beach. no reservation costs. great,112.469092,0.062713349,
site!,"site! save big! book at the great waterloo, london no reservation costs. great",48.30049317,0.059232532,
save,save with expedia's price guarantee book a vacation home in ayia napa. beach.,114.6644243,0.879547583,
secure,secure photo. tokyo forest in i-city. no reservation costs. great rates. book at,67.88996098,0.608241944,
book,book & save on book hotels in i-city. save with expedia's price guarantee,46.00411584,0.784468558,
rates.,"rates. the artist house on fleming, i-city. no reservation costs. great rates. hotel",50.46184766,0.05131984,
on,"on booking.com & save! book at claridge i-city, i-city. no reservation costs. great",52.54392085,0.348487792,
coupon.,coupon. save on hotels on flight & save book a cheap hotel in,39.12855987,0.376143631,
find,find exclusive deals on hotels in the san diego and save big! book,56.7361849,0.529793715,
stay,"stay haus, notre mo. i-city. no reservation costs. great rates. best rates or",64.40495654,0.460855687,
rates.,"rates. the artist house on fleming, i-city. no reservation costs. great rates. hotel",50.46184766,0.04675366,
refund,"refund on hotel in i-city book at 4-star resort in jersey 101, walk",60.70987494,0.82626151,
hotels,"hotels legacy, palacio portmarnock. no reservation costs. great rates. book at hotel le",47.90406874,0.698286694,
book,book & save on cancun trips. book your hotel in boulder co online.,80.70854779,0.043417404,
accommodations,"accommodations lodge, moab. no reservation costs. great rates. save with expedia's price guarantee.",78.95516238,0.408486059,
your,your malaga map miami expedia price guarantee. book punta village hotel + deals,167.5950446,0.298053554,
"choices,","choices, no reservation costs. great rates. book at luther-hotel wittenberg. no reservation costs.",41.62962852,0.140179999,
"prices,","prices, ipanema booking.com. no reservation costs. book a cheap hotel in i-city best",41.28111101,0.936998315,
in,in connecticut cadorna a hotel in pratunam market. expedia's price in car i-city.,73.45675106,0.06931779,
less!,"less! your guarantee. save big on hotels in i-city, bc. book at sun",54.74816727,0.520258495,
book,book & save on cancun trips. book your hotel in boulder co online.,80.70854779,0.033712319,
at,"at albert at bay suite hotel, i-city. no reservation costs. great rates. secure",89.3326957,0.497245883,
vietnam,vietnam the monkey san williamsburg vienna best rates on cabo trip to cancn.,135.3503172,0.695852044,
book,"book your apartment in i-city. quick, easy booking. instant confirmation. book a hotel",78.24674737,0.571212802,
to,"to praia killarney, tahiti bay-front dawson batam photo. great rates. book st napa",164.2937149,0.505621298,
cost,"cost save find on hotels in i-city, i-city, fl. no reservation costs. great",39.95166954,0.478481717,
accommodation,"accommodation lodge, moab. no reservation costs. great rates. book your hotel in foggy",45.36200123,0.575254017,
on,"on booking.com & save! book at claridge i-city, i-city. no reservation costs. great",52.54392085,0.153453927,
on,"on booking.com & save! book at claridge i-city, i-city. no reservation costs. great",52.54392085,0.959880857,
on,"on booking.com & save! book at claridge i-city, i-city. no reservation costs. great",52.54392085,0.341135205,
trusted.,"trusted. big! book at isle beach suites, i-city. no reservation costs. great rates.",71.4278715,0.165067681,
book,"book your apartment in i-city. quick, easy booking. instant confirmation. book a ryokan",106.0893678,0.762165066,
book,"book a motel in i-city, fl. no reservation costs. great rates. no reservation",36.27389596,0.154426281,
shopping,"shopping costs. great rates. book at una hotel praha, i-city. no reservation costs.",79.50164748,0.859792159,
deals,"deals on hotels in i-city. book online & save quick, easy & secure",48.11151459,0.44807143,
"portofino,","portofino, flora getaway. photo. no reservation costs. great rates! book at hotel mar",53.45163685,0.164095799,
great,great rates. best rates or refund + $50 coupon. book your 6th arrondissement,62.29211856,0.409454236,
+,#NAME?,65.0305712,0.009355054,
dublin,"dublin big! romantik suite side hotel, i-coun. no reservation costs. great rates. st.",122.2782049,0.278854519,
full-service,full-service save chelsea find and deals on hotels on expedia. save up to,51.41148248,0.623204499,
hostel.,hostel. refund +$50 coupon. hotels in downtown montego harbor today! book accommodation in,70.61117662,0.491474277,
hotel,"hotel provincetown. zermatt. no reservation costs. great rates. marival resort & golf resort,",57.64693498,0.790676361,
and,"and save big! find and compare exclusive deals on hotels in leggett, maine",47.55131375,0.338192881,
"choices,","choices, no reservation costs. great rates book a hotel near gaslamp side, i-city.",52.84412375,0.029967046,
a,a cheap hotel in i-city online. no reservation costs. great rates. book at,36.29980091,0.534292868,
reservation.,reservation. the artist marathon. no reservation costs. great rates. book at star hotel,59.35386751,0.97751638,
in,in travel! at i-city. no reservation costs. great rates. best rates on hotel,33.47829626,0.955428211,
freeport.,freeport. la cape quebec hotels best rates or refund + $50 coupon on,72.01077576,0.464114811,
package,package great rates. book & save on hotels by mall of america. more,64.85951305,0.919055566,
rates.,"rates. the artist house on fleming, i-city. no reservation costs. great rates. the",52.60557327,0.045274571,
in,in milan. no reservation costs. great rates. book at the granary - la,55.040036,0.704926154,
at,"at ocean gate inn, i-city. no reservation costs. great rates. best rates or",56.19007559,0.713390709,
carnegie mellon university,carnegie mellon university batam malaga hotel gardens nearby i-city. no costs. great rates. hotels near,122.0182441,0.638157749,
best,best up or refund + $50 coupon. hotels in the san antonio dubai,92.78598073,0.270418252,
book,"book a motel in i-city, la. no reservation costs. great rates. best rates",36.27853223,0.924687413,
in,"in milan cadorna station. lodge, roundhouse on & hotel, buena bay park, i-city.",122.2997609,0.749456019,
rates.,"rates. the artist house on fleming, i-city. no reservation costs. great rates. hotel",50.46184766,0.207136671,
hotels,hotels backpackers lee vieques jungmun amalfi. no reservation costs. great rates. book at,61.23771371,0.517613407,
great,great rates. book your hotel in newbridge online. no reservation costs. great rates.,39.91244467,0.45411458,
great,great rates. best rates or refund + $50 coupon. book your ollantaytambo hotel,43.0100906,0.630404511,
compare,"compare coupon. save on hotels in i-city, florida fl. more choices, best prices,",67.83284879,0.067286023,
hotels.,hotels. save big! find & compare exclusive deals on resorts in istanbul new,78.50729089,0.712679528,
a,a cheap hotel in i-city online. no reservation costs. great rates. book at,36.29980091,0.20831779,
grand,"grand vegas, photo. francia, i-city. best price guarantee. art deco westgate resort, i-coun.",191.9883969,0.294868063,
great,great rates. book your hotel in newbridge online. no reservation costs. great rates.,39.91244467,0.84459745,
house,house saint-tropez. no reservation costs. rates. book your hotel in bryce canyon ut,97.04280732,0.733855507,
your,your off-strip milan cadorna station. no reservation costs. great rates! 3.5-star bed &,83.2342574,0.816946106,
with,"with dolphin vegas, photo. no booking fees. book a cheap hotel in greenwich,",83.4989744,0.014601073,
central,"central sedona killarney, plantation photo. no booking fees. book your hotel in gora",113.5720581,0.540130686,
big,big online & hotels on expedia. save up to 50% on great hotels.,37.57264379,0.84331947,
save,save with expedia's price guarantee book a package to wisconsin dells. book your,73.27855442,0.999135727,
in,in istanbul jerusalem site. book a b&b in forest online with cruises on,113.0959217,0.851697293,
reservation,reservation costs. great rates. book at hotel balcon de ayia amalfi. no reservation,59.56584709,0.565834494,
rates.,"rates. the artist house on fleming, i-city. no reservation costs. great rates. hotel",50.46184766,0.238951751,
refund,"refund in banff deals on i-city in i-city, i-coun. save on hotel in",42.73180338,0.531559066,
hotel,"hotel site, zermatt. no no reservation costs. great rates. marival resort & spa",47.77300897,0.02929333,
guarantee.,guarantee. save reservation costs. great rates. book at hotel great inn i-city gare,50.96698831,0.001334213,
secure,"secure bottled helicopter plantation photo. bar, cancun, sedona. book hotel in floral harbor",110.0982064,0.376907693,
big!,big! don't arlanda food resort booking on an reservation big on hotels with,86.57274003,0.243556551,
in,in me reserve & compare when you book today! best rates or refund,98.98683301,0.67204342,
refund,refund in columbus at val jezera. no reservation costs. great rates. book at,70.1379295,0.870172805,
hotel,"hotel site, zermatt. zermatt. no reservation costs. great rates. short let flight &",59.16990435,0.303123043,
"ambassador,","ambassador, east mexico city, bc online. no reservation costs. great rates. book at",82.94779312,0.221193213,
on,"on booking.com & save! book at claridge i-city, i-city. no reservation costs. great",52.54392085,0.221907644,
best,best rates. book your hotel in varenna online. no reservation costs. great rates.,41.94241397,0.920692201,
book,"book your apartment in i-city. quick, easy booking. instant confirmation. book a hotel",78.24674737,0.616895976,
kangaroo,kangaroo gillette tropicana photo. no booking costs. find huge deals on hotels in,152.1129391,0.286804873,
b&b,b&b booking. save on & hotels in i-city online. book a motel in,38.11633112,0.967903574,
