seed_text(prime_text),generated _text,perplexity,,
international,"international jumeirah i-city. no reservation costs. great rates. book at city i-city hotel,",64.46238486,,
hotel,hotel in glenwood barthelemy south heights ny and save on your vacation falls,125.5076574,,
deals,deals to maui. book your hotel in fremont house in ohakune. find low,61.67260262,,
coupon,"coupon fast, i-city. book your hotel in i-coun online. no reservation costs. great",35.37476833,,
reservation,reservation costs. great rates. save up to $603 on flight + hotel. book,48.87840665,,
rates,rates or refund + $50 coupon. save big on hotels now and save,36.33945012,,
great,great rates. book an apartment in bellagio. no reservation costs. great rates. more,57.13664806,,
cost,"cost blue, kong arch i-city, i-city. i-city. no reservation costs. great rates. save",76.07936822,,
expedia,expedia and no reservation costs. great rates. best rates or refund + $50,36.93589254,,
save,save to i-city. book your hotel in i-city tx online. no reservation costs.,38.76350421,,
no,no reservation costs. great rates. hotels near the airport. book & save up,43.80511362,,
book,book your hotel in pointe nj online. no reservation costs. great rates. book,46.69084093,,
big,"big great rates. save with expedia's price guarantee. save on hotels in emeryville,",39.71449744,,
vietnam,"vietnam summit, pa and save big! book your hotel in grand district mn",82.02667341,,
best prices,"best prices more choices, best prices, trusted. save big on hotels in i-coun. book",42.55201377,,
accommodation,"accommodation in i-city. expedia guarantees the best price. save on resorts in i-city,",60.43103105,,
carnegie mellon university,carnegie mellon university vella quarter. park. save with i-city. find and compare exclusive deals on,86.16578859,,
guarantee,guarantee ormond point intl hotel i-city. best price guarantee. save up to 50%,142.1878814,,
japan.,"japan. theater. of king studios, milan, book book your hotel in coachella valley",84.86082911,,
no,no reservation costs. great rates. book your hotel in newbridge online. no reservation,34.14987438,,
"view,","view, confirmation. book your hotel in i-city online. no reservation costs. great rates!",36.5267941,,
book,"book hotel near i-city i-city all tiburon san isla tower, i-city. no reservation",65.53881638,,
hotel,hotel in i-city i-city book at real resorts & offering our best price,90.35687065,,
compare,compare hotel today! book with expedia. find and compare exclusive deals on hotels,36.36728558,,
in,in i-city. no reservation costs. great rates. save big with our expedia and,42.09513138,,
a,a book at olivia hotel hotel i-city. no reservation costs. great rates. best,36.66668843,,
