seed_text(prime_text),generated _text,perplexity,random,
rates,rates or refund + $50 coupon. save big on hotels now and save,36.33945012,0.934634343,
at,"at the marble arch i-city, i-city. no reservation costs. great rates. best rates",65.53756527,0.519275264,
cost,"cost blue, kong arch i-city, i-city. i-city. no reservation costs. great rates. save",76.07936822,0.00979526,
at,"at stonehenge marble arch i-city, i-city, park. no reservation costs. great rates. best",79.65135993,0.077011358,
rates.,"rates. book a motel in i-city i-city. book a hostel in i-city, usa.",54.66193387,0.617383381,
costs.,costs. great rates. book a hotel near santa monica beach. save up to,69.3639073,0.036062021,
on,"on tydfil. i-city, i-city. no reservation costs. great rates. book at 3 suites",51.1520238,0.608989861,
international,"international jumeirah i-city. no reservation costs. great rates. book at city i-city hotel,",64.46238486,0.101970316,
rarotonga.,"rarotonga. quick, easy booking. great rates. book at hotel aranjuez, hotels online. no",47.8947166,0.676239425,
from,"from i-city. no reservation costs. great rates. book at churchill hotel, i-city. no",51.73177026,0.507948932,
coupon.,"coupon. book your i-city, i-city hotel today! expedia price guarantee. find and compare",46.28404834,0.2591382,
save,save to i-city. book your hotel in i-city tx online. no reservation costs.,38.76350421,0.849022777,
great,"great hotel & spa, i-city. no reservation costs. great rates. find and compare",41.34126438,0.474150092,
save,save to i-city. book at kuramathi island city book a b&b in vernazza,48.77134129,0.532391364,
compare,compare hotel today! book at sakura hotel daina. no reservation costs. great rates.,37.64282494,0.329370018,
japan.,"japan. theater. of king studios, milan, book book your hotel in coachella valley",84.86082911,0.878124164,
texas,texas motel in i-city i-city. book the majestic hotel best rates or refund,53.38614273,0.176416259,
no,no reservation costs. great rates. book your hotel in i-city online the best,31.44642424,0.64269491,
great,great rates. best rates or refund + $50 coupon. cheap hotels by gatwick,67.17186472,0.347421794,
hotels,"hotels in i-city i-city, i-city. best price guarantee secure value with expedias price",73.991393,0.414577816,
reservation,reservation costs. great rates. save on hotels in delhi. book at riverside hotel,38.7997129,0.042134281,
grand,"grand somerset, i-city. save up to i-city. save with expedia today! book your",54.50200908,0.590686989,
motel,motel in i-city. bear puerto cabo andrews. no reservation costs. great rates. save,92.35578619,0.32558091,
site!,site! book hotels near beverly point. find things to do in accra. expedia,73.4983502,0.678591542,
no,no reservation costs. great rates. best rates or refund + $50 coupon. book,39.37817369,0.009140317,
no,no reservation costs. great rates. book a hotel for less. find and compare,43.55500383,0.911957647,
your,your chateau key quarter. aqua mt. park. best price guarantee! book your hotel,99.49442073,0.270405391,
reservation,reservation costs. great rates. save up to $603 on flight + hotel. book,48.87840665,0.261544808,
costs.,costs. great rates. book a condo in hong kong. no reservation costs. great,55.22912358,0.452500074,
save,save book + hotel & save more. hotel deals on tours & sightseeing!,47.08639519,0.416544214,
on,"on clarkston, ferrat, arch i-city, side family-friendly baja book & save with expedia's",105.8165557,0.78588921,
rates.,"rates. sea cortez beach club, i-city, now on best price guarantee. self catering",138.4140954,0.32968058,
"choices,","choices, book a room in i-coun best rates or refund + $50 coupon.",54.51962997,0.671426688,
hotel.,"hotel. sea post, the check la casino design deals when you save! great",160.1931949,0.146686764,
this,this padre quarter. 3-star i-city coast and great rates from top brands. i-city,116.164811,0.881494062,
accommodation,"accommodation in i-city. expedia guarantees the best price. save on resorts in i-city,",60.43103105,0.24261486,
online.,online. book accommodation in i-coun find and compare exclusive deals on hotels in,34.15469255,0.885697888,
your,your cancun i-city. i-city. i-city. best price guarantee. save big on this i-city,67.30763733,0.252923754,
shuttle,shuttle book accommodation in i-city. book your hotel in kalkaska lisbon. no reservation,41.85568347,0.669725109,
reservation,"reservation costs. great rates. save on hotels in i-city, i-coun. find and compare",35.42404048,0.983702812,
deals,deals to maui. book your hotel in fremont house in ohakune. find low,61.67260262,0.168357604,
save,"save to i-city. book flight in i-city south beach, fl. no reservation costs.",53.90646458,0.570132133,
"choices,","choices, great hotel deals in wifi. save up to $603 on flight +",47.36261869,0.468963319,
great,great rates! book your hotel in poulton le fylde online. no reservation costs.,44.81722232,0.811670097,
book,book a hotel in i-city book accommodation in i-coun. no reservation costs. great,30.66450234,0.28952695,
book,"book prices & i-city, prince i-city and best rates or refund + $50",57.86459973,0.472855247,
newcastle,newcastle falmouth. i-city. jacob k. javits des book + + hotel & save,69.69809984,0.962623087,
guarantee,guarantee ormond point intl hotel i-city. best price guarantee. save up to 50%,142.1878814,0.377724411,
"prices,","prices, ramon citadel walk, arch i-city, i-city. no reservation costs. great rates. best",92.49684495,0.689435663,
hotels,hotels in new kong area. in new la jolla. louis travel on great,84.70933096,0.352742205,
online.,online. book accommodation in i-city on online. no reservation costs. great rates. best,38.59804518,0.243552615,
rates.,"rates. book online & save more. book at royal river hotel, i-city. no",59.54195161,0.541812513,
great,great rates. book your hotel in pluckley online. no reservation costs. great rates.,34.84569308,0.892474635,
best,best rates or refund + $50 coupon. save on hotels in blacksburg i-coun.,49.0937392,0.178069135,
hotel,"hotel in i-city i-city, near 4-star i-city book at airport hotels. more choices,",56.64180553,0.082737195,
rates,rates or refund +$50 coupon. save on martin's angkor hotels. save up to,62.55192365,0.026248539,
hotel,hotel in glenwood barthelemy south heights ny and save on your vacation falls,125.5076574,0.578641921,
reservation.,"reservation. find and compare exclusive deals on hotels in ocean city, i-coun. find",45.74919704,0.842953216,
refund,"refund value book at i-city b&b i-city airport, i-city. no reservation costs. great",39.52844546,0.311643828,
+,"+ $50 coupon. book your i-city, hills hotel today! save up to 50%",67.66950755,0.462879868,
find,find book today! book at royal sea hotel online no reservation costs. great,40.12547898,0.079247318,
kuala,"kuala hotel in i-city. book at moss airport, braov. no reservation costs. great",39.33783228,0.628595492,
with,with confirmation. rates rates refund + $50 coupon. book your hotel in kings,41.31976468,0.179923346,
refund,"refund to online accommodationa and save big! book a motel in fremont, ca.",48.40365618,0.704130496,
japan.,"japan. summit, pa and save big! book an apartment in corralejo. book your",72.8990255,0.491978357,
book,"book i-city, i-city hotels. best i-city st first hotel i-city. no reservation costs.",68.00086784,0.575793431,
book,"book hotel near i-city i-city all tiburon san isla tower, i-city. no reservation",65.53881638,0.584020661,
b&b,b&b in carlsbad i-city golf in you book accommodation in ravello. no reservation,67.87294697,0.236820051,
great,great reservation costs. great rates. book your hotel in i-city az online. no,37.42310432,0.316695668,
full-service,"full-service marinda st. i-city, quarter. get discounts i-city saint louis park in i-city",147.7320065,0.266494144,
no,no reservation costs. great rates. book your hotel in rugby online. no reservation,30.74222942,0.605527045,
no,no reservation costs. great rates. book your hotel in newbridge online. no reservation,34.14987438,0.090766994,
a,a viceroy i-city. grand palm point. no reservation costs. great rates. book a,82.86209599,0.85014879,
no,"no reservation costs. great rates. book at sea mondo inn, hurghada. no reservation",42.61424522,0.782223601,
refund,refund your trip with expedia. book at apartment in i-city book a hotel,40.15727032,0.561282672,
hotel,"hotel in i-city i-city, near i-city imperial palace. book a vacation to i-city.",65.91300253,0.612391506,
your,your street i-city. no reservation costs. great rates. find and compare exclusive deals,43.92732224,0.762805956,
a,"a book at arc hill, i-city. i-city. find low deals on shows &",62.53092061,0.523907661,
rates,rates or refund + $50 coupon. generator hostel i-city. book a hotel on,52.41400669,0.559887594,
costs.,"costs. great rates. book at athos palace, kallithea rhodes. no reservation costs. great",43.1141266,0.89597738,
save,save to i-city. book today and save. best rates or refund + $50,44.20249684,0.842533462,
$50,$50 wolf pelican saint america de royal sands. zell myers magic don reef,569.2352441,0.680863136,
panoramic,"panoramic you marble arch i-city, i-city. no reservation costs. great rates. best rates",98.89884872,0.708631175,
great,great rates. book your hotel in i-city online. no reservation costs. great rates.,31.54869487,0.759410883,
coupon,"coupon fast, i-city. book your hotel in i-coun online. no reservation costs. great",35.37476833,0.565942758,
free,"free summit, pa and save big! book your hotel in brantford on expedia",45.11900385,0.224978898,
compare,compare hotel today! book holiday apartment hong airport airport. best rates or refund,86.89478927,0.107326002,
reservation,"reservation costs. great rates. best sint cabarete metropole i-city, i-city. no reservation costs.",89.95607206,0.800207786,
shopping,shopping last bryce arena. book a cheap hotel in i-city online. no reservation,74.32282109,0.768461208,
manila,"manila lat, trafford. i-city, i-city. no reservation costs. great rates. save with expedia's",55.09218403,0.094858343,
"hotel,","hotel, i-city. no reservation costs. great rates. choose from rental deals in i-city.",76.16177743,0.939240063,
hotels.,hotels. find exclusive deals on hotels in sao paulo best rates or refund,53.82132825,0.461497206,
with,with confirmation. best rates or refund + $50 coupon. book your sacramento beach,60.59252535,0.178303185,
best prices,"best prices more choices, best prices, trusted. save big on hotels in i-coun. book",42.55201377,0.236665246,
house,"house of panoramic cana deals. summer leaf, and & spa i-city. best price",136.2699376,0.665016998,
your,"your i-city. beach i-city, best rates or refund + $50 coupon. hotels in",45.92858126,0.121199077,
rates.,rates. find exclusive deals on hotels in i-city and save big! sherkston pointe,47.22822087,0.994686928,
costs.,costs. great rates. book a hotel on the beach ca hotel no reservation,37.08083934,0.544560999,
great,great rates. save on hotels near los steps. best rates or refund +,46.16805447,0.778650444,
your,"your hotel in i-city i-city. book at new i-city, i-city. no reservation costs.",37.48880147,0.782185986,
guarantee.,guarantee. book accommodation in to i-city. no reservation costs. great rates. book st,47.21479733,0.753676542,
georges,georges star hotel i-city. book at royal lake south beach hotel find hotels,84.15124775,0.713267214,
ambassador,"ambassador finchley confirmation. i-city. best price guarantee! best price guarantee. hotels in enid,",87.15753843,0.136714207,
best,"best rates or refund + $50 coupon. find hotels in i-city, i-city save",40.01167377,0.962628491,
vietnam,"vietnam summit, pa and save big! book your hotel in grand district mn",82.02667341,0.676410909,
great,great rates. book your hotel in fairfield ca online. no reservation costs. great,45.72015797,0.75023553,
reservation,reservation costs. great rates. book your hotel in i-city online. book at club,35.57976221,0.694679266,
book,"book your hotel in yorkshire, i-city today! book + $50 coupon. book your",34.70017213,0.200913656,
hotels,"hotels in gatlinburg, - book the accommodation in downtown i-city. best rates or",50.27279594,0.782387648,
trusted.,"trusted. excellence elaf i-city, montral. 3-star i-city, favorite on hotels! best rates or",77.88436323,0.358272499,
great,great rates. book an apartment in bellagio. no reservation costs. great rates. more,57.13664806,0.178063502,
and,"and no reservation costs. great rates. book at good nite resort, myrtle beach.",78.64812775,0.316180866,
london,"london summit, pa and save big! book your hotel in i-city town online.",55.56278585,0.04283117,
your,your airport. yarmouth. no reservation costs. great rates. best rates or refund +,40.60283975,0.217348334,
+,"+ $50 coupon. book your i-city, hotel today! book at kangaroo creek hotel,",56.87836507,0.09187213,
locations,locations mo. secure airport best reservation costs. grand resort on el calafate. eco-friendly,125.753657,0.794349417,
book,book at high hope over empire hotel book the premier i-city. plan your,137.8441558,0.50898581,
no,no reservation costs. great rates. book a hotel near i-city malmi. the islands,53.55941003,0.490943636,
in,"in hotel arena, fort kong. online. book accommodation in i-city. best price guarantee!",67.29169863,0.614209728,
reservation,"reservation costs. great rates. find and compare exclusive deals on hotels in canyon,",34.88630643,0.961688548,
deadwood.,deadwood. lowest price guarantee! no reservation costs. great rates. find and compare exclusive,57.19844106,0.711600503,
and,and la new i-city. no reservation costs. great rates. best rates or refund,45.67727823,0.023265224,
coupon.,coupon. book now the national palms adventure book your hotel in montego bay,125.9228098,0.360756751,
central,"central summit, pa and save big! book your hotel in yokosuka online. no",59.25693136,0.74299868,
"prices,","prices, braunfels, gorda parks. i-city, i-city, island. book at longboat i-city admission. free",70.18578843,0.102210994,
book,"book i-city, i-city hotels best rates or refund + $50 coupon on crescent",44.88739527,0.730581336,
online.,"online. find now. quick, confirmation. edelweiss inn - old golf. mayan castle hotel,",203.4451372,0.347956281,
book,"book this i-city hotel today! book at labadi beach hotel, aviemore. no reservation",42.53608014,0.211358897,
big,"big great rates. save with expedia's price guarantee. save on hotels in emeryville,",39.71449744,0.453164716,
thera,thera ercole. no reservation costs. great rates. park st lucia beach travel fantastic,100.6691946,0.707005019,
great,"great rates. secure value with expedias price guarantee. save on hotels in pendleton,",55.00395975,0.075423719,
"airport,","airport, i-city. no reservation costs. great rates. save on your fontaines hotels online",36.99942098,0.429376806,
hotels,"hotels in i-city plaza, near hotels in i-city garden. book i-city, i-city hotels.",36.91602776,0.678686316,
reservation,"reservation costs. great rates. book the hotel listel i-city, i-city. no reservation costs.",43.21671182,0.628916994,
at,"at hotel marine plaza, mumbai. no reservation costs. great rates. book your hotel",49.1475234,0.855604287,
"rutherford,","rutherford, lake arch i-city, i-city. no reservation costs. great rates. rossi boutique hotel,",111.5625052,0.961267824,
no,no reservation costs. great rates. book hotels near garden of rio de janeiro.,80.06892788,0.835416305,
no,no reservation costs. great rates. book your hotel in the i-coun online. no,32.59593524,0.237256778,
to,to i-city i-city. no reservation costs. great rates. 600 hotels deals the new,45.98239166,0.664652446,
cancellation.,"cancellation. los three thomas - side, millor. book accommodation in saint john mausoleum.",214.1723352,0.85362219,
hostel.,"hostel. book a villa in kissimmee, usa. get the book prices. save on",53.4532992,0.94190151,
"newcastle,","newcastle, summit, pa and save big! book at the pheasant inn, cowra book",57.76480843,0.235036322,
save,save to i-city. book a hotel near seaworld i-city. save up to 50%,73.25796736,0.259156802,
costs.,costs. great rates. book a hotel near castro arena. book your hotel in,38.38100877,0.599093546,
cheap,cheap and save on your beachfront hotel in i-coun. best rates or refund,43.67508782,0.864376149,
tannersville,tannersville deadwood. no reservation costs. great rates. book accommodation in seminyak. no reservation,38.98845118,0.758332114,
secure,secure hotel in i-city. save with expedia's price guarantee. find and compare exclusive,51.16088439,0.117882178,
hotels.,hotels. find and online. no reservation costs. great rates. book at looking house,43.2586786,0.630183341,
hotel,"hotel in i-city i-city, near i-city night steps of fun. book a vacation",107.117698,0.165843054,
dublin,"dublin cho arch i-city, i-city. no reservation costs. great rates. deals on things",67.94483579,0.13001278,
great,great rates. book your hotel in camberley online. no reservation costs. great rates.,47.5952442,0.072987139,
hotel,hotel in i-city saint i-city i-city. book accommodation in rome. best rates or,45.2905116,0.781573387,
costs.,"costs. great rates. book at hotel des balances, i-city. no reservation costs. great",43.99162126,0.817858773,
book,book your hotel in i-city book accommodation in mullingar online. no reservation costs.,46.65429902,0.701857062,
in,in hotel in i-city. compare beach & all-inclusive eiffel palace hotel. best rates,78.89520659,0.841073119,
rates.,"rates. book a hotel near foxwoods exhibition airport city. book at i-city towers,",55.07268005,0.437258503,
on,"on discover fishermans arch summit, alia nsw cancun. no reservation costs. reservation costs.",109.570493,0.032807842,
near,"near the baguio. quick, i-city, i-city. best rates or refund + $50 coupon.",64.92590228,0.213646062,
suwanee,"suwanee napa, quarter. find i-city. book at st berry farm inn, san pedro",111.3451993,0.042564677,
travel,travel lake. book at i-city gate business hotel i-city. no reservation costs. great,75.15062641,0.801964844,
book,book accommodation in kiev online. no reservation costs. great rates. book accommodation in,49.75641033,0.692208574,
hotels,"hotels in i-city. i-city, i-coun. best price guarantee. find exclusive deals on hotels",46.74875918,0.853998683,
in,in i-city. no reservation costs. great rates. save big with our expedia and,42.09513138,0.980345602,
great,"great rates! book a motel in carpinteria, ca. save on i-city grand break",53.56115196,0.744693333,
book,book at south saint reykjavk grand ocean hotel hotel rome beach. no reservation,78.50585411,0.375117782,
expedia,expedia and no reservation costs. great rates. best rates or refund + $50,36.93589254,0.160717072,
stay,stay of le cabos rome hotel. best rates or refund + $50 coupon.,134.6087815,0.743978034,
davids,davids i-city. no reservation costs. great rates. book your hotel near i-city airport.,40.00193769,0.923052853,
lake,lake swaffham. no reservation costs. great rates. save on this puerto rico boracay,125.6252603,0.518772858,
no,no reservation costs. great rates. expedia guarantees the best price. save big on,41.30009875,0.355589885,
rates.,rates. great rates. plan your next trip today! book at hotel caesar los,61.39995951,0.787629542,
in,in tahoe quarter. best reservation costs. great rates. save up to 50% on,56.0761037,0.861360314,
book,book a hotel near beale street. save up to 50% on your reservation.,62.26335593,0.163866027,
north,"north side, quarter. find and save big! the celtic best rates or refund",60.13171357,0.827217427,
"palace,","palace, i-city. no reservation costs. great rates. save with expedia's price guarantee. save",49.91207291,0.127110713,
"portofino,","portofino, padre 530,000 navona, arch arch arch arch heights. bled. no i-city, il",245.3112295,0.127542824,
on,"on cler. i-city, kamloops i-city. best price guarantee. best i-city i-city trade lakes.",101.4925461,0.694768598,
nina,"nina province ein of arch i-city, i-city. no reservation costs. great rates. book",155.0107729,0.870086027,
big!,"big! find and compare exclusive deals on hotels in morgantown, wv. best rates",37.40627583,0.83510981,
book,"book hotel with i-city. book at hotel fresh, i-city. no reservation costs. great",32.51467805,0.556068406,
accommodation,accommodation in i-city. great a hotel in i-city get online on your fun,50.21614328,0.854124687,
"suites,","suites, harrison navona. i-city, i-city. save up to i-city. book your hotel in",53.38133622,0.801761315,
great,great rates! find and compare exclusive deals on hotels in clarke tho and,40.61244097,0.920934675,
rates.,"rates. sea grand i-city, queens. best price guarantee. coast st. downtown i-city. near",142.9576641,0.938672026,
book,"book at sunset sidney park hotel today! liberty hotel i-city, i-city. best price",112.0519203,0.540262277,
rates.,"rates. book a hostel in i-city beach, fl. no reservation costs. great rates.",48.91170764,0.371267214,
online.,"online. book at tower i-city, i-city. no reservation costs. great rates. quick, easy",58.90068775,0.426268527,
reservation,"reservation costs. great rates. find exclusive deals on hotels in alliance, i-city and",33.37184392,0.30836963,
on,"on b&bs in desert gorda, ca online. book at hotel axel i-city. no",83.7026442,0.358420675,
rates.,"rates. book a hotel, i-city. best rates or refund + $50 coupon. hotels",50.44012712,0.023267296,
in,in peach quarter. smoky ab. no reservation costs. great rates. book your hotel,48.89552959,0.424648991,
rates.,"rates. book a villa in i-city, i-city. no reservation costs. great rates. book",45.12967654,0.678481488,
your,your car downtown quarter. more i-city i-city. best rates or refund +$50 coupon.,63.16247067,0.20946305,
great,"great rates! find and compare exclusive deals on accommodations in i-city, i-city and",43.06822056,0.644560383,
with,with confirmation. rates rates. expedia guarantees the best price. save on hotels in,42.56893329,0.785423327,
hull,"hull book at royal crown hotel, i-city. no reservation costs. great rates. save",68.85099106,0.967890198,
best,"best rates or refund + $50 coupon. save on hotels in i-city, i-city",37.30978486,0.542537093,
"choices,","choices, book your hotel in punta del park book at cancun, riverside vilamoura,",79.35534621,0.852420448,
negril,"negril areas, more panoramic i-city. great travel prices. deals on shows in ho",107.8302776,0.128588926,
and,"and no reservation costs. great rates. book at euro hotel gellert, i-city. no",46.0167245,0.329223842,
online.,online. book your hotel here more exclusive today! orchard beach st i-city spa,68.34342214,0.894865602,
rates.,"rates. book great a hotel near i-city university, i-city. save up to 50%",49.3663996,0.156934859,
find,"find hotel i-city. book your hotel in alcoa, i-city. best rates or refund",38.17508479,0.441332523,
save,save to i-city. book your hotel in zadar online. best price guarantee. best,63.21515256,0.478224429,
carnegie mellon university,carnegie mellon university vella quarter. park. save with i-city. find and compare exclusive deals on,86.16578859,0.774450532,
