0/528000 (epoch 0), train_loss = 9.746, time/batch = 0.428, All_Time = 0.428
model saved to NER/own_list/model.ckpt
50/528000 (epoch 0), train_loss = 5.685, time/batch = 0.033, All_Time = 2.124
100/528000 (epoch 0), train_loss = 5.558, time/batch = 0.033, All_Time = 3.802
150/528000 (epoch 0), train_loss = 5.578, time/batch = 0.033, All_Time = 5.470
200/528000 (epoch 0), train_loss = 5.498, time/batch = 0.034, All_Time = 7.151
250/528000 (epoch 0), train_loss = 5.628, time/batch = 0.035, All_Time = 8.833
300/528000 (epoch 1), train_loss = 5.294, time/batch = 0.033, All_Time = 10.513
350/528000 (epoch 1), train_loss = 5.604, time/batch = 0.034, All_Time = 12.193
400/528000 (epoch 1), train_loss = 5.425, time/batch = 0.033, All_Time = 13.874
450/528000 (epoch 1), train_loss = 5.533, time/batch = 0.033, All_Time = 15.552
500/528000 (epoch 1), train_loss = 5.583, time/batch = 0.033, All_Time = 17.226
550/528000 (epoch 2), train_loss = 5.698, time/batch = 0.035, All_Time = 18.914
600/528000 (epoch 2), train_loss = 5.489, time/batch = 0.033, All_Time = 20.591
650/528000 (epoch 2), train_loss = 5.545, time/batch = 0.034, All_Time = 22.277
700/528000 (epoch 2), train_loss = 5.529, time/batch = 0.034, All_Time = 23.963
750/528000 (epoch 2), train_loss = 5.187, time/batch = 0.033, All_Time = 25.638
800/528000 (epoch 3), train_loss = 5.375, time/batch = 0.035, All_Time = 27.326
850/528000 (epoch 3), train_loss = 5.536, time/batch = 0.035, All_Time = 29.006
900/528000 (epoch 3), train_loss = 5.545, time/batch = 0.036, All_Time = 30.686
950/528000 (epoch 3), train_loss = 5.443, time/batch = 0.034, All_Time = 32.360
1000/528000 (epoch 3), train_loss = 5.485, time/batch = 0.033, All_Time = 34.048
model saved to NER/own_list/model.ckpt
1050/528000 (epoch 3), train_loss = 5.673, time/batch = 0.032, All_Time = 35.724
1100/528000 (epoch 4), train_loss = 5.457, time/batch = 0.034, All_Time = 37.409
1150/528000 (epoch 4), train_loss = 5.303, time/batch = 0.034, All_Time = 39.087
1200/528000 (epoch 4), train_loss = 5.435, time/batch = 0.032, All_Time = 40.766
1250/528000 (epoch 4), train_loss = 5.480, time/batch = 0.033, All_Time = 42.445
1300/528000 (epoch 4), train_loss = 5.301, time/batch = 0.033, All_Time = 44.123
1350/528000 (epoch 5), train_loss = 5.801, time/batch = 0.034, All_Time = 45.815
1400/528000 (epoch 5), train_loss = 5.360, time/batch = 0.034, All_Time = 47.493
1450/528000 (epoch 5), train_loss = 5.586, time/batch = 0.033, All_Time = 49.181
1500/528000 (epoch 5), train_loss = 5.657, time/batch = 0.032, All_Time = 50.867
1550/528000 (epoch 5), train_loss = 5.624, time/batch = 0.032, All_Time = 52.554
1600/528000 (epoch 6), train_loss = 5.461, time/batch = 0.033, All_Time = 54.248
1650/528000 (epoch 6), train_loss = 5.305, time/batch = 0.033, All_Time = 55.939
1700/528000 (epoch 6), train_loss = 5.437, time/batch = 0.034, All_Time = 57.627
1750/528000 (epoch 6), train_loss = 5.290, time/batch = 0.033, All_Time = 59.314
1800/528000 (epoch 6), train_loss = 5.448, time/batch = 0.033, All_Time = 60.998
1850/528000 (epoch 7), train_loss = 5.564, time/batch = 0.034, All_Time = 62.680
1900/528000 (epoch 7), train_loss = 5.526, time/batch = 0.034, All_Time = 64.374
1950/528000 (epoch 7), train_loss = 5.528, time/batch = 0.035, All_Time = 66.052
2000/528000 (epoch 7), train_loss = 5.432, time/batch = 0.033, All_Time = 67.749
model saved to NER/own_list/model.ckpt
2050/528000 (epoch 7), train_loss = 5.460, time/batch = 0.033, All_Time = 69.432
2100/528000 (epoch 7), train_loss = 5.612, time/batch = 0.034, All_Time = 71.125
2150/528000 (epoch 8), train_loss = 5.478, time/batch = 0.033, All_Time = 72.816
2200/528000 (epoch 8), train_loss = 5.441, time/batch = 0.033, All_Time = 74.509
2250/528000 (epoch 8), train_loss = 5.359, time/batch = 0.032, All_Time = 76.207
2300/528000 (epoch 8), train_loss = 5.565, time/batch = 0.033, All_Time = 77.888
2350/528000 (epoch 8), train_loss = 5.651, time/batch = 0.034, All_Time = 79.579
2400/528000 (epoch 9), train_loss = 5.465, time/batch = 0.035, All_Time = 81.271
2450/528000 (epoch 9), train_loss = 5.262, time/batch = 0.034, All_Time = 82.961
2500/528000 (epoch 9), train_loss = 5.637, time/batch = 0.035, All_Time = 84.647
2550/528000 (epoch 9), train_loss = 5.486, time/batch = 0.035, All_Time = 86.344
2600/528000 (epoch 9), train_loss = 5.635, time/batch = 0.034, All_Time = 88.040
2650/528000 (epoch 10), train_loss = 5.631, time/batch = 0.033, All_Time = 89.719
2700/528000 (epoch 10), train_loss = 5.437, time/batch = 0.034, All_Time = 91.406
2750/528000 (epoch 10), train_loss = 5.421, time/batch = 0.034, All_Time = 93.097
2800/528000 (epoch 10), train_loss = 5.481, time/batch = 0.033, All_Time = 94.775
2850/528000 (epoch 10), train_loss = 5.358, time/batch = 0.034, All_Time = 96.461
2900/528000 (epoch 10), train_loss = 5.516, time/batch = 0.035, All_Time = 98.151
2950/528000 (epoch 11), train_loss = 5.332, time/batch = 0.034, All_Time = 99.861
3000/528000 (epoch 11), train_loss = 5.533, time/batch = 0.033, All_Time = 101.549
model saved to NER/own_list/model.ckpt
3050/528000 (epoch 11), train_loss = 5.398, time/batch = 0.033, All_Time = 103.245
3100/528000 (epoch 11), train_loss = 5.436, time/batch = 0.033, All_Time = 104.934
3150/528000 (epoch 11), train_loss = 5.433, time/batch = 0.033, All_Time = 106.627
3200/528000 (epoch 12), train_loss = 5.490, time/batch = 0.035, All_Time = 108.320
3250/528000 (epoch 12), train_loss = 5.298, time/batch = 0.034, All_Time = 110.008
3300/528000 (epoch 12), train_loss = 5.464, time/batch = 0.033, All_Time = 111.695
3350/528000 (epoch 12), train_loss = 5.364, time/batch = 0.034, All_Time = 113.381
3400/528000 (epoch 12), train_loss = 5.256, time/batch = 0.035, All_Time = 115.075
