0/532000 (epoch 0), train_loss = 9.867, time/batch = 0.252, All_Time = 0.252
model saved to save/model.ckpt
50/532000 (epoch 0), train_loss = 6.147, time/batch = 0.037, All_Time = 2.079
100/532000 (epoch 0), train_loss = 5.738, time/batch = 0.036, All_Time = 3.896
150/532000 (epoch 0), train_loss = 5.856, time/batch = 0.036, All_Time = 5.710
200/532000 (epoch 0), train_loss = 5.648, time/batch = 0.037, All_Time = 7.538
250/532000 (epoch 0), train_loss = 5.766, time/batch = 0.036, All_Time = 9.371
300/532000 (epoch 1), train_loss = 5.900, time/batch = 0.037, All_Time = 11.216
350/532000 (epoch 1), train_loss = 5.631, time/batch = 0.038, All_Time = 13.040
400/532000 (epoch 1), train_loss = 5.717, time/batch = 0.035, All_Time = 14.854
450/532000 (epoch 1), train_loss = 5.772, time/batch = 0.036, All_Time = 16.674
500/532000 (epoch 1), train_loss = 5.878, time/batch = 0.037, All_Time = 18.504
550/532000 (epoch 2), train_loss = 5.669, time/batch = 0.036, All_Time = 20.336
600/532000 (epoch 2), train_loss = 5.873, time/batch = 0.036, All_Time = 22.168
650/532000 (epoch 2), train_loss = 5.822, time/batch = 0.035, All_Time = 24.033
700/532000 (epoch 2), train_loss = 5.689, time/batch = 0.036, All_Time = 25.898
750/532000 (epoch 2), train_loss = 5.780, time/batch = 0.037, All_Time = 27.759
800/532000 (epoch 3), train_loss = 5.743, time/batch = 0.038, All_Time = 29.614
850/532000 (epoch 3), train_loss = 5.844, time/batch = 0.037, All_Time = 31.475
900/532000 (epoch 3), train_loss = 5.827, time/batch = 0.037, All_Time = 33.341
950/532000 (epoch 3), train_loss = 5.715, time/batch = 0.036, All_Time = 35.209
1000/532000 (epoch 3), train_loss = 5.743, time/batch = 0.040, All_Time = 37.082
model saved to save/model.ckpt
1050/532000 (epoch 3), train_loss = 5.893, time/batch = 0.036, All_Time = 38.959
1100/532000 (epoch 4), train_loss = 5.668, time/batch = 0.036, All_Time = 40.806
1150/532000 (epoch 4), train_loss = 5.792, time/batch = 0.037, All_Time = 42.664
1200/532000 (epoch 4), train_loss = 5.692, time/batch = 0.036, All_Time = 44.521
1250/532000 (epoch 4), train_loss = 5.843, time/batch = 0.036, All_Time = 46.364
1300/532000 (epoch 4), train_loss = 5.616, time/batch = 0.037, All_Time = 48.207
1350/532000 (epoch 5), train_loss = 5.921, time/batch = 0.038, All_Time = 50.072
1400/532000 (epoch 5), train_loss = 5.675, time/batch = 0.036, All_Time = 51.927
